company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2015.0,FY,,2015-04-03,2016-06-14 21:38:31+00:00,295000000.0,1682000000.0,948000000.0,,21000000.0,2076000000.0,0.0,2434000000.0,457000000.0,25000000.0,265000000.0,838000000.0,,1044000000.0,1635000000.0,1110000000.0,28000000.0,354000000.0,396000000.0,453000000.0,287000000.0,806000000.0,691000000.0,498000000.0,209000000.0,1479000000.0,754000000.0,292000000.0,928000000.0,883000000.0,10221000000.0,2937000000.0,4856000000.0,3564000000.0,2937000000.0,2965000000.0,7256000000.0,10221000000.0,4255000000.0,3692000000.0,0.0,-446000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2015.0,Q3,,2015-01-02,2015-02-10 17:34:08+00:00,339000000.0,2435000000.0,1186000000.0,,141000000.0,2393000000.0,,2532000000.0,625000000.0,27000000.0,459000000.0,1669000000.0,,1106000000.0,2170000000.0,1692000000.0,25000000.0,,,547000000.0,,,,1000000000.0,1391000000.0,,,358000000.0,1101000000.0,554000000.0,10653000000.0,3330000000.0,5186000000.0,3190000000.0,3330000000.0,3355000000.0,7298000000.0,10653000000.0,3775000000.0,4108000000.0,,-444000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2015.0,Q2,,2014-10-03,2014-11-06 18:39:37+00:00,380000000.0,2664000000.0,908000000.0,,181000000.0,1923000000.0,,2489000000.0,624000000.0,41000000.0,498000000.0,1684000000.0,,1154000000.0,2214000000.0,1793000000.0,32000000.0,,,559000000.0,,,,866000000.0,1061000000.0,,,489000000.0,1453000000.0,569000000.0,10573000000.0,3687000000.0,5076000000.0,3020000000.0,3687000000.0,3719000000.0,6854000000.0,10573000000.0,3704000000.0,3834000000.0,,-436000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2015.0,Q1,,2014-07-04,2014-08-12 17:03:02+00:00,378000000.0,2751000000.0,1001000000.0,,311000000.0,2440000000.0,,2538000000.0,672000000.0,68000000.0,607000000.0,1673000000.0,,1209000000.0,2194000000.0,1936000000.0,27000000.0,,,568000000.0,,,,953000000.0,1209000000.0,,,458000000.0,1596000000.0,685000000.0,11420000000.0,4011000000.0,5649000000.0,3411000000.0,4011000000.0,4038000000.0,7382000000.0,11420000000.0,3835000000.0,3971000000.0,,-434000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2016.0,FY,,2016-04-01,2017-05-26 09:37:33+00:00,341000000.0,1831000000.0,720000000.0,,-111000000.0,1178000000.0,0.0,2588000000.0,509000000.0,40000000.0,288000000.0,1277000000.0,,1328000000.0,1934000000.0,1025000000.0,7000000.0,348000000.0,345000000.0,356000000.0,298000000.0,,,349000000.0,160000000.0,,,403000000.0,33000000.0,710000000.0,7736000000.0,2025000000.0,3412000000.0,2608000000.0,2025000000.0,2032000000.0,5704000000.0,7736000000.0,3299000000.0,3096000000.0,0.0,-485000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2016.0,Q3,,2016-01-01,2016-02-16 12:33:36+00:00,211000000.0,1670000000.0,800000000.0,,-106000000.0,1830000000.0,,2610000000.0,463000000.0,47000000.0,305000000.0,1026000000.0,,1064000000.0,1909000000.0,1028000000.0,7000000.0,,387000000.0,453000000.0,,0.0,0.0,623000000.0,818000000.0,0.0,0.0,361000000.0,187000000.0,760000000.0,7989000000.0,2216000000.0,3861000000.0,2586000000.0,2216000000.0,2223000000.0,5766000000.0,7989000000.0,3100000000.0,3180000000.0,,-475000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2016.0,Q2,,2015-10-02,2015-11-10 17:24:50+00:00,436000000.0,2127000000.0,1028000000.0,,-61000000.0,1818000000.0,,2460000000.0,587000000.0,55000000.0,377000000.0,1842000000.0,,1112000000.0,1716000000.0,1519000000.0,29000000.0,,,451000000.0,,,,1095000000.0,1423000000.0,,,500000000.0,1091000000.0,894000000.0,10013000000.0,3017000000.0,4445000000.0,3377000000.0,3017000000.0,3046000000.0,6967000000.0,10013000000.0,4049000000.0,3590000000.0,,-473000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2016.0,Q1,,2015-07-03,2015-08-12 17:08:03+00:00,412000000.0,2123000000.0,1060000000.0,,75000000.0,2199000000.0,,2430000000.0,645000000.0,55000000.0,450000000.0,1671000000.0,,1079000000.0,1707000000.0,1558000000.0,24000000.0,,,415000000.0,,,,1012000000.0,1447000000.0,,,474000000.0,954000000.0,911000000.0,10116000000.0,2990000000.0,4796000000.0,3533000000.0,2990000000.0,3014000000.0,7102000000.0,10116000000.0,3762000000.0,3569000000.0,,-469000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2017.0,FY,,2017-03-31,2017-05-26 09:37:33+00:00,410000000.0,1643000000.0,998000000.0,,-162000000.0,1263000000.0,0.0,2717000000.0,518000000.0,38000000.0,248000000.0,1855000000.0,,1794000000.0,2225000000.0,903000000.0,278000000.0,286000000.0,381000000.0,423000000.0,342000000.0,,,483000000.0,271000000.0,,,341000000.0,-170000000.0,738000000.0,8663000000.0,1888000000.0,3247000000.0,2950000000.0,1888000000.0,2166000000.0,6497000000.0,8663000000.0,4513000000.0,3547000000.0,0.0,-497000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2017.0,Q3,,2016-12-30,2017-02-02 18:29:10+00:00,367000000.0,1627000000.0,844000000.0,,-286000000.0,1111000000.0,0.0,2691000000.0,453000000.0,16000000.0,270000000.0,1780000000.0,,1784000000.0,2217000000.0,917000000.0,288000000.0,310000000.0,293000000.0,364000000.0,,,,480000000.0,561000000.0,,,310000000.0,-3000000.0,706000000.0,8302000000.0,1906000000.0,3048000000.0,2656000000.0,1906000000.0,2194000000.0,6108000000.0,8302000000.0,4337000000.0,3452000000.0,0.0,-496000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2017.0,Q2,,2016-09-30,2016-11-03 18:11:47+00:00,281000000.0,1893000000.0,787000000.0,,-115000000.0,1054000000.0,0.0,2666000000.0,537000000.0,17000000.0,285000000.0,1843000000.0,,1882000000.0,2506000000.0,984000000.0,284000000.0,313000000.0,327000000.0,405000000.0,,,,457000000.0,569000000.0,,,379000000.0,-14000000.0,794000000.0,8819000000.0,2041000000.0,3326000000.0,2701000000.0,2041000000.0,2325000000.0,6494000000.0,8819000000.0,4509000000.0,3793000000.0,0.0,-496000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2017.0,Q1,,2016-07-01,2016-08-08 20:04:39+00:00,368000000.0,1983000000.0,778000000.0,,-169000000.0,1000000000.0,0.0,2638000000.0,576000000.0,10000000.0,331000000.0,1817000000.0,,1185000000.0,2543000000.0,1012000000.0,261000000.0,345000000.0,338000000.0,412000000.0,222000000.0,,,1101000000.0,343000000.0,,,421000000.0,-10000000.0,700000000.0,8857000000.0,1968000000.0,3404000000.0,2763000000.0,1968000000.0,2229000000.0,6628000000.0,8857000000.0,4441000000.0,3865000000.0,0.0,-491000000.0
