company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2014.0,Q1,,2013-08-31,2013-10-07 17:12:00+00:00,1559000000.0,3207000000.0,1913000000.0,,177000000.0,2936000000.0,0.0,5340000000.0,308000000.0,211000000.0,131000000.0,,383000000.0,1207000000.0,3472000000.0,2557000000.0,985000000.0,1322000000.0,,,12000000.0,,,1053000000.0,0.0,5762000000.0,168000000.0,2642000000.0,17674000000.0,11279000000.0,13618000000.0,3863000000.0,11282000000.0,11282000000.0,6392000000.0,17674000000.0,1499000000.0,2529000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2015.0,FY,,2015-05-31,2016-07-21 16:11:03+00:00,2131000000.0,3358000000.0,3949000000.0,,1246000000.0,3852000000.0,0.0,6773000000.0,,71000000.0,131000000.0,,281000000.0,1079000000.0,4337000000.0,3011000000.0,2587000000.0,1479000000.0,,,,,,1968000000.0,0.0,4685000000.0,181000000.0,2072000000.0,21597000000.0,12704000000.0,15587000000.0,6332000000.0,12707000000.0,12707000000.0,8890000000.0,21597000000.0,2999000000.0,2558000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2015.0,Q3,,2015-02-28,2015-04-07 16:33:16+00:00,1821000000.0,3294000000.0,3563000000.0,,1111000000.0,3015000000.0,0.0,6517000000.0,328000000.0,33000000.0,131000000.0,,281000000.0,1082000000.0,4246000000.0,2862000000.0,2060000000.0,1505000000.0,,,,,,1978000000.0,0.0,4737000000.0,169000000.0,2346000000.0,20541000000.0,12365000000.0,15207000000.0,5586000000.0,12368000000.0,12368000000.0,8173000000.0,20541000000.0,2472000000.0,2587000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2015.0,Q2,,2014-11-30,2015-01-07 16:56:03+00:00,2074000000.0,3457000000.0,2622000000.0,,525000000.0,2273000000.0,0.0,6375000000.0,334000000.0,38000000.0,131000000.0,,281000000.0,1084000000.0,4150000000.0,2927000000.0,1795000000.0,1446000000.0,,,,,,1379000000.0,0.0,4797000000.0,203000000.0,2440000000.0,19167000000.0,11697000000.0,14033000000.0,4937000000.0,11700000000.0,11700000000.0,7467000000.0,19167000000.0,2207000000.0,2530000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2015.0,Q1,,2014-08-31,2014-10-07 16:58:23+00:00,1970000000.0,3587000000.0,2441000000.0,,224000000.0,2303000000.0,0.0,6070000000.0,348000000.0,250000000.0,131000000.0,,282000000.0,1195000000.0,4030000000.0,2895000000.0,1673000000.0,1408000000.0,,,,,,996000000.0,0.0,4808000000.0,152000000.0,2276000000.0,18521000000.0,11102000000.0,13540000000.0,4813000000.0,11105000000.0,11105000000.0,7416000000.0,18521000000.0,2086000000.0,2603000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2016.0,FY,,2016-05-31,2017-07-20 16:18:16+00:00,2191000000.0,3241000000.0,3037000000.0,,318000000.0,3138000000.0,0.0,7786000000.0,,85000000.0,131000000.0,,281000000.0,1993000000.0,4838000000.0,3520000000.0,2422000000.0,1770000000.0,,,,,,1489000000.0,0.0,4151000000.0,45000000.0,2319000000.0,21379000000.0,12255000000.0,15025000000.0,5358000000.0,12255000000.0,12255000000.0,9121000000.0,21379000000.0,2834000000.0,3763000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2016.0,Q3,,2016-02-29,2016-04-05 16:14:43+00:00,1714000000.0,3368000000.0,3224000000.0,,645000000.0,3044000000.0,0.0,7539000000.0,410000000.0,35000000.0,131000000.0,,281000000.0,2048000000.0,4590000000.0,3329000000.0,1990000000.0,1659000000.0,,,,,,1782000000.0,0.0,4113000000.0,7000000.0,2062000000.0,20987000000.0,12297000000.0,15256000000.0,4980000000.0,12300000000.0,12300000000.0,8687000000.0,20987000000.0,2402000000.0,3707000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2016.0,Q2,,2015-11-30,2016-01-06 17:17:58+00:00,1915000000.0,3437000000.0,3451000000.0,,1107000000.0,3851000000.0,0.0,7408000000.0,405000000.0,41000000.0,131000000.0,,281000000.0,2067000000.0,4600000000.0,3235000000.0,2181000000.0,1600000000.0,,,,,,2197000000.0,0.0,4887000000.0,104000000.0,2265000000.0,22583000000.0,13402000000.0,16755000000.0,5511000000.0,13405000000.0,13405000000.0,9178000000.0,22583000000.0,2593000000.0,3667000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2016.0,Q1,,2015-08-31,2015-10-06 16:27:58+00:00,1933000000.0,3288000000.0,3139000000.0,,833000000.0,3246000000.0,0.0,7029000000.0,377000000.0,75000000.0,131000000.0,,281000000.0,1079000000.0,4414000000.0,3112000000.0,2004000000.0,1517000000.0,,,,,,1751000000.0,0.0,5029000000.0,129000000.0,2162000000.0,20766000000.0,12891000000.0,15238000000.0,5276000000.0,12894000000.0,12894000000.0,7872000000.0,20766000000.0,2416000000.0,2596000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2017.0,FY,,2017-05-31,2018-07-24 18:22:39+00:00,2048000000.0,3677000000.0,3011000000.0,,-213000000.0,3808000000.0,0.0,5710000000.0,,84000000.0,139000000.0,,283000000.0,3471000000.0,5055000000.0,3989000000.0,2787000000.0,1907000000.0,,,,,,1150000000.0,0.0,6907000000.0,331000000.0,2371000000.0,23259000000.0,12404000000.0,16061000000.0,5474000000.0,12407000000.0,12407000000.0,10852000000.0,23259000000.0,3209000000.0,5378000000.0
