company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Progressive Corp,PGR,,80661,2013.0,Q3TTM,2012-10-01,2013-09-30,,152800000.0,100200000.0,,-800000.0,631800000.0,,,-993400000.0,-871200000.0,1774100000.0,-993400000.0,-871200000.0,1774100000.0,-91300000.0,1114700000.0,1114700000.0,-225400000.0,10500000.0,96100000.0,-776900000.0,-7415500000.0,-149100000.0,-58100000.0,-168900000.0,6594500000.0,2800000.0
Progressive Corp,PGR,,80661,2013.0,Q3,2013-07-01,2013-09-30,,34600000.0,25900000.0,,-200000.0,324700000.0,,,-93300000.0,-513300000.0,610800000.0,-93300000.0,-513300000.0,610800000.0,4000000.0,232400000.0,232400000.0,-6800000.0,2900000.0,-53300000.0,,-1860200000.0,-36100000.0,-58100000.0,-38100000.0,1435500000.0,800000.0
Progressive Corp,PGR,,80661,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-10-29 11:04:23+00:00,111400000.0,74900000.0,,-900000.0,879300000.0,0.0,,-388200000.0,-1437100000.0,1748000000.0,-388200000.0,-1437100000.0,1748000000.0,-78200000.0,865600000.0,865600000.0,-183200000.0,10300000.0,154600000.0,-175600000.0,-6331000000.0,-105600000.0,-58100000.0,-164800000.0,4842500000.0,2400000.0
Progressive Corp,PGR,,80661,2013.0,Q2TTM,2012-07-01,2013-06-30,,165200000.0,97900000.0,,100000.0,645900000.0,,,-987700000.0,-774500000.0,1693500000.0,-987700000.0,-774500000.0,1693500000.0,-68600000.0,1159300000.0,1159300000.0,-374800000.0,9100000.0,101500000.0,-778300000.0,-7735200000.0,-143700000.0,-600000.0,-217900000.0,6999000000.0,3900000.0
Progressive Corp,PGR,,80661,2013.0,Q2,2013-04-01,2013-06-30,,36800000.0,25300000.0,,-600000.0,143000000.0,,,-74600000.0,-353200000.0,415100000.0,-74600000.0,-353200000.0,415100000.0,-13300000.0,324600000.0,324600000.0,-114600000.0,800000.0,109500000.0,,-2114300000.0,-41800000.0,,-75400000.0,1692600000.0,800000.0
Progressive Corp,PGR,,80661,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-07-30 11:58:13+00:00,76800000.0,49000000.0,,-700000.0,554600000.0,0.0,,-294900000.0,-923800000.0,1137200000.0,-294900000.0,-923800000.0,1137200000.0,-82200000.0,633200000.0,633200000.0,-176400000.0,7400000.0,207900000.0,-175600000.0,-4470800000.0,-69500000.0,,-126700000.0,3407000000.0,1600000.0
Progressive Corp,PGR,,80661,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 10:30:09+00:00,40000000.0,23700000.0,,-100000.0,411600000.0,,,-220300000.0,-570600000.0,722100000.0,-220300000.0,-570600000.0,722100000.0,-68900000.0,308600000.0,308600000.0,-61800000.0,6600000.0,98400000.0,-175600000.0,-2356500000.0,-27700000.0,,-51300000.0,1714400000.0,800000.0
Progressive Corp,PGR,,80661,2013.0,Q1TTM,2012-04-01,2013-03-31,,176100000.0,95800000.0,,500000.0,717300000.0,,,-977000000.0,-774400000.0,1705100000.0,-977000000.0,-774400000.0,1705100000.0,-45800000.0,953300000.0,953300000.0,-237400000.0,8300000.0,-19900000.0,-778300000.0,-6748200000.0,-126100000.0,-19200000.0,-187800000.0,6116000000.0,3800000.0
Progressive Corp,PGR,,80661,2014.0,FY,2014-01-01,2014-12-31,2017-03-01 11:59:52+00:00,78200000.0,97100000.0,0.0,0.0,431900000.0,344700000.0,,-855400000.0,-836900000.0,1725600000.0,-855400000.0,-836900000.0,1725600000.0,33300000.0,1281000000.0,1281000000.0,-162600000.0,12800000.0,-30000000.0,-892600000.0,-9213200000.0,-108100000.0,-48900000.0,-271400000.0,8508500000.0,5900000.0
Progressive Corp,PGR,,80661,2014.0,Q4,2014-10-01,2014-12-31,,18700000.0,25300000.0,,-1300000.0,-334100000.0,,,-36700000.0,-12300000.0,68100000.0,-36700000.0,-12300000.0,68100000.0,17800000.0,370200000.0,370200000.0,-12000000.0,,-126700000.0,,-1790100000.0,-34500000.0,,-36700000.0,1937600000.0,1400000.0
