Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/30/2011,1275.0,1275.0,-887.0,887.0,388.0,0.0,-329.0,301.0,28.0,0.0,59.0,-1.0,1.0,3.0,-2.0,,0.0,58.0,-21.0,,37.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,0.0,37.0,37.0,0.0,153.7,0.24,0.24,0.24,155.2,0.24,0.24,0.24,
10/29/2011,1394.0,1394.0,-941.0,941.0,453.0,0.0,-347.0,320.0,27.0,0.0,106.0,-1.0,1.0,2.0,-1.0,,0.0,105.0,-39.0,,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,66.0,66.0,0.0,152.3,0.43,0.43,0.43,153.6,0.43,0.43,0.43,
01/28/2012,1502.0,1502.0,-1022.0,1022.0,480.0,0.0,-358.0,325.0,28.0,5.0,122.0,1.0,2.0,4.0,-2.0,,-3.0,123.0,-42.0,,81.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,81.0,82.05,1.05,153.1,0.53,0.53,0.535924,153.1,0.53,0.53,0.535924,
04/28/2012,1578.0,1578.0,-1041.0,1041.0,537.0,0.0,-335.0,306.0,29.0,0.0,202.0,-1.0,1.0,3.0,-2.0,,0.0,201.0,-73.0,,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,128.0,128.0,0.0,151.8,0.84,0.84,0.84,154.3,0.83,0.83,0.83,
07/28/2012,1367.0,1367.0,-939.0,939.0,428.0,0.0,-335.0,306.0,29.0,0.0,93.0,0.0,1.0,2.0,-1.0,,-1.0,93.0,-34.0,,59.0,0.0,0.0,0.0,59.0,0.0,59.0,0.0,0.0,59.0,59.0,0.0,151.4,0.39,0.39,0.39,153.9,0.39,0.39,0.39,
10/27/2012,1524.0,1524.0,-1019.0,1019.0,505.0,0.0,-349.0,319.0,30.0,0.0,156.0,-1.0,1.0,3.0,-2.0,,0.0,155.0,-49.0,,106.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,106.0,106.0,0.0,151.0,0.7,0.7,0.7,153.9,0.69,0.69,0.69,
02/02/2013,1713.0,1713.0,-1149.0,1149.0,564.0,0.0,-405.0,363.0,30.0,12.0,159.0,-1.0,2.0,3.0,-1.0,,-1.0,158.0,-54.0,,104.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,0.0,104.0,111.0,7.0,153.2,0.68,0.68,0.724543,153.2,0.68,0.68,0.724543,
05/04/2013,1638.0,1638.0,-1077.0,1077.0,561.0,0.0,-346.0,315.0,31.0,0.0,215.0,1.0,1.0,3.0,-2.0,,-2.0,216.0,-78.0,,138.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,139.0,1.0,150.4,0.92,0.92,0.924202,152.7,0.9,0.9,0.906549,
08/03/2013,1454.0,1454.0,-1001.0,1001.0,453.0,0.0,-345.0,314.0,31.0,0.0,108.0,-2.0,1.0,2.0,-1.0,,1.0,106.0,-40.0,,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,66.0,68.0,2.0,149.5,0.44,0.44,0.454849,151.4,0.44,0.44,0.45321,
11/02/2013,1622.0,1622.0,-1085.0,1085.0,537.0,0.0,-375.0,340.0,35.0,0.0,162.0,-2.0,2.0,3.0,-1.0,,0.0,160.0,-56.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,0.0,104.0,105.0,1.0,147.7,0.7,0.7,0.7109,149.5,0.7,0.7,0.706689,
02/01/2014,1791.0,1791.0,-1209.0,1209.0,582.0,0.0,-401.0,365.0,36.0,0.0,181.0,0.0,1.0,3.0,-2.0,,-1.0,181.0,-60.0,,121.0,0.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,121.0,123.3,2.3,148.4,0.81,0.81,0.830863,148.4,0.81,0.81,0.825499,
05/03/2014,1868.0,1868.0,-1222.0,1222.0,646.0,0.0,-392.0,355.0,36.0,1.0,254.0,0.0,1.0,3.0,-2.0,,-1.0,254.0,-92.0,,162.0,0.0,0.0,0.0,162.0,0.0,162.0,0.0,0.0,162.0,164.0,2.0,145.4,1.12,1.12,1.127923,147.6,1.1,1.1,1.11355,
08/02/2014,1641.0,1641.0,-1116.0,1116.0,525.0,0.0,-381.0,343.0,36.0,2.0,144.0,0.0,1.0,2.0,-1.0,,-1.0,144.0,-52.0,0.0,92.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,0.0,92.0,93.0,1.0,144.5,0.63,0.63,0.643599,146.4,0.63,0.63,0.636831,
11/01/2014,1731.0,1731.0,-1157.0,1157.0,574.0,0.0,-387.0,353.0,34.0,0.0,187.0,0.0,1.0,3.0,-2.0,,-1.0,187.0,-67.0,0.0,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,0.0,120.0,121.0,1.0,143.6,0.84,0.84,0.842618,145.7,0.82,0.82,0.826863,
01/31/2015,1911.0,1911.0,-1282.0,1282.0,629.0,0.0,-409.0,375.0,33.0,1.0,220.0,4.0,2.0,3.0,-1.0,,-6.0,224.0,-78.0,,146.0,0.0,0.0,0.0,146.0,0.0,146.0,0.0,0.0,146.0,144.65,-1.35,144.3,1.01,1.01,1.002426,144.3,1.01,1.01,1.000644,
05/02/2015,1916.0,1916.0,-1246.0,1246.0,670.0,0.0,-380.0,345.0,35.0,0.0,290.0,0.0,1.0,3.0,-2.0,,-1.0,290.0,-106.0,,184.0,0.0,0.0,0.0,184.0,0.0,184.0,0.0,0.0,184.0,184.0,0.0,140.1,1.31,1.31,1.31,142.1,1.29,1.29,1.29,
08/01/2015,1695.0,1695.0,-1142.0,1142.0,553.0,0.0,-367.0,331.0,36.0,0.0,186.0,-1.0,1.0,2.0,-1.0,,0.0,185.0,-66.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,119.0,119.0,0.0,139.6,0.85,0.85,0.85,141.3,0.84,0.84,0.84,
10/31/2015,1794.0,1794.0,-1187.0,1187.0,607.0,0.0,-490.0,352.0,38.0,100.0,117.0,0.0,1.0,3.0,-2.0,,-1.0,117.0,-37.0,,80.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,80.0,141.0,61.0,139.3,0.57,0.57,1.012204,140.9,0.57,0.57,1.002931,
01/30/2016,2007.0,2007.0,-1332.0,1332.0,675.0,0.0,-431.0,387.0,39.0,5.0,244.0,1.0,1.0,3.0,-2.0,,-2.0,245.0,-87.0,,158.0,0.0,0.0,0.0,158.0,0.0,158.0,0.0,0.0,158.0,165.25,7.25,138.9,1.14,1.14,1.189705,138.9,1.14,1.14,1.189705,
04/30/2016,1987.0,1987.0,-1291.0,1291.0,696.0,0.0,-400.0,361.0,39.0,0.0,296.0,2.0,0.0,3.0,-3.0,,-2.0,298.0,-107.0,,191.0,0.0,0.0,0.0,191.0,0.0,191.0,0.0,0.0,191.0,191.0,0.0,136.5,1.4,1.4,1.4,137.8,1.39,1.39,1.39,
07/30/2016,1780.0,1780.0,-1193.0,1193.0,587.0,0.0,-389.0,350.0,39.0,0.0,198.0,0.0,1.0,3.0,-2.0,,-1.0,198.0,-71.0,,127.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,0.0,127.0,127.0,0.0,134.4,0.94,0.94,0.94,135.5,0.94,0.94,0.94,
10/29/2016,1886.0,1886.0,-1246.0,1246.0,640.0,0.0,-412.0,366.0,40.0,6.0,228.0,-1.0,1.0,3.0,-2.0,,0.0,227.0,-70.0,,157.0,0.0,0.0,0.0,157.0,0.0,157.0,0.0,0.0,157.0,152.0,-5.0,132.9,1.18,1.18,1.143717,134.0,1.17,1.17,1.132687,
01/28/2017,2113.0,2113.0,-1400.0,1400.0,713.0,0.0,-435.0,395.0,40.0,0.0,278.0,3.0,0.0,2.0,-2.0,,-3.0,281.0,-92.0,,189.0,0.0,0.0,0.0,189.0,0.0,189.0,0.0,0.0,189.0,196.0,7.0,133.3,1.42,1.42,1.470368,133.3,1.42,1.42,1.470368,
04/29/2017,2001.0,2001.0,-1321.0,1321.0,680.0,0.0,-412.0,371.0,41.0,0.0,268.0,1.0,0.0,3.0,-3.0,,-1.0,269.0,-89.0,,180.0,0.0,0.0,0.0,180.0,0.0,180.0,0.0,0.0,180.0,180.0,0.0,131.4,1.37,1.37,1.37,132.6,1.36,1.36,1.36,
07/29/2017,1701.0,1701.0,-1198.0,1198.0,503.0,0.0,-431.0,339.0,42.0,50.0,72.0,1.0,-1.0,3.0,-4.0,,0.0,73.0,-22.0,,51.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,0.0,51.0,81.0,30.0,131.3,0.39,0.39,0.616908,132.0,0.39,0.39,0.616908,
10/28/2017,1870.0,1870.0,-1290.0,1290.0,580.0,0.0,-425.0,368.0,44.0,13.0,155.0,1.0,0.0,3.0,-3.0,,-1.0,156.0,-54.0,,102.0,0.0,0.0,0.0,102.0,0.0,102.0,0.0,0.0,102.0,110.0,8.0,126.0,0.81,0.81,0.873016,126.4,0.81,0.81,0.873016,
02/03/2018,2210.0,2210.0,-1517.0,1517.0,693.0,0.0,-617.0,423.0,46.0,148.0,76.0,4.0,-1.0,3.0,-4.0,,-3.0,80.0,-129.0,,-49.0,0.0,0.0,0.0,-49.0,0.0,-49.0,0.0,0.0,-49.0,155.0,204.0,120.6,-0.4,-0.4,1.28524,120.6,-0.4,-0.4,1.28524,
05/05/2018,2025.0,2025.0,-1359.0,1359.0,666.0,0.0,-442.0,385.0,45.0,12.0,224.0,5.0,-2.0,3.0,-5.0,,-3.0,229.0,-64.0,,165.0,0.0,0.0,0.0,165.0,0.0,165.0,0.0,0.0,165.0,174.0,9.0,118.7,1.39,1.39,1.46588,119.1,1.38,1.38,1.455567,
08/04/2018,1782.0,1782.0,-1243.0,1243.0,539.0,0.0,-427.0,380.0,44.0,3.0,112.0,3.0,-1.0,3.0,-4.0,,-2.0,115.0,-27.0,,88.0,0.0,0.0,0.0,88.0,0.0,88.0,0.0,0.0,88.0,88.37,0.37,116.6,0.76,0.76,0.75789,117.1,0.75,0.75,0.75316,
11/03/2018,1860.0,1860.0,-1272.0,1272.0,588.0,0.0,-444.0,398.0,44.0,2.0,144.0,2.0,-2.0,3.0,-5.0,,0.0,146.0,-16.0,,130.0,0.0,0.0,0.0,130.0,0.0,130.0,0.0,0.0,130.0,108.0,-22.0,114.5,1.14,1.14,0.943231,115.0,1.14,1.14,0.943231,
02/02/2019,2272.0,2272.0,-1537.0,1537.0,735.0,0.0,-516.0,451.0,45.0,20.0,219.0,4.0,-4.0,2.0,-6.0,,0.0,223.0,-65.0,,158.0,0.0,0.0,0.0,158.0,0.0,158.0,0.0,0.0,158.0,177.0,19.0,113.3,1.39,1.39,1.562224,113.3,1.39,1.39,1.557696,
05/04/2019,2078.0,2078.0,-1389.0,1389.0,689.0,0.0,-461.0,416.0,44.0,1.0,228.0,6.0,-4.0,2.0,-6.0,,-2.0,234.0,-62.0,,172.0,0.0,0.0,0.0,172.0,0.0,172.0,0.0,0.0,172.0,173.0,1.0,112.4,1.53,1.53,1.539146,113.1,1.52,1.52,1.528842,
08/03/2019,1774.0,1774.0,-1240.0,1240.0,534.0,0.0,-453.0,393.0,46.0,14.0,81.0,4.0,-2.0,3.0,-5.0,,-2.0,85.0,-25.0,,60.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,60.0,72.0,12.0,110.8,0.55,0.55,0.649819,111.1,0.55,0.55,0.649819,
11/02/2019,1932.0,1932.0,-1312.0,1312.0,620.0,0.0,-456.0,411.0,44.0,1.0,164.0,7.0,-3.0,3.0,-6.0,,-4.0,171.0,-46.0,,125.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,125.0,126.0,1.0,106.9,1.16,1.16,1.178672,107.2,1.16,1.16,1.169328,
02/01/2020,2221.0,2221.0,-1521.0,1521.0,700.0,0.0,-524.0,430.0,45.0,49.0,176.0,6.0,-2.0,2.0,-4.0,,-4.0,182.0,-48.0,,134.0,0.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,134.0,160.0,26.0,104.8,1.278626,1.278626,1.526718,104.9,1.277407,1.277407,1.525262,
05/02/2020,1176.0,1176.0,-905.0,905.0,271.0,0.0,-376.0,316.0,44.0,16.0,-105.0,0.0,1.0,3.0,-2.0,,-1.0,-105.0,-5.0,,-110.0,0.0,0.0,0.0,-110.0,0.0,-110.0,0.0,0.0,-110.0,-70.0,40.0,104.3,-1.06,-1.06,-0.671141,104.3,-1.06,-1.06,-0.676491,
08/01/2020,2077.0,2077.0,-1539.0,1539.0,538.0,0.0,-469.0,387.0,44.0,38.0,69.0,1.0,2.0,,,,-3.0,70.0,-25.0,,45.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,45.0,75.0,30.0,105.1,0.43,0.43,0.713606,105.1,0.43,0.43,0.713606,
10/31/2020,1867.105,,,,535.7844508,,,,,,76.515,,,,,,,82.171,,,30.533,,,,,,30.533,,,30.533,58.418,,,0.428,0.428,0.505,,0.428,0.428,0.505,
01/31/2021,2217.789,,,,661.01201145,,,,,,177.6,,,,,,,178.071,,,109.0,,,,,,109.0,,,109.0,127.824,,,1.162,1.162,1.185,,1.162,1.162,1.185,
