Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/30/2018,170.9,60.9,69.0,51.6,,,51.6,-10.6,,-10.6,0.0,-174.0,-46.5,0.0,0.0,0.0,-46.5,-46.5,0.0,0.0,0.0,0.0,-127.5,0.0,-127.5,0.0,0.0,78.9,-1.5,80.6,11.6,273.3,-204.3,0.0,0.0,0.0,-0.2,-2.6,73.2,,,
07/31/2018,235.2,100.8,69.0,18.9,,,18.9,46.5,,46.5,0.0,-52.4,-52.3,0.0,0.0,0.0,-52.3,-52.3,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0,-188.6,0.0,-189.4,4.6,127.0,-321.0,0.0,0.0,0.0,0.8,-3.5,-9.3,,,
10/31/2018,236.6,100.6,70.5,-99.6,,,-99.6,165.1,,165.1,0.0,-46.5,-43.4,0.0,0.0,0.0,-43.4,-43.4,0.0,0.0,0.0,0.0,-3.1,0.0,-3.1,0.0,0.0,-263.3,-1.4,-273.4,-7.4,675.0,-941.0,0.0,0.0,0.0,11.5,-2.2,-75.4,195.2,,
01/31/2019,101.8,103.2,68.8,-16.9,,,-16.9,-53.3,,-53.3,0.0,-129.2,-79.2,0.0,0.0,0.0,-79.2,-79.2,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,0.0,0.0,93.2,0.0,108.5,407.5,261.8,-560.8,0.0,0.0,0.0,-15.3,0.9,66.7,,,
04/30/2019,214.8,122.4,70.7,-11.9,,,-11.9,33.6,,33.6,0.0,-53.5,-52.7,0.0,0.0,0.0,-52.7,-52.7,0.0,0.0,0.0,0.0,-0.8,0.0,-0.8,0.0,0.0,-201.9,-1.5,-205.1,9.9,163.0,-378.0,-6.1,0.0,-6.1,10.8,-1.4,-42.0,,,
07/31/2019,196.7,120.1,70.7,8.3,,,8.3,-2.4,,-2.4,0.0,-83.7,-75.4,0.0,0.0,0.0,-75.4,-75.4,0.0,0.0,0.0,0.0,-8.3,0.0,-8.3,0.0,0.0,-103.6,0.0,-115.6,-65.6,152.0,-202.0,0.0,0.0,0.0,12.0,-1.1,8.3,,,
10/31/2019,199.9,121.0,70.7,33.6,,,33.6,-25.4,,-25.4,0.0,-84.9,-84.8,0.0,0.0,0.0,-84.8,-84.8,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0,-139.1,-1.5,12.5,173.5,560.0,-721.0,-156.1,0.0,-156.1,6.0,0.4,-23.7,,,
01/31/2020,129.7,90.5,70.6,19.2,,,19.2,-50.6,,-50.6,0.0,-78.4,-69.0,0.0,0.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,-9.4,0.0,-9.4,0.0,0.0,-63.2,0.0,-49.9,-20.8,234.0,-263.1,0.0,0.0,0.0,-13.3,-0.2,-12.1,,,
04/30/2020,25.8,11.5,68.8,14.7,,,14.7,-69.2,,-69.2,0.0,-91.1,-89.3,0.0,0.0,0.0,-89.3,-89.3,0.0,0.0,0.0,0.0,-1.8,0.0,-1.8,0.0,0.0,71.6,-1.5,120.6,10.8,1628.0,-1518.2,-46.9,0.9,-47.8,-0.6,-2.9,3.4,,,
07/31/2020,112.8,55.2,70.6,23.1,,,23.1,-36.1,,-36.1,0.0,-51.8,-45.1,0.0,0.0,0.0,-45.1,-45.1,0.0,0.0,0.0,0.0,-6.7,0.0,-6.7,0.0,0.0,-18.6,0.0,-20.1,-3.0,224.4,-241.5,0.9,0.9,0.0,0.6,5.1,47.5,,,
