Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2010,15418,947,947,0.0,2171,2171.0,0.0,2012,615.0,835.0,356.0,206.0,679,,425.0,21.0,336.0,5809,6203,15474.0,-9271.0,647.0,647.0,2759,2006.0,1730.0,276.0,,328,9609,,2793,1836,159.0,44.0,754.0,34,13.0,,,,21.0,65,,,65,2892,3639,3639.0,,,,4437,,3986.0,,451,8076,10968,0.0,3788.0,151.0,3637.0,-588.0,4012.0,-2763,4449,1,4450,15418,
09/30/2010,15653,643,643,0.0,2200,2200.0,0.0,2375,919.0,897.0,398.0,161.0,649,,401.0,45.0,301.0,5867,6390,15807.0,-9417.0,674.0,674.0,2722,2008.0,1733.0,275.0,,313,9786,,2933,2014,112.0,76.0,731.0,104,84.0,,,,20.0,38,,,15,3075,3639,3639.0,,,,4420,,3937.0,,483,8059,11134,0.0,3796.0,151.0,3645.0,-584.0,3953.0,-2647,4518,1,4519,15653,
12/31/2010,15350,578,578,0.0,1921,1921.0,,2352,949.0,851.0,449.0,103.0,453,0.0,515.0,175.0,153.0,5304,6486,15890.0,-9404.0,670.0,670.0,2890,2035.0,1760.0,275.0,13.0,327,10046,,2835,1738,116.0,43.0,938.0,246,30.0,,,,216.0,66,,,55,3147,3517,3517.0,,,,4834,,4365.0,,469,8351,11498,,3801.0,151.0,3650.0,-580.0,3698.0,-3068,3851,1,3852,15350,
03/31/2011,15768,421,421,0.0,2451,2451.0,0.0,2255,792.0,872.0,492.0,99.0,410,,513.0,66.0,217.0,5537,6627,16261.0,-9634.0,694.0,694.0,2910,2061.0,1787.0,274.0,,336,10231,,3204,2044,133.0,75.0,952.0,236,19.0,,,,217.0,83,,,58,3523,3518,3518.0,,,,4818,,4352.0,,466,8336,11859,0.0,3805.0,151.0,3654.0,-572.0,3604.0,-2929,3908,1,3909,15768,
06/30/2011,16245,393,393,0.0,2544,2544.0,0.0,2698,969.0,1056.0,571.0,102.0,386,,435.0,13.0,242.0,6021,6736,16551.0,-9815.0,687.0,687.0,2801,2066.0,1794.0,272.0,,300,10224,,3272,2077,151.0,43.0,1001.0,251,34.0,,,,217.0,76,,,56,3599,3684,3684.0,,,,4746,,4283.0,,463,8430,12029,0.0,3786.0,151.0,3635.0,-550.0,3819.0,-2840,4215,1,4216,16245,
09/30/2011,15931,270,270,0.0,2527,2527.0,0.0,2843,1161.0,972.0,608.0,102.0,294,,400.0,11.0,155.0,5934,6588,16455.0,-9867.0,685.0,685.0,2724,2013.0,1749.0,264.0,,311,9997,,3278,2070,128.0,75.0,1005.0,269,52.0,,,,217.0,166,,,151,3713,3641,3641.0,,,,4407,,3942.0,,465,8048,11761,0.0,3794.0,151.0,3643.0,-550.0,3834.0,-2909,4169,1,4170,15931,
12/31/2011,16073,408,408,0.0,1921,1921.0,0.0,2775,1178.0,953.0,548.0,96.0,670,,649.0,,556.0,5774,6579,16572.0,-9993.0,683.0,683.0,3037,2045.0,1783.0,262.0,14.0,329,10299,,3139,1977,118.0,41.0,1003.0,44,24.0,,,,20.0,466,0.0,0.0,435,3649,3828,3828.0,,,,5095,0.0,4600.0,0.0,495,8923,12572,,3801.0,151.0,3650.0,-550.0,3616.0,-3367,3500,1,3501,16073,
03/31/2012,15804,652,652,0.0,2362,2362.0,0.0,2437,812.0,1015.0,517.0,93.0,340,,572.0,,225.0,5791,6401,16457.0,-10056.0,668.0,668.0,2944,2060.0,1799.0,261.0,,312,10013,,3173,1906,195.0,78.0,994.0,372,57.0,,,,315.0,107,,,107,3652,3802,3802.0,,,,4889,,4403.0,,486,8691,12343,0.0,3809.0,151.0,3658.0,-549.0,3390.0,-3190,3460,1,3461,15804,
06/30/2012,15404,565,565,0.0,2296,2296.0,0.0,2412,821.0,963.0,534.0,94.0,352,,472.0,,236.0,5625,6316,16459.0,-10143.0,643.0,643.0,2820,2038.0,1781.0,257.0,,310,9779,,3139,1920,152.0,48.0,1019.0,61,56.0,,,,5.0,110,,,110,3310,3801,3801.0,,,,4760,,4287.0,,473,8561,11871,0.0,3784.0,151.0,3633.0,-521.0,3484.0,-3215,3532,1,3533,15404,
09/30/2012,15496,536,536,0.0,2239,2239.0,0.0,2525,917.0,925.0,585.0,98.0,346,,363.0,,227.0,5646,6390,16711.0,-10321.0,645.0,645.0,2815,2071.0,1814.0,257.0,,381,9850,,3133,1864,149.0,72.0,1048.0,50,49.0,,,,1.0,84,,,84,3267,3939,3939.0,,,,4427,,3989.0,,438,8366,11633,0.0,3793.0,151.0,3642.0,-521.0,3520.0,-2931,3861,2,3863,15496,
12/31/2012,15217,570,570,0.0,1862,1862.0,0.0,2503,945.0,883.0,573.0,102.0,561,0.0,302.0,10.0,258.0,5496,6408,16906.0,-10498.0,609.0,609.0,2704,2075.0,1822.0,253.0,11.0,316,9721,,2883,1710,146.0,50.0,977.0,17,15.0,,,,2.0,90,0.0,0.0,78,2990,3936,3936.0,,,,4813,0.0,4416.0,0.0,397,8749,11739,0.0,3803.0,151.0,3652.0,-521.0,3463.0,-3268,3477,1,3478,15217,
03/31/2013,15151,733,733,0.0,2115,2115.0,0.0,2316,691.0,932.0,585.0,108.0,390,,366.0,,217.0,5554,6246,16845.0,-10599.0,624.0,624.0,2727,2057.0,1808.0,249.0,,304,9597,,2943,1785,147.0,64.0,947.0,50,48.0,,,,2.0,94,,,91,3087,3932,3932.0,,,,4661,,4263.0,,398,8593,11680,0.0,3844.0,151.0,3693.0,-520.0,3382.0,-3236,3470,1,3471,15151,
06/30/2013,14864,767,767,0.0,1971,1971.0,0.0,2269,860.0,820.0,494.0,95.0,409,,306.0,,242.0,5416,6156,16902.0,-10746.0,621.0,621.0,2671,2067.0,1790.0,277.0,,298,9448,,2806,1650,151.0,55.0,950.0,369,47.0,,,,322.0,93,,,93,3268,3611,3611.0,,,,4511,,4122.0,,389,8122,11390,0.0,3807.0,151.0,3656.0,-482.0,3296.0,-3148,3473,1,3474,14864,
09/30/2013,13006,697,697,0.0,1819,1819.0,0.0,2480,968.0,877.0,535.0,100.0,358,,311.0,,196.0,5354,6167,17031.0,-10864.0,607.0,607.0,878,280.0,4.0,276.0,,287,7652,,2908,1723,140.0,80.0,965.0,378,56.0,,,,322.0,0,,,0,3286,3618,3618.0,,,,4327,,3919.0,,408,7945,11231,0.0,3816.0,151.0,3665.0,-481.0,1497.0,-3058,1774,1,1775,13006,
12/31/2013,13143,604,604,0.0,1818,1818.0,0.0,2688,1011.0,1023.0,558.0,96.0,968,0.0,16.0,185.0,207.0,6078,5922,16799.0,-10877.0,621.0,621.0,522,275.0,4.0,271.0,23.0,208,7065,,2838,1670,140.0,54.0,974.0,323,0.0,,,,323.0,84,0.0,0.0,73,3245,3616,3616.0,,,,2933,0.0,2064.0,445.0,424,6549,9794,0.0,3818.0,151.0,3667.0,-480.0,1762.0,-1752,3348,1,3349,13143,
03/31/2014,13394,1099,1099,0.0,2064,2064.0,0.0,2411,691.0,1027.0,604.0,89.0,906,,20.0,184.0,223.0,6480,5791,16722.0,-10931.0,607.0,607.0,516,270.0,4.0,266.0,,226,6914,,3072,1882,135.0,78.0,977.0,349,26.0,,,,323.0,118,,,110,3539,3615,3615.0,,,,2789,,1964.0,403.0,422,6404,9943,0.0,3826.0,151.0,3675.0,-479.0,1807.0,-1704,3450,1,3451,13394,
06/30/2014,13406,1471,1471,0.0,1955,1955.0,0.0,2337,720.0,987.0,542.0,88.0,764,,18.0,15.0,170.0,6527,5736,16827.0,-11091.0,622.0,622.0,521,270.0,4.0,266.0,,233,6879,,3346,2183,113.0,52.0,998.0,64,44.0,,,,20.0,111,,,108,3521,3605,3605.0,,,,2766,,1841.0,506.0,419,6371,9892,0.0,3789.0,151.0,3638.0,-440.0,1808.0,-1644,3513,1,3514,13406,
09/30/2014,12008,1257,1257,0.0,1876,1876.0,0.0,2199,608.0,994.0,518.0,79.0,769,,13.0,14.0,220.0,6101,4570,15058.0,-10488.0,586.0,586.0,751,209.0,4.0,205.0,,529,5907,,3057,1941,118.0,73.0,925.0,362,26.0,,,,336.0,131,,,131,3550,3162,3162.0,,,,1353,,554.0,411.0,388,4515,8065,0.0,3774.0,151.0,3623.0,-410.0,1594.0,-1016,3942,1,3943,12008,
12/31/2014,12013,1354,1354,0.0,1601,1601.0,0.0,2496,801.0,1053.0,563.0,79.0,378,0.0,347.0,,347.0,5829,4574,15139.0,-10565.0,577.0,577.0,1033,204.0,0.0,204.0,0.0,482,6184,,3060,1871,134.0,52.0,1003.0,378,0.0,,,,378.0,131,0.0,0.0,131,3569,3120,3120.0,,,,1524,0.0,1117.0,0.0,407,4644,8213,0.0,3774.0,151.0,3623.0,-396.0,1862.0,-1441,3799,1,3800,12013,
03/31/2015,11544,1266,1266,0.0,1374,1374.0,0.0,2418,864.0,982.0,502.0,70.0,684,,216.0,,273.0,5742,4354,14545.0,-10191.0,578.0,578.0,870,202.0,0.0,202.0,,452,5802,,2763,1701,133.0,73.0,856.0,410,32.0,,,,378.0,136,,,135,3309,3124,3124.0,,,,1443,,1033.0,7.0,403,4567,7876,0.0,3784.0,151.0,3633.0,-395.0,1779.0,-1501,3667,1,3668,11544,
06/30/2015,11213,1210,1210,0.0,1249,1249.0,0.0,2330,832.0,935.0,494.0,69.0,647,,365.0,,273.0,5436,4431,14703.0,-10272.0,564.0,564.0,782,200.0,,200.0,,217,5777,,2732,1675,126.0,52.0,879.0,374,12.0,,,,362.0,136,,,133,3242,3124,3124.0,,,,1366,,952.0,16.0,398,4490,7732,0.0,3747.0,151.0,3596.0,-345.0,1510.0,-1432,3480,1,3481,11213,
09/30/2015,11191,1165,1165,0.0,1138,1138.0,0.0,2435,788.0,1110.0,466.0,71.0,647,,421.0,,235.0,5385,4415,14776.0,-10361.0,551.0,551.0,840,198.0,0.0,198.0,,221,5806,,2823,1742,89.0,73.0,919.0,371,9.0,,,,362.0,139,,,139,3333,3127,3127.0,,,,1559,,1156.0,10.0,393,4686,8019,0.0,3749.0,151.0,3598.0,-341.0,1331.0,-1568,3171,1,3172,11191,
12/31/2015,9167,755,755,0.0,860,860.0,0.0,2074,766.0,841.0,392.0,75.0,228,0.0,15.0,,224.0,3917,4411,14253.0,-9842.0,540.0,540.0,299,196.0,0.0,196.0,,88,5250,,2021,1411,99.0,49.0,462.0,45,0.0,,,,45.0,82,0.0,0.0,81,2148,3093,3062.0,31.0,31.0,,1489,0.0,1101.0,29.0,359,4582,6730,0.0,3754.0,151.0,3603.0,-339.0,190.0,-1169,2436,1,2437,9167,
03/31/2016,8936,705,705,0.0,960,960.0,0.0,1801,518.0,819.0,406.0,58.0,217,,7.0,,217.0,3683,4395,14405.0,-10010.0,540.0,540.0,318,195.0,,195.0,,116,5253,,2028,1369,104.0,67.0,488.0,71,26.0,,,,45.0,94,,,88,2193,3107,3076.0,31.0,31.0,,1693,,1317.0,29.0,347,4800,6993,0.0,3745.0,151.0,3594.0,-325.0,-157.0,-1321,1942,1,1943,8936,
06/30/2016,8941,820,820,0.0,1089,1089.0,0.0,1675,440.0,767.0,407.0,61.0,193,,14.0,,191.0,3777,4306,14412.0,-10106.0,534.0,534.0,324,193.0,,193.0,,117,5164,,2150,1540,109.0,46.0,455.0,82,0.0,,,,82.0,91,,,89,2323,3088,3058.0,30.0,30.0,,1616,,1260.0,28.0,328,4704,7027,0.0,3706.0,151.0,3555.0,-297.0,-197.0,-1299,1913,1,1914,8941,
09/30/2016,9467,1445,1445,0.0,1014,1014.0,0.0,1742,450.0,813.0,415.0,64.0,210,,6.0,,210.0,4411,4218,14453.0,-10235.0,538.0,538.0,300,177.0,,177.0,,117,5056,,2216,1566,108.0,78.0,464.0,92,0.0,,,,92.0,89,,,89,2397,2988,2988.0,,,,1480,,1097.0,28.0,355,4468,6865,0.0,4268.0,176.0,4092.0,-277.0,-145.0,-1245,2601,1,2602,9467,
12/31/2016,9160,1515,1515,0.0,967,967.0,0.0,1573,449.0,686.0,375.0,63.0,301,0.0,6.0,,292.0,4356,3979,14196.0,-10217.0,528.0,528.0,297,175.0,0.0,175.0,,116,4804,,2215,1602,128.0,85.0,400.0,50,0.0,,,,50.0,66,0.0,0.0,66,2331,2981,2981.0,,,,1573,0.0,1216.0,28.0,329,4554,6885,0.0,4203.0,176.0,4027.0,-182.0,-250.0,-1497,2274,1,2275,9160,
03/31/2017,9186,1326,1326,0.0,1111,1111.0,0.0,1718,494.0,773.0,394.0,57.0,323,,4.0,,318.0,4478,3880,14210.0,-10330.0,533.0,533.0,295,173.0,,173.0,,118,4708,,2353,1827,140.0,66.0,320.0,281,0.0,,,,281.0,84,,,83,2718,2781,2752.0,29.0,29.0,,1513,,1180.0,28.0,305,4294,7012,0.0,4145.0,176.0,3969.0,-119.0,-425.0,-1428,2173,1,2174,9186,
06/30/2017,9580,1522,1522,0.0,1206,1206.0,0.0,1727,499.0,789.0,388.0,51.0,268,,4.0,,268.0,4723,4010,14527.0,-10517.0,548.0,548.0,299,171.0,,171.0,,124,4857,,2490,1939,140.0,73.0,338.0,175,0.0,,,,175.0,86,,,77,2751,2779,2752.0,27.0,27.0,,1495,,1151.0,28.0,316,4274,7025,0.0,4118.0,176.0,3942.0,-96.0,-165.0,-1303,2554,1,2555,9580,
09/30/2017,9878,1694,1694,0.0,1317,1317.0,0.0,1737,442.0,837.0,405.0,53.0,253,,0.0,,253.0,5001,4111,14781.0,-10670.0,470.0,470.0,296,169.0,,169.0,,127,4877,,2558,2006,157.0,62.0,333.0,3,0.0,,,,3.0,91,,,79,2652,2923,2896.0,27.0,27.0,,1495,,1119.0,29.0,347,4418,7070,0.0,4113.0,176.0,3937.0,-92.0,-18.0,-1196,2807,1,2808,9878,
12/31/2017,9862,1553,1553,0.0,1173,1173.0,0.0,1738,527.0,796.0,356.0,59.0,291,0.0,56.0,,291.0,4755,4280,15086.0,-10806.0,480.0,480.0,347,167.0,0.0,167.0,,124,5107,,2685,2137,132.0,69.0,347.0,3,0.0,,,,3.0,85,0.0,0.0,74,2773,2700,2700.0,,,,1068,0.0,759.0,6.0,303,3768,6541,0.0,4108.0,176.0,3932.0,-76.0,133.0,-845,3320,1,3321,9862,
03/31/2018,10026,1372,1372,0.0,1347,1347.0,0.0,1824,555.0,827.0,385.0,57.0,287,,56.0,,287.0,4830,4357,15298.0,-10941.0,491.0,491.0,348,165.0,,165.0,,127,5196,,2570,2066,131.0,47.0,326.0,281,0.0,,,,281.0,108,,,97,2959,2596,2571.0,25.0,25.0,,1032,,728.0,6.0,298,3628,6587,0.0,4072.0,177.0,3895.0,-1.0,142.0,-775,3438,1,3439,10026,
06/30/2018,10058,1231,1231,0.0,1430,1430.0,0.0,1848,556.0,832.0,404.0,56.0,303,,56.0,,303.0,4812,4401,15378.0,-10977.0,498.0,498.0,347,162.0,,162.0,,129,5246,,2806,2239,135.0,46.0,386.0,4,0.0,,,,4.0,92,,,92,2902,2565,2541.0,24.0,24.0,,985,,692.0,6.0,287,3550,6452,0.0,4077.0,177.0,3900.0,-1.0,347.0,-818,3605,1,3606,10058,
09/30/2018,10569,1344,1344,0.0,1463,1463.0,0.0,1950,622.0,829.0,441.0,58.0,311,,56.0,,311.0,5068,4643,15698.0,-11055.0,508.0,508.0,350,160.0,,160.0,,134,5501,,3026,2419,144.0,38.0,425.0,4,0.0,,,,4.0,106,,,106,3136,2498,2474.0,24.0,24.0,,993,,666.0,7.0,320,3491,6627,0.0,4086.0,177.0,3909.0,-3.0,629.0,-771,3941,1,3942,10569,
12/31/2018,10982,1000,1000,0.0,1421,1421.0,0.0,2092,605.0,1021.0,404.0,62.0,317,0.0,445.0,,303.0,4830,4865,16008.0,-11143.0,513.0,513.0,774,158.0,0.0,158.0,,171,6152,,3032,2435,118.0,39.0,440.0,65,0.0,,,,65.0,100,0.0,2.0,81,3197,2316,2294.0,22.0,22.0,,1266,0.0,980.0,14.0,270,3582,6779,0.0,4094.0,177.0,3917.0,-78.0,1212.0,-1026,4202,1,4203,10982,
03/31/2019,11152,676,676,0.0,1489,1489.0,0.0,2133,617.0,1059.0,401.0,56.0,332,,427.0,,332.0,4630,5223,16444.0,-11221.0,535.0,535.0,764,156.0,,156.0,,181,6522,,2888,2414,115.0,26.0,333.0,119,0.0,59.0,6.0,53.0,60.0,133,,,119,3140,2511,2294.0,217.0,32.0,185.0,1265,,954.0,12.0,299,3776,6916,0.0,4102.0,178.0,3924.0,-126.0,1255.0,-996,4235,1,4236,11152,
06/30/2019,11291,651,651,0.0,1420,1420.0,0.0,2166,650.0,1033.0,431.0,52.0,310,,433.0,,310.0,4547,5470,16821.0,-11351.0,550.0,550.0,724,154.0,,154.0,,137,6744,,2976,2492,111.0,39.0,334.0,124,0.0,62.0,8.0,54.0,62.0,123,,,117,3223,2533,2297.0,236.0,48.0,188.0,1223,,926.0,18.0,279,3756,6979,0.0,4115.0,179.0,3936.0,-155.0,1314.0,-963,4311,1,4312,11291,
09/30/2019,10917,476,476,0.0,1183,1183.0,0.0,2071,661.0,911.0,441.0,58.0,312,,460.0,,312.0,4042,5549,16964.0,-11415.0,576.0,576.0,750,152.0,,152.0,,138,6875,,2607,2129,107.0,26.0,345.0,123,0.0,64.0,8.0,56.0,59.0,120,,,111,2850,2689,2453.0,236.0,47.0,189.0,1178,,905.0,8.0,265,3867,6717,0.0,4126.0,179.0,3947.0,-173.0,1221.0,-975,4199,1,4200,10917,
12/31/2019,11608,749,749,0.0,950,950.0,0.0,1785,628.0,720.0,376.0,61.0,329,0.0,19.0,,323.0,3813,5677,17357.0,-11680.0,1466.0,1466.0,652,150.0,0.0,150.0,,483,7795,,2438,1952,116.0,45.0,325.0,85,0.0,71.0,11.0,60.0,14.0,102,0.0,7.0,84,2625,3804,3576.0,228.0,51.0,177.0,1086,0.0,532.0,4.0,543,4890,7515,0.0,4199.0,179.0,4020.0,-173.0,544.0,-478,4092,1,4093,11608,
03/31/2020,12366,1350,1350,0.0,1074,1074.0,0.0,2075,633.0,954.0,428.0,60.0,187,0.0,5.0,,176.0,4686,5653,17434.0,-11781.0,1421.0,1421.0,606,134.0,,134.0,,467,7680,,2488,2003,118.0,42.0,325.0,159,0.0,75.0,15.0,60.0,84.0,130,,6.0,100,2777,4809,4542.0,267.0,74.0,193.0,1054,,584.0,6.0,458,5863,8640,0.0,4203.0,179.0,4024.0,-175.0,151.0,-454,3725,1,3726,12366,
06/30/2020,12551,2300,2300,0.0,872,872.0,0.0,1634,582.0,630.0,365.0,57.0,118,,19.0,,111.0,4924,5646,17505.0,-11859.0,1376.0,1376.0,605,132.0,,132.0,,454,7627,,1899,1369,116.0,60.0,354.0,152,0.0,58.0,,58.0,94.0,90,,3.0,74,2141,5690,5505.0,185.0,,185.0,1066,,563.0,6.0,494,6756,8897,0.0,4620.0,229.0,4391.0,-175.0,-438.0,-390,3617,37,3654,12551,
