Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,3996,282,282,0.0,1064,,,688,137.0,221.0,272.0,58.0,392,0.0,143.0,311.0,2426,1218,3490.0,-2272.0,12,,12.0,340,91.0,65.0,26.0,106,1570,,1673,1372,40.0,3.0,258.0,60,0.0,,,,60.0,66,0.0,0.0,18.0,62,1799,1055,1055.0,,,,569,0.0,339.0,212,1624,3423,0.0,3060,1.0,3059.0,-323.0,-1695.0,-545,497,76,573,3996,
03/31/2015,4139,288,288,0.0,1252,1252.0,0.0,717,146.0,240.0,275.0,56.0,357,,152.0,279.0,2614,1185,3365.0,-2180.0,12,,12.0,328,90.0,63.0,27.0,86,1525,,1709,1391,51.0,16.0,251.0,132,0.0,,,,132.0,59,,,18.0,59,1900,1128,1128.0,,,,546,,324.0,204,1674,3574,0.0,3068,1.0,3067.0,-334.0,-1646.0,-614,474,91,565,4139,
06/30/2015,4201,250,250,0.0,1285,1285.0,0.0,713,151.0,232.0,273.0,57.0,358,,162.0,281.0,2606,1233,3475.0,-2242.0,13,,13.0,349,89.0,63.0,26.0,98,1595,,1744,1391,61.0,4.0,288.0,127,0.0,,,,127.0,55,,,20.0,55,1926,1103,1103.0,,,,551,,322.0,209,1654,3580,0.0,3075,1.0,3074.0,-367.0,-1568.0,-590,550,71,621,4201,
09/30/2015,4157,220,220,0.0,1259,,,720,146.0,253.0,264.0,57.0,372,,157.0,300.0,2571,1233,3439.0,-2206.0,14,,14.0,339,85.0,62.0,23.0,97,1586,,1684,1364,32.0,16.0,272.0,95,0.0,,,,95.0,71,,,16.0,71,1850,1246,1246.0,,,,542,,314.0,212,1788,3638,0.0,3075,1.0,3074.0,-481.0,-1516.0,-631,447,72,519,4157,
12/31/2015,3967,287,287,0.0,1102,,,682,135.0,233.0,257.0,57.0,240,0.0,218.0,240.0,2311,1243,3418.0,-2175.0,13,,13.0,400,82.0,60.0,22.0,100,1656,,1667,1376,37.0,4.0,250.0,86,0.0,,,,86.0,41,0.0,0.0,7.0,41,1794,1124,1124.0,,,,531,0.0,318.0,206,1655,3449,0.0,3082,1.0,3081.0,-536.0,-1448.0,-665,433,85,518,3967,
03/31/2016,4348,374,374,0.0,1269,,,746,142.0,248.0,296.0,60.0,273,,214.0,273.0,2662,1278,3513.0,-2235.0,11,,11.0,397,80.0,59.0,21.0,103,1686,,1783,1462,52.0,16.0,253.0,97,0.0,,,,97.0,41,,,9.0,41,1921,1311,1311.0,,,,511,,313.0,189,1822,3743,0.0,3086,1.0,3085.0,-552.0,-1391.0,-638,505,100,605,4348,
06/30/2016,4276,311,311,0.0,1263,,,738,138.0,244.0,295.0,61.0,292,,204.0,292.0,2604,1279,3498.0,-2219.0,11,,11.0,382,79.0,58.0,21.0,99,1672,,1752,1438,46.0,4.0,264.0,78,0.0,,,,78.0,33,,,9.0,33,1863,1282,1282.0,,,,507,,305.0,193,1789,3652,0.0,3094,1.0,3093.0,-593.0,-1305.0,-655,541,83,624,4276,
09/30/2016,4406,324,324,0.0,1276,,,753,145.0,270.0,275.0,63.0,324,,218.0,324.0,2677,1322,3584.0,-2262.0,10,,10.0,397,78.0,58.0,20.0,101,1729,,1780,1457,47.0,13.0,263.0,124,0.0,,,,124.0,41,,,8.0,41,1945,1310,1310.0,,,,441,,300.0,133,1751,3696,0.0,3092,1.0,3091.0,-682.0,-1125.0,-650,635,75,710,4406,
12/31/2016,4346,347,347,0.0,1272,1272.0,,730,137.0,245.0,284.0,64.0,253,0.0,199.0,253.0,2602,1357,3548.0,-2191.0,9,,9.0,378,76.0,57.0,19.0,103,1744,,1840,1501,39.0,15.0,285.0,90,0.0,0.0,0.0,,90.0,43,0.0,0.0,7.0,43,1973,1294,1294.0,0.0,0.0,,419,0.0,273.0,139,1713,3686,0.0,3099,1.0,3098.0,-761.0,-1100.0,-665,573,87,660,4346,
03/31/2017,4637,341,341,0.0,1421,,,782,150.0,262.0,303.0,67.0,312,,184.0,312.0,2856,1405,3651.0,-2246.0,9,,9.0,367,76.0,58.0,18.0,107,1781,,1925,1587,44.0,10.0,284.0,113,0.0,,,,113.0,39,,,7.0,39,2077,1406,1406.0,,,,387,,259.0,121,1793,3870,0.0,3105,1.0,3104.0,-777.0,-1035.0,-637,656,111,767,4637,
06/30/2017,4881,333,333,0.0,1482,,,815,159.0,261.0,324.0,71.0,332,,244.0,332.0,2962,1479,3821.0,-2342.0,9,,9.0,431,77.0,59.0,18.0,110,1919,,2005,1608,53.0,13.0,331.0,107,0.0,,,,107.0,182,,,7.0,182,2294,1490,1490.0,,,,415,,251.0,157,1905,4199,0.0,3107,1.0,3106.0,-821.0,-1070.0,-601,615,67,682,4881,
09/30/2017,4935,277,277,0.0,1451,,,882,184.0,289.0,335.0,74.0,351,,225.0,351.0,2961,1541,3967.0,-2426.0,9,,9.0,424,76.0,59.0,17.0,123,1974,,1984,1601,46.0,10.0,327.0,108,0.0,,,,108.0,140,,,6.0,140,2232,1573,1573.0,,,,412,,248.0,158,1985,4217,0.0,3110,1.0,3109.0,-892.0,-1001.0,-570,647,71,718,4935,
12/31/2017,4796,315,315,0.0,1294,,,820,178.0,268.0,300.0,74.0,318,0.0,213.0,318.0,2747,1691,4369.0,-2678.0,11,2.0,9.0,347,71.0,49.0,22.0,63,2049,,2174,1582,27.0,,565.0,103,0.0,0.0,0.0,,103.0,0,0.0,0.0,11.0,0,2277,1358,1358.0,0.0,0.0,,437,,268.0,158,1795,4072,0.0,3113,1.0,3112.0,-930.0,-1009.0,-538,636,88,724,4796,
03/31/2018,5166,288,288,0.0,1499,,,911,187.0,288.0,358.0,78.0,367,,206.0,367.0,3065,1660,4111.0,-2451.0,10,,10.0,431,71.0,49.0,22.0,154,2101,,2254,1908,43.0,10.0,293.0,64,0.0,,,,64.0,126,,,12.0,126,2444,1420,1420.0,,,,427,,266.0,149,1847,4291,0.0,3116,1.0,3115.0,-930.0,-902.0,-519,765,110,875,5166,
06/30/2018,5003,235,235,0.0,1418,,,898,190.0,282.0,348.0,78.0,374,,215.0,374.0,2925,1625,4027.0,-2402.0,12,,12.0,441,68.0,47.0,21.0,158,2078,,2195,1813,42.0,14.0,326.0,78,0.0,,,,78.0,125,,,11.0,125,2398,1381,1381.0,,,,425,,261.0,153,1806,4204,0.0,3119,1.0,3118.0,-930.0,-864.0,-608,717,82,799,5003,
09/30/2018,5028,202,202,0.0,1389,,,956,197.0,307.0,372.0,80.0,389,,227.0,389.0,2936,1632,4068.0,-2436.0,12,,12.0,448,67.0,47.0,20.0,154,2092,,2116,1769,38.0,10.0,299.0,240,0.0,,,,240.0,136,,,11.0,136,2492,1304,1304.0,,,,429,,258.0,160,1733,4225,0.0,3122,1.0,3121.0,-930.0,-823.0,-632,737,66,803,5028,
12/31/2018,13232,697,697,0.0,2487,,,2245,457.0,562.0,1116.0,110.0,680,0.0,467.0,680.0,6109,3501,6303.0,-2802.0,554,544.0,10.0,3068,2388.0,869.0,1519.0,213,7123,,3704,2759,64.0,33.0,848.0,153,0.0,0.0,0.0,,153.0,463,,863.0,88.0,413,4320,4477,4477.0,0.0,0.0,,2381,,1167.0,263,6858,11178,0.0,4361,1.0,4360.0,-930.0,-1013.0,-692,1726,328,2054,13232,
03/31/2019,13616,357,357,0.0,2738,,,2266,450.0,526.0,1181.0,109.0,666,,471.0,666.0,6027,3881,,,537,528.0,9.0,3171,2478.0,791.0,1687.0,222,7589,,3254,2861,30.0,,363.0,261,159.0,102.0,1.0,101.0,,892,,,110.0,892,4407,5674,5417.0,257.0,1.0,256.0,1555,,1138.0,307,7229,11636,0.0,4366,1.0,4365.0,-930.0,-1150.0,-658,1628,352,1980,13616,
06/30/2019,13592,384,384,0.0,2754,,,2207,489.0,497.0,1110.0,111.0,649,,480.0,649.0,5994,3913,,,541,531.0,10.0,3144,2448.0,799.0,1649.0,216,7598,,3116,2725,0.0,,391.0,270,170.0,100.0,1.0,99.0,,924,,,110.0,924,4310,5748,5508.0,240.0,1.0,239.0,1545,,1129.0,306,7293,11603,0.0,4372,1.0,4371.0,-930.0,-1124.0,-680,1638,351,1989,13592,
09/30/2019,13383,389,389,0.0,2645,,,2137,440.0,519.0,1078.0,100.0,717,,570.0,717.0,5888,3833,,,515,505.0,10.0,3147,2380.0,802.0,1578.0,197,7495,,3086,2651,57.0,,378.0,263,0.0,102.0,1.0,101.0,161.0,940,,,104.0,940,4289,5646,5408.0,238.0,1.0,237.0,1472,,1088.0,280,7118,11407,0.0,4378,1.0,4377.0,-930.0,-1054.0,-752,1642,334,1976,13383,
12/31/2019,13226,564,564,0.0,2438,,,1999,408.0,460.0,1027.0,104.0,734,0.0,607.0,734.0,5735,3958,7129.0,-3171.0,528,518.0,10.0,3005,2197.0,775.0,1422.0,201,7491,,3623,2647,72.0,29.0,875.0,282,0.0,97.0,1.0,96.0,185.0,394,0.0,850.0,106.0,342,4299,4756,4521.0,235.0,1.0,234.0,2356,0.0,1145.0,255,7112,11411,0.0,4433,1.0,4432.0,-930.0,-1367.0,-711,1425,390,1815,13226,
03/31/2020,12224,767,767,0.0,2146,,,2001,435.0,483.0,981.0,102.0,722,,747.0,722.0,5636,3012,,,517,509.0,8.0,3059,1769.0,505.0,1264.0,543,6588,,2830,2443,96.0,,291.0,175,175.0,,,,,971,,865.0,84.0,968,3976,4972,4972.0,,,,2555,,1109.0,497,7527,11503,0.0,4428,1.0,4427.0,-930.0,-2206.0,-908,384,337,721,12224,
06/30/2020,12395,1362,1362,0.0,2100,,,1656,400.0,427.0,728.0,101.0,726,,818.0,726.0,5844,2939,,,523,513.0,10.0,3089,1744.0,505.0,1239.0,527,6551,,2370,1992,48.0,,330.0,222,222.0,,,,,1044,,878.0,88.0,1043,3636,5751,5751.0,,,,2580,,1112.0,502,8331,11967,0.0,4434,1.0,4433.0,-930.0,-2556.0,-874,74,354,428,12395,
