Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/02/2005,2412.272,672.513,124.363,548.15,347.295,347.295,,246.856,187.141,46.89,12.825,0.0,134.554,,,,1401.218,467.391,,,0.0,,543.663,303.007,273.709,29.298,240.656,1011.054,,66.709,66.709,,,1.574,1.574,0.0,0.0,,243.789,,,243.789,312.072,150.28,150.28,0.0,0.0,52.124,,,,52.124,202.404,514.476,0.0,1481.951,,,0.0,430.223,-14.378,1897.796,0.0,1897.796,2412.272,
07/02/2005,2381.665039,685.133026,114.022003,571.111023,321.234009,321.234009,,236.220001,177.875,46.258999,12.086,0.0,144.057999,,,,1386.64502,457.519012,,,0.0,,537.500977,293.024994,265.084015,27.940979,244.475983,995.019989,,62.756001,62.756001,,,11.996,11.996,0.0,0.0,,248.050001,,,248.050001,322.802002,132.994995,132.994995,0.0,0.0,50.731998,,,,50.731998,183.726994,506.528996,0.0,1460.916016,,,0.0,424.274994,-10.054993,1875.136017,0.0,1875.136017,2381.665012,
10/01/2005,2374.950928,730.994011,38.530998,692.463013,343.884003,343.884003,,205.606995,161.996994,26.367001,17.243,0.0,136.097,,,,1416.582031,440.916992,,,0.0,,517.452026,291.778015,265.39801,26.380005,225.674011,958.369019,,59.675999,59.675999,,,6.225,6.225,0.0,0.0,,244.588015,,,244.588015,310.489014,125.751999,125.751999,0.0,0.0,46.941002,,,,46.941002,172.693001,483.182014,0.0,1465.078003,,,0.0,439.846985,-13.155975,1891.769012,0.0,1891.769012,2374.951027,
12/31/2005,2290.249,649.24,40.403,608.837,397.534,397.534,,193.787,152.763,27.11,13.914,0.0,122.951,,,,1363.512,423.749,918.527,-494.778,0.0,,502.988,362.776,255.584,107.192,140.212,926.737,,83.71,83.71,,,15.744,15.744,0.0,0.0,,244.89,,,244.89,344.344,124.858,124.858,0.0,0.0,41.764,,,,41.764,166.622,510.966,0.0,1418.747,,,0.0,388.015,-27.479,1779.283,0.0,1779.283,2290.249,
04/01/2006,2276.952881,611.970985,45.249001,566.721985,415.628998,415.628998,,223.559006,164.705002,40.084999,18.768999,0.0,118.732002,,,,1369.890991,403.638,,,0.0,,503.424011,279.714996,256.197998,23.516998,223.709015,907.062012,,95.851997,95.851997,,,11.21,11.21,0.0,0.0,,237.736007,,,237.736007,344.798004,126.962997,126.962997,0.0,0.0,43.833,,,,43.833,170.795998,515.594002,0.0,1387.192993,,,0.0,373.770996,0.394989,1761.358978,0.0,1761.358978,2276.95298,
07/01/2006,2217.133057,523.491993,63.312,460.179993,439.520996,439.520996,,213.826996,162.360001,37.061001,14.406,0.0,128.033005,,,,1304.873047,399.678009,,,0.0,,512.58197,282.033997,259.553009,22.480988,230.547974,912.259979,,84.917,84.917,,,16.455999,16.455999,0.0,0.0,,284.179003,,,284.179003,385.552002,127.911003,127.911003,0.0,0.0,43.146,,,,43.146,171.057003,556.609005,0.0,1330.000977,,,0.0,331.875,-1.35199,1660.523987,0.0,1660.523987,2217.132992,
09/30/2006,2286.10498,662.788002,83.499001,579.289001,410.511993,410.511993,,198.425003,157.653,31.816999,8.955,0.0,127.519997,,,,1399.244995,369.838989,,,0.0,,517.020996,280.777008,259.838013,20.938995,236.243988,886.859985,,82.085999,82.085999,,,24.681,24.681,0.0,0.0,,267.936005,,,267.936005,374.703003,127.010002,127.010002,0.0,0.0,43.469002,,,,43.469002,170.479004,545.182007,0.0,1343.133057,,,0.0,395.622009,2.167999,1740.923065,0.0,1740.923065,2286.105072,
12/31/2006,2362.491943,853.327991,58.463001,794.86499,310.888,310.888,,198.570999,152.727005,30.524,15.32,0.0,142.505997,,,,1505.292969,364.598999,902.90802,-538.309021,0.0,,492.600006,261.411011,225.431,35.980011,231.188995,857.199005,,76.405998,76.405998,,,19.48,19.48,0.0,0.0,,265.48299,,,265.48299,361.368988,127.862,127.862,0.0,0.0,38.556,,,,38.556,166.417999,527.786987,0.0,1393.91394,,,0.0,438.196014,2.594971,1834.704926,0.0,1834.704926,2362.491913,
03/31/2007,2444.373047,856.547001,31.257999,825.289001,371.696991,371.696991,,234.106003,161.167007,44.596001,28.343,0.0,140.274002,,,,1602.624023,346.975006,,,0.0,,494.773987,260.843994,228.576004,32.26799,233.929993,841.748993,,94.070999,94.070999,,,20.545,20.545,0.0,0.0,,238.296995,,,238.296995,352.912994,129.841995,129.841995,0.0,0.0,51.208,,,,51.208,181.049995,533.96299,0.0,1423.347046,,,0.0,488.178986,-1.115997,1910.410034,0.0,1910.410034,2444.373024,
06/30/2007,2514.693115,866.290977,70.375999,795.914978,421.89801,421.89801,,233.345001,173.893997,46.069,13.382,0.0,144.584,,,,1666.118042,341.901001,,,0.0,,506.674011,260.257996,229.649994,30.608002,246.416016,848.575012,,86.593002,86.593002,,,16.986,16.986,0.0,0.0,,283.820992,,,283.820992,387.399994,130.966995,130.966995,0.0,0.0,56.665001,,,,56.665001,187.631996,575.03199,0.0,1426.998047,,,0.0,509.377991,3.285034,1939.661072,0.0,1939.661072,2514.693062,
09/29/2007,2418.76001,857.461975,105.651001,751.810974,362.259003,362.259003,,231.270996,160.414001,52.534,18.323,0.0,123.003998,,,,1573.995972,333.733002,,,0.0,,511.031006,265.095001,235.753006,29.341995,245.936005,844.764008,,95.514999,95.514999,,,7.685,7.685,0.0,0.0,,276.638013,,,276.638013,379.838013,137.662003,137.662003,0.0,0.0,68.411003,,,,68.411003,206.073006,585.911018,0.0,1370.751953,,,0.0,459.471008,2.625977,1832.848938,0.0,1832.848938,2418.759956,
12/31/2007,2076.943115,596.766006,175.070999,421.695007,346.865997,346.865997,,212.994995,147.475006,39.105,26.415001,0.0,67.331001,,,,1223.958008,320.009003,902.958984,-582.950012,0.0,,532.976013,266.884003,238.944,27.940002,266.09201,852.985016,,97.135002,97.135002,,,1.509,1.509,0.0,0.0,,230.565013,,,230.565013,329.209015,143.266998,143.266998,0.0,0.0,75.379997,,,,75.379997,218.646996,547.85601,0.0,1219.532959,,,0.0,304.278015,5.27597,1529.086945,0.0,1529.086945,2076.942955,
03/29/2008,1946.925049,297.156006,242.585007,54.570999,374.950989,374.950989,,242.723007,168.184998,48.373001,26.165001,0.0,62.749001,,,,977.578979,310.695007,,,117.634003,,541.017029,275.644989,248.826996,26.817993,265.37204,969.346039,,72.440002,72.440002,,,12.867,12.867,0.0,0.0,,208.872991,,,208.872991,294.179993,154.227005,154.227005,0.0,0.0,75.556999,,,,75.556999,229.784004,523.963997,0.0,1165.073975,,,0.0,252.149002,5.737991,1422.960968,0.0,1422.960968,1946.924965,
06/28/2008,1880.937988,428.806,191.772995,237.033005,218.311996,218.311996,,229.115997,152.990997,45.133999,30.990999,0.0,226.632996,,,,1102.866943,298.286987,,,110.069,,369.714996,271.385986,246.582001,24.803986,98.32901,778.070984,,59.442001,59.442001,,,152.559998,152.559998,0.0,0.0,,171.925003,,,171.925003,383.927002,1.447,1.447,0.0,0.0,73.522003,,,,73.522003,74.969003,458.896005,0.0,1173.197998,,,0.0,245.100006,3.743988,1422.041992,0.0,1422.041992,1880.937997,
09/27/2008,1821.244019,455.304001,162.231003,293.072998,210.445007,210.445007,,211.809998,146.175003,38.747002,26.888,0.0,198.072006,,,,1075.630981,287.705994,,,100.467003,,357.440002,260.957001,238.492004,22.464996,96.483002,745.612999,,73.278999,73.278999,,,129.479004,129.479004,0.0,0.0,,145.166985,,,145.166985,347.924988,1.325,1.325,0.0,0.0,75.105003,,,,75.105003,76.430003,424.354991,0.0,1165.488037,,,0.0,233.766998,-2.365997,1396.889038,0.0,1396.889038,1821.244029,
12/31/2008,1637.526978,470.888,184.332001,286.556,144.330002,144.330002,,213.304993,139.634995,31.101,42.569,0.0,214.078995,,,,1042.602051,271.865997,854.02301,-582.156982,91.873001,,231.186005,148.147003,126.072998,22.074005,83.039001,594.925003,,50.832001,50.832001,,,112.906998,112.906998,0.0,0.0,,141.482986,,,141.482986,305.221985,0.0,0.0,0.0,0.0,85.523003,,,,85.523003,85.523003,390.744987,0.0,1158.636963,,,0.0,99.981003,-11.836006,1246.78196,0.0,1246.78196,1637.526947,
03/28/2009,1524.842,497.722,203.398,294.324,72.327,72.327,0.0,193.432,125.567,23.972,43.893,0.0,196.838,,43.336,153.011,960.319,261.218,852.688,-591.47,88.584,88.584,214.721,148.221,125.474,22.747,66.5,564.523,,134.58,39.216,17.27,78.094,110.497,110.497,,,,8.486,,,0.0,253.563,0.0,0.0,,,79.367,,,,79.367,79.367,332.93,0.0,1169.117,1169.117,0.0,0.0,33.589,-10.794,1191.912,0.0,1191.912,1524.842,
06/27/2009,1501.416,476.298,190.698,285.6,96.314,96.314,0.0,163.718,106.987,27.531,29.2,0.0,70.41,,38.223,31.867,806.74,256.576,857.943,-601.367,85.615,85.615,352.485,147.709,125.98,21.729,204.776,694.676,,139.013,44.53,14.314,80.169,1.859,1.859,,,,13.455,,,0.0,154.327,111.221,111.221,,,78.195,,,30.145,48.05,189.416,343.743,0.0,1179.877,1179.877,0.0,0.0,-13.557,-8.647,1157.673,0.0,1157.673,1501.416,
09/26/2009,1525.919,483.584,171.192,312.392,111.324,111.324,0.0,149.876,99.29,27.797,22.789,0.0,78.707,,35.528,43.043,823.491,248.013,864.447,-616.434,79.476,79.476,374.939,147.75,126.95,20.8,227.189,702.428,,145.442,57.503,6.863,81.076,1.656,1.656,,,,6.564,,,0.0,153.662,117.431,117.431,,,100.604,,,49.403,51.201,218.035,371.697,0.0,1179.956,1179.956,0.0,0.0,-21.827,-3.907,1154.222,0.0,1154.222,1525.919,
12/31/2009,1558.978,501.37,142.047,359.323,150.624,150.624,0.0,162.213,104.833,32.002,25.378,0.0,83.615,,46.9,36.578,897.822,239.111,789.037,-549.926,78.763,78.763,343.282,145.883,126.438,19.445,197.399,661.156,,162.065,72.656,1.58,87.829,0.013,0.0,0.0,0.0,0.013,9.416,0.0,0.0,0.0,171.494,114.147,114.147,0.0,0.0,93.56,0.0,16.0,48.332,29.228,207.707,379.201,0.0,1179.22,1179.22,,0.0,5.226,-4.669,1179.777,0.0,1179.777,1558.978,
03/27/2010,1602.123,552.915,198.67,354.245,154.735,154.735,0.0,177.538,104.593,37.455,35.49,0.0,82.026,,45.786,36.022,967.214,231.877,789.419,-557.542,75.162,75.162,327.87,143.186,125.203,17.983,184.684,634.909,,171.981,65.923,7.528,98.53,1.585,0.0,,,1.585,14.0,,,0.0,187.566,106.227,106.227,,,91.533,,,48.686,42.847,197.76,385.326,0.0,1182.469,1182.469,0.0,0.0,39.811,-5.483,1216.797,0.0,1216.797,1602.123,
06/26/2010,1600.27,554.962,164.679,390.283,152.622,152.622,0.0,197.159,115.073,41.004,41.082,0.0,78.913,,46.164,32.704,983.656,224.065,784.822,-560.757,73.956,73.956,318.593,140.535,123.903,16.632,178.058,616.614,,153.284,,18.198,135.086,1.722,0.0,,,1.722,69.417,,,52.479,224.423,98.329,98.329,,,93.174,,,49.356,43.818,191.503,415.926,0.0,1141.81,1141.81,0.0,0.0,49.485,-6.951,1184.344,0.0,1184.344,1600.27,
09/25/2010,1688.244,594.547,207.887,386.66,199.018,199.018,0.0,198.566,119.699,43.594,35.273,0.0,80.231,,47.363,32.828,1072.362,220.231,784.707,-564.476,71.571,71.571,324.08,141.421,125.223,16.198,182.659,615.882,,176.888,,20.297,156.591,0.096,0.0,,,0.096,74.923,,,58.45,251.907,106.773,0.0,106.773,106.773,94.509,,,50.528,43.981,201.282,453.189,0.0,1132.762,1132.762,,0.0,107.39,-5.097,1235.055,0.0,1235.055,1688.244,
12/31/2010,1832.397,671.251,247.055,424.196,256.731,256.731,0.0,208.894,126.655,42.173,40.066,0.0,65.525,0.0,49.995,15.412,1202.401,218.569,788.652,-570.083,68.645,68.645,342.782,140.506,125.043,15.463,202.276,629.996,,190.874,,15.631,175.243,0.0,0.0,,,,100.137,0.0,0.0,68.882,291.011,105.592,105.592,,,107.656,0.0,6.3,3.815,97.541,213.248,504.259,0.0,1206.887,1206.887,,0.0,124.132,-2.881,1328.138,0.0,1328.138,1832.397,
03/26/2011,1827.031,638.544,275.339,363.205,279.064,279.064,0.0,219.787,140.023,36.975,42.789,0.0,65.441,,50.75,14.526,1202.836,212.886,789.788,-576.902,67.484,67.484,343.825,141.176,126.17,15.006,202.649,624.195,,183.16,,8.393,174.767,0.0,,,,,83.291,,,68.658,266.451,112.798,112.798,,,110.074,,,62.54,47.534,222.872,489.323,0.0,1251.248,1251.248,0.0,0.0,87.631,-1.171,1337.708,0.0,1337.708,1827.031,
06/25/2011,1965.559,812.38,406.239,406.141,236.364,236.364,0.0,222.107,148.206,30.607,43.294,0.0,73.939,,50.356,23.534,1344.79,209.595,791.54,-581.945,55.728,55.728,355.446,140.957,126.482,14.475,214.489,620.769,,148.735,,10.527,138.208,0.0,0.0,,,,91.713,,0.562,72.812,240.448,385.195,385.195,,,275.271,,,233.389,41.32,660.466,900.914,0.0,1279.736,1279.736,0.0,0.0,-217.076,1.985,1064.645,0.0,1064.645,1965.559,
09/24/2011,1873.273,736.609,353.127,383.482,222.764,222.764,0.0,216.865,140.461,34.886,41.518,0.0,84.778,,40.613,44.122,1261.016,205.783,782.774,-576.991,53.456,53.456,353.018,139.121,125.468,13.653,213.897,612.257,,160.863,,9.423,151.44,0.0,0.0,,,,90.769,,0.535,68.594,251.632,379.526,379.526,,,271.934,,,169.81,101.589,651.46,903.092,0.0,1195.235,1195.235,,0.0,-224.583,-0.471,970.181,0.0,970.181,1873.273,
12/31/2011,1936.635,918.738,524.901,393.837,188.422,188.422,0.0,213.869,128.97,36.887,48.012,0.0,88.11,0.0,44.093,43.68,1409.139,208.764,773.163,-564.399,42.891,42.891,275.841,137.578,124.685,12.893,138.263,527.496,,155.906,,5.536,150.37,0.0,0.0,,,,76.325,0.0,0.478,60.116,232.231,375.361,375.361,,,228.513,0.0,4.7,123.088,100.247,603.874,836.105,0.0,1293.811,1293.811,,0.0,-191.031,-2.25,1100.53,0.0,1100.53,1936.635,
03/31/2012,2074.918,1013.971,343.974,669.997,226.763,226.763,0.0,225.838,133.103,42.701,50.034,0.0,87.468,,36.104,49.432,1554.04,206.473,752.148,-545.675,46.469,46.469,267.936,137.446,125.135,12.311,130.49,520.878,,162.55,,6.356,156.194,273.07,273.07,,,,82.479,,0.257,69.493,518.099,532.978,532.978,,,222.619,,,118.857,103.505,755.597,1273.696,0.0,949.242,949.242,0.0,0.0,-147.443,-0.577,801.222,0.0,801.222,2074.918,
