Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2017,12928.6,56.5,56.5,0.0,688.8,688.8,0.0,97.4,,,,,166.1,,7.5,,98.9,,166.1,1008.8,5523.5,,,0.0,,6396.3,6208.2,4678.1,1530.1,81.7,11919.8,,573.2,387.3,91.8,94.1,,202.5,0.0,183.2,183.2,,19.3,535.6,,14.0,524.8,1311.3,10550.0,5857.4,4692.6,4692.6,,546.1,,,0.0,532.1,11096.1,12407.4,0.0,1186.4,,,0.0,-676.5,11.3,521.2,0.0,521.2,12928.6,
12/31/2017,11084.3,43.4,43.4,0.0,643.0,643.0,0.0,93.0,,,,,154.3,,10.6,,370.8,,153.1,933.7,5391.8,18288.2,-12896.4,0.0,0.0,4758.8,4296.8,2842.4,1454.4,80.6,10150.6,,636.1,494.0,89.5,52.6,,357.9,0.0,188.6,188.6,,169.3,549.4,0.0,10.5,541.6,1543.4,10317.9,5674.6,4643.3,4643.3,,521.9,0.0,321.5,0.0,189.9,10839.8,12383.2,0.0,1191.9,0.00365,1191.89635,0.0,-2512.2,21.4,-1298.9,0.0,-1298.9,11084.3,
03/31/2018,10981.3,60.5,60.5,0.0,594.8,594.8,0.0,90.3,,,,,197.9,,20.0,,389.8,,197.9,943.5,5263.6,,,0.0,,4774.2,4273.9,2868.0,1405.9,90.5,10037.8,,606.9,444.1,75.7,87.1,,212.2,0.0,194.3,194.3,,17.9,468.9,,3.9,463.9,1288.0,10522.1,5929.3,4592.8,4592.8,,508.4,,,,504.5,11030.5,12318.5,0.0,1228.9,0.02046,1228.87954,0.0,-2600.0,33.9,-1337.2,0.0,-1337.2,10981.3,
06/30/2018,10839.8,45.3,45.3,0.0,623.9,623.9,0.0,85.0,,,,,181.0,,19.3,,416.2,,176.2,935.2,5156.6,,,0.0,,4748.0,4223.3,2873.9,1349.4,89.2,9904.6,,644.9,495.2,87.5,62.2,,218.0,0.0,200.1,200.1,,17.9,478.6,,1.6,474.9,1341.5,10408.4,5867.9,4540.5,4540.5,,496.4,,,,494.8,10904.8,12246.3,0.0,1243.2,,,0.0,-2693.7,44.0,-1406.5,0.0,-1406.5,10839.8,
09/30/2018,10710.1,37.3,37.3,0.0,649.0,649.0,0.0,87.0,,,,,184.3,,20.0,,418.0,,178.0,957.6,5049.2,,,0.0,,4703.3,4177.1,2876.8,1300.3,88.2,9752.5,,646.8,483.4,93.5,69.9,,223.9,0.0,206.0,206.0,,17.9,504.0,,1.2,501.6,1374.7,10207.8,5721.3,4486.5,4486.5,,488.5,,,,487.3,10696.3,12071.0,0.0,1247.1,0.00429,1247.09571,0.0,-2652.4,44.4,-1360.9,0.0,-1360.9,10710.1,
12/31/2018,10257.9,355.7,355.7,0.0,653.1,653.1,0.0,82.4,,,,,165.0,,0.0,,0.0,,149.7,1256.2,4920.9,18420.0,-13499.1,0.0,0.0,4080.8,3986.8,2773.7,1213.1,94.0,9001.7,,634.5,503.6,87.4,43.5,,10298.4,0.0,4570.3,4570.3,,5728.1,524.8,0.0,0.0,518.0,11457.7,72.8,0.0,72.8,72.8,,646.7,0.0,304.1,104.3,238.3,719.5,12177.2,0.0,1250.4,0.00429,1250.39571,0.0,-3205.3,35.6,-1919.3,0.0,-1919.3,10257.9,
03/31/2019,10857.2,432.0,432.0,0.0,633.4,633.4,0.0,79.8,,,,,203.3,,0.0,,0.0,,203.3,1348.5,7815.2,,,0.0,,1693.5,1609.2,434.7,1174.5,84.3,9508.7,,337.7,271.9,64.9,0.9,,3560.6,0.0,45.8,45.8,0.0,3514.8,238.5,,,238.5,4136.8,39.8,0.0,39.8,39.8,0.0,7873.5,,,0.0,7873.5,7913.3,12050.1,0.0,1252.4,0.00429,1252.39571,0.0,-2477.3,32.0,-1192.9,0.0,-1192.9,10857.2,
06/30/2019,10327.3,462.7,462.7,0.0,573.5,573.5,0.0,76.6,,,,,226.4,,0.0,,0.0,,226.4,1339.2,7694.5,,,0.0,,1293.6,1214.1,61.4,1152.7,79.5,8988.1,,300.6,241.5,59.1,,,537.7,0.0,37.7,37.7,0.0,500.0,309.7,,,309.7,1148.0,27.4,0.0,27.4,27.4,0.0,10918.3,,,0.0,10918.3,10945.7,12093.7,0.0,1250.9,0.0043,1250.8957,0.0,-3046.7,29.4,-1766.4,0.0,-1766.4,10327.3,
09/30/2019,10121.4,385.1,385.1,0.0,556.2,556.2,0.0,70.7,,,,,204.2,,,,0.0,,204.2,1216.2,7649.2,,,0.0,,1256.0,1171.9,61.4,1110.5,84.1,8905.2,,363.3,298.5,64.8,,,785.1,0.0,285.1,30.9,254.2,500.0,80.5,,,80.5,1228.9,3857.2,0.0,3857.2,24.0,3833.2,6918.6,,,0.0,6918.6,10775.8,12004.7,0.0,1252.1,0.0043,1252.0957,0.0,-3162.2,26.8,-1883.3,0.0,-1883.3,10121.4,
12/31/2019,9888.5,191.8,191.8,0.0,574.7,574.7,0.0,64.7,,,,,205.5,,0.0,,0.0,,205.5,1036.7,7638.8,16279.1,-8640.3,0.0,0.0,1213.0,1130.1,61.4,1068.7,82.9,8851.8,,344.8,279.2,65.6,,,774.9,0.0,274.9,23.3,251.6,500.0,99.5,0.0,6.1,99.5,1219.2,3816.8,0.0,3816.8,25.6,3791.2,6926.9,0.0,258.2,0.0,6662.6,10743.7,11962.9,0.0,1253.1,0.0043,1253.0957,0.0,-3350.1,22.6,-2074.4,0.0,-2074.4,9888.5,
03/31/2020,10088.2,454.7,454.7,0.0,521.1,521.1,0.0,61.7,,,,,247.2,,,,0.0,,247.2,1284.7,7612.4,,,0.0,,1191.1,1108.3,61.4,1046.9,82.8,8803.5,,317.4,262.2,55.2,,,900.0,0.0,,,,900.0,389.2,,6.1,389.2,1606.6,,,,,,10661.4,,,0.0,10655.3,10661.4,12268.0,0.0,1253.8,0.0043,1253.7957,0.0,-3453.5,19.9,-2179.8,0.0,-2179.8,10088.2,
06/30/2020,9831.7,210.0,210.0,0.0,527.8,527.8,0.0,73.7,,,,,241.3,,,,0.0,,241.3,1052.8,7622.8,,,0.0,,1156.1,1075.0,61.4,1013.6,81.1,8778.9,,388.8,327.6,61.2,,,900.0,0.0,,,,900.0,363.4,,6.1,363.4,1652.2,0.0,0.0,0.0,,0.0,10524.7,,,0.0,10518.6,10524.7,12176.9,0.0,1254.2,0.0043,1254.1957,0.0,-3615.9,16.5,-2345.2,0.0,-2345.2,9831.7,
