Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2017,1448.0,1448.0,,-802.0,802.0,646.0,0.0,-227.0,247.0,247.0,-20.0,419.0,-108.0,105.0,,,,,,3.0,311.0,-105.0,,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,243.0,37.0,350.0,0.59,0.59,0.694286,358.0,0.58,0.58,0.683352,
09/30/2017,1436.0,1436.0,,-717.0,717.0,719.0,0.0,-76.0,215.0,215.0,-139.0,643.0,-119.0,109.0,,,,,,10.0,524.0,-106.0,,418.0,0.0,0.0,0.0,418.0,0.0,418.0,0.0,0.0,418.0,242.65,-175.35,345.0,1.21,1.21,0.703333,353.0,1.18,1.18,0.683258,
12/31/2017,1577.0,1577.0,,-731.0,731.0,846.0,0.0,369.0,300.0,300.0,-669.0,1215.0,-123.0,118.0,118.0,0.0,,,,5.0,1092.0,-656.0,,436.0,0.0,0.0,0.0,436.0,0.0,436.0,0.0,0.0,436.0,394.2,-41.8,337.0,1.29,1.29,1.169733,345.0,1.26,1.26,1.138841,
03/31/2018,1371.0,1096.0,275.0,-438.0,438.0,933.0,0.0,-380.0,219.0,219.0,161.0,553.0,-44.0,107.0,,,,,,-63.0,509.0,-76.0,,433.0,0.0,0.0,0.0,433.0,0.0,433.0,0.0,0.0,433.0,311.79,-121.21,332.0,1.3,1.3,0.939127,340.0,1.27,1.27,0.9135,
06/30/2018,1368.0,1096.0,272.0,-421.0,421.0,947.0,0.0,-498.0,208.0,208.0,290.0,449.0,-92.0,112.0,,,,,,-20.0,357.0,-36.0,,321.0,0.0,0.0,0.0,321.0,0.0,321.0,0.0,0.0,321.0,270.0,-51.0,324.0,0.99,0.99,0.833333,331.0,0.97,0.97,0.815921,
09/30/2018,1391.0,1104.0,287.0,-399.0,399.0,992.0,0.0,-439.0,204.0,204.0,235.0,553.0,-19.0,111.0,,,-96.0,,,4.0,534.0,-80.0,,454.0,0.0,0.0,0.0,454.0,0.0,454.0,0.0,0.0,454.0,338.0,-116.0,318.0,1.43,1.43,1.062893,325.0,1.4,1.4,1.043077,
12/31/2018,1558.0,1186.0,372.0,-376.0,376.0,1182.0,0.0,-441.0,264.0,264.0,177.0,741.0,-302.0,122.0,122.0,0.0,176.0,,,4.0,439.0,-105.0,,334.0,0.0,0.0,0.0,334.0,0.0,334.0,0.0,0.0,334.0,-71.26,-405.26,313.0,1.07,1.07,-0.227668,320.0,1.04,1.04,-0.227668,
03/31/2019,1254.0,945.0,309.0,-272.0,272.0,982.0,0.0,-549.0,211.0,211.0,338.0,433.0,-134.0,115.0,115.0,0.0,,,,19.0,299.0,-37.0,,262.0,0.0,0.0,0.0,262.0,0.0,262.0,0.0,0.0,262.0,259.0,-3.0,315.0,0.85,0.85,0.822222,315.0,0.83,0.83,0.820476,
06/30/2019,1310.0,992.0,318.0,-286.0,286.0,1024.0,0.0,-553.0,198.0,198.0,355.0,471.0,-94.0,119.0,119.0,0.0,,,,-25.0,377.0,-88.0,,289.0,0.0,0.0,0.0,289.0,0.0,289.0,0.0,0.0,289.0,293.0,4.0,307.0,0.94,0.94,0.954397,314.0,0.92,0.92,0.932739,
09/30/2019,1339.0,1009.0,330.0,-292.0,292.0,1047.0,0.0,-567.0,208.0,208.0,359.0,480.0,-180.0,120.0,120.0,0.0,59.0,,,1.0,300.0,-45.0,,255.0,0.0,0.0,0.0,255.0,0.0,255.0,0.0,0.0,255.0,250.0,-5.0,306.0,0.83,0.83,0.816993,313.0,0.81,0.81,0.794026,
12/31/2019,1694.0,1260.0,434.0,-385.0,385.0,1309.0,0.0,-763.0,300.0,300.0,463.0,546.0,-149.0,132.0,132.0,0.0,17.0,,,0.0,397.0,91.0,,488.0,0.0,0.0,0.0,488.0,0.0,488.0,0.0,0.0,488.0,309.0,-179.0,303.0,1.61,1.61,1.019802,309.0,1.58,1.58,1.000712,
03/31/2020,1263.0,951.0,312.0,-298.0,298.0,965.0,0.0,-715.0,208.0,208.0,507.0,250.0,-155.0,118.0,118.0,0.0,,12.0,,25.0,95.0,-12.0,,83.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,0.0,83.0,88.0,5.0,307.0,0.28,0.28,0.286645,307.0,0.27,0.27,0.286287,
06/30/2020,1198.0,928.0,270.0,-349.0,349.0,849.0,0.0,-549.0,259.0,259.0,290.0,300.0,-43.0,132.0,132.0,0.0,,-8.0,,-81.0,257.0,-51.0,,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,253.0,47.0,303.0,0.68,0.68,0.834983,307.0,0.67,0.67,0.823094,
09/30/2020,1412.909,,,,,964.94620155,,,,,,439.941,,,,,,,,,308.5,,,251.75,,,,,,251.75,,,251.75,245.471,,,0.812,0.812,0.803,,0.812,0.812,0.803,
12/31/2020,1717.409,,,,,1194.88731175,,,,,,516.118,,,,,,,,,383.857,,,305.875,,,,,,305.875,,,305.875,304.706,,,0.996,0.996,1.0,,0.996,0.996,1.0,
