Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,1343.642,1343.642,-827.45,827.45,516.192,0.0,-348.012,122.97,122.97,,225.042,0.0,168.18,-60.52,,63.755,,0.975,0.463,-9.308,4.635,107.66,-36.773,7.849,28.924,70.887,-121.167,-121.167,0.0,192.054,0.394,192.448,,0.0,192.448,74.93465,3.65365,5.74622,33.5,12.5,13.0407,5.88596,32.5,12.0,12.62075,
09/30/2011,1608.504,1608.504,-1019.412,1019.412,589.092,0.0,-353.516,119.431,119.431,,234.085,0.0,235.576,-110.825,,58.06,,-0.727,-0.399,-33.723,87.614,124.751,-37.561,19.676,17.885,87.19,12.226,12.226,0.0,74.964,-0.708,74.256,,0.0,74.256,142.8734,56.3914,5.74974,13.0,15.0,24.84865,5.83972,12.5,15.0,24.6565,
12/31/2011,1734.637,1734.637,-1087.994,1087.994,646.643,0.0,-371.297,131.54,131.54,,239.757,0.0,275.346,-161.966,,60.852,,-7.908,4.893,2.658,101.471,113.38,-23.845,62.488,-38.643,89.535,193.985,193.985,0.0,-104.45,-1.4,-105.85,,0.0,-105.85,151.5919,63.4569,5.75122,-18.5,15.5,26.3582,5.81928,-18.5,15.0,25.9046,
03/31/2012,1890.426,1890.426,-1184.816,1184.816,705.61,0.0,-383.967,136.346,136.346,,247.621,0.0,321.643,-109.981,,62.654,,-20.252,-0.455,68.669,-0.635,211.662,-69.044,26.006,43.038,142.618,8.795,8.795,0.0,133.823,0.267,134.09,,0.0,134.09,175.78935,32.90435,5.77076,23.0,25.0,30.4621,5.83418,23.0,24.5,30.13995,
06/30/2012,1737.114,1737.114,-1123.256,1123.256,613.858,0.0,-394.628,133.612,133.612,,261.016,0.0,219.23,-354.075,59.865,63.459,-3.594,-5.368,2.71,134.317,162.551,-134.845,36.192,34.698,-70.89,-98.653,-24.69,-24.69,0.0,-73.963,1.174,-72.789,,0.0,-72.789,118.578089,216.057089,5.80622,-12.5,-17.0,20.4226,5.80622,-12.5,-17.0,20.2113,
09/30/2012,1729.907,1729.907,-1107.032,1107.032,622.875,0.0,-396.318,130.681,130.681,,265.637,0.0,226.557,-167.045,,63.776,,-7.224,2.766,99.527,8.2,59.512,4.977,50.979,-55.956,64.489,-12.155,-12.155,0.0,76.644,-0.988,75.656,,0.0,75.656,120.995615,57.494615,5.80734,13.0,11.0,20.83495,5.85002,13.0,11.0,20.8281,
12/31/2012,1570.552,1570.552,-1015.182,1015.182,555.37,0.0,-402.901,129.419,129.419,,273.482,0.0,152.469,-15.444,60.41,61.836,-1.426,-30.293,-0.234,-1.193,-13.246,137.025,-5.46,,,131.565,103.414,103.414,0.0,28.151,-1.074,27.077,,0.0,27.077,-159.565,-290.056,5.80788,4.5,22.5,-27.4739,5.84842,4.5,22.5,-27.4739,
03/31/2013,1535.478,1535.478,-994.992,994.992,540.486,0.0,-400.243,130.878,130.878,,269.365,0.0,140.243,-38.182,59.235,60.011,-0.776,-79.421,4.317,-2.895,56.946,102.061,-9.854,18.829,-8.975,92.207,-7.011,-7.011,0.0,99.218,-0.097,99.121,,-0.814,98.307,75.64855,-15.64745,5.83374,17.0,15.5,12.9674,5.8834,16.5,15.5,12.8404,
06/30/2013,1457.966,1457.966,-972.31,972.31,485.656,0.0,-397.412,131.202,131.202,,266.21,0.0,88.244,-54.084,57.931,60.273,-2.342,-14.821,2.99,-1.36,9.344,34.16,-6.032,11.381,-5.349,28.128,26.873,26.873,0.0,1.255,-5.616,-4.361,,-0.814,-5.175,14.51745,-7.18055,5.89494,-0.5,4.0,2.4627,5.94238,-0.5,4.0,2.4627,
09/30/2013,1551.593,1551.593,-981.685,981.685,569.908,0.0,-401.387,127.943,127.943,,273.444,0.0,168.521,-303.715,54.952,56.059,-1.107,-1.229,-0.58,2.628,247.944,-135.194,44.684,-32.316,-12.368,-90.51,14.43,14.43,0.0,-104.94,-0.441,-105.381,,1.411,-103.97,70.9502,160.4902,5.90152,-17.5,-15.0,12.02235,5.90152,-17.5,-15.0,12.02235,
12/31/2013,1606.978,1606.978,-1032.841,1032.841,574.137,0.0,-412.965,135.307,135.307,,277.658,0.0,161.172,-59.039,46.18,47.075,-0.895,-1.106,-0.798,1.588,13.175,102.133,26.383,,,128.516,-23.113,-23.113,0.0,151.629,-1.026,150.603,0.0,-1.06,149.543,134.93785,8.50785,5.90436,25.0,21.5,22.85395,5.95492,25.0,21.0,22.4287,
03/31/2014,1589.618,1589.618,-1061.739,1061.739,527.879,0.0,-416.393,134.266,134.266,,282.127,0.0,111.486,-48.501,43.84,44.81,-0.97,-0.98,-3.293,2.445,6.489,62.985,-14.008,13.658,0.35,48.977,-1.515,-1.515,0.0,50.492,-0.573,49.919,0.0,-0.733,49.186,51.2343,3.5633,5.9242,8.5,8.0,8.6483,5.981,8.0,8.0,8.59575,
06/30/2014,1616.981,1616.981,-1066.495,1066.495,550.486,0.0,-416.45,133.63,133.63,,282.82,0.0,134.036,-57.551,44.275,46.303,-2.028,-7.066,4.336,0.576,15.43,76.485,-10.756,7.577,3.179,65.729,1.032,1.032,0.0,64.697,-0.253,64.444,0.0,-0.974,63.47,68.81995,4.31795,5.95968,10.5,10.5,11.5476,6.01962,10.5,10.5,11.2173,
09/30/2014,1813.762,1813.762,-1181.986,1181.986,631.776,0.0,-425.548,138.967,138.967,,286.581,0.0,206.228,-42.287,40.815,43.138,-2.323,-2.189,2.374,2.851,-1.564,163.941,-61.511,72.371,-10.86,102.43,-4.005,-4.005,0.0,106.435,-0.387,106.048,0.0,-1.579,104.469,125.5826,25.1186,5.85242,18.0,17.0,21.45825,5.9001,17.5,17.0,21.2573,
12/31/2014,1783.836,1783.836,-1194.844,1194.844,588.992,0.0,-1446.866,128.081,128.081,14.79,293.572,1010.423,-857.874,-52.136,42.748,43.697,-0.949,-1.596,-2.398,0.429,12.953,-910.01,23.609,,,-886.401,4.467,4.467,0.0,-890.868,-0.202,-891.07,0.0,13.881,-877.189,-199.985,672.737,5.69876,-154.0,-153.0,-35.0927,5.69876,-154.0,-153.0,-35.0927,
03/31/2015,1414.707,1414.707,-919.61,919.61,495.097,0.0,-408.152,115.43,115.43,11.703,281.019,0.0,86.945,16.712,46.067,46.601,-0.534,-0.969,-2.345,-6.502,-52.963,103.657,20.705,47.349,-68.054,124.362,0.817,0.817,0.0,123.545,0.089,123.634,0.0,-2.031,121.603,21.4572,-100.9628,5.70722,21.5,21.5,3.75965,5.72346,21.0,21.5,3.75965,
06/30/2015,863.305,863.305,-488.522,488.522,374.783,0.0,-304.486,75.81,75.81,10.48,218.196,0.0,70.297,-45.742,43.401,44.469,-1.068,-1.181,1.797,1.116,0.609,24.555,-66.445,-14.402,80.847,-41.89,-5.025,-5.025,0.0,-36.865,0.044,-36.821,0.0,0.72,-36.101,-40.29985,0.82615,5.7217,-6.5,-7.0,-7.04335,5.7217,-6.5,-7.0,-7.04335,
09/30/2015,847.553,847.553,-518.174,518.174,329.379,0.0,-321.855,72.032,72.032,9.716,240.107,0.0,7.524,-339.301,44.414,44.448,-0.034,0.022,-1.496,35.1,261.261,-331.777,80.898,13.735,-94.633,-250.879,45.275,45.275,0.0,-296.154,0.32,-295.834,0.0,5.834,-290.0,-106.50055,138.22445,5.68224,-51.0,-43.0,-18.7427,5.68224,-51.0,-43.0,-18.7427,
12/31/2015,738.872,738.872,-445.13,445.13,293.742,0.0,-301.547,61.056,61.056,9.354,231.137,0.0,-7.805,-216.165,45.738,46.41,-0.672,-0.18,2.436,45.367,122.804,-223.97,62.88,,,-161.09,1.73,1.73,0.0,-162.82,-0.834,-163.654,0.0,3.297,-160.357,-81.44275,77.18425,5.52742,-29.0,-28.5,-14.7343,5.52742,-29.0,-28.5,-14.7343,
03/31/2016,597.571,597.571,-365.023,365.023,232.548,0.0,-286.314,62.334,62.334,8.162,215.818,0.0,-53.766,-394.942,45.358,45.73,-0.372,-0.343,4.214,167.151,178.562,-448.708,52.064,14.825,-66.889,-396.644,0.926,0.926,0.0,-397.57,-0.724,-398.294,0.0,8.199,-390.095,-274.00005,115.16895,5.51702,-70.5,-70.5,-49.6645,5.51702,-70.5,-70.5,-49.6645,
06/30/2016,571.591,571.591,-341.279,341.279,230.312,0.0,-283.717,56.624,56.624,8.18,218.913,0.0,-53.405,-174.343,44.995,45.237,-0.242,-0.27,2.804,54.769,72.045,-227.748,41.183,15.898,-57.081,-186.565,0.984,0.984,0.0,-187.549,2.899,-184.65,0.0,3.786,-180.864,-133.58895,46.29105,5.531,-32.5,-32.5,-24.15275,5.531,-32.5,-32.5,-24.15275,
09/30/2016,519.729,519.729,-306.436,306.436,213.293,0.0,-285.267,56.078,56.078,8.476,220.713,0.0,-71.974,-56.916,,46.836,,-0.31,-1.102,-0.002,11.494,-128.89,31.051,8.6,-39.651,-97.839,12.187,12.187,0.0,-110.026,-1.185,-111.211,0.0,2.698,-108.513,-91.00055,5.32545,5.53414,-19.5,-17.5,-16.4435,5.53414,-19.5,-17.5,-16.5377,
12/31/2016,538.948,538.948,-331.56,331.56,207.388,0.0,-277.554,52.603,52.603,8.764,216.187,0.0,-70.166,-322.563,,47.557,,-0.26,-0.247,-0.004,275.517,-392.729,62.533,,,-330.196,4.266,4.266,0.0,-334.462,-1.125,-335.587,0.0,8.047,-327.54,-145.44505,177.82895,5.53586,-59.0,-58.5,-26.27325,5.53586,-59.0,-58.5,-26.3769,
03/31/2017,562.55,562.55,-387.644,387.644,174.906,0.0,-278.838,63.409,63.409,11.757,203.672,0.0,-103.932,-69.305,,56.518,,-0.721,0.876,-0.002,12.634,-173.237,25.609,22.689,-48.298,-147.628,0.439,0.439,0.0,-148.067,-0.917,-148.984,0.0,3.811,-145.173,-136.7442,7.9898,5.55562,-26.0,-26.0,-24.61365,5.55562,-26.0,-26.0,-24.61365,
06/30/2017,631.355,631.355,-417.521,417.521,213.834,0.0,-283.128,63.695,63.695,11.343,208.09,0.0,-69.294,-65.678,54.688,54.688,0.0,0.886,1.614,0.0,8.49,-134.972,19.496,14.313,-33.809,-115.476,15.504,15.504,0.0,-130.98,-1.971,-132.951,0.0,3.306,-129.645,-110.63425,3.50675,5.57832,-23.0,-20.5,-19.8329,5.57832,-23.0,-20.5,-19.87135,
09/30/2017,662.103,662.103,-441.263,441.263,220.84,0.0,-295.045,65.01,65.01,12.96,217.075,0.0,-74.205,-59.789,,54.607,,-0.373,-0.763,-0.004,6.322,-133.994,14.709,8.644,-23.353,-119.285,27.134,27.134,0.0,-146.419,-2.113,-148.532,0.0,3.463,-145.069,-112.93585,4.99915,5.58626,-26.0,-21.0,-20.2167,5.58626,-26.0,-21.0,-20.2167,
12/31/2017,708.277,708.277,-471.641,471.641,236.636,0.0,-288.185,59.07,59.07,15.009,214.106,0.0,-51.549,-86.332,,57.076,,-0.986,-0.124,-0.001,30.367,-137.881,23.156,,,-114.725,0.442,0.442,0.0,-115.167,-1.177,-116.344,0.0,2.63,-113.714,-87.62495,25.64705,5.73206,-20.0,-20.0,-15.2868,5.73206,-20.0,-20.0,-15.5257,
03/31/2018,734.194,734.194,-475.403,475.403,258.791,0.0,-303.825,74.571,74.571,15.806,213.448,0.0,-45.034,-75.008,,61.386,,-0.465,2.522,-0.002,11.567,-120.042,-23.545,8.771,14.774,-143.587,0.075,0.075,0.0,-143.662,-0.539,-144.201,0.0,3.899,-140.302,-130.03521,10.19179,6.17576,-23.0,-23.0,-21.05575,6.17576,-23.0,-23.0,-21.3497,
06/30/2018,761.92,761.92,-493.975,493.975,267.945,0.0,-368.144,67.823,67.823,12.439,218.262,69.62,-100.199,-71.738,60.592,60.592,0.0,3.164,3.742,0.001,4.239,-171.937,-23.278,3.464,19.814,-195.215,0.584,0.584,0.0,-195.799,-2.953,-198.752,-3.68,2.702,-199.73,-134.21511,64.93089,6.56744,-30.5,-30.5,-20.43645,6.56744,-30.5,-30.5,-20.6132,
09/30/2018,779.425,779.425,-497.194,497.194,282.231,0.0,-303.558,66.813,66.813,14.458,208.517,13.77,-21.327,-61.894,50.515,51.415,-0.9,1.342,1.607,0.0,8.43,-83.221,-10.489,5.016,5.473,-93.71,13.933,13.933,0.0,-107.643,-6.934,-114.577,-4.313,-2.578,-121.468,-93.54094,13.99406,7.00388,-17.5,-15.5,-13.3556,7.00388,-17.5,-15.5,-13.50195,
12/31/2018,782.08,782.08,-510.402,510.402,271.678,0.0,-350.714,56.615,56.615,13.444,226.643,54.012,-79.036,-64.558,,53.731,,5.458,-3.695,0.0,9.064,-143.594,-21.957,,,-165.551,0.071,0.071,0.0,-165.622,-17.796,-183.418,-4.312,-4.874,-192.604,-105.21114,87.32186,7.00472,-27.5,-27.5,-15.02005,7.00472,-27.5,-27.5,-15.03385,
03/31/2019,799.64,799.64,-520.957,520.957,278.683,0.0,-292.078,68.167,68.167,13.52,210.391,0.0,-13.395,-60.182,50.319,52.352,-2.033,-9.677,8.573,0.005,10.962,-73.577,-29.799,15.862,13.937,-103.376,0.157,0.157,0.0,-103.533,-14.176,-117.709,-4.313,-5.181,-127.203,-126.68734,0.35866,7.015,-18.13,-18.11,-18.0595,7.015,-18.13,-18.11,-18.0595,
06/30/2019,771.406,771.406,-496.664,496.664,274.742,0.0,-397.224,64.415,64.415,11.92,218.319,102.57,-122.482,-58.921,51.491,51.491,0.0,-0.469,1.398,0.0,6.501,-181.403,-11.398,16.504,-5.106,-192.801,0.034,0.034,0.0,-192.835,-10.729,-203.564,-4.312,-5.234,-213.11,-137.23241,75.84359,7.03086,-30.5,-30.5,-19.5186,7.03086,-30.5,-30.5,-19.71275,
09/30/2019,758.076,758.076,-475.461,475.461,282.615,0.0,-300.767,63.577,63.577,12.004,221.557,3.629,-18.152,-57.733,49.251,51.291,-2.04,1.437,8.745,0.0,-1.7,-75.885,-23.903,18.117,5.786,-99.788,-0.157,-0.157,0.0,-99.631,-19.297,-118.928,-4.31,-5.29,-128.528,-103.04976,25.63524,7.04052,-18.5,-18.5,-14.63665,7.04052,-18.5,-18.5,-14.8589,
12/31/2019,714.261,714.261,-436.249,436.249,278.012,0.0,-487.512,62.572,62.572,12.915,225.824,186.201,-209.5,-48.557,47.099,49.177,-2.078,-1.509,2.214,0.0,0.753,-258.057,-26.476,,,-284.533,-0.022,-0.022,0.0,-284.511,21.827,-262.684,-4.309,-5.288,-272.281,-113.38808,158.91492,7.0427,-38.5,-38.5,-16.1001,7.0427,-38.5,-38.5,-16.1001,
03/31/2020,718.364,718.364,-461.84,461.84,256.524,0.0,-572.29,57.384,57.384,11.409,227.063,276.434,-315.766,-40.81,52.349,54.722,-2.373,3.198,-0.645,0.0,-14.092,-356.576,-17.693,-7.203,24.896,-374.269,0.093,0.093,0.0,-374.362,-17.465,-391.827,-3.652,4.307,-391.172,-397.4622,-6.3832,7.051,-56.73,-56.72,-56.3696,7.051,-56.73,-56.72,-57.6253,
06/30/2020,533.931,533.931,-326.557,326.557,207.374,0.0,-322.521,46.244,46.244,7.305,211.12,57.852,-115.147,-18.375,49.976,51.206,-1.23,-2.036,2.727,0.0,-32.292,-133.522,-4.446,-0.336,4.782,-137.968,-0.023,-0.023,0.0,-137.945,-10.167,-148.112,-3.653,-4.33,-156.095,-137.75603,18.36197,7.052,-22.13,-22.13,-19.534321,7.052,-22.13,-22.13,-19.534321,
09/30/2020,446.385,,,,108.61886205,,,,,,,,-98.033,,,,,,,,,-151.5,,,,-173.25,,,,,,-173.25,,,-173.25,-173.25,,,-24.083,-24.083,-24.187,,-24.083,-24.083,-24.187,
12/31/2020,435.615,,,,105.99819795,,,,,,,,-104.833,,,,,,,,,-158.0,,,,-180.875,,,,,,-180.875,,,-180.875,-180.875,,,-24.937,-24.937,-25.051,,-24.937,-24.937,-25.051,
