Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1995,,183.481995,0.0,1605.813965,28115.601562,28243.822266,-128.220993,2783.089111,202.100006,665.708984,0.0,33555.796875,,0.0,20226.662109,2878.0,17348.662109,0.0,20226.662109,367.080994,793.512024,10100.376953,0.0,31487.63208,0.0,0.0,51.804001,2016.359985,2068.163986,33555.796066,
06/30/1995,,163.382996,0.0,1746.105957,27939.84375,28073.525391,-133.682007,3533.533936,202.436996,694.607971,0.0,34279.910156,,0.0,20738.154297,2727.0,18011.154297,0.0,20738.154297,1171.686035,790.103027,9443.686523,0.0,32143.629883,0.0,0.0,54.528999,2081.750977,2136.279976,34279.909859,
09/30/1995,,173.994003,0.0,1547.957031,27951.160156,28088.537109,-137.376999,4051.788086,202.673996,670.697998,0.0,34598.273438,,0.0,20559.933594,2695.0,17864.933594,0.0,20559.933594,1865.171997,814.27301,9162.733398,0.0,32402.112,0.0,0.0,54.905998,2141.254883,2196.160881,34598.272881,
12/31/1995,,218.695007,1190.160034,1184.737061,28181.35379,28323.341797,-141.988007,3477.415039,203.636993,662.158997,0.0,35118.15625,,0.0,20847.9104,2609.551025,18238.359375,0.0,20847.910156,2703.74707,646.754028,8481.295898,160.095993,32839.803145,0.0,0.0,61.240002,2217.113037,2278.353039,35118.156184,
03/31/1996,,203.419006,1086.255005,977.344971,28388.929688,28541.289062,-152.360001,3426.545898,205.352005,523.710022,0.0,34811.558594,,0.0,20990.78125,2660.0,18330.78125,0.0,20990.78125,8917.500977,487.897003,1894.0,390.946991,32681.126221,0.0,0.0,63.469002,2066.961914,2130.430916,34811.557137,
06/30/1996,,189.723999,0.0,972.784973,29059.953125,29223.798828,-163.845993,4543.266113,208.0,602.567017,0.0,35576.296875,,0.0,21040.597656,2504.0,18536.597656,0.0,21040.597656,9743.0,866.872986,1762.657959,0.0,33413.128601,0.0,0.0,65.573997,2097.592041,2163.166039,35576.29464,
09/30/1996,,130.466995,0.0,1108.714966,30278.267578,30415.644531,-137.376999,4684.315918,210.300995,599.356995,0.0,37011.421875,,0.0,21584.365234,2391.0,19193.365234,0.0,21584.365234,10624.0,756.846008,1776.067993,,,0.0,0.0,67.176003,2202.968018,2270.14402,,
12/31/1996,,218.718994,0.0,1008.791016,30113.421051,30309.123047,-195.701996,5645.053223,213.904007,530.710022,0.0,37730.597656,,0.0,22099.934814,2434.178955,19665.755859,0.0,22099.933594,4679.131836,482.600006,7941.268066,177.186996,35380.120498,0.0,0.0,73.686996,2276.790039,2350.477035,37730.597533,
03/31/1997,,132.972,0.0,818.999023,30698.537109,30907.615234,-209.076996,6072.190918,223.029999,584.278992,0.0,38530.007812,,0.0,22943.923828,2643.0,20300.923828,0.0,22943.923828,4764.477051,482.334991,7665.876953,259.503998,36116.116821,0.0,0.0,75.677002,2338.215088,2413.89209,38530.008911,
06/30/1997,,130.667007,0.0,808.0,31821.886719,32038.537109,-216.651001,5462.915039,224.847,646.765991,0.0,39095.082031,,0.0,24036.660156,2761.0,21275.660156,0.0,24036.660156,4431.564941,485.804993,7401.402832,248.759003,36604.191925,0.0,0.0,75.946999,2414.943115,2490.890114,39095.082039,
09/30/1997,,140.897995,0.0,783.521973,32723.212891,32945.230469,-222.020004,4741.941895,230.513,608.271973,0.0,39228.359375,,0.0,24234.947266,3699.0,20535.947266,0.0,24234.947266,4542.826172,527.992004,7096.966797,250.406998,36653.139236,0.0,0.0,77.384003,2497.835938,2575.21994,39228.359177,
12/31/1997,,172.240997,0.0,765.870972,33260.708282,33493.988281,-233.279999,4625.311035,240.207001,525.932007,0.0,39590.269531,,0.0,24109.716308,4774.804199,19334.912109,0.0,24109.716797,2673.207031,446.325012,9397.925781,265.065002,36892.239623,0.0,0.0,91.238998,2606.791992,2698.03099,39590.270613,
03/31/1998,,177.912994,0.0,776.974976,32723.855469,32961.039062,-237.186005,5132.373047,249.263,609.041016,0.0,39669.421875,,0.0,24559.269531,5682.0,18877.269531,0.0,24559.269531,3495.623047,512.497009,7946.025879,341.042999,36854.458466,0.0,0.0,95.500999,2719.459961,2814.96096,39669.419426,
06/30/1998,,198.513,0.0,552.72998,27600.119141,27839.65625,-239.537003,9836.87207,261.835999,617.15802,0.0,39067.230469,,0.0,24993.707031,6668.0,18325.707031,0.0,24993.707031,1884.13501,521.828003,8430.373047,313.634003,36143.677094,0.0,0.0,104.085999,2819.465088,2923.551086,39067.22818,
09/30/1998,,199.746994,0.0,435.403015,27940.417969,28182.832031,-242.414993,9930.495117,265.799988,611.143982,0.0,39383.007812,,0.0,25477.429688,7921.0,17556.429688,0.0,25477.429688,2363.949951,523.22998,7724.562012,307.968994,36397.140625,0.0,0.0,106.317001,2879.549072,2985.866074,39383.006699,
12/31/1998,,250.875,0.0,490.589996,25721.287109,25965.753906,-244.466003,11121.068359,272.520996,612.387024,0.0,38468.730469,,0.0,26219.099609,9149.400391,17069.699219,0.0,26219.099609,714.257996,525.508972,7613.436035,272.101562,35344.404175,0.0,0.0,127.845001,2996.4729,3124.317902,38468.722076,
03/31/1999,,196.974,0.0,435.227,26020.91,26257.38,-236.476,11049.46,273.612,689.914,0.0,38666.09,,0.0,26395.44,9821.0,16574.44,0.0,26395.44,737.833,544.818,7456.372,370.842,35505.305,0.0,0.0,129.85,3030.938,3160.788,38666.093,
06/30/1999,,240.911,0.0,473.42,23485.89,23719.36,-233.471,12761.25,274.214,791.128,0.0,38026.97,,0.0,26335.71,10262.0,16073.71,0.0,26335.71,160.597,582.482,7448.177,333.278,34860.244,0.0,0.0,132.221,3034.508,3166.729,38026.973,
09/30/1999,,237.614,0.0,430.795,25856.15,26098.56,-242.415,12382.44,274.01,784.466,0.0,39965.48,,0.0,26550.0,10181.0,16369.0,0.0,26550.0,267.786,312.484,9427.181,286.021,36843.472,0.0,0.0,136.152,2985.853,3122.005,39965.477,
12/31/1999,,333.793,0.0,398.453,27919.82,28151.95,-232.134,12590.78,278.493,620.869,0.0,42142.2,,0.0,27714.912,9689.012,18025.9,0.0,27714.91,3560.457,220.173,7212.887,238.922,38947.349,0.0,0.0,151.691,3043.163,3194.854,42142.203,
03/31/2000,,277.667,0.0,530.454,30432.41,30665.43,-233.016,12463.92,289.047,1642.737,0.0,45636.23,,0.0,27974.25,9415.0,18559.25,0.0,27974.25,3285.69,300.739,10518.61,344.289,42423.578,0.0,0.0,152.564,3060.1,3212.664,45636.242,
06/30/2000,,254.442,0.0,305.742,31683.92,31918.75,-234.834,15147.16,299.039,1157.584,0.0,48847.88,,0.0,27726.782,8480.782,19246.0,0.0,27726.78,3583.855,373.852,13521.58,332.104,45538.171,0.0,0.0,155.005,3154.706,3309.711,48847.882,
09/30/2000,,213.884,0.0,379.38,34906.91,35142.48,-235.569,15583.09,302.027,980.087,0.0,52365.38,,0.0,28249.07,7911.0,20338.07,0.0,28249.07,5256.356,398.699,14596.38,375.874,48876.379,0.0,0.0,158.696,3330.31,3489.006,52365.385,
12/31/2000,,350.43,0.0,462.801,33762.64,33999.35,-236.708,19946.88,307.652,873.558,0.0,55703.96,,0.0,30047.92,7120.54,22927.38,0.0,30047.92,5290.219,414.048,15897.64,366.853,52016.68,0.0,0.0,167.299,3519.988,3687.287,55703.967,
03/31/2001,,363.672,0.0,475.557,32825.48,33063.44,-237.964,21656.62,310.216,1100.46,0.0,56732.0,,0.0,31356.95,7132.99,24223.96,0.0,31356.95,1124.507,358.445,19535.76,520.224,52895.886,0.0,0.0,169.528,3666.589,3836.117,56732.003,
06/30/2001,,439.59,0.0,890.931,35511.2,35756.28,-245.078,19070.08,316.76,1202.981,0.0,57431.54,,0.0,31491.959,8670.959,22821.0,0.0,31491.96,851.197,385.474,20179.55,471.232,53379.413,0.0,0.0,176.23,3875.9,4052.13,57431.543,
09/30/2001,,383.927,0.0,969.54,38673.02,38923.46,-250.444,16653.89,321.593,1121.153,0.0,58123.12,,0.0,33133.94,11216.94,21917.0,0.0,33133.94,420.596,422.391,19351.36,579.691,53907.978,0.0,0.0,179.727,4035.412,4215.139,58123.117,
12/31/2001,,339.059,0.0,856.073,41065.38,41326.39,-261.013,14950.54,328.579,1046.643,0.0,58586.27,,0.0,34472.58,13798.59,20673.99,0.0,34472.59,6084.524,457.964,12974.23,312.774,54302.082,0.0,0.0,189.053,4095.137,4284.19,58586.272,
03/31/2002,,373.229,0.0,507.158,45543.07,45812.39,-269.327,11391.49,336.827,1195.98,0.0,59347.75,,0.0,35508.36,16582.36,18926.0,0.0,35508.36,228.523,569.938,18238.72,340.504,54886.045,0.0,0.0,194.733,4266.979,4461.712,59347.757,
06/30/2002,,332.027,0.0,409.8,51624.34,51898.23,-273.881,8408.791,343.62,1203.531,0.0,62322.11,,0.0,36230.74,19172.74,17058.0,0.0,36230.74,71.936,302.017,20599.89,462.94,57667.523,0.0,0.0,200.869,4453.72,4654.589,62322.112,
09/30/2002,,290.578,0.0,624.157,55110.52,55390.34,-279.818,7796.232,346.476,1346.858,0.0,65514.82,,0.0,38748.94,23427.94,15321.0,0.0,38748.94,221.766,378.73,20901.16,470.623,60721.219,0.0,0.0,202.031,4591.575,4793.606,65514.825,
