Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,882.853,882.853,-574.074,574.074,308.779,0.0,-111.544,97.608,13.936,0.0,197.235,-20.847,,18.323,,2.524,176.388,-51.242,125.146,0.0,0.0,0.0,125.146,0.0,125.146,0.0,0.0,125.146,125.146,0.0,243.285,0.51,0.51,0.51,245.411,0.51,0.51,0.51,
06/30/2013,878.809,878.809,-567.598,567.598,311.211,0.0,-108.598,94.912,13.686,0.0,202.613,-20.821,,18.154,,2.667,181.792,-53.471,128.321,0.0,0.0,0.0,128.321,0.0,128.321,0.0,0.0,128.321,128.321,0.0,243.666,0.53,0.53,0.53,246.104,0.52,0.52,0.52,
09/30/2013,890.006,890.006,-572.125,572.125,317.881,0.0,-113.195,98.969,14.226,0.0,204.686,-24.534,,18.243,,6.291,180.152,-52.288,127.864,0.0,0.0,0.0,127.864,0.0,127.864,0.0,0.0,127.864,120.324,-7.54,244.049,0.52,0.52,0.493032,245.93,0.52,0.52,0.489341,
12/31/2013,942.468,942.468,-609.845,609.845,332.623,0.0,-122.078,106.688,15.39,0.0,210.545,-24.082,,18.852,,5.23,186.463,-50.795,135.668,0.0,0.0,0.0,135.668,0.0,135.668,0.0,0.0,135.668,135.668,0.0,244.659,0.55,0.55,0.55,246.816,0.55,0.55,0.55,
03/31/2014,975.292,975.292,-625.17,625.17,350.122,0.0,-128.491,112.625,15.866,0.0,221.631,-22.715,,18.838,,3.877,198.916,-58.33,140.586,0.0,0.0,0.0,140.586,0.0,140.586,0.0,0.0,140.586,140.586,0.0,244.911,0.57,0.57,0.57,247.229,0.57,0.57,0.57,
06/30/2014,990.718,990.718,-630.645,630.645,360.073,0.0,-128.345,113.316,15.029,0.0,231.728,-23.307,,18.981,,4.326,208.421,-58.358,150.063,0.0,0.0,0.0,150.063,0.0,150.063,0.0,0.0,150.063,150.063,0.0,245.201,0.61,0.61,0.61,247.403,0.61,0.61,0.61,
09/30/2014,1031.811,1031.811,-677.739,677.739,354.072,0.0,-135.929,119.205,16.724,0.0,218.143,-28.182,,19.543,,8.639,189.961,-48.15,141.811,0.0,0.0,0.0,141.811,0.0,141.811,0.0,0.0,141.811,152.511,10.7,245.439,0.58,0.58,0.62138,247.643,0.57,0.57,0.613207,
12/31/2014,1024.143,1024.143,-663.463,663.463,360.68,0.0,-133.596,117.491,16.105,0.0,227.084,-19.55,,22.566,,-3.016,207.534,-55.534,152.0,0.0,0.0,0.0,152.0,0.0,152.0,0.0,0.0,152.0,155.177,3.177,243.99,0.62,0.62,0.635997,246.132,0.62,0.62,0.632908,
03/31/2015,984.059,984.059,-635.965,635.965,348.094,0.0,-127.142,110.884,16.258,0.0,220.952,-24.166,,22.686,,1.48,196.786,-54.679,142.107,0.0,0.0,0.0,142.107,0.0,142.107,0.0,0.0,142.107,152.915,10.808,240.947,0.59,0.59,0.634642,242.797,0.59,0.59,0.634515,
06/30/2015,1003.726,1003.726,-633.925,633.925,369.801,0.0,-129.482,112.702,16.78,0.0,240.319,-25.171,,22.678,,2.493,215.148,-59.635,155.513,0.0,0.0,0.0,155.513,0.0,155.513,0.0,0.0,155.513,155.513,0.0,241.498,0.64,0.64,0.64,243.621,0.64,0.64,0.64,
09/30/2015,998.527,998.527,-631.79,631.79,366.737,0.0,-129.122,112.116,17.006,0.0,237.615,-26.009,,23.684,,2.325,211.606,-55.208,156.398,0.0,0.0,0.0,156.398,0.0,156.398,0.0,0.0,156.398,156.398,0.0,239.959,0.65,0.65,0.65,241.238,0.65,0.65,0.65,
12/31/2015,987.983,987.983,-666.263,666.263,321.72,0.0,-112.89,112.89,,0.0,208.83,-25.99,,22.747,,3.243,182.84,-45.999,136.841,0.0,0.0,0.0,136.841,0.0,136.841,0.0,0.0,136.841,150.709,13.868,237.22,0.58,0.58,0.635313,238.689,0.57,0.57,0.628101,
03/31/2016,944.398,944.398,-623.681,623.681,320.717,0.0,-112.194,112.194,,0.0,208.523,-25.481,,23.401,,2.08,183.042,-48.872,134.17,0.0,0.0,0.0,134.17,0.0,134.17,0.0,0.0,134.17,134.17,0.0,234.983,0.57,0.57,0.57,236.216,0.57,0.57,0.57,
06/30/2016,977.706,977.706,-639.711,639.711,337.995,0.0,-118.959,118.959,,0.0,219.036,-28.475,,23.706,,4.769,190.561,-52.368,138.193,0.0,0.0,0.0,138.193,0.0,138.193,0.0,0.0,138.193,138.193,0.0,233.285,0.59,0.59,0.59,234.79,0.59,0.59,0.59,
09/30/2016,945.03,945.03,-630.744,630.744,314.286,0.0,-113.17,113.17,,0.0,201.116,-26.868,,23.609,,3.259,174.248,-43.561,130.687,0.0,0.0,0.0,130.687,0.0,130.687,0.0,0.0,130.687,130.687,0.0,231.894,0.56,0.56,0.56,232.721,0.56,0.56,0.56,
12/31/2016,972.953,972.953,-691.363,691.363,281.59,0.0,-119.286,119.286,,0.0,162.304,-17.052,,23.588,,-6.536,145.252,-36.144,109.108,0.0,0.0,0.0,109.108,0.0,109.108,0.0,0.0,109.108,134.676,25.568,230.21,0.47395,0.47395,0.585014,231.193,0.471935,0.471935,0.582526,
03/31/2017,1007.682,1007.682,-667.402,667.402,340.28,0.0,-122.833,122.833,,0.0,217.447,-26.025,,24.516,,1.509,191.422,-52.496,138.926,0.0,0.0,0.0,138.926,0.0,138.926,0.0,0.0,138.926,138.926,0.0,229.548,0.61,0.61,0.61,231.004,0.6,0.6,0.6,
06/30/2017,1064.604,1064.604,-702.191,702.191,362.413,0.0,-132.864,132.864,,0.0,229.549,-26.194,,24.552,,1.642,203.355,-52.874,150.481,0.0,0.0,0.0,150.481,0.0,150.481,0.0,0.0,150.481,150.481,0.0,230.158,0.65,0.65,0.65,231.588,0.65,0.65,0.65,
09/30/2017,1084.799,1084.799,-722.127,722.127,362.672,0.0,-132.634,132.634,,0.0,230.038,-25.611,,24.709,,0.902,204.427,-50.896,153.531,0.0,0.0,0.0,153.531,0.0,153.531,0.0,0.0,153.531,153.531,0.0,230.439,0.67,0.67,0.67,232.253,0.66,0.66,0.66,
12/31/2017,1143.085,1143.085,-769.65,769.65,373.435,0.0,-146.849,146.849,,0.0,226.586,-29.061,,24.252,,4.809,197.525,41.007,238.532,0.0,0.0,0.0,238.532,0.0,238.532,0.0,0.0,238.532,163.022,-75.51,230.771,1.033631,1.033631,0.706423,232.535,1.02579,1.02579,0.701064,
03/31/2018,1172.647,1172.647,-776.8,776.8,395.847,0.0,-137.679,137.679,,0.0,258.168,-22.344,,21.686,,0.658,235.824,-54.484,181.34,0.0,0.0,0.0,181.34,0.0,181.34,0.0,0.0,181.34,181.34,0.0,230.928,0.79,0.79,0.79,232.965,0.78,0.78,0.78,
06/30/2018,1208.935,1208.935,-791.248,791.248,417.687,0.0,-147.601,147.601,,0.0,270.086,-21.865,,20.784,,1.081,248.221,-54.361,193.86,0.0,0.0,0.0,193.86,0.0,193.86,0.0,0.0,193.86,193.86,0.0,231.252,0.84,0.84,0.84,233.297,0.83,0.83,0.83,
09/30/2018,1192.962,1192.962,-782.994,782.994,409.968,0.0,-144.702,144.702,,0.0,265.266,-20.336,,19.391,,0.945,244.93,-53.717,191.213,0.0,0.0,0.0,191.213,0.0,191.213,0.0,0.0,191.213,191.213,0.0,231.502,0.83,0.83,0.83,233.25,0.82,0.82,0.82,
12/31/2018,1271.328,1271.328,-835.268,835.268,436.06,0.0,-154.04,154.04,,0.0,282.02,-23.25,,20.319,,2.931,258.77,-47.25,211.52,0.0,0.0,0.0,211.52,0.0,211.52,0.0,0.0,211.52,199.7,-11.82,229.611,0.92,0.92,0.869732,231.333,0.91,0.91,0.858905,
03/31/2019,1287.691,1287.691,-851.307,851.307,436.384,0.0,-153.125,153.125,,0.0,283.259,-26.321,,22.653,,3.668,256.938,-52.67,204.268,0.0,0.0,0.0,204.268,0.0,204.268,0.0,0.0,204.268,203.68735,-0.58065,226.861,0.9,0.9,0.897851,228.686,0.89,0.89,0.887461,
06/30/2019,1289.412,1289.412,-838.153,838.153,451.259,0.0,-155.849,155.849,,0.0,295.41,-24.811,,21.475,,3.336,270.599,-55.096,215.503,0.0,0.0,0.0,215.503,0.0,215.503,0.0,0.0,215.503,215.503,0.0,227.577,0.95,0.95,0.95,229.328,0.94,0.94,0.94,
09/30/2019,1276.633,1276.633,-823.262,823.262,453.371,0.0,-152.315,152.315,,0.0,301.056,-26.825,,21.308,,5.517,274.231,-53.482,220.749,0.0,0.0,0.0,220.749,0.0,220.749,0.0,0.0,220.749,220.749,0.0,228.041,0.97,0.97,0.97,229.56,0.96,0.96,0.96,
12/31/2019,1304.821,1304.821,-858.175,858.175,446.646,0.0,-148.991,148.991,,0.0,297.655,-29.675,,23.045,,6.63,267.98,-47.203,220.777,0.0,0.0,0.0,220.777,0.0,220.777,0.0,0.0,220.777,220.777,0.0,228.557,0.97,0.97,0.97,230.006,0.96,0.96,0.96,
03/31/2020,1202.218,1202.218,-824.647,824.647,377.571,0.0,-145.531,145.531,,0.0,232.04,119.035,,22.741,,-141.776,351.075,-70.459,280.616,0.0,0.0,0.0,280.616,0.0,280.616,0.0,0.0,280.616,167.41432,-113.20168,228.962,1.23,1.23,0.731188,230.872,1.22,1.22,0.729678,
06/30/2020,1011.922,1011.922,-669.195,669.195,342.727,0.0,-115.737,115.737,,0.0,226.99,-20.538,,22.669,,-2.131,206.452,-40.235,166.217,0.0,0.0,0.0,166.217,0.0,166.217,0.0,0.0,166.217,166.217,0.0,229.225,0.73,0.73,0.73,230.381,0.72,0.72,0.72,
09/30/2020,1102.8,,,,383.476644,,,,,,253.636,,,,,,228.455,,184.909,,,,,,184.909,,,184.909,182.0,,,0.8,0.8,0.911,,0.8,0.8,0.911,
12/31/2020,1179.067,,,,408.79431957,,,,,,268.909,,,,,,243.818,,197.364,,,,,,197.364,,,197.364,193.667,,,0.851,0.851,0.966,,0.851,0.851,0.966,
