Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2012,5503.0,5355.0,148.0,-3795.0,3742.0,53.0,1708.0,0.0,-1340.0,1068.0,,173.0,99.0,368.0,-55.0,-42.0,109.0,-151.0,,40.0,97.0,313.0,-77.0,276,0.0,0.0,0.0,276.0,-7.0,269,0.0,0.0,269.0,281.35,12.35,334.34925,0.8,0.8,0.841484,342.22025,0.76,0.76,0.796088,
06/30/2012,5368.0,5225.0,143.0,-3617.0,3566.0,51.0,1751.0,0.0,-1329.0,1057.0,,161.0,111.0,422.0,-75.0,-37.0,110.0,-147.0,,31.0,112.0,347.0,-64.0,314,-2.0,-2.0,0.0,316.0,-7.0,309,0.0,0.0,309.0,328.45,21.45,333.4855,0.92,0.92,0.9849,348.25,0.88,0.88,0.941592,
09/30/2012,5275.0,5115.0,160.0,-3614.0,3565.0,49.0,1661.0,0.0,-1289.0,1032.0,,161.0,96.0,372.0,-58.0,-58.0,105.0,-163.0,,34.0,116.0,314.0,-62.0,286,-2.0,-2.0,0.0,288.0,-6.0,282,0.0,0.0,282.0,294.3,14.3,323.37825,0.84,0.84,0.91008,329.717,0.84,0.84,0.883372,
12/31/2012,5763.0,5617.0,146.0,-3916.0,3871.0,45.0,1847.0,0.0,-1410.0,1077.0,,160.0,173.0,437.0,-71.0,-46.0,104.0,-150.0,,47.0,117.0,366.0,-71.0,342,-1.0,-1.0,0.0,343.0,-8.0,335,0.0,0.0,335.0,395.75,61.75,312.196,1.04,1.04,1.267632,312.196,1.04,1.04,1.237792,
03/31/2013,5202.0,5085.0,117.0,-3616.0,3573.0,43.0,1586.0,0.0,-1269.0,1040.0,,154.0,75.0,317.0,-17.0,-16.0,104.0,-120.0,,47.0,33.0,300.0,-50.0,297,-3.0,-3.0,0.0,300.0,-4.0,296,0.0,0.0,296.0,266.35,-26.65,306.31775,0.92,0.92,0.86952,320.11375,0.92,0.92,0.836748,
06/30/2013,5391.0,5277.0,114.0,-3694.0,3652.0,42.0,1697.0,0.0,-1306.0,1041.0,,149.0,116.0,391.0,-59.0,-14.0,104.0,-118.0,,36.0,73.0,332.0,-68.0,300,23.0,23.0,0.0,277.0,-6.0,271,0.0,0.0,271.0,310.25,16.25,307.59525,0.88,0.96,1.008632,321.80375,0.84,0.92,0.970496,
09/30/2013,5235.0,5102.0,133.0,-3585.0,3545.0,40.0,1650.0,0.0,-1278.0,1015.0,,145.0,118.0,372.0,-38.0,-36.0,100.0,-136.0,,43.0,74.0,334.0,-85.0,292,1.0,1.0,0.0,291.0,-5.0,286,0.0,0.0,286.0,296.1,9.1,309.12125,0.92,0.92,0.957876,321.3945,0.88,0.88,0.908316,
12/31/2013,5207.0,5088.0,119.0,-3541.0,3503.0,38.0,1666.0,0.0,-1307.0,1023.0,,153.0,131.0,359.0,-33.0,-26.0,95.0,-121.0,,43.0,59.0,326.0,-67.0,302,-9.0,-9.0,0.0,311.0,-5.0,306,0.0,0.0,306.0,315.85,18.85,303.4175,1.0,0.96,1.040976,315.13825,0.96,0.92,0.979816,
03/31/2014,4771.0,4671.0,100.0,-3268.0,3232.0,36.0,1503.0,0.0,-1193.0,945.0,,145.0,103.0,310.0,-39.0,-3.0,99.0,-102.0,,42.0,42.0,271.0,-42.0,271,-15.0,-15.0,0.0,286.0,-5.0,281,0.0,0.0,281.0,266.65,0.65,294.707,0.92,0.88,0.904796,299.44025,0.92,0.88,0.882172,
06/30/2014,4941.0,4843.0,98.0,-3356.0,3320.0,36.0,1585.0,0.0,-1219.0,959.0,,143.0,117.0,366.0,-65.0,-5.0,96.0,-101.0,,33.0,70.0,301.0,-73.0,261,-11.0,-11.0,0.0,272.0,-6.0,266,0.0,0.0,266.0,283.6,28.6,290.2105,0.88,0.84,0.97722,295.18975,0.88,0.84,0.936888,
09/30/2014,4795.0,4699.0,96.0,-3253.0,3218.0,35.0,1542.0,0.0,-1185.0,942.0,,139.0,104.0,357.0,-71.0,-7.0,91.0,-98.0,,44.0,78.0,286.0,-66.0,264,-8.0,-8.0,0.0,272.0,-6.0,266,0.0,0.0,266.0,284.0,26.0,287.27825,0.92,0.88,0.988588,287.27825,0.88,0.84,0.930504,
12/31/2014,5033.0,4940.0,93.0,-3417.0,3384.0,33.0,1616.0,0.0,-1211.0,942.0,,150.0,119.0,405.0,-57.0,-5.0,91.0,-96.0,,41.0,62.0,348.0,-34.0,355,149.0,149.0,0.0,206.0,-6.0,200,,0.0,200.0,367.2,18.2,282.1255,0.708904,1.23704,1.301548,292.70775,0.683276,1.192316,1.254492,
03/31/2015,4469.0,4379.0,90.0,-3075.0,3042.0,33.0,1394.0,0.0,-1147.0,915.0,,141.0,91.0,247.0,-46.0,-3.0,89.0,-92.0,,34.0,49.0,201.0,-39.0,196,-34.0,-34.0,0.0,230.0,-5.0,225,0.0,0.0,225.0,192.3,1.3,277.49975,0.8,0.68,0.692972,281.6545,0.76,0.64,0.644616,
06/30/2015,4590.0,4503.0,87.0,-3164.0,3132.0,32.0,1426.0,0.0,-1284.0,906.0,,142.0,236.0,142.0,-68.0,-1.0,88.0,-89.0,,29.0,69.0,74.0,9.0,112,95.0,95.0,0.0,17.0,-5.0,12,0.0,0.0,12.0,307.5,200.5,271.93,0.04,0.36,1.130804,276.31725,0.04,0.36,1.085616,
09/30/2015,4333.0,4248.0,85.0,-3346.0,3313.0,33.0,987.0,0.0,-1087.0,855.0,,135.0,97.0,-100.0,-73.0,1.0,88.0,-87.0,,40.0,72.0,-173.0,105.0,-28,3.0,3.0,0.0,-31.0,-3.0,-34,0.0,0.0,-34.0,240.05,271.05,261.28275,-0.16,-0.16,0.918736,261.28275,-0.16,-0.16,0.87738,
12/31/2015,2946.0,2862.0,84.0,-1776.0,1744.0,32.0,1170.0,0.0,-853.0,715.0,,128.0,10.0,317.0,-30.0,-3.0,81.0,-84.0,,32.0,33.0,287.0,-58.0,261,0.0,0.0,0.0,261.0,-5.0,256,,0.0,256.0,226.5,-29.5,253.197,1.011072,1.011072,0.89456,261.54275,0.978808,0.978808,0.866016,
03/31/2016,4281.0,4198.0,83.0,-3001.0,2968.0,33.0,1280.0,0.0,-1239.0,882.0,,134.0,223.0,41.0,-57.0,3.0,88.0,-85.0,,37.0,54.0,-16.0,15.0,36,0.0,0.0,0.0,36.0,-2.0,34,0.0,0.0,34.0,112.65,78.65,253.25825,0.12,0.12,0.444804,255.13075,0.12,0.12,0.428272,
06/30/2016,2793.0,2711.0,82.0,-1681.0,1649.0,32.0,1112.0,0.0,-873.0,691.0,,119.0,63.0,239.0,-48.0,-10.0,74.0,-84.0,,26.0,58.0,191.0,-18.0,199,38.0,38.0,0.0,161.0,-3.0,158,0.0,0.0,158.0,227.75,31.75,253.321,0.6,0.77372,0.899056,255.50525,0.6,0.748724,0.872988,
09/30/2016,2629.0,2546.0,83.0,-1592.0,1560.0,32.0,1037.0,0.0,-821.0,664.0,,118.0,39.0,216.0,-50.0,-11.0,74.0,-85.0,,40.0,61.0,166.0,-28.0,178,-8.0,-8.0,0.0,186.0,-3.0,183,0.0,0.0,183.0,189.85,14.85,253.43,0.69,0.66,0.749124,256.324,0.69,0.66,0.717936,
12/31/2016,2734.0,2657.0,77.0,-1640.0,1609.0,31.0,1094.0,0.0,-858.0,639.0,,113.0,106.0,236.0,-57.0,-53.0,107.0,-160.0,6.0,27.0,104.0,179.0,-18.0,188,1028.0,1028.0,0.0,-840.0,-3.0,-843,,0.0,-843.0,248.35,63.35,253.538,-3.35,0.71,0.979536,257.002,-3.35,0.7,0.946496,
03/31/2017,2454.0,2378.0,76.0,-1479.0,1446.0,33.0,975.0,0.0,-877.0,634.0,,111.0,132.0,98.0,-114.0,67.0,69.0,-2.0,,40.0,47.0,-16.0,24.0,48,6.0,6.0,0.0,42.0,-2.0,40,-4.0,0.0,36.0,162.029268,120.029268,254.038,0.14,0.17,0.637816,256.142,0.14,0.16,0.628604,
06/30/2017,2567.0,2493.0,74.0,-1524.0,1491.0,33.0,1043.0,0.0,-782.0,626.0,,102.0,54.0,261.0,-68.0,-21.0,57.0,-78.0,1.0,20.0,88.0,193.0,-43.0,170,0.0,0.0,0.0,170.0,-4.0,166,-0.003,0.0,165.997,191.68656,25.68956,254.193,0.64,0.64,0.754099,263.21,0.63,0.63,0.727601,
09/30/2017,2497.0,2424.0,73.0,-1496.0,1463.0,33.0,1001.0,0.0,-782.0,630.0,,105.0,47.0,219.0,-52.0,-15.0,62.0,-77.0,0.0,30.0,67.0,167.0,-18.0,179,-3.0,-3.0,0.0,182.0,-3.0,179,-4.0,0.0,175.0,213.940244,41.940244,254.51,0.69,0.68,0.840597,254.51,0.68,0.67,0.834788,
12/31/2017,2747.0,2676.0,71.0,-1639.0,1605.0,34.0,1108.0,0.0,-787.0,636.0,,106.0,45.0,321.0,-95.0,62.0,64.0,-2.0,0.0,25.0,33.0,226.0,-444.0,-193,-6.0,-6.0,0.0,-187.0,-3.0,-190,-3.0,0.0,-193.0,261.106757,460.106757,254.616,-0.76,-0.78,1.025492,254.616,-0.76,-0.78,1.025492,
03/31/2018,2435.0,2364.0,71.0,-1465.0,1431.0,34.0,970.0,0.0,-806.0,628.0,,100.0,78.0,164.0,-30.0,-14.0,63.0,-77.0,-2.0,-68.0,46.0,134.0,-40.0,26,0.0,0.0,0.0,26.0,-3.0,23,-4.0,0.0,19.0,125.568791,106.568791,254.66,0.08,0.08,0.493084,254.66,0.08,0.08,0.493084,
06/30/2018,2510.0,2442.0,68.0,-1509.0,1476.0,33.0,1001.0,0.0,-829.0,624.0,,101.0,104.0,172.0,-39.0,-16.0,60.0,-76.0,1.0,19.0,54.0,133.0,-38.0,114,0.0,0.0,0.0,114.0,-2.0,112,-2.0,0.0,110.0,201.887218,91.887218,254.895,0.42,0.42,0.792041,254.895,0.42,0.42,0.78049,
09/30/2018,2352.0,2287.0,65.0,-1410.0,1377.0,33.0,942.0,0.0,-693.0,583.0,,102.0,8.0,249.0,-57.0,-14.0,61.0,-75.0,3.0,43.0,68.0,192.0,-142.0,93,0.0,0.0,0.0,93.0,-4.0,89,-4.0,0.0,85.0,206.556829,121.556829,251.29,0.34,0.34,0.821986,251.29,0.34,0.34,0.821986,
12/31/2018,2498.0,2434.0,64.0,-1500.0,1468.0,32.0,998.0,0.0,-730.0,552.0,,94.0,84.0,268.0,-144.0,-7.0,60.0,-67.0,3.0,2.0,148.0,124.0,-34.0,92,-49.0,-49.0,0.0,141.0,-4.0,137,-3.0,0.0,134.0,215.969072,130.969072,239.285714,0.56,0.37,0.902557,239.285714,0.56,0.37,0.902557,
03/31/2019,2180.0,2117.0,63.0,-1303.0,1271.0,32.0,877.0,0.0,-765.0,546.0,,92.0,127.0,112.0,-39.0,-11.0,60.0,-71.0,2.0,2.0,48.0,73.0,10.0,85,-51.0,-51.0,0.0,136.0,-3.0,133,-4.0,0.0,129.0,139.531429,61.531429,228.567,0.57,0.35,0.610462,232.976,0.55,0.34,0.604111,
06/30/2019,2263.0,2202.0,61.0,-1378.0,1345.0,33.0,885.0,0.0,-695.0,517.0,,88.0,90.0,190.0,0.0,-8.0,59.0,-67.0,0.0,2.0,8.0,190.0,-50.0,142,-42.0,-42.0,0.0,184.0,-3.0,181,0.0,0.0,181.0,176.016129,37.016129,223.606,0.79,0.62,0.787171,223.606,0.77,0.6,0.765542,
09/30/2019,2200.0,2140.0,60.0,-1320.0,1287.0,33.0,880.0,0.0,-653.0,513.0,,100.0,40.0,227.0,3.0,-4.0,60.0,-64.0,4.0,58.0,-3.0,230.0,-66.0,222,0.0,0.0,0.0,222.0,-1.0,221,-4.0,0.0,217.0,215.77,-1.23,220.269,0.99,0.99,0.979575,220.269,0.96,0.96,0.954416,
12/31/2019,2444.0,2384.0,60.0,-1428.0,1395.0,33.0,1016.0,0.0,-672.0,512.0,,93.0,67.0,344.0,-8.0,-9.0,58.0,-67.0,1.0,3.0,16.0,336.0,-73.0,266,-553.0,-553.0,0.0,819.0,-1.0,818,-3.0,0.0,815.0,288.086667,26.086667,215.608466,3.78,1.22,1.336157,225.761773,3.61,1.17,1.28555,
03/31/2020,1860.0,1801.0,59.0,-1148.0,1118.0,30.0,712.0,0.0,-694.0,541.0,,84.0,69.0,18.0,-23.0,-24.0,51.0,-75.0,2.0,2.0,45.0,-5.0,1.0,-2,0.0,0.0,0.0,-2.0,0.0,-2,-4.0,0.0,-6.0,37.374384,43.374384,212.75,-0.03,-0.03,0.175673,212.75,-0.03,-0.03,0.173875,
06/30/2020,1465.0,1409.0,56.0,-901.0,871.0,30.0,564.0,0.0,-529.0,426.0,,76.0,27.0,35.0,0.0,-14.0,48.0,-62.0,2.0,0.0,12.0,35.0,-8.0,27,0.0,0.0,0.0,27.0,0.0,27,0.0,0.0,27.0,28.5,1.5,212.949,0.11,0.11,0.133835,212.949,0.11,0.11,0.117044,
09/30/2020,1604.75,,,,,,613.816875,,,,,,,298.0,,,,,,,,93.5,,46,,,,,,46,,,46.0,62.333,,,0.2,0.2,0.283,,0.2,0.2,0.283,
12/31/2020,1919.75,,,,,,748.7025,,,,,,,395.5,,,,,,,,242.0,,187,,,,,,187,,,187.0,146.333,,,0.57,0.57,0.653,,0.57,0.57,0.653,
