Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Discontinued Operations,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2015,1831801,21880,372911.0,239015.0,133896.0,558217.0,231402.0,295239.0,23254.0,,8322.0,,308412.0,41533.0,266879.0,312642.0,134059.0,,142975.0,,35608.0,35637.0,656691,-14598.0,642093,,,27394.0,23150.0,4244.0,,73956.0,0.0,135350,,899647,355971,154312.0,65243.0,,,,17700.0,60464.0,58252.0,192822,,,,192822.0,914.0,,914.0,,79219.0,,87205,1615778,11968,108155,31.0,108124.0,-3275,122463.0,-24691,214620,1403.0,216023,1831801,
06/30/2015,1829370,23413,367739.0,237054.0,130685.0,550475.0,218354.0,294126.0,30166.0,,7829.0,,319816.0,42644.0,277172.0,312302.0,135758.0,,141419.0,,35125.0,43921.0,676039,-14075.0,661964,,,27083.0,23012.0,4071.0,,62494.0,0.0,136202,,908037,342265,154546.0,72979.0,,,,11500.0,48373.0,54867.0,200345,,,,200345.0,841.0,,841.0,,64560.0,,92497,1608545,13968,108250,31.0,108219.0,-4628,126954.0,-25104,219440,1385.0,220825,1829370,
09/30/2015,1808356,21726,369630.0,231695.0,137935.0,548514.0,206075.0,300716.0,33940.0,,7783.0,,318226.0,45777.0,272449.0,304218.0,134109.0,,136450.0,,33659.0,37875.0,660319,-13626.0,646693,,,26324.0,22444.0,3880.0,,63013.0,0.0,132456,,904243,314473,148547.0,63733.0,,,,,42636.0,59557.0,213533,,,,213533.0,668.0,,668.0,,64130.0,,89172,1586219,15218,108292,31.0,108261.0,-6326,130921.0,-27257,220848,1289.0,222137,1808356,
12/31/2015,1731210,20900,331872.0,219675.0,112197.0,527986.0,185031.0,299136.0,36215.0,,7604.0,,316704.0,39871.0,276833.0,300913.0,140142.0,,127343.0,,33428.0,27683.0,645300,-12626.0,632674,,,26070.0,22349.0,3721.0,51192.0,57939.0,0.0,82577,,907887,281217,131650.0,59920.0,0.0,0.0,,,35925.0,53722.0,201275,0.0,0.0,,201275.0,2887.0,2236.0,651.0,3343.0,59216.0,,52293,1508118,16718,108319,31.0,108288.0,-7677,133841.0,-29344,221857,1235.0,223092,1731210,
03/31/2016,1800967,22240,361142.0,225093.0,136049.0,563955.0,210703.0,308774.0,36890.0,,7588.0,,326104.0,46343.0,279761.0,292720.0,133204.0,,126959.0,,32557.0,35261.0,654085,-12712.0,641373,,,26068.0,22575.0,3493.0,,65143.0,0.0,121046,,934591,343435,140267.0,73377.0,,,,33700.0,37834.0,58257.0,174135,,,,174135.0,3125.0,2452.0,673.0,,64925.0,,51995,1572206,17753,107621,31.0,107590.0,-8224,136998.0,-26626,227522,1239.0,228761,1800967,
06/30/2016,1818771,22140,356676.0,228683.0,127993.0,555844.0,199551.0,312765.0,35903.0,,7625.0,,332670.0,47431.0,285239.0,300845.0,145957.0,,123291.0,,31597.0,36851.0,670366,-12304.0,658062,,,28017.0,22496.0,5521.0,,74507.0,0.0,123525,,937852,335266,141056.0,73103.0,,,,23700.0,35353.0,62054.0,183748,,,,183748.0,3245.0,2657.0,588.0,,66066.0,,59573,1585750,19253,107761,31.0,107730.0,-9538,140527.0,-26115,231888,1133.0,233021,1818771,
09/30/2016,1818117,23419,368616.0,236045.0,132571.0,557676.0,202736.0,308117.0,38588.0,,8235.0,,335228.0,48448.0,286780.0,303207.0,150470.0,,120808.0,,31929.0,36112.0,674547,-12439.0,662108,,,27897.0,22539.0,5358.0,,62457.0,0.0,115944,,940252,322204,135907.0,77632.0,,,,,46744.0,61921.0,209051,,,,209051.0,2721.0,2130.0,591.0,,56387.0,,54812,1585427,19253,107906,31.0,107875.0,-12069,143678.0,-27193,231575,1115.0,232690,1818117,
12/31/2016,1792077,23043,374264.0,236813.0,137451.0,533476.0,180172.0,299424.0,45667.0,,8213.0,,323567.0,45653.0,277914.0,300802.0,156437.0,,115760.0,,28605.0,28887.0,653256,-12060.0,641196,,,26773.0,21659.0,5114.0,49690.0,65808.0,0.0,77827,,929406,312292,125685.0,82618.0,0.0,0.0,,,46837.0,57152.0,206178,0.0,0.0,,206178.0,2567.0,2010.0,557.0,3022.0,57926.0,,54543,1565934,19253,108073,31.0,108042.0,-16302,146477.0,-32381,225120,1023.0,226143,1792077,
03/31/2017,1821635,22272,400702.0,242929.0,157773.0,534357.0,188524.0,290282.0,47942.0,,7609.0,,333693.0,47173.0,286520.0,294902.0,150296.0,,114992.0,,29614.0,36888.0,665483,-12030.0,653453,,,27278.0,22265.0,5013.0,,57292.0,0.0,126281,,949990,344123,133129.0,91211.0,,,,18900.0,41228.0,59655.0,189630,,,,189630.0,2025.0,1475.0,550.0,,53790.0,,52924,1592482,19253,107644,31.0,107613.0,-17579,149731.0,-30917,228132,1021.0,229153,1821635,
06/30/2017,1864063,20940,399207.0,234065.0,165142.0,553280.0,201570.0,293629.0,50175.0,,7906.0,,346330.0,50372.0,295958.0,298365.0,155557.0,,112843.0,,29965.0,40487.0,685182,-12025.0,673157,,,27236.0,22349.0,4887.0,,58978.0,0.0,131265,,958743,355954,141304.0,85808.0,,,,15900.0,49995.0,62947.0,209279,,,,209279.0,2066.0,1450.0,616.0,,51890.0,,55024,1632956,19253,107829,31.0,107798.0,-19342,152178.0,-29899,230019,1088.0,231107,1864063,
09/30/2017,1889133,22604,416113.0,252608.0,163505.0,557651.0,202977.0,295315.0,51527.0,,7832.0,,355961.0,51366.0,304595.0,297222.0,156919.0,,110854.0,,29449.0,38076.0,691259,-12366.0,678893,,,27077.0,22345.0,4732.0,,57175.0,0.0,129620,,964038,349592,145280.0,86956.0,,,,,54151.0,63205.0,232673,,,,232673.0,1916.0,1305.0,611.0,,52573.0,,59719,1660511,19253,107927,31.0,107896.0,-24829,155174.0,-29891,227634,988.0,228622,1889133,
12/31/2017,1842465,23775,389219.0,232478.0,156741.0,557384.0,205094.0,290914.0,53320.0,,8056.0,,362105.0,53538.0,308567.0,304929.0,165263.0,,109548.0,,30118.0,38384.0,705418,-12355.0,693063,,,26844.0,22256.0,4588.0,26797.0,47696.0,0.0,77687,,959822,322365,142646.0,60294.0,0.0,0.0,,,58083.0,61342.0,236709,0.0,0.0,,236709.0,2057.0,1620.0,437.0,4316.0,64876.0,,50648,1640793,19253,108039,31.0,108008.0,-30309,138425.0,-34668,200740,932.0,201672,1842465,
03/31/2018,1922104,21850,438741.0,257887.0,180854.0,565884.0,213913.0,291523.0,52492.0,,7956.0,,347688.0,54587.0,293101.0,325251.0,157074.0,,108245.0,,59932.0,46572.0,719511,-12355.0,707156,,,27109.0,22659.0,4450.0,,54895.0,0.0,106469,,1001219,408582,157550.0,94244.0,,,,36800.0,50303.0,69685.0,201138,,,,201138.0,1978.0,1401.0,577.0,,49717.0,,56604,1719238,19156,107630,31.0,107599.0,-32115,141863.0,-34619,201915,951.0,202866,1922104,
06/30/2018,1912334,21077,445351.0,265526.0,179825.0,556521.0,206805.0,289031.0,52897.0,,7788.0,,374691.0,55071.0,319620.0,296489.0,160680.0,,104748.0,,31061.0,36977.0,708157,-12126.0,696031,,,26787.0,22058.0,4729.0,,56144.0,0.0,110423,,996730,392465,162555.0,87332.0,,,,22400.0,52506.0,67672.0,214422,,,,214422.0,1610.0,1042.0,568.0,,53413.0,,52726,1711366,19035,107755,31.0,107724.0,-34413,145211.0,-37494,200094,874.0,200968,1912334,
09/30/2018,1925165,25727,454500.0,280941.0,173559.0,546802.0,201289.0,284782.0,53249.0,,7482.0,,376734.0,56549.0,320185.0,298175.0,162022.0,,104762.0,,31391.0,40679.0,715588,-12336.0,703252,,,26785.0,22187.0,4598.0,,56213.0,0.0,111886,,1005176,380943,161987.0,97912.0,,,,,47698.0,73346.0,235270,,,,235270.0,758.0,271.0,487.0,,49740.0,,55415,1727302,19035,107856,31.0,107825.0,-39678,148436.0,-38645,197004,859.0,197863,1925165,
12/31/2018,1917383,23645,435144.0,270684.0,164460.0,560604.0,201997.0,288038.0,63357.0,,7212.0,,381836.0,59032.0,322804.0,302360.0,169493.0,11543.0,83384.0,,37940.0,35450.0,719646,-12315.0,707331,,,26682.0,22046.0,4636.0,27685.0,54120.0,0.0,82172,,1013170,367054,166090.0,92369.0,0.0,0.0,,,44024.0,64571.0,231999,0.0,0.0,,231999.0,1932.0,1615.0,317.0,4782.0,51936.0,,49436,1720309,18460,107953,31.0,107922.0,-44370,151347.0,-37170,196220,854.0,197074,1917383,
03/31/2019,1958413,24448,445940.0,264495.0,181445.0,584378.0,235097.0,275132.0,66842.0,,7307.0,,362459.0,58251.0,304208.0,319887.0,159969.0,,100645.0,,59273.0,44500.0,726846,-12329.0,714517,4100.0,4100.0,26682.0,22037.0,4645.0,,51414.0,0.0,106934,,1030355,381058,172231.0,88004.0,704.0,,704.0,,57463.0,62656.0,246974,3408.0,,3408.0,243566.0,1406.0,933.0,473.0,,48388.0,,53217,1761398,17980,107582,31.0,107551.0,-47861,154859.0,-36308,196252,763.0,197015,1958413,
06/30/2019,1988226,24997,438015.0,259769.0,178246.0,602425.0,252723.0,273435.0,68693.0,,7574.0,,362675.0,60375.0,302300.0,325995.0,165241.0,,92458.0,,68296.0,50027.0,738697,-12466.0,726231,2900.0,2900.0,26583.0,22065.0,4518.0,,54108.0,0.0,112967,,1045607,343623,168861.0,49773.0,436.0,,436.0,,54714.0,69839.0,254855,2666.0,,2666.0,252189.0,973.0,502.0,471.0,,86521.0,,58537,1790116,17980,107688,31.0,107657.0,-51427,158321.0,-35203,197359,751.0,198110,1988226,
09/30/2019,2014802,24086,457482.0,261125.0,196357.0,606805.0,248422.0,275425.0,75841.0,,7117.0,,365705.0,62177.0,303528.0,326038.0,165782.0,,92831.0,,67425.0,54215.0,745958,-12530.0,733428,3000.0,3000.0,26666.0,21822.0,4844.0,,58402.0,0.0,104933,,1087769,347317,180875.0,53457.0,241.0,,241.0,,49402.0,63342.0,245272,3034.0,,3034.0,242238.0,1122.0,809.0,313.0,,82139.0,,54113,1817732,19480,107772,31.0,107741.0,-56541,161797.0,-36135,196373,697.0,197070,2014802,
12/31/2019,1951158,23967,421274.0,251322.0,169952.0,587770.0,219207.0,280265.0,80775.0,,7523.0,,389935.0,64536.0,325399.0,309548.0,175072.0,9223.0,84694.0,,40559.0,39857.0,739340,-12783.0,726557,3100.0,3100.0,26453.0,22126.0,4327.0,28973.0,56933.0,0.0,76131,,1070590,333256,155164.0,72466.0,801.0,0.0,801.0,,56224.0,48601.0,251299,2539.0,0.0,2539.0,248760.0,1889.0,1285.0,604.0,5879.0,47428.0,,46871,1757212,17980,107871,31.0,107840.0,-61660,165369.0,-36318,193242,704.0,193946,1951158,
03/31/2020,2219770,23755,524701.0,262536.0,262165.0,666644.0,267761.0,308219.0,82315.0,,8349.0,,432590.0,66127.0,366463.0,288430.0,159117.0,8936.0,82660.0,,37717.0,68555.0,789575,-20841.0,768734,2900.0,2900.0,25457.0,21264.0,4193.0,,97239.0,0.0,110340,,1184911,437819,213525.0,86176.0,,,,,63750.0,74368.0,269298,3200.0,,3200.0,266098.0,1428.0,1112.0,316.0,,77819.0,,55513,2026788,17980,107581,31.0,107550.0,-64147,163438.0,-32521,192331,651.0,192982,2219770,
06/30/2020,2232715,22889,569801.0,282917.0,286884.0,722969.0,289716.0,342256.0,83332.0,,7665.0,,333424.0,69088.0,264336.0,351868.0,219753.0,8524.0,84912.0,,38679.0,51633.0,736925,-26420.0,710505,3100.0,3100.0,25505.0,21399.0,4106.0,,72595.0,0.0,105351,,1233660,405311,203819.0,88866.0,,,,,52059.0,60567.0,279775,,,,279775.0,1468.0,1144.0,324.0,,60398.0,,59801,2040413,17980,107699,31.0,107668.0,-64143,163431.0,-33345,191622,680.0,192302,2232715,
