Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2009,15743,1802,1802,0.0,2133,,2496,622.0,795.0,1079.0,0.0,641,84.0,,,574.0,7072,4757,9410.0,-4653.0,,3914,2267.0,1756.0,511.0,,1563,8671,,3151.0,,,,3151.0,239,234.0,,,,5.0,5,,87.0,,0,3395,3593,3593.0,,,,1981,,,1894,5574,8969,,6324,683.0,5641.0,-4600,6580.0,-1752,6552,222.0,6774,15743,
09/30/2009,16954,2571,2571,0.0,2229,,2628,646.0,837.0,1145.0,0.0,636,92.0,,,592.0,8064,4963,9780.0,-4817.0,,3927,2374.0,1836.0,538.0,,1461,8890,,3426.0,,,,3426.0,33,31.0,,,,2.0,9,,136.0,,0,3468,4136,4136.0,,,,2039,,,1903,6175,9643,,6345,683.0,5662.0,-4604,6954.0,-1609,7086,225.0,7311,16954,
12/31/2009,17354,2786,2786,0.0,2302,,2557,598.0,842.0,1117.0,0.0,626,60.0,,1095.0,355.0,8271,5159,10060.0,-4901.0,0.0,3924,2338.0,1825.0,513.0,20.0,411,9083,,981.0,807.0,,174.0,,711,29.0,0.0,0.0,,682.0,2772,,1.0,,2772,4464,3440,3440.0,0.0,0.0,,2030,0.0,1628.0,401,5470,9934,0.0,6366,683.0,5683.0,-4741,7343.0,-1777,7191,229.0,7420,17354,
03/31/2010,17166,2673,2673,0.0,2254,,2477,514.0,850.0,1113.0,0.0,611,84.0,,,587.0,8015,5064,9950.0,-4886.0,0.0,4087,2558.0,2002.0,556.0,,1445,9151,,3526.0,,,,3526.0,697,15.0,,,,682.0,61,,3.0,,0,4284,4056,4056.0,,,,2167,,,2164,6223,10507,0.0,6358,683.0,5675.0,-4926,7030.0,-2033,6429,230.0,6659,17166,
06/30/2010,16487,2300,2300,0.0,2072,,2384,469.0,858.0,1057.0,0.0,619,146.0,,,582.0,7375,4983,9868.0,-4885.0,0.0,4129,2478.0,1956.0,522.0,,1505,9112,,3390.0,,,,3390.0,695,15.0,,,,680.0,0,,15.0,,0,4085,4119,4119.0,,,,2149,,,2134,6268,10353,0.0,6385,683.0,5702.0,-5515,7376.0,-2348,5898,236.0,6134,16487,
09/30/2010,17563,2788,2788,0.0,2205,,2500,550.0,863.0,1087.0,0.0,647,192.0,,,626.0,8140,5208,10450.0,-5242.0,0.0,4215,2545.0,2027.0,518.0,,1478,9423,,3676.0,,,,3676.0,523,15.0,,,,508.0,0,,59.0,,0,4199,4360,4360.0,,,,2241,,,2182,6601,10800,0.0,6412,683.0,5729.0,-5627,7717.0,-1971,6531,232.0,6763,17563,
12/31/2010,17489,2685,2685,0.0,2265,,2371,536.0,787.0,1048.0,0.0,668,136.0,,1139.0,322.0,7989,5260,10591.0,-5331.0,0.0,4240,2515.0,2015.0,500.0,21.0,429,9500,,1271.0,745.0,0.0,526.0,0.0,24,15.0,0.0,0.0,,9.0,2746,0.0,2.0,,2111,4041,4363,4363.0,0.0,0.0,,2289,0.0,1470.0,817,6652,10693,0.0,6436,683.0,5753.0,-5655,7925.0,-2139,6567,229.0,6796,17489,
03/31/2011,17413,2168,2168,0.0,2399,,2517,554.0,886.0,1077.0,0.0,677,122.0,,,658.0,7761,5419,10811.0,-5392.0,,4233,2560.0,2060.0,500.0,,1551,9652,,3844.0,,,,3844.0,23,14.0,,,,9.0,22,,3.0,,0,3889,4351,4351.0,,,,2202,,,2199,6553,10442,,6420,683.0,5737.0,-6127,8316.0,-1875,6734,237.0,6971,17413,
06/30/2011,17741,2018,2018,0.0,2491,,2648,580.0,894.0,1174.0,0.0,652,116.0,,,621.0,7809,5481,10846.0,-5365.0,0.0,4451,2870.0,2168.0,702.0,,1465,9932,,3993.0,,,,3993.0,22,13.0,,,,9.0,16,,1.0,,0,4031,4378,4378.0,,,,2088,,,2087,6466,10497,0.0,6434,683.0,5751.0,-6419,8754.0,-1772,6997,247.0,7244,17741,
09/30/2011,17843,2338,2338,0.0,2347,,2621,587.0,910.0,1124.0,0.0,696,116.0,,,654.0,8002,5426,10794.0,-5368.0,,4415,2829.0,2119.0,710.0,,1470,9841,,4059.0,,,,4059.0,95,87.0,,,,8.0,11,,9.0,,0,4165,4447,4447.0,,,,2041,,,2032,6488,10653,,6455,683.0,5772.0,-6608,9154.0,-2049,6952,238.0,7190,17843,
12/31/2011,19073,2905,2905,0.0,2420,,2628,596.0,923.0,1109.0,0.0,697,78.0,,1123.0,348.0,8650,5525,10973.0,-5448.0,0.0,4898,3143.0,2317.0,826.0,25.0,529,10423,,1336.0,795.0,353.0,188.0,0.0,446,256.0,0.0,0.0,,190.0,3075,0.0,4.0,,2337,4857,4749,4749.0,0.0,0.0,,2639,0.0,1867.0,768,7388,12245,0.0,6466,683.0,5783.0,-6719,9429.0,-2591,6585,243.0,6828,19073,
03/31/2012,18784,2272,2272,0.0,2341,,2737,673.0,855.0,1209.0,0.0,767,61.0,,,724.0,8117,5637,11117.0,-5480.0,0.0,5030,3405.0,2488.0,917.0,,1564,10667,,4055.0,,,,4055.0,798,313.0,,,,485.0,4,,1.0,,0,4857,4411,4411.0,,,,2552,,,2551,6963,11820,0.0,6449,683.0,5766.0,-7106,9831.0,-2449,6725,239.0,6964,18784,
06/30/2012,18446,2353,2353,0.0,2225,,2730,667.0,892.0,1171.0,0.0,740,70.0,,,697.0,8048,5623,11121.0,-5498.0,0.0,4775,3354.0,2467.0,887.0,,1351,10398,,3988.0,,,,3988.0,882,385.0,,,,497.0,0,,2.0,,0,4870,4432,4432.0,,,,2532,,,2530,6964,11834,0.0,6448,683.0,5765.0,-7466,10306.0,-2737,6551,61.0,6612,18446,
09/30/2012,19825,3191,3191,0.0,2324,,2831,693.0,963.0,1175.0,0.0,759,74.0,,,737.0,9105,5862,11539.0,-5677.0,0.0,4858,3365.0,2498.0,867.0,,1419,10720,,4125.0,,,,4125.0,333,16.0,,,,317.0,0,,11.0,,0,4458,5614,5614.0,,,,2563,,,2552,8177,12635,0.0,6457,683.0,5774.0,-7421,10642.0,-2549,7129,61.0,7190,19825,
12/31/2012,20390,3270,3270,0.0,2425,,2803,765.0,898.0,1140.0,0.0,762,114.0,,1156.0,390.0,9260,6098,11869.0,-5771.0,0.0,5032,3316.0,2502.0,814.0,38.0,408,11130,,2341.0,766.0,878.0,697.0,,350,27.0,0.0,0.0,,323.0,2068,0.0,11.0,,1190,4759,5580,5580.0,0.0,0.0,,3073,0.0,2366.0,696,8653,13412,0.0,6452,683.0,5769.0,-7592,10888.0,-2810,6938,40.0,6978,20390,
03/31/2013,20318,2689,2689,0.0,2319,,2963,786.0,937.0,1240.0,0.0,843,113.0,,,773.0,8814,6205,11868.0,-5663.0,,5299,3637.0,2506.0,1131.0,,1549,11504,,4068.0,,,,4068.0,710,333.0,,,,377.0,0,,2.0,,0,4778,5157,5157.0,,,,3382,,,3380,8539,13317,,6410,683.0,5727.0,-7886,11194.0,-2757,6961,40.0,7001,20318,
06/30/2013,23751,5989,5989,0.0,2342,,3069,778.0,990.0,1301.0,0.0,785,47.0,,,740.0,12185,6361,12111.0,-5750.0,,5205,3551.0,2498.0,1053.0,,1607,11566,,4105.0,,,,4105.0,411,33.0,,,,378.0,0,,2.0,,0,4516,8624,8624.0,,,,3296,,,3294,11920,16436,,6445,683.0,5762.0,-7915,11517.0,-2765,7282,33.0,7315,23751,
09/30/2013,25250,2376,2376,0.0,2766,,3581,967.0,1009.0,1605.0,0.0,874,50.0,,,828.0,9597,7518,13324.0,-5806.0,0.0,8135,6462.0,3780.0,2682.0,,1623,15653,,4582.0,,,,4582.0,414,42.0,,,,372.0,0,,8.0,,0,4996,8652,8652.0,,,,3856,,,3848,12508,17504,0.0,6468,683.0,5785.0,-7911,11792.0,-2600,7749,-3.0,7746,25250,
12/31/2013,25869,2733,2733,0.0,2911,,3499,920.0,1136.0,1443.0,0.0,861,72.0,,876.0,468.0,10004,7832,13795.0,-5963.0,0.0,8033,6499.0,4205.0,2294.0,50.0,536,15865,,1671.0,1103.0,0.0,568.0,,1040,181.0,0.0,0.0,,859.0,3195,0.0,22.0,,2435,5906,8126,8126.0,0.0,0.0,,3351,0.0,3187.0,142,11477,17383,0.0,6501,683.0,5818.0,-7914,11852.0,-1976,8463,23.0,8486,25869,
03/31/2014,25261,2049,2049,0.0,2708,,3748,873.0,1130.0,1745.0,0.0,883,38.0,,,861.0,9388,7962,14077.0,-6115.0,0.0,7911,6495.0,4227.0,2268.0,,1378,15873,,4456.0,,,,4456.0,1177,49.0,,,,1128.0,12,,4.0,,0,5645,7517,7517.0,,,,3406,,,3402,10923,16568,0.0,6448,683.0,5765.0,-7973,12142.0,-1946,8671,22.0,8693,25261,
06/30/2014,25629,1866,1866,0.0,2914,,3836,829.0,1221.0,1786.0,0.0,871,54.0,,,852.0,9487,8152,14366.0,-6214.0,0.0,7990,6555.0,4226.0,2329.0,,1381,16142,,4484.0,,,,4484.0,1311,186.0,,,,1125.0,0,,5.0,,0,5795,7528,7528.0,,,,3619,,,3614,11147,16942,0.0,6468,683.0,5785.0,-8039,12378.0,-2145,8662,25.0,8687,25629,
09/30/2014,25563,2078,2078,0.0,2842,,3704,920.0,1115.0,1669.0,0.0,1007,46.0,,,968.0,9631,8448,14508.0,-6060.0,0.0,7484,6201.0,4016.0,2185.0,,1237,15932,,4460.0,,,,4460.0,1515,392.0,,,,1123.0,15,,9.0,,15,5990,7753,7753.0,,,,3394,,,3385,11147,17137,0.0,6499,683.0,5816.0,-8004,12563.0,-2654,8404,22.0,8426,25563,
12/31/2014,25917,2925,2925,0.0,2803,,3559,910.0,1126.0,1523.0,0.0,1064,90.0,,273.0,512.0,10351,8698,14808.0,-6110.0,0.0,6868,5953.0,3874.0,2079.0,53.0,499,15566,,1882.0,1264.0,336.0,282.0,0.0,1699,913.0,0.0,0.0,,786.0,2461,0.0,25.0,,2452,6042,7606,7606.0,0.0,0.0,,4113,0.0,2158.0,1930,11719,17761,0.0,6536,683.0,5853.0,-7993,13227.0,-3650,8120,36.0,8156,25917,
03/31/2015,24861,2530,2530,0.0,2599,,3501,859.0,1107.0,1535.0,0.0,1104,136.0,,,1025.0,9734,8492,14366.0,-5874.0,0.0,6635,5762.0,3694.0,2068.0,,737,15127,,3749.0,,,,3749.0,2325,2151.0,,,,174.0,0,,58.0,,0,6074,7680,7680.0,,,,3819,,,3761,11499,17573,0.0,6505,683.0,5822.0,-7890,13352.0,-4709,7258,30.0,7288,24861,
06/30/2015,30015,6680,6680,0.0,2852,,3842,900.0,1226.0,1716.0,0.0,1123,78.0,,,1090.0,14497,8967,15146.0,-6179.0,0.0,6551,5876.0,3792.0,2084.0,,597,15518,,4148.0,,,,4148.0,2164,1493.0,,,,671.0,0,,21.0,,0,6312,12054,12054.0,,,,3628,,,3607,15682,21994,0.0,6543,683.0,5860.0,-7798,13389.0,-4146,7988,33.0,8021,30015,
09/30/2015,20172,6126,1970,4156.0,1772,,1696,380.0,153.0,1163.0,0.0,1544,65.0,210.0,,1314.0,11138,4338,8964.0,-4626.0,0.0,4696,4128.0,2720.0,1408.0,,503,9034,,3000.0,,,,3000.0,2938,1962.0,,,,976.0,43,,1.0,,43,5981,3791,3791.0,,,,2555,,,2554,6346,12327,0.0,6560,683.0,5877.0,-7697,9578.0,-617,7824,21.0,7845,20172,
12/31/2015,20962,7361,2213,5148.0,1731,,1604,374.0,142.0,1088.0,0.0,1100,47.0,245.0,354.0,846.0,11796,4386,8990.0,-4604.0,0.0,4780,4036.0,2687.0,1349.0,47.0,296,9166,,1306.0,716.0,453.0,137.0,0.0,2585,1775.0,0.0,0.0,,810.0,1859,0.0,2.0,,1859,5750,3922,3922.0,0.0,0.0,,2425,0.0,1997.0,426,6347,12097,0.0,6585,683.0,5902.0,-7646,9683.0,224,8846,19.0,8865,20962,
03/31/2016,17350,3443,2211,1232.0,1830,,1682,369.0,159.0,1154.0,0.0,1062,33.0,111.0,,942.0,8017,4403,9134.0,-4731.0,0.0,4930,4086.0,2727.0,1359.0,,811,9333,,2524.0,,137.0,,2387.0,1289,817.0,,,,472.0,10,,0.0,,7,3823,2068,2068.0,,,,2439,,,2439,4507,8330,0.0,6565,683.0,5882.0,-7434,12923.0,-3035,9019,1.0,9020,17350,
06/30/2016,15982,2630,2630,0.0,1813,,1591,358.0,145.0,1088.0,0.0,789,38.0,78.0,,701.0,6823,4329,9129.0,-4800.0,0.0,4830,3912.0,2658.0,1254.0,,880,9159,,2645.0,,108.0,,2537.0,1074,791.0,,,,283.0,4,,0.0,,1,3723,2094,2094.0,,,,1655,,,1655,3749,7472,0.0,6583,683.0,5900.0,-7907,14037.0,-4204,8509,1.0,8510,15982,
09/30/2016,15795,2597,2597,0.0,1739,,1568,346.0,148.0,1074.0,0.0,685,17.0,51.0,,621.0,6589,4327,9258.0,-4931.0,0.0,4879,3859.0,2679.0,1180.0,,1003,9206,,2597.0,,98.0,,2499.0,6,0.0,,,,6.0,3,,0.0,,0,2606,2834,2834.0,,,,1691,,,1691,4525,7131,0.0,6613,683.0,5930.0,-7813,14049.0,-4172,8677,-13.0,8664,15795,
12/31/2016,15546,2801,2801,0.0,1691,,1430,319.0,122.0,989.0,0.0,652,8.0,50.0,629.0,580.0,6574,4289,9162.0,-4873.0,0.0,4683,3706.0,2595.0,1111.0,42.0,298,8972,,987.0,791.0,126.0,70.0,0.0,3,0.0,0.0,0.0,,3.0,1754,0.0,3.0,,1754,2744,2779,2779.0,0.0,0.0,,1743,0.0,1459.0,281,4522,7266,0.0,6641,683.0,5958.0,-7995,14200.0,-4556,8290,-10.0,8280,15546,
03/31/2017,15659,2858,2858,0.0,1646,,1480,321.0,130.0,1029.0,0.0,649,8.0,46.0,,591.0,6633,4274,9336.0,-5062.0,0.0,4752,3724.0,2633.0,1091.0,,1020,9026,,2432.0,,102.0,,2330.0,3,0.0,,,,3.0,3,,0.0,,0,2438,2784,2784.0,,,,1762,,,1762,4546,6984,0.0,6591,683.0,5908.0,-7810,14323.0,-4418,8686,-11.0,8675,15659,
06/30/2017,16963,3817,3817,0.0,1721,,1525,329.0,141.0,1055.0,0.0,641,10.0,22.0,,608.0,7704,4337,9592.0,-5255.0,0.0,4922,3855.0,2746.0,1109.0,,1057,9259,,2554.0,,83.0,,2471.0,3,0.0,,,,3.0,1,,0.0,,0,2558,3454,3454.0,,,,1786,,,1786,5240,7798,0.0,6593,683.0,5910.0,-7722,14480.0,-4176,9175,-10.0,9165,16963,
09/30/2017,17541,3517,3517,0.0,1748,,1550,351.0,135.0,1064.0,0.0,633,8.0,0.0,,622.0,7448,4488,9954.0,-5466.0,0.0,5605,4488.0,3117.0,1371.0,,1109,10093,,2659.0,,87.0,,2572.0,3,0.0,,,,3.0,0,,5.0,,0,2662,3495,3495.0,,,,1925,,,1920,5420,8082,0.0,6601,683.0,5918.0,-7756,14615.0,-3994,9466,-7.0,9459,17541,
12/31/2017,17111,3394,3394,0.0,1793,,1475,347.0,116.0,1012.0,0.0,601,5.0,0.0,408.0,587.0,7263,4588,10148.0,-5560.0,0.0,5260,4473.0,3099.0,1374.0,65.0,309,9848,,1092.0,920.0,85.0,87.0,0.0,3,0.0,0.0,0.0,,3.0,1726,0.0,4.0,,1726,2821,3509,3509.0,0.0,0.0,,1665,0.0,1168.0,493,5174,7995,0.0,6623,683.0,5940.0,-7981,14483.0,-4001,9124,-8.0,9116,17111,
03/31/2018,16890,2947,2947,0.0,1807,,1581,361.0,166.0,1054.0,0.0,621,11.0,,,610.0,6956,4614,10390.0,-5776.0,0.0,5320,4614.0,3107.0,1507.0,,695,9934,,2639.0,,106.0,,2533.0,3,0.0,,,,3.0,0,,4.0,,0,2642,3550,3550.0,,,,1605,,,1601,5155,7797,0.0,6595,683.0,5912.0,-8354,14734.0,-3876,9099,-6.0,9093,16890,
06/30/2018,16578,2857,2857,0.0,1783,,1622,371.0,179.0,1072.0,0.0,628,0.0,,,611.0,6890,4531,10233.0,-5702.0,0.0,5157,4411.0,2984.0,1427.0,,746,9688,,2626.0,,102.0,,2524.0,3,0.0,,,,3.0,0,,3.0,,0,2629,3495,3495.0,,,,1585,,,1582,5080,7709,0.0,6599,683.0,5916.0,-8485,14966.0,-4199,8881,-12.0,8869,16578,
09/30/2018,16847,2860,2860,0.0,1826,,1718,373.0,224.0,1121.0,0.0,624,1.0,0.0,,607.0,7028,4520,10323.0,-5803.0,0.0,5299,4382.0,2980.0,1402.0,,916,9819,,2701.0,,109.0,,2592.0,3,0.0,,,,3.0,0,,2.0,,0,2704,3485,3485.0,,,,1545,,,1543,5030,7734,0.0,6614,683.0,5931.0,-8639,15394.0,-4239,9130,-17.0,9113,16847,
12/31/2018,15720,1838,1838,0.0,1840,,1667,367.0,207.0,1093.0,0.0,614,1.0,,483.0,590.0,5959,4530,10333.0,-5803.0,0.0,5231,4412.0,3002.0,1410.0,60.0,275,9761,,2804.0,998.0,104.0,101.0,1601.0,4,2.0,,,,2.0,6,0.0,0.0,215.0,0,2814,3481,3481.0,0.0,,0.0,1559,0.0,1087.0,257,5040,7854,0.0,6581,683.0,5898.0,-9989,15075.0,-3823,7844,22.0,7866,15720,
03/31/2019,16350,1908,1908,0.0,1802,,1751,378.0,213.0,1160.0,0.0,626,0.0,,,611.0,6087,5056,10987.0,-5931.0,0.0,5207,4371.0,2930.0,1441.0,,836,10263,,2432.0,,,,2432.0,895,796.0,98.0,1.0,97.0,1.0,0,,14.0,,0,3327,3871,3394.0,477.0,57.0,420.0,1483,,,1469,5354,8681,0.0,6522,683.0,5839.0,-10284,15970.0,-4562,7646,23.0,7669,16350,
06/30/2019,17544,2925,2925,0.0,1885,,1757,397.0,197.0,1163.0,0.0,651,0.0,,,630.0,7218,5129,11181.0,-6052.0,0.0,5197,4302.0,2938.0,1364.0,,895,10326,,2495.0,,,,2495.0,102,2.0,99.0,1.0,98.0,1.0,0,,38.0,,0,2597,5647,5099.0,548.0,58.0,490.0,1464,,,1426,7111,9708,0.0,6589,683.0,5906.0,-10322,16184.0,-4639,7812,24.0,7836,17544,
09/30/2019,17299,3009,3009,0.0,1814,,1715,380.0,194.0,1141.0,0.0,672,1.0,0.0,,646.0,7210,4995,10968.0,-5973.0,0.0,5094,4212.0,2847.0,1365.0,,881,10089,,2511.0,,,,2511.0,100,0.0,98.0,0.0,98.0,2.0,0,,96.0,,0,2611,5557,5010.0,547.0,53.0,494.0,1514,,,1418,7071,9682,0.0,6609,683.0,5926.0,-10582,15849.0,-4288,7588,29.0,7617,17299,
12/31/2019,18193,3335,3335,0.0,1896,,1653,377.0,185.0,1091.0,0.0,619,10.0,,621.0,608.0,7503,5120,11268.0,-6148.0,0.0,5570,4501.0,3030.0,1471.0,77.0,361,10690,,2588.0,892.0,85.0,111.0,1500.0,642,226.0,101.0,0.0,101.0,315.0,0,0.0,2.0,192.0,0,3230,5319,4755.0,564.0,54.0,510.0,1732,0.0,1260.0,278,7051,10281,0.0,6638,683.0,5955.0,-10764,15718.0,-3710,7882,30.0,7912,18193,
03/31/2020,19075,4110,4110,0.0,1892,,1694,402.0,188.0,1104.0,0.0,637,0.0,,,608.0,8333,4917,11020.0,-6103.0,0.0,5825,4720.0,2961.0,1759.0,,1105,10742,,2493.0,,,,2493.0,536,221.0,,,,315.0,7,,459.0,,0,3036,6482,5996.0,486.0,,486.0,1827,,,1368,8309,11345,0.0,6618,683.0,5935.0,-10677,15935.0,-4177,7699,31.0,7730,19075,
06/30/2020,19465,4085,4085,0.0,1884,,1905,450.0,189.0,1266.0,0.0,692,0.0,,,671.0,8566,4963,11264.0,-6301.0,0.0,5936,4768.0,3052.0,1716.0,,1168,10899,,2560.0,,,,2560.0,319,1.0,,,,318.0,1,,217.0,,0,2880,6543,6055.0,488.0,,488.0,1882,,,1665,8425,11305,0.0,6658,683.0,5975.0,-10597,16055.0,-3988,8128,32.0,8160,19465,
