Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2016,2529,1426,261,434.0,288.0,218.0,70.0,0.0,120,120.0,0.0,3640.0,-302.0,0.0,-302.0,-74.0,271.0,,,,-345.0,4039.0,4039.0,0.0,0.0,-155.0,0.0,-155.0,0.0,132.0,-3924.0,-302.0,-3218.0,-2217.0,0.0,35.0,-1036.0,-1177.0,11.0,-1188.0,773.0,0.0,38.0,2283.0,,,
06/30/2016,671,2015,275,463.0,-1007.0,-1070.0,63.0,0.0,-1075,-1075.0,0.0,8498.0,-347.0,0.0,-347.0,-105.0,341.0,,,,-446.0,8963.0,8963.0,0.0,0.0,-7.0,0.0,-7.0,0.0,-6.0,-410.0,-299.0,2918.0,-303.0,0.0,3743.0,-522.0,-1662.0,64.0,-1726.0,-1367.0,0.0,-37.0,8722.0,,,
09/30/2016,1751,1142,274,504.0,-167.0,-224.0,57.0,0.0,-2,-2.0,0.0,-2008.0,-326.0,,-326.0,84.0,648.0,,,,-564.0,-1184.0,-1184.0,,,-29.0,0.0,-29.0,0.0,-553.0,-6984.0,-291.0,-5163.0,480.0,0.0,2148.0,-7791.0,-625.0,3.0,-628.0,-905.0,0.0,-6.0,-7247.0,,,
12/31/2016,3340,825,285,626.0,4624.0,,41.0,4583.0,1563,1563.0,0.0,-8407.0,-400.0,0.0,-400.0,460.0,1267.0,,,,-807.0,-8598.0,-8598.0,0.0,0.0,-296.0,0.0,-296.0,0.0,427.0,3719.0,-315.0,5327.0,2928.0,0.0,2898.0,-499.0,-857.0,99.0,-956.0,-436.0,0.0,-155.0,-1503.0,3000.0,1700.0,
03/31/2017,1160,1251,296,573.0,107.0,18.0,89.0,0.0,-1067,-1067.0,0.0,711.0,-277.0,0.0,-277.0,-434.0,860.0,,,,-1294.0,1450.0,1450.0,0.0,0.0,-28.0,0.0,-28.0,0.0,0.0,2205.0,-313.0,2678.0,-1941.0,0.0,8420.0,-3801.0,-895.0,31.0,-926.0,735.0,0.0,107.0,4183.0,,,
06/30/2017,3123,1344,319,583.0,59.0,,63.0,-4.0,818,818.0,0.0,-4857.0,-261.0,0.0,-261.0,169.0,643.0,,,,-474.0,-4619.0,-4619.0,0.0,0.0,-146.0,0.0,-146.0,0.0,0.0,2769.0,-307.0,-27.0,-183.0,0.0,8704.0,-8548.0,-828.0,13.0,-841.0,3931.0,0.0,49.0,1084.0,,,
09/30/2017,4298,1359,338,770.0,-1.0,-65.0,60.0,4.0,1832,1832.0,0.0,-4551.0,-274.0,,-274.0,125.0,696.0,,,,-571.0,-4366.0,-4366.0,,,-36.0,0.0,-36.0,0.0,0.0,-2391.0,-305.0,-4357.0,-1108.0,0.0,2751.0,-6000.0,-1282.0,38.0,-1320.0,3553.0,0.0,138.0,-2506.0,,,
12/31/2017,4959,-1206,368,834.0,1728.0,782.0,164.0,782.0,4017,4017.0,0.0,-9545.0,-250.0,0.0,-250.0,24.0,297.0,,,,-273.0,-9318.0,-9318.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,9662.0,-326.0,8088.0,932.0,0.0,12889.0,-5733.0,-1266.0,47.0,-1313.0,3166.0,0.0,-68.0,5008.0,1400.0,2000.0,
03/31/2018,2063,1634,348,775.0,-170.0,-254.0,84.0,0.0,-524,-524.0,0.0,-693.0,-237.0,0.0,-237.0,-329.0,886.0,,,,-1215.0,348.0,348.0,0.0,0.0,-475.0,0.0,-475.0,0.0,0.0,-2949.0,-324.0,-4708.0,-1489.0,0.0,3984.0,-7203.0,-123.0,11.0,-134.0,2206.0,0.0,-178.0,-1757.0,,,
06/30/2018,3033,1623,337,806.0,158.0,88.0,70.0,0.0,109,109.0,0.0,-7688.0,-299.0,0.0,-299.0,-1497.0,317.0,,,,-1814.0,-5886.0,-5886.0,0.0,0.0,-6.0,0.0,-6.0,0.0,0.0,4184.0,-321.0,3720.0,182.0,0.0,6577.0,-3039.0,34.0,38.0,-4.0,751.0,0.0,227.0,-244.0,,,
09/30/2018,5086,1654,322,817.0,-105.0,-181.0,76.0,0.0,2398,2398.0,0.0,-5790.0,-335.0,,-335.0,-1501.0,668.0,,,,-2169.0,-3923.0,-3923.0,,,-31.0,0.0,-31.0,0.0,0.0,626.0,-325.0,-208.0,338.0,0.0,6474.0,-7020.0,-760.0,19.0,-779.0,1919.0,0.0,78.0,0.0,,,
12/31/2018,-1252,2010,286,954.0,855.0,709.0,146.0,0.0,-5357,-5357.0,0.0,-5444.0,-439.0,0.0,-439.0,1396.0,1632.0,,,,-236.0,-6393.0,-6393.0,,,-8.0,0.0,-8.0,0.0,0.0,3240.0,-354.0,3677.0,821.0,0.0,4489.0,-1633.0,-749.0,19.0,-768.0,666.0,0.0,2.0,-3454.0,,,
03/31/2019,8547,1550,297,809.0,222.0,137.0,85.0,0.0,5669,5669.0,0.0,-2709.0,-348.0,0.0,-348.0,-1833.0,2227.0,,,,-4060.0,-656.0,-656.0,0.0,0.0,-20.0,0.0,-20.0,0.0,148.0,-83.0,-355.0,-1287.0,-1099.0,0.0,3633.0,-3821.0,-1333.0,19.0,-1352.0,2892.0,0.0,68.0,5823.0,,,
06/30/2019,2930,1761,286,861.0,419.0,348.0,71.0,0.0,-397,-397.0,0.0,-7790.0,-492.0,0.0,-492.0,-2051.0,199.0,,,,-2250.0,-5176.0,-5176.0,0.0,0.0,-71.0,0.0,-71.0,0.0,0.0,-1461.0,-347.0,-234.0,777.0,0.0,5547.0,-6558.0,-613.0,47.0,-660.0,-267.0,0.0,22.0,-6299.0,,,
09/30/2019,-1041,1755,300,879.0,195.0,134.0,61.0,0.0,-4170,-4170.0,0.0,-753.0,-374.0,,-374.0,39.0,2646.0,,,,-2607.0,-239.0,-239.0,,,-179.0,0.0,-179.0,0.0,0.0,-398.0,-346.0,667.0,37.0,0.0,3530.0,-2900.0,-1440.0,11.0,-1451.0,721.0,0.0,214.0,-1978.0,,,
12/31/2019,3196,1693,305,1024.0,-127.0,-193.0,66.0,0.0,301,301.0,0.0,-5455.0,-431.0,0.0,-431.0,182.0,2431.0,,,,-2249.0,-4976.0,-4976.0,0.0,0.0,-82.0,0.0,-82.0,0.0,-148.0,1423.0,-374.0,3026.0,3601.0,0.0,,-575.0,-1213.0,9.0,-1222.0,-16.0,0.0,-72.0,-908.0,,,
03/31/2020,-2219,367,337,2621.0,376.0,333.0,43.0,0.0,-5920,-5920.0,0.0,21927.0,-335.0,0.0,-335.0,3379.0,4376.0,,,,-997.0,18883.0,18883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5418.0,-383.0,-8729.0,-2880.0,0.0,0.0,-5849.0,-1007.0,16.0,-1023.0,4701.0,0.0,-128.0,14162.0,,,
06/30/2020,2130,257,374,1555.0,68.0,2.0,66.0,0.0,-124,-124.0,0.0,219.0,-354.0,0.0,-354.0,-14902.0,233.0,,,,-15135.0,15473.0,15473.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,638.0,-366.0,-5829.0,-1979.0,0.0,0.0,-3850.0,15.0,17.0,-2.0,6818.0,0.0,508.0,3495.0,,,
