Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2014,814511,55826,239297.0,98994.0,140303.0,356218,226356.0,63547.0,,,66315.0,,22019.0,3430.0,18589.0,29587.0,14198.0,15389.0,61583.0,113189,-141.0,113048,5642.0,5642.0,9643.0,6589.0,3054.0,,26126.0,,8711,,124382.0,122503.0,1879.0,181899.0,306281,236198,83706.0,88112.0,,,,64380.0,,152357,,,,152357.0,,,,,30784.0,14880,740500,6020.0,23942,20.0,23922.0,-2502,46573.0,-1115,72918,1093.0,74011,814511,
12/31/2014,801510,46984,219996.0,83288.0,136708.0,356001,220407.0,69316.0,100.0,,66178.0,,24957.0,5298.0,19659.0,32311.0,15735.0,16576.0,58419.0,115687,-149.0,115538,6108.0,6108.0,9747.0,6588.0,3159.0,8761.0,36394.0,,1981,,133544.0,132159.0,1385.0,181069.0,314613,202368,69949.0,67169.0,0.0,0.0,,65250.0,,152772,0.0,0.0,,152772.0,601.0,526.0,75.0,1555.0,40212.0,17285,729406,6020.0,24269,20.0,24249.0,-2766,44625.0,-1248,70900,1204.0,72104,801510,
03/31/2015,829099,40293,241597.0,91232.0,150365.0,356853,220402.0,69462.0,1632.0,,65357.0,,26386.0,5265.0,21121.0,34225.0,16853.0,17372.0,64990.0,125601,-165.0,125436,6141.0,6141.0,9661.0,6597.0,3064.0,,38758.0,0.0,10360,,135815.0,134263.0,1552.0,190175.0,325990,207365,61488.0,77880.0,,,,67997.0,,155545,,,,155545.0,,,,,47177.0,17556,753633,7520.0,23375,20.0,23355.0,-2207,46740.0,-1266,74162,1304.0,75466,829099,
06/30/2015,825755,46359,250729.0,106760.0,143969.0,337188,217740.0,66132.0,2423.0,,50893.0,,28888.0,6388.0,22500.0,37705.0,18241.0,19464.0,66584.0,133177,-169.0,133008,6182.0,6182.0,9745.0,6594.0,3151.0,,32539.0,0.0,10005,,139203.0,136546.0,2657.0,181494.0,320697,214010,65619.0,87180.0,,,,61211.0,,158089,,,,158089.0,,,,,37972.0,18920,749688,7520.0,23675,20.0,23655.0,-2816,48106.0,-1447,75038,1029.0,76067,825755,
09/30/2015,834113,53518,275451.0,127206.0,148245.0,318496,204517.0,64689.0,3530.0,,45760.0,,29096.0,6577.0,22519.0,40087.0,19640.0,20447.0,59269.0,128452,-173.0,128279,6259.0,6259.0,9656.0,6587.0,3069.0,,33294.0,0.0,9160,,147226.0,143543.0,3683.0,193775.0,341001,201447,58570.0,89752.0,,,,53125.0,,160343,,,,160343.0,,,,,35773.0,19129,757693,7520.0,23896,20.0,23876.0,-3456,48746.0,-1419,75287,1133.0,76420,834113,
12/31/2015,787465,54083,230073.0,87657.0,142416.0,282875,199667.0,66759.0,5224.0,,11225.0,,30393.0,6839.0,23554.0,42391.0,20863.0,21528.0,58607.0,131391,-225.0,131166,,,9568.0,6584.0,2984.0,6981.0,28613.0,0.0,44106,,156034.0,153346.0,2688.0,186626.0,342660,166668,36692.0,98981.0,0.0,0.0,,30995.0,,153768,0.0,0.0,,153768.0,576.0,489.0,87.0,985.0,29474.0,17150,711281,7520.0,24173,20.0,24153.0,-4059,49204.0,-1656,75182,1002.0,76184,787465,
03/31/2016,807497,53638,239187.0,98774.0,140413.0,316520,198307.0,77592.0,9425.0,,31196.0,,31942.0,6816.0,25126.0,43954.0,21780.0,22174.0,57998.0,133894,-330.0,133564,,,9495.0,6586.0,2909.0,,35843.0,0.0,19250,,157591.0,154049.0,3542.0,194003.0,351594,169223,41305.0,82369.0,,,,45549.0,,162804,,,,162804.0,,,,,33397.0,13304,730322,7520.0,22546,20.0,22526.0,-3090,50272.0,-1238,76010,1165.0,77175,807497,
06/30/2016,828873,56133,228870.0,97589.0,131281.0,298780,218636.0,67726.0,12418.0,,0.0,,31601.0,7415.0,24186.0,46005.0,22668.0,23337.0,68709.0,146315,-323.0,145992,,,9414.0,6581.0,2833.0,,38158.0,0.0,51526,,152693.0,151014.0,1679.0,201189.0,353882,181689,50328.0,103339.0,,,,28022.0,,163492,,,,163492.0,,,,,37323.0,14112,750498,7520.0,22717,20.0,22697.0,-3626,51410.0,-905,77116,1259.0,78375,828873,
09/30/2016,813891,42552,216859.0,90579.0,126280.0,319022,240066.0,65732.0,13224.0,,0.0,,32408.0,7616.0,24792.0,48279.0,23562.0,24717.0,63519.0,144206,-287.0,143919,,,9331.0,6584.0,2747.0,,33085.0,0.0,49123,,151843.0,150244.0,1599.0,194007.0,345850,177955,46936.0,103778.0,,,,27241.0,,163927,,,,163927.0,,,,,32521.0,15176,735429,7520.0,23015,20.0,22995.0,-4861,52545.0,-1070,77149,1313.0,78462,813891,
12/31/2016,814949,43381,227191.0,101955.0,125236.0,311040,230948.0,63170.0,16922.0,,0.0,,32727.0,7702.0,25025.0,49251.0,24385.0,24866.0,59004.0,140982,-274.0,140708,,,9298.0,6577.0,2721.0,5810.0,31206.0,0.0,46315,,155863.0,154559.0,1304.0,190513.0,346376,180469,54628.0,98879.0,0.0,0.0,,26962.0,,165716,0.0,0.0,,165716.0,598.0,510.0,88.0,1043.0,29315.0,14255,737772,7520.0,23291,20.0,23271.0,-5797,53679.0,-2643,76050,1127.0,77177,814949,
03/31/2017,832391,42854,216626.0,104823.0,111803.0,373869,256703.0,81139.0,19973.0,,16054.0,,33521.0,8292.0,25229.0,50078.0,25036.0,25042.0,60995.0,144594,-297.0,144297,,,9232.0,6588.0,2644.0,,27638.0,0.0,17875,,152109.0,150612.0,1497.0,189544.0,341653,198609,56525.0,110176.0,,,,31908.0,,172688,,,,172688.0,,,,,26727.0,13630,753307,8520.0,22900,20.0,22880.0,-6155,55109.0,-2450,77924,1160.0,79084,832391,
06/30/2017,841016,44659,224130.0,97408.0,126722.0,332238,260662.0,50488.0,21088.0,,0.0,,35313.0,8482.0,26831.0,52000.0,25646.0,26354.0,65549.0,152862,-306.0,152556,,,9158.0,6591.0,2567.0,,30140.0,0.0,48135,,144913.0,141087.0,3826.0,197055.0,341968,193222,50697.0,108105.0,,,,34420.0,,184112,,,,184112.0,,,,,26705.0,15042,761049,8520.0,23160,20.0,23140.0,-6691,56325.0,-2488,78826,1141.0,79967,841016,
09/30/2017,853693,48191,222998.0,90106.0,132892.0,332799,253713.0,54954.0,24132.0,,0.0,,38686.0,9000.0,29686.0,52766.0,26150.0,26616.0,67612.0,159064,-245.0,158819,,,9081.0,6590.0,2491.0,,31375.0,0.0,50430,,154639.0,140707.0,13932.0,198792.0,353431,187742,53983.0,102798.0,,,,30961.0,,191677,,,,191677.0,,,,,24439.0,16290,773579,8520.0,23409,20.0,23389.0,-7961,57554.0,-2544,78978,1136.0,80114,853693,
12/31/2017,851733,46164,208268.0,84258.0,124010.0,346271,267469.0,55203.0,23599.0,,0.0,,39734.0,9980.0,29754.0,53443.0,26635.0,26808.0,67360.0,160537,-224.0,160313,,,9045.0,6597.0,2448.0,3415.0,30813.0,0.0,47444,,159436.0,144487.0,14949.0,191510.0,350946,185887,56424.0,104600.0,0.0,0.0,,24863.0,,192582,0.0,0.0,,192582.0,671.0,585.0,86.0,841.0,26695.0,15645,773267,8520.0,23565,20.0,23545.0,-9211,57577.0,-3060,77391,1075.0,78466,851733,
03/31/2018,858495,52053,216081.0,80246.0,135835.0,320537,239896.0,56749.0,23892.0,,0.0,,41924.0,10021.0,31903.0,53443.0,26566.0,26877.0,80846.0,176213,-243.0,175970,,,9133.0,6706.0,2427.0,,33148.0,0.0,51573,,160424.0,138358.0,22066.0,194924.0,355348,188443,51575.0,113037.0,,,,23831.0,,194964,,,,194964.0,,,,,25986.0,14265,779006,7520.0,24280,20.0,24260.0,-10369,60009.0,-3406,78034,1455.0,79489,858495,
06/30/2018,875875,48883,247176.0,93928.0,153248.0,315832,233884.0,56704.0,25244.0,,0.0,,42248.0,9866.0,32382.0,54359.0,26405.0,27954.0,77461.0,174068,-241.0,173827,,,9024.0,6692.0,2332.0,,32554.0,0.0,48579,,172802.0,139736.0,33066.0,201737.0,374539,185777,50650.0,112517.0,,,,22610.0,,192244,,,,192244.0,,,,,26842.0,15967,795369,8520.0,23474,20.0,23454.0,-11650,61835.0,-3070,79109,1397.0,80506,875875,
09/30/2018,865517,59279,211575.0,69086.0,142489.0,335117,252549.0,57232.0,25336.0,,,,63760.0,28321.0,35439.0,34801.0,8157.0,26644.0,72492.0,171053,-231.0,170822,,,8920.0,6680.0,2240.0,,30639.0,0.0,49165,,175185.0,143962.0,31223.0,191026.0,366211,185424,60328.0,103206.0,,,,21890.0,,190889,,,,190889.0,,,,,25826.0,17093,785443,8520.0,23684,20.0,23664.0,-12832,63330.0,-3999,78703,1371.0,80074,865517,
12/31/2018,853531,51840,214835.0,98522.0,116313.0,328958,237126.0,61061.0,30771.0,,0.0,,44719.0,7810.0,36909.0,55334.0,27466.0,27868.0,69062.0,169115,-238.0,168877,,,8851.0,6688.0,2163.0,2734.0,29173.0,0.0,48263,,187820.0,154897.0,32923.0,179559.0,367379,170622,49759.0,99489.0,0.0,0.0,,21374.0,,189662,0.0,0.0,,189662.0,582.0,511.0,71.0,1061.0,27258.0,15561,772125,8520.0,23814,20.0,23794.0,-13971,64175.0,-2292,80246,1160.0,81406,853531,
03/31/2019,875964,49970,235461.0,96570.0,138891.0,333826,235882.0,61641.0,36303.0,,0.0,,46188.0,7764.0,38424.0,55337.0,28037.0,27300.0,67598.0,169123,-259.0,168864,3886.0,3886.0,8770.0,6686.0,2084.0,,28936.0,,46251,,179731.0,143201.0,36530.0,193092.0,372823,183870,47948.0,114819.0,552.0,,552.0,20551.0,,194792,4101.0,,4101.0,190691.0,,,,,29746.0,12841,794072,8520.0,23198,20.0,23178.0,-14582,66061.0,-2473,80724,1168.0,81892,875964,
06/30/2019,891959,49145,218978.0,85398.0,133580.0,357267,254201.0,63038.0,40028.0,,0.0,,47619.0,7336.0,40283.0,57791.0,28595.0,29196.0,69137.0,174547,-265.0,174282,3859.0,3859.0,9434.0,7158.0,2276.0,,32764.0,0.0,46230,,176593.0,138014.0,38579.0,192098.0,368691,192351,62294.0,107385.0,366.0,,366.0,22306.0,,202077,4229.0,,4229.0,197848.0,,,,,32020.0,13975,809114,8520.0,23466,20.0,23446.0,-15799,67588.0,-2051,81724,1121.0,82845,891959,
09/30/2019,902604,48917,225768.0,93367.0,132401.0,350589,244799.0,64714.0,41076.0,,0.0,,51918.0,6801.0,45117.0,59194.0,29184.0,30010.0,74221.0,185333,-297.0,185036,3825.0,3825.0,9350.0,7139.0,2211.0,,32624.0,0.0,46495,,180738.0,141344.0,39394.0,202915.0,383653,187177,59462.0,108003.0,185.0,,185.0,19527.0,,198009,4350.0,,4350.0,193659.0,,,,,35402.0,14813,819054,8520.0,23669,20.0,23649.0,-17280,69071.0,-1598,82382,1168.0,83550,902604,
12/31/2019,895429,49659,194773.0,88224.0,106549.0,370834,265109.0,62223.0,43502.0,,0.0,,56615.0,7859.0,48756.0,61794.0,30184.0,31610.0,68223.0,186632,-349.0,186283,3998.0,3998.0,9250.0,7143.0,2107.0,2892.0,32001.0,0.0,45739,,190356.0,149465.0,40891.0,197834.0,388190,183089,54200.0,104922.0,763.0,,763.0,23204.0,,196642,4015.0,,4015.0,192627.0,627.0,571.0,56.0,1394.0,28434.0,14356,812732,8520.0,23955,20.0,23935.0,-18727,70589.0,-2788,81549,1148.0,82697,895429,
03/31/2020,947795,131509,177100.0,104800.0,72300.0,334063,217906.0,68871.0,47286.0,,0.0,,68904.0,7430.0,61474.0,63048.0,31100.0,31948.0,91786.0,223738,-617.0,223121,,,9146.0,7125.0,2021.0,,53010.0,0.0,19846,,235239.0,188504.0,46735.0,198074.0,433313,171712,45816.0,101207.0,,,,24689.0,,194856,,,,194856.0,,,,,40869.0,19817,860567,8520.0,23448,20.0,23428.0,-19721,71518.0,2095,85860,1368.0,87228,947795,
06/30/2020,975363,106276,203446.0,96612.0,106834.0,394360,261740.0,85577.0,47043.0,,0.0,,41914.0,7207.0,34707.0,86374.0,32193.0,54181.0,76841.0,205129,-866.0,204263,,,9287.0,7329.0,1958.0,,38651.0,,19080,,236849.0,195586.0,41263.0,198971.0,435820,186236,50848.0,111233.0,,,,24155.0,,205464,,,,205464.0,,,,,38523.0,21311,887354,8520.0,23802,20.0,23782.0,-19693,74015.0,1,86645,1364.0,88009,975363,
