Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,1805.8,1705.0,100.8,-1074.2,1074.2,731.6,0.0,-113.8,69.4,,44.4,617.8,-28.0,,81.3,,,-11.3,-53.3,589.8,-150.4,428.1,0.7,0.7,0.0,427.4,-18.3,409.1,0.0,0.0,409.1,421.5,11.7,139.0,2.94,2.95,3.032374,139.783,2.92,2.93,3.013701,
09/30/2011,2089.1,2070.7,18.4,-1246.0,1246.0,843.1,0.0,-26.0,61.3,,-35.3,817.1,-54.7,,49.4,,,11.1,5.3,762.4,-3.7,769.8,16.8,16.8,0.0,753.0,-151.8,601.2,0.0,0.0,601.2,618.0,0.0,144.203,4.17,4.29,4.29,144.989,4.15,4.27,4.27,
12/31/2011,1662.5,1589.3,73.2,-1166.3,1166.3,496.2,0.0,-125.8,81.0,,44.8,370.4,-45.3,45.4,47.3,-1.9,,6.9,-0.1,325.1,-123.4,208.6,-0.1,-0.1,0.0,208.7,-23.3,185.4,0.0,0.0,185.4,203.63,18.33,142.247,1.3,1.3,1.431524,143.087,1.3,1.3,1.428104,
03/31/2012,1212.4,1148.6,63.8,-920.6,920.6,291.8,0.0,-68.9,59.5,,9.4,222.9,-50.2,45.1,,,,,-1.8,172.7,213.2,385.9,-5.5,-5.5,0.0,391.4,-15.6,375.8,0.0,0.0,375.8,370.3,0.0,142.226,2.64,2.6,2.6,142.709,2.63,2.59,2.59,
06/30/2012,1579.4,1500.0,79.4,-1136.0,1136.0,443.4,0.0,-81.5,80.8,,0.7,361.9,-47.5,45.3,,,,-0.5,2.2,314.4,-41.9,272.0,-2.3,-2.3,0.0,274.3,-16.3,258.0,0.0,0.0,258.0,251.15,-4.55,142.38,1.812052,1.795898,1.763942,142.814,1.806546,1.790441,1.758581,
09/30/2012,1544.9,1447.9,97.0,-1346.6,1346.6,198.3,0.0,-122.0,63.9,,58.1,76.3,-43.9,45.3,,,,-15.3,-1.4,32.4,64.0,81.1,2.7,2.7,0.0,78.4,6.7,85.1,0.0,0.0,85.1,87.8,0.0,142.396,0.6,0.62,0.62,142.895,0.59,0.61,0.61,
12/31/2012,1535.9,1424.3,111.6,-1297.4,1297.4,238.5,0.0,-1208.6,80.0,,1128.6,-970.1,-58.2,59.8,,,,-382.1,-1.6,-1028.3,-491.1,-1901.5,-30.8,-30.8,0.0,-1870.7,252.4,-1618.3,0.0,0.0,-1618.3,-350.1,1299.0,142.409,-11.36,-11.58,-2.458412,142.409,-11.36,-11.58,-2.458412,
03/31/2013,1140.5,1082.6,57.9,-902.6,902.6,237.9,0.0,-69.6,48.4,,21.2,168.3,-48.0,49.1,,,,-5.5,-1.1,120.3,6.0,120.8,0.0,0.0,0.0,120.8,-13.8,107.0,0.0,-9.9,97.1,97.1,0.0,147.827,0.66,0.66,0.66,148.081,0.66,0.66,0.66,
06/30/2013,1488.5,1391.6,96.9,-1220.3,1220.3,268.2,0.0,-6.2,48.9,,-42.7,262.0,-43.5,40.7,,,,-67.9,2.8,218.5,-9.3,141.3,0.0,0.0,0.0,141.3,4.7,146.0,-12.9,0.0,133.1,164.495,31.395,153.011,0.87,0.87,1.075053,178.428,0.82,0.82,0.995953,
09/30/2013,1546.6,1454.6,92.0,-1197.9,1197.9,348.7,0.0,-124.7,70.6,,54.1,224.0,-45.9,44.7,,,,-0.5,1.2,178.1,-65.7,111.9,-2.0,-2.0,0.0,113.9,3.3,117.2,-12.9,0.0,104.3,122.255,19.955,153.029,0.68,0.67,0.798901,178.459,0.66,0.65,0.761818,
12/31/2013,1515.8,1417.8,98.0,-1221.3,1221.3,294.5,0.0,-277.8,63.7,,214.1,16.7,-44.3,44.6,,,0.9,-0.5,-1.2,-27.6,13.9,-14.2,0.0,0.0,0.0,-14.2,57.5,43.3,-12.8,0.0,30.5,197.82,167.32,153.038,0.2,0.2,1.29262,153.7,0.2,0.2,1.288614,
03/31/2014,615.5,559.2,56.3,-425.5,425.5,190.0,0.0,-50.8,37.5,,13.3,139.2,-39.6,40.4,,,0.0,-0.3,-0.8,99.6,-29.6,69.7,140.4,140.4,0.0,-70.7,0.4,-70.3,-12.8,0.0,-83.1,61.2,3.9,153.04,-0.55,0.37,0.399895,153.653,-0.55,0.37,0.395382,
06/30/2014,747.7,696.3,51.4,-564.2,564.2,183.5,0.0,-44.2,40.9,,3.3,139.3,-40.5,42.1,,,,-0.3,-1.6,98.8,-7.6,90.9,76.4,76.4,0.0,14.5,-3.6,10.9,-12.8,0.0,-1.9,78.53,4.03,153.087,-0.01,0.49,0.512976,153.881,-0.02,0.48,0.506189,
09/30/2014,979.7,901.9,77.8,-723.5,723.5,256.2,0.0,-399.0,49.7,,349.3,-142.8,-38.1,45.8,,,0.0,-9.2,-7.7,-180.9,-84.1,-274.2,6613.0,6613.0,0.0,-6887.2,1007.6,-5879.6,-12.8,0.0,-5892.4,963.96,243.36,153.108,-38.49,-1.89,6.295948,153.108,-38.49,-1.89,-0.300534,
12/31/2014,1030.3,933.5,96.8,-774.3,774.3,256.0,0.0,-261.5,23.6,,237.9,-5.5,-31.7,48.4,,,0.0,-0.1,-16.7,-37.2,539.0,501.7,1869.8,1869.8,0.0,-1368.1,83.0,-1285.1,-12.8,0.0,-1297.9,812.022094,240.122094,153.136,-8.48,3.734589,5.302621,178.636,-8.48,1.987095,3.331293,
03/31/2015,446.0,399.5,46.5,-365.2,365.2,80.8,0.0,-8.9,29.1,,-20.2,71.9,270.0,42.9,,,0.0,0.0,-312.9,341.9,-175.1,166.8,928.5,928.5,0.0,-761.7,1.9,-759.8,-12.8,0.0,-772.6,-47.03,-202.93,153.185,-5.04,1.02,-0.307014,178.696,-5.04,0.94,-0.307014,
06/30/2015,498.1,454.3,43.8,-440.8,440.8,57.3,0.0,-31.6,30.8,,0.8,25.7,-65.7,63.6,,,,0.0,2.1,-40.0,1.8,-38.2,-103.4,-103.4,0.0,65.2,-5.0,60.2,0.0,0.0,60.2,-36.7,6.5,153.232,0.39,-0.28,-0.239506,153.232,0.39,-0.28,-0.239506,
09/30/2015,593.2,542.5,50.7,-538.1,538.1,55.1,0.0,-25.9,22.4,,3.5,29.2,17.4,61.7,,,0.0,-0.1,-79.1,46.6,3.4,49.9,43.9,43.9,0.0,6.0,4.6,10.6,-25.6,0.0,-15.0,-24.01,-52.91,153.237,-0.1,0.19,-0.156685,153.237,-0.1,0.19,-0.156685,
12/31/2015,476.0,432.5,43.5,-432.7,432.7,43.3,0.0,-18.8,27.8,,-9.0,24.5,-59.9,60.3,,,0.0,0.0,-0.4,-35.4,0.6,-34.8,23.1,23.1,0.0,-57.9,-2.4,-60.3,0.0,0.0,-60.3,-66.725,-29.525,153.278,-0.39,-0.24,-0.43532,153.278,-0.39,-0.24,-0.43532,
03/31/2016,305.5,275.6,29.9,-274.6,274.6,30.9,0.0,-31.2,,28.2,3.0,-0.3,122.1,56.8,,,0.0,,-178.9,121.8,-7.5,114.3,-2.5,-2.5,0.0,116.8,-8.8,108.0,0.0,0.0,108.0,-13.125,-118.625,171.677,0.62,0.61,-0.076452,171.962,0.62,0.61,-0.079833,
06/30/2016,496.2,452.8,43.4,-404.7,404.7,91.5,0.0,-16.8,22.5,,-5.7,74.7,-46.9,50.7,,,0.0,0.0,-3.8,27.8,2.1,29.9,0.4,0.4,0.0,29.5,-16.7,12.8,0.0,0.0,12.8,10.665,-2.535,182.33,0.07,0.07,0.058493,184.557,0.07,0.07,0.056264,
09/30/2016,553.3,508.6,44.7,-467.9,467.9,85.4,0.0,-50.7,31.1,,19.6,34.7,-66.9,48.7,,,0.0,,18.2,-32.2,7.1,-25.1,2.7,2.7,0.0,-27.8,2.0,-25.8,0.0,0.0,-25.8,-11.205,11.895,206.279,-0.12,-0.11,-0.05432,206.279,-0.12,-0.11,-0.05432,
12/31/2016,199.5,142.7,56.8,-127.2,127.2,72.3,0.0,-50.7,34.0,,16.7,21.6,-28.6,37.7,,,0.0,,-9.1,-7.0,10.5,3.5,-77.3,-77.3,0.0,80.8,-1.7,79.1,0.0,0.0,79.1,0.305,-1.495,208.864,0.378715,0.008618,0.00146,211.819,0.373432,0.008498,0.00144,
03/31/2017,461.6,412.8,48.8,-365.9,365.9,95.7,0.0,-13.8,25.7,,-11.9,81.9,-114.0,42.8,,,0.0,,71.2,-32.1,1.8,-30.3,-0.5,-0.5,0.0,-29.8,1.7,-28.1,0.0,0.0,-28.1,18.135,46.735,265.164,-0.11,-0.11,0.068392,265.164,-0.11,-0.11,0.066249,
06/30/2017,471.3,417.0,54.3,-326.6,326.6,144.7,0.0,-29.5,26.6,,2.9,115.2,-32.5,30.1,,,,,2.4,82.7,1.1,83.8,53.7,53.7,0.0,30.1,1.7,31.8,0.0,0.0,31.8,88.685,3.185,296.07,0.1,0.28,0.299541,300.711,0.1,0.28,0.290592,
09/30/2017,596.7,530.7,66.0,-438.9,438.9,157.8,0.0,-29.1,23.8,,5.3,128.7,-113.6,27.6,,,0.0,,86.0,15.1,7.2,22.3,-30.6,-30.6,0.0,52.9,0.5,53.4,0.0,0.0,53.4,80.39,57.59,296.079,0.18,0.08,0.271515,301.075,0.18,0.08,0.271281,
12/31/2017,511.8,449.6,62.2,-395.7,395.7,116.1,0.0,-3.2,27.4,,-24.2,112.9,-25.1,27.7,,,0.1,0.0,-2.7,87.8,245.2,333.0,23.1,23.1,0.0,309.9,0.0,309.9,0.0,0.0,309.9,333.0,0.0,296.429,1.04,1.12,1.12,300.858,1.03,1.11,1.11,
03/31/2018,180.0,169.2,10.8,-118.5,118.5,61.5,0.0,-31.2,25.1,,6.1,30.3,-28.0,32.4,,,0.0,,-4.4,2.3,-15.7,-13.4,70.9,70.9,0.0,-84.3,0.0,-84.3,0.0,0.0,-84.3,-13.4,0.0,297.266,-0.29,-0.05,-0.05,297.266,-0.29,-0.05,-0.05,
06/30/2018,714.3,672.0,42.3,-429.8,429.8,284.5,0.0,-30.3,26.2,,4.1,254.2,-26.6,31.2,,,0.0,,-4.6,227.6,1.8,229.4,64.3,64.3,0.0,165.1,0.0,165.1,0.0,0.0,165.1,229.242,-0.158,297.618,0.55,0.77,0.770256,301.275,0.55,0.76,0.759476,
09/30/2018,741.8,684.7,57.1,-480.2,480.2,261.6,0.0,-36.1,29.1,,7.0,225.5,-25.2,29.5,,,0.0,,-4.3,200.3,-0.5,199.8,-238.0,-238.0,0.0,437.8,0.0,437.8,0.0,0.0,437.8,199.8,0.0,297.878,1.47,0.67,0.67,310.203,1.41,0.64,0.64,
12/31/2018,696.3,696.3,49.9,-494.3,494.3,202.0,0.0,-38.8,34.6,,4.2,163.2,-28.7,25.8,,,0.2,0.0,2.7,134.5,489.6,624.1,14.6,14.6,0.0,609.5,0.0,609.5,0.0,0.0,609.5,168.63,-455.47,295.942,2.06,2.11,0.569808,307.313,1.98,2.03,0.547895,
03/31/2019,157.0,157.0,,-126.1,126.1,30.9,0.0,-31.7,27.3,,4.4,-0.8,-25.0,25.1,,,,,-0.1,-25.8,3.7,-22.1,0.0,0.0,0.0,-22.1,0.0,-22.1,0.0,0.0,-22.1,-20.52,1.58,289.525,-0.08,-0.08,-0.070875,289.525,-0.08,-0.08,-0.074543,
06/30/2019,743.2,697.4,45.8,-480.2,480.2,263.0,0.0,-36.2,30.6,,5.6,226.8,-43.4,26.1,,,0.1,,17.2,183.4,-22.0,161.4,0.6,0.6,0.0,160.8,0.0,160.8,0.0,0.0,160.8,175.541,14.141,275.769,0.59,0.59,0.636551,285.479,0.57,0.57,0.619534,
09/30/2019,555.6,515.0,40.6,-400.7,400.7,154.9,0.0,-33.3,25.5,,7.8,121.6,-25.0,25.3,,,0.0,,-0.3,96.6,-4.8,91.8,0.9,0.9,0.0,90.9,0.0,90.9,0.0,0.0,90.9,91.8,0.0,269.96,0.34,0.34,0.34,276.578,0.33,0.33,0.33,
12/31/2019,534.1,534.1,,-407.2,407.2,126.9,0.0,-45.2,37.2,,8.0,81.7,-23.8,24.7,,,0.0,0.0,-0.9,57.9,5.5,63.4,0.2,0.2,0.0,63.2,0.0,63.2,0.0,0.0,63.2,68.535,5.135,271.021,0.23,0.23,0.252877,273.521,0.23,0.23,0.248774,
03/31/2020,359.1,324.5,34.6,-356.0,356.0,3.1,0.0,-81.9,26.1,,55.8,-78.8,-21.8,31.0,,,,,-9.2,-100.6,51.4,-49.2,-0.6,-0.6,0.0,-48.6,-3.5,-52.1,0.0,0.0,-52.1,-21.653,31.047,297.515,-0.18,-0.18,-0.07278,297.515,-0.18,-0.18,-0.075646,
06/30/2020,1092.7,1092.7,,-1207.5,1207.5,-114.8,0.0,-93.6,62.1,,31.5,-208.4,75.9,68.7,,,,,-144.6,-132.5,24.7,-107.8,0.3,0.3,0.0,-108.1,-15.8,-123.9,0.0,0.0,-123.9,-211.29,-87.69,399.088,-0.31,-0.31,-0.529432,399.088,-0.31,-0.31,-0.529726,
09/30/2020,1595.333,,,,,41.478658,,,,,,-19.5,,,,,,,,-80.75,,-91.8,,,,,,-91.8,,,-91.8,-88.15,,,-0.23,-0.23,-0.138,,-0.23,-0.23,-0.138,
12/31/2020,1841.667,,,,,176.800032,,,,,,122.2,,,,,,,,60.9,,23.7,,,,,,23.7,,,23.7,45.5,,,0.06,0.06,0.077,,0.06,0.06,0.077,
