Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Cash From Disc Ops,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
05/06/2015,9.835,2.353,4.764,0.199,0.515,0.15,-0.466,2.519,1.205,0.73,0.0,0.584,-3.309,-3.359,2.082,2.082,0.0,-5.441,-5.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-6.573,0.0,-6.5,0.0,21.3,-27.8,0.112,0.112,0.0,-0.185,,0.0,-0.047,0.0,0.536,
08/26/2015,6.155,-0.049,6.807,-1.533,0.407,-0.018,-1.922,0.93,-2.268,-0.062,,3.26,4.194,4.187,8.136,8.136,0.0,-3.949,-3.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-10.422,0.0,-10.5,0.0,27.9,-38.4,0.075,0.075,0.0,0.003,,0.0,-0.073,0.5,0.595,
12/16/2015,6.343,-1.811,7.021,-0.464,0.52,-0.927,-0.057,1.597,,-0.968,0.0,2.565,-3.796,-3.813,1.916,1.916,0.0,-5.729,-5.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,-2.467,0.0,-2.5,0.0,27.0,-29.5,0.075,0.075,0.0,-0.042,,0.0,0.08,0.0,0.52,
03/09/2016,0.848,-0.599,5.229,-0.576,0.283,-0.32,-0.539,-3.206,,0.163,0.0,-3.369,-2.99,-2.99,2.251,2.251,0.0,-5.241,-5.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,23.7,-21.7,0.0,0.0,0.0,0.0,,0.0,-0.142,0.0,0.431,
06/01/2016,4.217,-0.135,5.305,-0.154,0.34,-0.736,0.242,-0.799,,0.289,0.0,-1.088,-3.247,-3.247,0.141,0.141,0.0,-3.388,-3.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,27.2,-28.2,0.0,0.0,0.0,0.0,,0.0,-0.03,0.0,0.417,
08/31/2016,2.451,-7.801,4.351,8.544,0.453,6.69,1.401,-2.643,,-0.1,,-2.543,-3.409,-3.409,0.486,0.486,0.0,-3.895,-3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888,0.0,1.0,0.0,28.1,-27.1,0.007,0.007,0.0,-0.119,,0.0,-0.07,0.5,0.532,
12/21/2016,3.241,-5.586,6.55,-0.594,0.433,-1.466,0.439,2.871,,-0.44,0.0,3.311,-4.942,-4.942,0.038,0.038,0.0,-4.98,-4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775,0.0,2.4,35.0,45.7,-78.3,0.0,0.0,0.0,-0.625,,0.0,0.074,0.0,0.478,
03/15/2017,3.362,-13.179,4.788,10.81,0.437,3.865,6.508,0.943,,0.447,0.0,0.496,-1.389,-1.389,1.593,1.593,0.0,-2.982,-2.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.034,0.0,-2.013,-0.613,20.0,-21.4,0.0,0.0,0.0,-0.021,,0.0,-0.061,0.0,0.201,
06/07/2017,-2.927,-0.396,4.639,1.563,0.333,0.523,0.707,-8.733,,0.061,0.0,-8.794,-0.143,-0.143,2.009,2.009,0.0,-2.152,-2.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044,0.0,3.05,-2.45,28.7,-23.2,0.0,0.0,0.0,-0.006,,0.0,-0.026,0.0,0.549,
08/30/2017,5.964,-4.101,4.461,1.684,0.358,-0.13,1.456,3.92,,0.075,,3.845,3.258,3.258,5.646,5.646,0.0,-2.388,-2.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.452,0.0,-9.452,-5.352,13.4,-17.5,0.0,0.0,0.0,0.0,,0.0,-0.23,0.411,0.559,
12/20/2017,3.482,-5.537,5.353,1.917,0.867,-0.057,1.107,1.749,,-0.29,0.0,2.039,-3.796,-4.14,0.185,0.185,0.0,-4.325,-4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.03,0.0,0.1,,,,0.0,0.0,0.0,-0.07,,0.0,-0.284,0.0,0.515,
03/14/2018,-5.619,-11.571,3.998,5.17,0.385,3.551,1.234,-3.216,,0.102,0.0,-3.318,-0.673,-1.085,2.62,2.62,0.0,-3.705,-3.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,7.085,0.0,7.085,,,,0.0,0.0,0.0,0.0,,0.0,0.793,0.0,0.55,
06/06/2018,-2.741,-14.596,4.051,8.996,0.439,4.532,4.025,-1.192,,-0.188,0.0,-1.004,-3.142,-3.142,0.558,0.558,0.0,-3.7,-3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.787,0.0,6.0,0.0,35.3,-29.3,0.0,0.0,0.0,-0.213,,0.0,-0.096,0.0,0.652,
08/29/2018,-3.576,-1.863,4.051,-2.542,0.453,0.166,-3.161,-3.222,,0.808,,-4.03,10.625,9.311,10.828,10.828,0.0,-1.517,-1.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314,-4.837,0.0,-4.664,,,,0.0,0.0,0.0,-0.173,0.0,0.0,2.213,0.426,0.782,
12/19/2018,1.257,-7.489,4.903,2.264,0.439,0.0,1.825,1.579,,-0.123,0.0,1.702,-0.948,-0.948,0.171,0.171,0.0,-1.119,-1.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.737,0.0,18.9,,,,0.0,0.0,0.0,-3.163,,0.0,16.046,0.029,1.637,
03/13/2019,-8.886,6.633,3.223,-10.709,0.384,0.0,-11.093,-8.033,,0.078,0.0,-8.111,19.611,19.611,20.273,20.273,0.0,-0.662,-0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.754,0.0,-15.669,,,,0.0,0.0,0.0,-0.085,,0.0,-5.029,0.022,0.314,
06/05/2019,-3.252,-5.301,2.926,0.862,0.369,0.0,0.493,-1.739,,0.193,0.0,-1.932,0.232,0.232,1.317,1.317,0.0,-1.085,-1.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062,0.0,1.062,,,,0.0,0.0,0.0,0.0,,0.0,-1.958,0.459,1.304,
08/28/2019,-2.249,-9.069,2.946,2.811,-0.052,0.0,2.863,1.063,,0.442,,0.621,-1.046,-1.046,0.075,0.075,0.0,-1.121,-1.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,3.3,,,,0.0,0.0,0.0,-0.03,,0.0,-0.025,-0.04,1.197,
12/18/2019,-2.131,-8.338,3.762,1.454,0.366,,1.088,0.991,,0.369,0.0,0.622,-0.545,-0.545,0.149,0.149,0.0,-0.694,-0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.3,,,,0.0,0.0,0.0,0.0,,0.0,0.624,-0.017,1.302,
03/11/2020,-3.773,-3.803,2.678,-2.006,0.366,,-2.372,-0.642,,-0.463,,-0.179,4.508,4.508,5.304,5.304,0.0,-0.796,-0.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.669,0.0,1.669,,,,0.0,0.0,0.0,0.0,,0.0,2.404,0.024,1.345,
06/03/2020,-8.191,-24.978,2.709,12.604,0.014,,12.59,1.474,,0.273,0.0,1.201,1.727,1.727,2.127,2.127,0.0,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.719,0.0,12.719,,,,0.0,0.0,0.0,0.0,,0.0,6.255,0.006,1.308,
