Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2013,12882,610.0,610.0,0.0,731,731.0,0.0,0.0,0.0,0.0,0.0,0.0,174,,,,,174.0,1515.0,8144,16633.0,-8489.0,0.0,,3223,2806.0,2557.0,249.0,,417,11367,,1038,730,,179.0,129.0,38,0.0,,,,38.0,412.0,893.0,45.0,176.0,1488.0,8508.0,8508.0,,,,1778.0,,,840.0,10286.0,11774.0,0.0,14069.0,2.0,14067.0,0.0,-12935.0,-26.0,1108,0.0,1108,12882.0,
06/30/2013,12865,596.0,596.0,0.0,721,721.0,0.0,0.0,0.0,0.0,0.0,0.0,186,,,,,186.0,1503.0,8171,,,0.0,,3191,2797.0,2565.0,232.0,,394,11362,,1057,688,,192.0,177.0,30,0.0,,,,30.0,416.0,906.0,,156.0,1503.0,8506.0,8506.0,,,,1748.0,,,842.0,10254.0,11757.0,0.0,14104.0,2.0,14102.0,0.0,-12959.0,-37.0,1108,0.0,1108,12865.0,
09/30/2013,12852,507.0,507.0,0.0,738,738.0,0.0,0.0,0.0,0.0,0.0,0.0,194,,,,,194.0,1439.0,8230,17124.0,-8894.0,0.0,,3183,2790.0,2567.0,223.0,,393,11413,,1015,633,,170.0,212.0,21,0.0,,,,21.0,394.0,896.0,,152.0,1430.0,8537.0,8537.0,,,,1738.0,,,842.0,10275.0,11705.0,0.0,14122.0,2.0,14120.0,0.0,-12980.0,5.0,1147,0.0,1147,12852.0,
12/31/2013,12874,631.0,631.0,0.0,673,673.0,0.0,0.0,0.0,0.0,0.0,0.0,150,,0.0,,,150.0,1454.0,8240,17329.0,-9089.0,0.0,,3180,2782.0,2577.0,205.0,,398,11420,,994,625,,160.0,209.0,31,0.0,,,,31.0,421.0,906.0,0.0,156.0,1446.0,8331.0,8331.0,,,,1686.0,0.0,,780.0,10017.0,11463.0,0.0,14341.0,2.0,14339.0,0.0,-12966.0,36.0,1411,0.0,1411,12874.0,
03/31/2014,12889,607.0,607.0,0.0,699,699.0,0.0,0.0,0.0,0.0,0.0,0.0,166,,,,,166.0,1472.0,8260,17503.0,-9243.0,0.0,,3157,2761.0,2575.0,186.0,,396,11417,,849,561,,174.0,114.0,503,0.0,,,,503.0,404.0,901.0,,142.0,1756.0,7856.0,7856.0,,,,1679.0,,,778.0,9535.0,11291.0,0.0,14410.0,2.0,14408.0,0.0,-12854.0,42.0,1598,0.0,1598,12889.0,
06/30/2014,13028,637.0,637.0,0.0,722,722.0,0.0,0.0,0.0,0.0,0.0,0.0,180,,,,,180.0,1539.0,8355,,,0.0,,3134,2747.0,2578.0,169.0,,387,11489,,924,613,,166.0,145.0,503,0.0,,,,503.0,397.0,885.0,0.0,139.0,1824.0,7855.0,7855.0,,,,1670.0,,,785.0,9525.0,11349.0,0.0,14427.0,2.0,14425.0,0.0,-12803.0,55.0,1679,0.0,1679,13028.0,
09/30/2014,13983,729.0,729.0,0.0,678,678.0,0.0,0.0,0.0,0.0,0.0,0.0,1193,,,,,1193.0,2600.0,8268,17756.0,-9488.0,0.0,,3115,2724.0,2570.0,154.0,,391,11383,,956,607,,184.0,165.0,502,0.0,,,,502.0,395.0,877.0,0.0,151.0,1853.0,8856.0,8856.0,,,,1626.0,,,749.0,10482.0,12335.0,0.0,14448.0,2.0,14446.0,0.0,-12718.0,-82.0,1648,0.0,1648,13983.0,
12/31/2014,20947,580.0,580.0,0.0,737,737.0,0.0,0.0,0.0,0.0,0.0,0.0,164,,0.0,,,164.0,1481.0,9860,19489.0,-9629.0,0.0,,9606,9103.0,7689.0,1414.0,300.0,203,19466,,1111,664,,174.0,273.0,349,0.0,,,,349.0,446.0,921.0,0.0,159.0,1906.0,10984.0,10984.0,,,,1694.0,0.0,,773.0,12678.0,14584.0,0.0,19162.0,3.0,19159.0,0.0,-12652.0,-147.0,6363,0.0,6363,20947.0,
03/31/2015,21155,1114.0,1114.0,0.0,743,743.0,0.0,0.0,0.0,0.0,0.0,0.0,158,,,,,158.0,2015.0,9744,19463.0,-9719.0,0.0,,9396,9038.0,7740.0,1298.0,284.0,74,19140,,993,629,,187.0,177.0,503,0.0,,,,503.0,448.0,895.0,,148.0,1944.0,10849.0,10849.0,,,,1645.0,,,750.0,12494.0,14438.0,0.0,19535.0,4.0,19531.0,0.0,-12530.0,-288.0,6717,0.0,6717,21155.0,
06/30/2015,20752,549.0,549.0,0.0,756,756.0,0.0,0.0,0.0,0.0,0.0,0.0,167,,,,,167.0,1472.0,9900,19890.0,-9990.0,0.0,,9380,8987.0,7747.0,1240.0,292.0,101,19280,,964,637,,125.0,202.0,17,0.0,,,,17.0,457.0,892.0,,177.0,1438.0,10869.0,10869.0,,,,1628.0,,,736.0,12497.0,13935.0,0.0,19563.0,4.0,19559.0,0.0,-12543.0,-203.0,6817,0.0,6817,20752.0,
09/30/2015,20756,691.0,691.0,0.0,810,810.0,0.0,0.0,0.0,0.0,0.0,0.0,137,,,,,137.0,1638.0,9812,19972.0,-10160.0,0.0,,9306,8935.0,7753.0,1182.0,276.0,95,19118,,997,630,,137.0,230.0,16,0.0,,,,16.0,455.0,942.0,,182.0,1468.0,10870.0,10870.0,,,,1638.0,,,696.0,12508.0,13976.0,0.0,19597.0,4.0,19593.0,0.0,-12542.0,-275.0,6780,0.0,6780,20756.0,
12/31/2015,24017,854.0,854.0,0.0,757,757.0,0.0,0.0,0.0,0.0,0.0,0.0,119,,0.0,,,119.0,1730.0,9878,20243.0,-10365.0,0.0,,12409,8876.0,7749.0,1127.0,3441.0,92,22287,,955,629,,108.0,218.0,15,0.0,,,,15.0,446.0,977.0,0.0,179.0,1416.0,10866.0,10866.0,,,,1609.0,0.0,,632.0,12475.0,13891.0,0.0,19646.0,4.0,19642.0,0.0,-9219.0,-301.0,10126,0.0,10126,24017.0,
03/31/2016,25085,1004.0,1004.0,0.0,807,807.0,0.0,0.0,0.0,0.0,0.0,0.0,978,,,,,978.0,2789.0,9974,20599.0,-10625.0,0.0,,12322,8820.0,7746.0,1074.0,3411.0,91,22296,,957,680,,131.0,146.0,781,0.0,,,,781.0,449.0,1012.0,,166.0,2187.0,10870.0,10870.0,,,,1640.0,,,628.0,12510.0,14697.0,0.0,,,,0.0,,10388.0,10388,0.0,10388,25085.0,
06/30/2016,24586,1291.0,1291.0,0.0,839,839.0,0.0,0.0,0.0,0.0,0.0,0.0,148,,,,,148.0,2278.0,10073,20899.0,-10826.0,0.0,,12235,8759.0,7739.0,1020.0,3395.0,81,22308,,1053,762,,131.0,160.0,7,0.0,,,,7.0,438.0,1027.0,,170.0,1498.0,10871.0,10871.0,,,,1664.0,,,637.0,12535.0,14033.0,0.0,,,,0.0,,10553.0,10553,0.0,10553,24586.0,
09/30/2016,24746,1569.0,1569.0,0.0,749,749.0,0.0,0.0,0.0,0.0,0.0,0.0,139,,,,,139.0,2457.0,10167,21237.0,-11070.0,0.0,,12122,8703.0,7736.0,967.0,3339.0,80,22289,,1057,728,,135.0,194.0,7,0.0,,,,7.0,443.0,1010.0,,180.0,1507.0,10875.0,10875.0,,,,1640.0,,,630.0,12515.0,14022.0,0.0,19767.0,4.0,19763.0,0.0,-8750.0,-293.0,10724,0.0,10724,24746.0,
12/31/2016,24888,1819.0,1819.0,0.0,712,712.0,0.0,0.0,0.0,0.0,0.0,0.0,122,,0.0,,,122.0,2653.0,10139,21388.0,-11249.0,0.0,,12096,8644.0,7729.0,915.0,3370.0,82,22235,,1030,706,,129.0,195.0,7,0.0,,,,7.0,434.0,1001.0,0.0,168.0,1471.0,10877.0,10877.0,,,,1623.0,0.0,,622.0,12500.0,13971.0,0.0,19804.0,4.0,19800.0,0.0,-8500.0,-387.0,10917,0.0,10917,24888.0,
03/31/2017,25071,1947.0,1947.0,0.0,712,712.0,0.0,0.0,0.0,0.0,0.0,0.0,148,,,,,148.0,2807.0,10285,21819.0,-11534.0,0.0,,11979,8592.0,7731.0,861.0,3305.0,82,22264,,999,750,,101.0,148.0,307,0.0,,,,307.0,428.0,1044.0,,153.0,1734.0,10581.0,10581.0,,,,1675.0,,,631.0,12256.0,13990.0,0.0,19852.0,4.0,19848.0,0.0,-8405.0,-366.0,11081,0.0,11081,25071.0,
06/30/2017,25287,2183.0,1056.0,1127.0,707,707.0,0.0,0.0,0.0,0.0,0.0,0.0,146,,,,,146.0,3036.0,10392,22266.0,-11874.0,0.0,,11859,8546.0,7737.0,809.0,3235.0,78,22251,,968,693,,97.0,178.0,306,0.0,,,,306.0,424.0,1058.0,,162.0,1698.0,10584.0,10584.0,,,,1690.0,,,632.0,12274.0,13972.0,0.0,19891.0,4.0,19887.0,0.0,-8251.0,-325.0,11315,0.0,11315,25287.0,
09/30/2017,25373,2252.0,2252.0,0.0,750,750.0,0.0,0.0,0.0,0.0,0.0,0.0,141,,,,,141.0,3143.0,10485,22688.0,-12203.0,0.0,,11745,8502.0,7741.0,761.0,3162.0,81,22230,,1046,704,,95.0,247.0,7,0.0,,,,7.0,415.0,1132.0,,139.0,1468.0,10586.0,10586.0,,,,1769.0,,,637.0,12355.0,13823.0,0.0,19925.0,4.0,19921.0,0.0,-8094.0,-281.0,11550,0.0,11550,25373.0,
12/31/2017,33135,297.0,297.0,0.0,748,748.0,0.0,0.0,0.0,0.0,0.0,0.0,2100,,0.0,140.0,,1960.0,3145.0,9412,9555.0,-143.0,0.0,,20578,20060.0,10837.0,9223.0,426.0,92,29990,,1081,736,100.0,109.0,136.0,8,0.0,,,,8.0,317.0,1099.0,0.0,57.0,1406.0,10882.0,10882.0,,,,1575.0,0.0,212.0,264.0,12457.0,13863.0,0.0,0.0,0.0,0.0,0.0,0.0,19272.0,19272,0.0,19272,33135.0,
03/31/2018,33003,259.0,259.0,0.0,726,726.0,0.0,0.0,0.0,0.0,0.0,0.0,2156,,,140.0,,2016.0,3141.0,9542,9922.0,-380.0,0.0,,20320,19737.0,11141.0,8596.0,458.0,125,29862,,1118,773,87.0,95.0,163.0,9,0.0,,,,9.0,342.0,1112.0,,67.0,1469.0,10872.0,10872.0,,,,1642.0,,209.0,321.0,12514.0,13983.0,0.0,0.0,0.0,0.0,0.0,0.0,19020.0,19020,0.0,19020,33003.0,
06/30/2018,32552,282.0,282.0,0.0,744,744.0,0.0,0.0,0.0,0.0,0.0,0.0,2050,,0.0,15.0,,2035.0,3076.0,9396,10005.0,-609.0,0.0,,20080,19464.0,11078.0,8386.0,483.0,133,29476,,1061,687,81.0,94.0,199.0,13,0.0,,,,13.0,330.0,1138.0,0.0,45.0,1404.0,10857.0,10857.0,,,,1681.0,0.0,202.0,341.0,12538.0,13942.0,0.0,,,,0.0,,18610.0,18610,0.0,18610,32552.0,
09/30/2018,32264,188.0,188.0,0.0,715,715.0,0.0,0.0,0.0,0.0,0.0,0.0,2133,,,15.0,,2118.0,3036.0,9274,10072.0,-798.0,0.0,,19954,19334.0,11132.0,8202.0,463.0,157,29228,,1150,707,114.0,96.0,233.0,6,0.0,,,,6.0,360.0,1181.0,,72.0,1516.0,10848.0,10848.0,,,,1728.0,,189.0,358.0,12576.0,14092.0,0.0,,,,0.0,,18172.0,18172,0.0,18172,32264.0,
12/31/2018,32291,243.0,243.0,0.0,712,712.0,0.0,0.0,0.0,0.0,0.0,0.0,2063,,0.0,0.0,,2063.0,3018.0,9453,10474.0,-1021.0,0.0,,19820,19096.0,11119.0,7977.0,0.0,724,29273,,1430,972,130.0,95.0,233.0,6,0.0,,,,6.0,388.0,1181.0,0.0,78.0,1824.0,10838.0,10838.0,,,,1752.0,0.0,202.0,369.0,12590.0,14414.0,0.0,0.0,0.0,0.0,0.0,0.0,17877.0,17877,0.0,17877,32291.0,
03/31/2019,29672,217.0,217.0,0.0,699,699.0,0.0,0.0,0.0,0.0,0.0,0.0,2109,,0.0,0.0,,2109.0,3025.0,10733,11947.0,-1214.0,0.0,,15914,15232.0,7412.0,7820.0,0.0,682,26647,,1369,1019,105.0,94.0,151.0,331,0.0,324.0,,324.0,7.0,372.0,1175.0,,62.0,2072.0,11797.0,10666.0,1131.0,162.0,969.0,1733.0,,253.0,305.0,13530.0,15602.0,0.0,,,,0.0,,14070.0,14070,0.0,14070,29672.0,
06/30/2019,29683,228.0,228.0,0.0,771,771.0,0.0,0.0,0.0,0.0,0.0,0.0,2139,,0.0,0.0,,2139.0,3138.0,10837,12236.0,-1399.0,0.0,,15708,15059.0,7408.0,7651.0,0.0,649,26545,,1640,1235,117.0,91.0,197.0,283,0.0,276.0,7.0,269.0,7.0,357.0,1236.0,0.0,60.0,2280.0,11937.0,10820.0,1117.0,155.0,962.0,1634.0,0.0,257.0,141.0,13571.0,15851.0,0.0,,,,0.0,,13832.0,13832,0.0,13832,29683.0,
09/30/2019,30092,1224.0,1224.0,0.0,718,718.0,0.0,0.0,0.0,0.0,0.0,0.0,1887,,,,,1887.0,3829.0,10821,12431.0,-1610.0,0.0,,15442,14873.0,7389.0,7484.0,,569,26263,,1712,1305,113.0,78.0,216.0,658,0.0,251.0,7.0,244.0,407.0,360.0,1264.0,,64.0,2730.0,12048.0,10995.0,1053.0,153.0,900.0,1622.0,,225.0,133.0,13670.0,16400.0,0.0,,,,0.0,,13692.0,13692,0.0,13692,30092.0,
12/31/2019,29098,316.0,316.0,0.0,667,667.0,0.0,0.0,0.0,0.0,0.0,0.0,1859,,0.0,0.0,,1859.0,2842.0,10996,12821.0,-1825.0,0.0,,15260,14749.0,7415.0,7334.0,0.0,511,26256,,1800,1323,152.0,85.0,240.0,271,0.0,260.0,11.0,249.0,11.0,375.0,1343.0,0.0,66.0,2446.0,11370.0,10356.0,1014.0,160.0,854.0,1737.0,0.0,241.0,153.0,13107.0,15553.0,0.0,0.0,0.0,0.0,0.0,0.0,13545.0,13545,0.0,13545,29098.0,
03/31/2020,28732,239.0,239.0,0.0,737,737.0,0.0,0.0,0.0,0.0,0.0,0.0,1794,,,,,1794.0,2770.0,10984,13094.0,-2110.0,0.0,,14978,14486.0,7355.0,7131.0,,492,25962,,1899,1560,131.0,78.0,130.0,283,0.0,273.0,,273.0,10.0,387.0,1338.0,,71.0,2569.0,11199.0,10353.0,846.0,,846.0,1847.0,,212.0,297.0,13046.0,15615.0,0.0,,,,0.0,,13117.0,13117,0.0,13117,28732.0,
06/30/2020,29908,1462.0,1462.0,0.0,793,793.0,0.0,0.0,0.0,0.0,0.0,0.0,1773,,0.0,0.0,,1773.0,4028.0,10059,,,0.0,,15821,14313.0,7355.0,6958.0,0.0,1508,25880,,1968,1648,132.0,,188.0,1485,0.0,275.0,,275.0,1210.0,478.0,1382.0,0.0,168.0,3931.0,11183.0,10332.0,851.0,,851.0,1892.0,0.0,,510.0,13075.0,17006.0,0.0,,,,0.0,,12902.0,12902,0.0,12902,29908.0,
