Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2016,440.0,218.0,225.0,-61.0,8.0,5.0,-74.0,58.0,,58.0,0.0,-245.0,-245.0,1.0,1.0,0.0,-246.0,-246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,-1065.0,0.0,0.0,-1065.0,0.0,0.0,0.0,1251.0,0.0,381.0,,,
12/31/2016,633.0,243.0,226.0,-34.0,11.0,24.0,-69.0,198.0,,198.0,,-257.0,-258.0,14.0,14.0,0.0,-272.0,-272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,-979.0,,,-979.0,0.0,0.0,0.0,1121.0,0.0,518.0,,,
03/31/2017,181.0,91.0,232.0,16.0,10.0,-19.0,25.0,-158.0,,-158.0,,-118.0,-118.0,4.0,4.0,0.0,-122.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-72.0,0.0,0.0,-72.0,0.0,0.0,0.0,47.0,0.0,38.0,,,
06/30/2017,363.0,-1690.0,219.0,1781.0,11.0,-20.0,1790.0,53.0,,53.0,0.0,174.0,189.0,325.0,325.0,0.0,-136.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-1058.0,0.0,-1461.0,0.0,0.0,-1461.0,0.0,0.0,0.0,403.0,0.0,-521.0,,,
09/30/2017,382.0,-1417.0,197.0,1506.0,9.0,71.0,1426.0,96.0,,96.0,0.0,-102.0,-127.0,1.0,1.0,0.0,-128.0,-128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-44.0,0.0,-96.0,0.0,0.0,-96.0,0.0,0.0,0.0,52.0,0.0,236.0,,,
12/31/2017,244.0,-111.0,184.0,129.0,11.0,57.0,61.0,42.0,,42.0,0.0,-541.0,-91.0,20.0,20.0,0.0,-111.0,-111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,86.0,0.0,489.0,0.0,1144.0,-655.0,0.0,0.0,0.0,-403.0,0.0,-211.0,,,
03/31/2018,103.0,-210.0,202.0,33.0,10.0,-3.0,26.0,78.0,,78.0,0.0,376.0,-40.0,13.0,13.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,-248.0,0.0,-168.0,0.0,0.0,-168.0,0.0,0.0,0.0,-80.0,0.0,231.0,,,
06/30/2018,3.0,-1135.0,211.0,1106.0,18.0,49.0,1039.0,-179.0,,-179.0,0.0,30.0,-29.0,10.0,10.0,0.0,-39.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,-232.0,0.0,-220.0,0.0,0.0,-220.0,0.0,0.0,0.0,-12.0,0.0,-199.0,,,
09/30/2018,214.0,-409.0,201.0,503.0,8.0,4.0,491.0,-81.0,,-81.0,0.0,-35.0,-34.0,14.0,14.0,0.0,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-311.0,0.0,-1627.0,0.0,0.0,-1627.0,0.0,0.0,0.0,1316.0,0.0,-132.0,,,
12/31/2018,238.0,-242.0,316.0,-113.0,9.0,-66.0,-56.0,277.0,,277.0,0.0,-1168.0,-38.0,6.0,6.0,0.0,-44.0,-44.0,0.0,0.0,0.0,0.0,-990.0,0.0,-883.0,-107.0,-140.0,644.0,0.0,1964.0,,2054.0,-90.0,0.0,0.0,0.0,-1320.0,0.0,-286.0,,,
03/31/2019,-51.0,-171.0,262.0,11.0,9.0,-19.0,21.0,-153.0,,-153.0,0.0,23.0,-40.0,12.0,12.0,0.0,-52.0,-52.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,-60.0,123.0,-91.0,0.0,-76.0,0.0,540.0,-616.0,0.0,0.0,0.0,-15.0,0.0,-119.0,,,
06/30/2019,153.0,-208.0,311.0,47.0,10.0,128.0,-91.0,3.0,,3.0,0.0,-57.0,-58.0,28.0,28.0,0.0,-86.0,-86.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,3.0,287.0,0.0,298.0,0.0,516.0,-218.0,0.0,0.0,0.0,-11.0,0.0,383.0,,,
09/30/2019,91.0,-825.0,260.0,857.0,9.0,30.0,818.0,-201.0,,-201.0,0.0,-124.0,-109.0,12.0,12.0,0.0,-121.0,-121.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,-77.0,-363.0,0.0,-1411.0,,,,0.0,0.0,0.0,1048.0,0.0,-396.0,,,
12/31/2019,147.0,-51.0,394.0,-125.0,9.0,109.0,-243.0,-71.0,,-71.0,0.0,-110.0,-110.0,18.0,18.0,0.0,-128.0,-128.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,-77.0,77.0,-145.0,0.0,-136.0,0.0,,-136.0,0.0,0.0,0.0,-9.0,0.0,-108.0,,,
03/31/2020,-48.0,-392.0,254.0,252.0,8.0,10.0,234.0,-162.0,,-162.0,0.0,-112.0,-106.0,1.0,1.0,0.0,-107.0,-107.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,-6.0,0.0,-175.0,0.0,-166.0,0.0,743.0,-909.0,0.0,0.0,0.0,-9.0,0.0,-335.0,,,
06/30/2020,87.0,-497.0,249.0,183.0,7.0,20.0,156.0,152.0,,152.0,0.0,-44.0,-44.0,2.0,2.0,0.0,-46.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.0,0.0,-100.0,,0.0,-100.0,0.0,0.0,0.0,-9.0,0.0,-66.0,,,
