Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2012,-218.3,179.6,73.4,5.0,-484.1,-0.5,,,-483.6,7.8,,-4.5,12.3,,0.0,-3294.2,-57.3,0.0,-57.3,2473.2,7204.8,56.3,7148.5,0.0,-4731.6,-1134.6,-3597.0,0.0,-5960.2,-451.9,-5508.3,0.0,0.0,0.0,0.0,0.0,250.1,2909.3,-68.6,-70.9,37.6,17.4,0.0,-125.9,-14.2,21.6,-35.8,3063.0,0.0,-82.8,-686.0,61.3,,
09/30/2012,251.9,178.8,70.4,10.0,3.7,-0.2,,,3.9,-11.0,,-13.7,2.7,,0.0,724.0,-62.7,0.0,-62.7,123.2,4327.1,768.0,3559.1,0.0,-4203.9,-22.9,-4181.0,0.0,1001.0,48.7,952.3,0.0,0.0,0.0,0.0,0.0,-337.5,-1173.5,-73.4,-1585.7,-520.9,-1318.9,500.0,-245.9,-23.6,26.1,-49.7,-64.3,573.5,0.0,-197.6,98.3,74.7,
12/31/2012,23.2,167.7,74.0,5.0,-224.5,0.0,,,-224.5,1.0,,-6.3,-11.2,18.5,0.0,-3705.3,-135.2,0.0,-135.2,-1968.9,3280.2,1252.7,2027.5,0.0,-5249.1,-2587.8,-2661.3,0.0,-506.9,30.9,-537.8,0.0,0.0,0.0,0.0,0.0,-1094.3,3978.6,-144.8,254.7,-68.1,523.8,0.0,-201.0,-34.0,28.5,-62.5,4476.2,-573.5,59.5,356.0,24.1,79.1,
03/31/2013,312.5,164.0,76.3,5.0,-70.1,-0.2,,,-69.9,137.3,,-32.3,-18.8,188.4,0.0,4438.9,-72.3,0.0,-72.3,903.1,5362.5,1633.6,3728.9,0.0,-4459.4,-2182.6,-2276.8,0.0,2346.4,637.4,1709.0,0.0,0.0,0.0,0.0,0.0,1261.7,-4667.6,-1.1,1187.0,1057.3,330.7,0.0,-201.0,-23.1,51.1,-74.2,-5778.3,-52.1,-63.0,20.8,14.5,79.4,
06/30/2013,-1594.2,191.1,80.0,5.0,-1829.9,-0.1,,,-1829.8,-40.4,,126.8,6.6,-173.8,0.0,-1727.8,-90.1,0.0,-90.1,-286.6,2655.0,1622.6,1032.4,0.0,-2941.6,-1489.0,-1452.6,0.0,-897.1,9.1,-906.2,0.0,0.0,0.0,0.0,0.0,-454.0,4231.1,-70.7,1450.3,401.0,1250.4,0.0,-201.1,41.7,57.0,-15.3,2182.9,626.9,-51.7,857.4,77.4,48.5,
09/30/2013,2242.6,206.5,81.2,5.0,1989.7,2.2,,,1987.5,-39.8,,-122.4,-2.5,85.1,0.0,-2201.1,-46.4,38.8,-85.2,-143.7,2857.5,1259.6,1597.9,0.0,-3001.2,-1397.2,-1604.0,0.0,-968.0,-258.9,-709.1,0.0,0.0,0.0,0.0,0.0,-1043.0,-1989.3,-74.5,-2015.5,-75.9,-1538.5,0.0,-401.1,-71.3,26.0,-97.3,749.7,-577.7,7.6,-1940.2,92.3,57.1,
12/31/2013,-121.6,169.7,81.0,5.0,-280.8,-0.4,,,-280.4,-96.5,,-178.3,3.5,78.3,0.0,-6193.3,-176.1,,-176.1,-46.0,3435.3,1338.1,2097.2,0.0,-3481.3,-646.7,-2834.6,0.0,-7006.5,-369.8,-6636.7,0.0,0.0,0.0,0.0,0.0,1035.3,6814.1,-74.3,985.0,-123.6,359.8,750.0,-1.2,-110.8,12.1,-122.9,5784.6,229.6,-27.5,471.7,78.4,46.9,
03/31/2014,538.5,181.4,83.5,3.0,498.8,4.0,,,494.8,-228.2,,-254.9,-0.1,26.8,0.0,-822.1,-88.4,0.0,-88.4,-3005.2,3401.3,597.6,2803.7,0.0,-6406.5,-2467.4,-3939.1,0.0,2774.0,-274.9,3048.9,0.0,0.0,0.0,0.0,0.0,-502.5,788.1,-75.0,-1137.4,-1004.4,-131.9,0.0,-1.1,-109.0,54.0,-163.0,2082.4,27.1,9.4,513.9,15.1,50.4,
06/30/2014,1001.5,181.9,85.9,0.0,45.5,-0.4,,,45.9,688.2,,395.4,-10.1,302.9,0.0,-2262.5,-103.6,0.0,-103.6,-165.2,3630.0,1248.4,2381.6,0.0,-3795.2,-1291.5,-2503.7,0.0,-1991.1,-1044.0,-947.1,0.0,0.0,0.0,0.0,0.0,-2.6,1426.9,-74.9,-1104.1,-640.4,137.6,0.0,-601.3,-59.5,15.4,-74.9,2385.6,279.8,103.0,268.9,59.0,58.0,
09/30/2014,-266.5,204.5,81.2,0.0,-352.2,-0.3,,,-351.9,-200.0,,-98.4,7.3,-108.9,0.0,-5981.3,-94.2,0.0,-94.2,1364.6,5729.0,1659.4,4069.6,0.0,-4364.4,-1838.0,-2526.4,0.0,-7533.7,-33.1,-7500.6,0.0,0.0,0.0,0.0,0.0,282.0,5276.1,-75.5,1407.0,1678.2,-234.9,0.0,-36.3,363.8,441.1,-77.3,4088.6,-507.8,-54.6,-1026.3,85.6,38.0,
12/31/2014,-337.5,244.0,85.1,3.0,-567.3,1.0,,,-568.3,-102.3,,-21.2,-1.6,-79.5,0.0,831.3,-123.3,0.0,-123.3,-1616.6,3624.0,1402.3,2221.7,0.0,-5240.6,-1541.8,-3698.8,0.0,2729.6,-936.3,3665.9,0.0,0.0,0.0,0.0,0.0,-158.4,-417.4,-77.5,-34.2,-197.7,164.8,0.0,-1.3,-160.0,5.5,-165.5,-68.9,-76.8,29.1,105.5,119.5,40.1,
03/31/2015,490.8,230.7,88.4,-4.5,283.6,-0.1,,,283.7,-107.4,,50.3,-6.2,-151.5,0.0,2805.9,-93.9,0.0,-93.9,-3128.4,1965.2,278.4,1686.8,0.0,-5093.6,-2101.1,-2992.5,0.0,6284.1,-1004.2,7288.3,0.0,0.0,0.0,0.0,0.0,-255.9,-2191.3,-86.5,40.0,1064.2,-794.1,0.0,-230.1,-75.0,32.2,-107.2,-2817.7,747.9,-81.2,1024.2,40.5,44.9,
06/30/2015,1036.4,269.2,91.6,-10.0,880.1,0.4,,,879.7,-194.5,,-78.0,-2.6,-113.9,0.0,-10474.4,-97.5,0.0,-97.5,-2039.8,3086.7,1536.1,1550.6,0.0,-5126.5,-2611.8,-2514.7,0.0,-8716.1,-324.2,-8391.9,0.0,0.0,0.0,0.0,0.0,379.0,12421.2,-82.9,-160.1,481.0,-642.8,1.7,,-53.1,43.6,-96.7,13309.5,-592.2,87.8,3071.0,183.6,40.7,
09/30/2015,-1043.4,234.6,82.1,-10.0,-1302.6,0.0,,,-1302.6,-47.5,,14.4,2.9,-64.8,0.0,-2854.8,-92.9,0.0,-92.9,1709.5,6339.8,3473.8,2866.0,0.0,-4630.3,-2503.8,-2126.5,0.0,-4165.5,-436.5,-3729.0,0.0,0.0,0.0,0.0,0.0,-305.9,1339.5,-89.6,1246.7,,,,,-128.1,12.4,-140.5,448.8,-138.3,-112.4,-2671.1,302.8,34.4,
12/31/2015,1350.6,239.3,89.5,-18.5,826.6,0.0,,,826.6,213.7,,-2.9,-2.3,218.9,0.0,3623.2,-149.2,0.0,-149.2,-902.7,3812.7,1340.0,2472.7,0.0,-4715.4,-858.8,-3856.6,0.0,5310.2,183.9,5126.3,0.0,0.0,0.0,0.0,0.0,-635.1,-3035.3,-89.4,35.3,,,,,-146.7,5.8,-152.5,-2834.9,0.4,34.9,1973.4,-136.9,41.6,
03/31/2016,-295.5,245.4,90.3,2.0,-197.0,-0.3,,,-196.7,-436.2,,-95.4,2.3,-343.1,0.0,662.5,-77.0,0.0,-77.0,-1430.0,3142.9,726.3,2416.6,0.0,-4572.9,-1287.7,-3285.2,0.0,1614.7,-950.6,2565.3,0.0,0.0,0.0,0.0,0.0,554.8,-0.2,-88.7,-156.2,-27.1,-127.7,0.0,-1.4,-135.0,5.3,-140.3,388.6,-8.9,203.1,569.9,215.0,41.8,
06/30/2016,-211.7,263.0,94.6,-3.0,-839.9,2.4,,,-842.3,273.6,,53.9,-3.0,222.7,,-5592.9,-108.8,0.0,-108.8,-2033.4,2524.5,508.8,2015.7,0.0,-4557.9,-1288.8,-3269.1,0.0,-3192.6,-422.7,-2769.9,0.0,-16.9,0.0,-16.9,0.0,-241.2,4123.1,-88.1,2123.0,2023.3,101.1,0.0,-1.4,-119.4,21.4,-140.8,2207.6,0.0,5.2,-1676.3,198.4,47.9,
09/30/2016,1184.6,257.6,91.8,-3.0,771.1,-0.2,,,771.3,67.1,,-39.0,1.4,104.7,0.0,-322.3,-122.6,0.0,-122.6,-3835.4,3872.2,756.5,3115.7,0.0,-7707.6,-3180.8,-4526.8,0.0,2819.4,1134.0,1685.4,0.0,16.9,0.0,16.9,0.0,799.4,-1307.3,-87.7,-2230.7,-2038.1,-191.2,0.0,-1.4,463.8,528.8,-65.0,553.0,-5.7,25.6,-419.4,183.5,44.4,
12/31/2016,838.5,266.5,96.6,-22.0,6.8,1.3,,,5.5,490.6,,-48.7,-0.8,540.1,0.0,-4939.4,-165.0,0.0,-165.0,-672.5,5804.2,2034.9,3769.3,0.0,-6476.7,-2815.9,-3660.8,0.0,-4303.5,-231.7,-4071.8,0.0,-16.9,0.0,-16.9,0.0,218.5,4715.4,-91.9,1111.1,1115.4,-1.8,0.0,-2.5,106.8,171.8,-65.0,3588.2,1.2,-175.2,439.3,157.3,47.5,
03/31/2017,784.7,276.1,101.3,-1.0,580.2,0.3,,,579.9,-171.9,,-5.6,5.9,-172.2,0.0,1026.5,-94.2,0.0,-94.2,769.1,5686.8,2450.9,3235.9,0.0,-4917.7,-2284.1,-2633.6,0.0,645.0,153.0,492.0,0.0,0.0,0.0,0.0,0.0,-293.4,-2707.6,-92.8,-910.1,-1030.6,124.3,0.0,-3.8,-32.9,37.2,-70.1,-1671.8,0.0,213.6,-682.8,43.5,50.8,
06/30/2017,-472.1,267.9,105.1,-7.0,-61.0,0.4,,,-61.4,-777.1,,-65.8,2.4,-713.7,0.0,-1324.5,-125.2,0.0,-125.2,795.8,4990.8,2406.8,2584.0,0.0,-4195.0,-2440.1,-1754.9,0.0,-1908.3,378.8,-2287.1,0.0,0.0,0.0,0.0,0.0,-86.8,2891.7,-108.0,138.5,-29.6,-180.4,350.0,-1.5,-124.5,33.1,-157.6,2985.6,0.1,-49.5,1045.6,268.7,73.2,
09/30/2017,869.7,298.4,311.2,-15.0,1157.0,1.1,,,1155.9,-881.9,,-135.1,16.5,-763.3,0.0,-5965.7,-351.9,0.0,-351.9,503.9,14787.8,7180.1,7607.7,0.0,-14283.9,-7346.3,-6937.6,0.0,-5960.9,710.7,-6671.6,0.0,0.0,0.0,0.0,0.0,-156.8,4816.6,-293.6,3297.1,966.4,1987.7,350.0,-7.0,-269.4,83.1,-352.5,2082.4,0.1,210.3,-69.1,348.9,215.2,
12/31/2017,850.7,356.6,110.5,-13.0,-110.8,0.5,,,-111.3,507.4,,15.8,-5.8,497.4,0.0,-8055.9,-120.9,0.0,-120.9,-2210.9,5240.4,2744.7,2495.7,0.0,-7451.3,-4608.9,-2842.4,0.0,-5125.6,740.3,-5865.9,0.0,-188.5,0.0,-188.5,0.0,-410.0,6436.1,-113.0,253.6,1.3,454.0,0.0,-201.7,-145.7,24.9,-170.6,6441.2,0.0,24.3,-744.8,92.3,113.6,
03/31/2018,-477.8,381.6,115.9,-3.0,-655.9,0.2,,,-656.1,-316.4,,-79.7,5.7,-242.4,0.0,11156.2,-85.8,0.0,-85.8,-1514.1,6722.8,4678.4,2044.4,0.0,-8236.9,-5511.6,-2725.3,0.0,12472.5,491.2,11981.3,0.0,0.0,0.0,0.0,0.0,283.6,-9167.2,-100.9,-981.1,997.7,-1977.1,0.0,-1.7,-244.1,19.1,-263.2,-7841.1,0.0,52.1,1563.3,29.7,116.0,
06/30/2018,332.3,390.4,117.3,1.5,-298.4,0.0,,,-298.4,121.5,,-127.8,7.0,242.3,0.0,-7538.7,-111.7,0.0,-111.7,-1575.2,6558.1,4566.2,1991.9,0.0,-8133.3,-5129.8,-3003.5,0.0,-4386.1,-389.6,-3996.5,0.0,-70.0,0.0,-70.0,0.0,-1395.7,6210.8,-111.9,3667.9,,,,,-187.8,2.8,-190.6,2842.6,0.0,-197.7,-1193.3,171.0,147.4,
09/30/2018,1525.8,374.5,113.7,-9.0,772.4,0.1,,,772.3,274.2,,-33.5,13.4,294.3,0.0,1730.7,-130.6,0.0,-130.6,-1451.6,7213.9,5089.5,2124.4,0.0,-8665.5,-5265.7,-3399.8,0.0,2795.5,1109.2,1686.3,0.0,0.0,0.0,0.0,0.0,517.4,-2939.6,-99.9,-1313.9,86.0,-1592.4,497.9,-305.4,-227.9,8.0,-235.9,-1298.0,0.1,-59.7,257.2,151.5,178.0,
12/31/2018,459.1,409.9,114.0,-4.0,-412.9,0.7,,,-413.6,352.1,,44.0,2.4,305.7,0.0,-1021.1,-177.9,0.0,-177.9,-523.7,8500.6,5702.6,2798.0,0.0,-9024.3,-5556.0,-3468.3,0.0,43.3,-1144.7,1188.0,0.0,-34.2,0.0,-34.2,0.0,-328.6,244.2,-139.1,314.5,171.8,151.6,0.0,-8.9,-231.9,2.7,-234.6,133.3,167.4,-7.6,-325.4,141.3,228.8,
03/31/2019,293.7,347.1,113.9,,309.9,0.2,,,309.7,-477.2,,-105.3,-3.6,-368.3,0.0,11607.6,-91.0,0.0,-91.0,2104.4,7662.9,5948.6,1714.3,0.0,-5558.5,-3724.4,-1834.1,0.0,9635.0,1875.1,7759.9,0.0,0.0,0.0,0.0,0.0,-40.8,-11446.4,-126.7,-2229.6,-158.7,-2070.9,0.0,0.0,-251.9,5.5,-257.4,-8838.2,0.0,37.6,492.5,27.2,244.2,
06/30/2019,84.8,389.4,112.4,-6.5,82.5,0.3,,,82.2,-493.0,,-365.0,-1.7,-126.3,0.0,-4276.3,-145.5,0.0,-145.5,1258.2,6382.5,4324.3,2058.2,0.0,-5124.3,-2596.7,-2527.6,0.0,-5042.8,-361.8,-4681.0,0.0,0.0,0.0,0.0,0.0,-346.2,4431.0,-148.4,312.5,13.5,-199.0,498.0,0.0,-267.6,3.6,-271.2,4534.5,0.0,34.7,274.2,205.8,225.0,
09/30/2019,577.1,384.6,115.3,-7.0,-303.0,0.4,,,-303.4,387.2,,141.7,-3.9,249.4,0.0,1667.1,-118.0,0.0,-118.0,-2510.7,5312.8,2175.3,3137.5,0.0,-7823.5,-3540.9,-4282.6,0.0,4891.5,123.6,4767.9,0.0,-10.5,0.0,-10.5,0.0,-585.2,-2483.5,-135.0,-0.4,26.5,-26.9,0.0,0.0,-296.4,10.8,-307.2,-2051.8,0.1,-71.4,-310.7,127.3,206.7,
12/31/2019,1636.4,371.1,117.3,-1.0,1158.8,0.5,,,1158.3,-9.8,,278.3,-14.4,-273.7,0.0,-12403.4,-245.3,0.0,-245.3,-469.1,7989.9,3842.7,4147.2,0.0,-8459.0,-4292.3,-4166.7,0.0,-12207.3,-549.0,-11658.3,0.0,0.0,0.0,0.0,0.0,518.3,10114.8,-166.0,-489.4,-1065.8,576.4,0.0,0.0,152.2,416.6,-264.4,10619.1,-1.1,73.8,-578.4,76.7,169.6,
03/31/2020,-2685.3,360.6,123.8,61.0,-3558.4,0.0,,,-3558.4,327.7,,-122.7,-5.7,456.1,0.0,-21500.3,-132.4,0.0,-132.4,-1215.6,8718.0,6287.3,2430.7,0.0,-9933.6,-7076.0,-2857.6,0.0,-18757.4,-6432.9,-12324.5,0.0,0.0,0.0,0.0,0.0,-1394.9,25708.0,-152.9,2584.1,-778.0,3362.1,0.0,0.0,-288.0,8.8,-296.8,23956.5,-391.7,-148.4,1374.0,72.6,126.7,
06/30/2020,3183.7,313.3,124.8,66.0,2720.1,-0.1,,,2720.2,-40.5,,83.3,-10.4,-113.4,0.0,7209.0,-132.0,0.0,-132.0,-2479.0,8725.9,6599.9,2126.0,0.0,-11204.9,-8876.0,-2328.9,0.0,9257.6,4082.6,5175.0,0.0,0.0,0.0,0.0,0.0,562.4,-11837.4,-165.1,-1134.6,1525.7,-3653.5,993.2,0.0,1.6,1.8,-0.2,-10531.3,-8.0,73.7,-1371.0,117.1,48.0,
