Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/2017,188.5,385.9,35.6,-10.7,-62.0,36.8,14.5,-222.3,-566.3,344.0,0.0,29.4,-46.5,0.0,-46.5,123.1,123.3,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.2,146.0,-140.9,0.0,0.0,0.0,0.0,0.0,-264.2,41.9,-306.1,0.0,551.1,-3.4,360.5,,
06/30/2017,-49.3,373.9,36.3,-138.9,-192.4,37.4,16.1,-320.6,-235.7,-84.9,0.0,108.2,-36.1,0.0,-36.1,102.3,125.5,-23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-81.2,-139.5,0.0,0.0,0.0,0.0,0.0,-108.3,32.5,-140.8,0.0,166.6,7.2,-15.1,,
09/30/2017,213.6,390.9,35.0,33.1,-16.6,36.4,13.3,-245.4,-408.5,163.1,0.0,-62.2,-46.5,0.0,-46.5,-14.6,1.0,-15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,205.8,-140.4,0.0,0.0,0.0,0.0,0.0,58.6,68.4,-9.8,0.0,287.6,3.1,360.3,,
12/31/2017,-123.3,347.1,36.7,-23.1,-104.0,41.4,39.5,-484.0,-282.4,-201.6,0.0,-36.4,-57.0,0.0,-57.0,21.7,22.6,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,190.9,-142.3,0.0,0.0,0.0,0.0,0.0,56.9,58.3,-1.4,0.0,276.3,-1.6,29.6,,
03/31/2018,521.0,453.7,36.9,31.9,-2.6,45.6,-11.1,-1.5,-189.4,187.9,0.0,-519.8,-21.5,0.0,-21.5,-413.9,36.7,-450.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.4,-242.1,-174.8,0.0,0.0,0.0,0.0,0.0,-245.1,46.2,-291.3,0.0,177.8,1.3,-239.6,,
06/30/2018,408.3,448.9,37.8,52.3,-16.5,45.2,23.6,-130.7,-217.7,87.0,0.0,-424.2,-57.1,0.0,-57.1,-458.7,200.9,-659.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6,-146.1,-173.9,0.0,0.0,0.0,0.0,0.0,-112.4,46.6,-159.0,0.0,140.2,-7.9,-169.9,,
09/30/2018,557.1,583.0,40.2,-58.4,-101.5,44.5,-1.4,-7.7,-171.2,163.5,0.0,113.6,-42.9,0.0,-42.9,75.0,83.5,-8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,-74.9,-173.6,0.0,0.0,0.0,0.0,0.0,-69.5,23.2,-92.7,0.0,168.2,4.2,600.0,,
12/31/2018,133.5,351.9,44.6,-77.5,-59.4,61.8,-79.9,-185.5,141.3,-326.8,0.0,-45.1,-47.0,0.0,-47.0,2.2,7.5,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-776.4,-172.0,0.0,0.0,0.0,0.0,0.0,-547.4,0.0,-547.4,0.0,-57.0,-13.0,-701.0,,
03/31/2019,578.7,512.6,41.9,-15.3,-82.0,43.5,23.2,39.5,-184.2,223.7,0.0,-33.8,-47.7,0.0,-47.7,17.9,33.5,-15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-306.0,-184.6,0.0,0.0,0.0,0.0,0.0,-187.4,43.6,-231.0,0.0,66.0,-0.7,238.2,,
06/30/2019,370.1,527.5,44.1,32.1,-61.7,47.2,46.6,-233.6,-259.8,26.2,0.0,4.7,-46.8,0.0,-46.8,45.9,65.2,-19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-195.5,-183.2,0.0,0.0,0.0,0.0,0.0,-136.6,35.2,-171.8,0.0,124.3,0.3,179.6,,
09/30/2019,551.9,545.9,45.7,30.5,-14.1,45.4,-0.8,-70.2,-244.1,173.9,0.0,-47.6,-54.4,0.0,-54.4,4.9,5.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-121.5,-182.6,0.0,0.0,0.0,0.0,0.0,-135.7,37.5,-173.2,0.0,196.8,-1.8,381.0,,
12/31/2019,22.0,545.3,59.1,-25.4,-144.5,70.5,48.6,-557.0,-242.8,-314.2,0.0,-247.8,-55.7,0.0,-55.7,-195.4,9.3,-204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-209.7,-183.5,0.0,0.0,0.0,0.0,0.0,-162.8,0.0,-162.8,0.0,136.6,-0.3,-435.8,,
03/31/2020,787.7,343.1,46.1,40.2,167.3,58.3,-185.4,358.3,234.6,123.7,0.0,27.6,-46.0,0.0,-46.0,74.0,299.1,-225.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-992.3,-215.2,0.0,0.0,0.0,0.0,0.0,-853.2,38.1,-891.3,0.0,76.1,-1.2,-178.2,,
06/30/2020,853.0,603.0,48.2,13.8,-173.9,53.3,134.4,188.0,-193.8,381.8,0.0,-25.2,-59.3,0.0,-59.3,27.6,39.6,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,-318.8,-210.5,0.0,0.0,0.0,0.0,0.0,-119.9,15.9,-135.8,0.0,11.6,-6.2,502.8,,
