Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2007,141703,4997,4626,371.0,7432,7432.0,,7668,1711.0,482.0,5475.0,0.0,5085,,,,,25182,19812,35726.0,-15914.0,0.0,,96709,91568.0,57575.0,33993.0,,5141,116521,,5230,5230,,,,13598,,,,,,12046,,,,12046,30874,22172,,,,,21098,,,,21098,43270,74144,1392.0,63362.0,,,-41039.0,43507.0,337,67559,0.0,67559,141703,
12/31/2007,144401,6045,5349,696.0,7688,7688.0,,7690,,619.0,5211.0,1860.0,5537,,,,,26960,19888,36059.0,-16171.0,0.0,,97553,92384.0,58216.0,34168.0,,5169,117441,,4829,4829,,,,13569,,,,,,13081,,,,13081,31479,23528,,,,,21151,,,,21151,44679,76158,1386.0,63710.0,,,-43648.0,45647.0,1148,68243,0.0,68243,144401,
03/31/2008,145405,4078,3737,341.0,6934,6934.0,,8427,,675.0,5480.0,2272.0,6303,,,,,25742,20334,37167.0,-16833.0,0.0,,99329,93950.0,59645.0,34305.0,,5379,119663,,5535,5535,,,,13287,,,,,,12441,,,,12441,31263,23673,,,,,20880,,,,20880,44553,75816,1371.0,63973.0,,,-45816.0,47239.0,2822,69589,0.0,69589,145405,
06/30/2008,143992,3541,3313,228.0,6761,6761.0,,8416,2262.0,765.0,5389.0,0.0,5797,,,,,24515,20640,38086.0,-17446.0,0.0,,98837,94000.0,59767.0,34233.0,,4837,119477,,6775,6775,,,,13084,,,,,,11099,,,,11099,30958,23581,,,,,19959,,,,19959,43540,74498,1366.0,64309.0,,,-47588.0,48986.0,2421,69494,0.0,69494,143992,
09/30/2008,140679,4502,4502,0.0,7111,7111.0,0.0,8847,0.0,787.0,5842.0,2218.0,4609,,,1547.0,3062.0,25069,19724,36945.0,-17221.0,0.0,,95886,91238.0,57773.0,33465.0,,4648,115610,,17101,6006,1442.0,,9653.0,21140,0.0,,,,21140.0,0,,,,0,38241,18307,18307.0,,,,19569,,,11736.0,7833,37876,76117,1352.0,64658.0,4006.0,60652.0,-51263.0,51000.0,-1185,64562,0.0,64562,140679,
12/31/2008,138263,5653,5653,0.0,6956,6956.0,0.0,8383,0.0,754.0,5453.0,2176.0,4483,,,1682.0,2801.0,25475,18969,35484.0,-16515.0,0.0,,93819,89317.0,56562.0,32755.0,,4502,112788,,15201,5171,1062.0,,8968.0,21940,0.0,,,,21940.0,0,,,,0,37141,19815,19815.0,,,,18895,,,11518.0,7377,38710,75851,1345.0,64799.0,4007.0,60792.0,-54949.0,54764.0,-3547,62412,0.0,62412,138263,
03/31/2009,132395,4434,4434,0.0,5744,5744.0,0.0,7615,0.0,700.0,5076.0,1839.0,4215,,,1497.0,2718.0,22008,18531,34975.0,-16444.0,0.0,,91856,87445.0,55286.0,32159.0,,4411,110387,,14463,5138,1329.0,,7996.0,18366,0.0,,,,18366.0,0,,,,0,32829,20452,20452.0,,,,18339,,,11428.0,6911,38791,71620,1329.0,64966.0,4007.0,60959.0,-56025.0,56167.0,-5662,60775,0.0,60775,132395,
06/30/2009,134833,4781,4781,0.0,5836,5836.0,0.0,6880,0.0,672.0,4651.0,1557.0,4408,411.0,,1209.0,3199.0,21905,19462,36651.0,-17189.0,0.0,,93466,89118.0,56512.0,32606.0,133.0,3804,112928,,14581,5980,722.0,0.0,7879.0,16320,9379.0,46.0,46.0,,6895.0,0,0.0,341.0,,0,30901,20652,20306.0,346.0,346.0,,20181,0.0,5314.0,10752.0,3774,40833,71734,1324.0,65125.0,4007.0,61118.0,-55961.0,57309.0,-4698,63099,0.0,63099,134833,
09/30/2009,138381,6294,6294,0.0,6239,6239.0,,7050,0.0,657.0,4694.0,1699.0,4934,,989.0,1254.0,2691.0,24517,19591,37294.0,-17703.0,,,94273,89697.0,57011.0,32686.0,,4576,113864,,15191,5581,,,9610.0,12957,0.0,,,,12957.0,526,,,526.0,0,28674,22439,22439.0,,,,20241,,,10917.0,9324,42680,71354,1308.0,65263.0,4007.0,61256.0,-55837.0,59287.0,-3307,66714,313.0,67027,138381,
12/31/2009,135293,4130,4130,0.0,6544,6544.0,,6864,0.0,640.0,4436.0,1788.0,4223,,,1217.0,3006.0,21761,19646,37687.0,-18041.0,,,93886,89603.0,56979.0,32624.0,,4283,113532,,15896,5433,,,10463.0,7780,7780.0,,,,,0,,,,0,23676,22309,22309.0,,,,20361,,,11045.0,9316,42670,66346,1301.0,65377.0,4007.0,61370.0,-57074.0,62616.0,-3583,68637,310.0,68947,135293,
03/31/2010,132986,4899,4899,0.0,5860,5860.0,,6750,0.0,635.0,4399.0,1716.0,3981,,,1231.0,2750.0,21490,19427,37458.0,-18031.0,,,92069,87739.0,55538.0,32201.0,,4330,111496,,16234,5785,,,10449.0,7038,0.0,,,,7038.0,0,,,,0,23272,22938,22938.0,,,,20003,,,11407.0,8596,42941,66213,1284.0,65543.0,4007.0,61536.0,-58879.0,63879.0,-5397,66430,343.0,66773,132986,
06/30/2010,128172,2879,2879,0.0,5335,5335.0,,6384,0.0,604.0,4088.0,1692.0,4184,,,990.0,3194.0,18782,19244,37012.0,-17768.0,,,90146,85648.0,54012.0,31636.0,56.0,4442,109390,,15810,7251,622.0,,7937.0,8472,7864.0,44.0,44.0,,564.0,0,,,,0,24282,21360,21003.0,357.0,357.0,,21091,,6616.0,10902.0,3573,42451,66733,1277.0,65705.0,4008.0,61697.0,-61309.0,64614.0,-9172,61115,324.0,61439,128172,
09/30/2010,133692,2603,2603,0.0,6082,6082.0,0.0,7277,0.0,683.0,4635.0,1959.0,4534,,,968.0,3566.0,20496,19877,38673.0,-18796.0,0.0,,93319,88540.0,56171.0,32369.0,,4779,113196,,16128,6716,,,9412.0,11512,0.0,,,,11512.0,0,,,,0,27640,21464,21464.0,,,,21387,,,10709.0,10678,42851,70491,1260.0,65847.0,4008.0,61839.0,-64174.0,66282.0,-6360,62855,346.0,63201,133692,
12/31/2010,134273,3249,3249,0.0,6551,6551.0,0.0,7423,0.0,678.0,4624.0,2121.0,4607,,,963.0,3644.0,21830,19952,39034.0,-19082.0,0.0,,92491,88011.0,55760.0,32251.0,,4480,112443,,16083,6267,,,9816.0,11158,0.0,,,,11158.0,0,,,,0,27241,21317,21317.0,,,,21002,,,10867.0,10135,42319,69560,1253.0,65993.0,4008.0,61985.0,-64383.0,68212.0,-6711,64364,349.0,64713,134273,
03/31/2011,136538,2946,2946,0.0,6264,6264.0,0.0,7619,0.0,710.0,4775.0,2134.0,4985,,,1099.0,3886.0,21814,20521,40284.0,-19763.0,0.0,,94203,89628.0,57030.0,32598.0,,4575,114724,,16454,6458,,,9996.0,9721,0.0,,,,9721.0,0,,,,0,26175,21699,21699.0,,,,21232,,,10923.0,10309,42931,69106,1241.0,66188.0,4008.0,62180.0,-65202.0,69692.0,-4850,67069,363.0,67432,136538,
06/30/2011,138354,2768,2768,0.0,6275,6275.0,0.0,7379,0.0,717.0,4509.0,2153.0,5548,,,1140.0,4408.0,21970,21293,41507.0,-20214.0,0.0,,95091,90182.0,57562.0,32620.0,168.0,4741,116384,,17312,8022,786.0,0.0,8504.0,9981,6941.0,46.0,46.0,,2994.0,0,0.0,,,0,27293,22033,21672.0,361.0,361.0,,21027,0.0,6275.0,11070.0,3682,43060,70353,1234.0,66413.0,4008.0,62405.0,-67278.0,70682.0,-3411,67640,361.0,68001,138354,
09/30/2011,136617,3582,3582,0.0,6584,6584.0,0.0,8001,0.0,744.0,5120.0,2137.0,4958,,,1048.0,3910.0,23125,20765,40747.0,-19982.0,0.0,,92727,87937.0,56079.0,31858.0,,4790,113492,,16492,7290,,,9202.0,11476,0.0,,,,11476.0,0,,,,0,27968,22372,22372.0,,,,20643,,,11070.0,9573,43015,70983,1221.0,66543.0,4008.0,62535.0,-68383.0,72215.0,-6352,65244,390.0,65634,136617,
12/31/2011,134311,4414,4414,0.0,6905,6905.0,0.0,7444,0.0,709.0,4682.0,2053.0,4888,,,1096.0,3792.0,23651,20372,40371.0,-19999.0,0.0,,90288,85632.0,54307.0,31325.0,,4656,110660,,15674,6735,,,8939.0,14118,0.0,,,,14118.0,0,,,,0,29792,19270,19270.0,,,,20349,,,11133.0,9216,39619,69411,1217.0,66887.0,4008.0,62879.0,-68481.0,72407.0,-7733,64297,603.0,64900,134311,
03/31/2012,134605,3991,3991,0.0,6200,6200.0,,7239,0.0,728.0,4645.0,1866.0,5678,,642.0,1219.0,3817.0,23108,20384,40554.0,-20170.0,,,91113,86262.0,54833.0,31429.0,,4851,111497,,15133,6684,,,8449.0,11771,0.0,,,,11771.0,0,,,,0,26904,21341,21341.0,,,,20451,,,11297.0,9154,41792,68696,1202.0,67076.0,4008.0,63068.0,-69918.0,73324.0,-6419,65265,644.0,65909,134605,
06/30/2012,132244,4436,4436,0.0,6068,6068.0,,6721,0.0,685.0,4296.0,1740.0,4685,,,1001.0,3684.0,21910,20377,40233.0,-19856.0,,,89957,84761.0,53773.0,30988.0,128.0,5068,110334,,16209,7920,414.0,,7875.0,8698,4599.0,16.0,16.0,,4083.0,0,,,,0,24907,21080,21051.0,29.0,29.0,,22222,,8954.0,10132.0,3136,43302,68209,1195.0,67189.0,4008.0,63181.0,-69604.0,75349.0,-10690,63439,596.0,64035,132244,
09/30/2012,135888,5302,5302,0.0,6993,6993.0,0.0,7332,0.0,755.0,4671.0,1906.0,4497,,,1072.0,3425.0,24124,20877,41369.0,-20492.0,0.0,,90887,85495.0,54332.0,31163.0,,5392,111764,,16584,7498,,,9086.0,8314,0.0,,,,8314.0,0,,,,0,24898,23563,23563.0,,,,22479,,,10164.0,12315,46042,70940,1170.0,67175.0,4009.0,63166.0,-71086.0,76574.0,-9534,64299,649.0,64948,135888,
12/31/2012,139903,6643,6643,0.0,7183,7183.0,0.0,7219,0.0,667.0,4632.0,1920.0,4556,,,983.0,3573.0,25601,21204,42347.0,-21143.0,0.0,,93098,87834.0,55687.0,32147.0,,5264,114302,,16411,7157,,,9254.0,9819,0.0,,,,9819.0,0,,,,0,26230,23607,23607.0,,,,22743,,,10567.0,12176,46350,72580,1156.0,67213.0,4009.0,63204.0,-71682.0,79045.0,-9051,66681,642.0,67323,139903,
03/31/2013,139131,5876,5876,0.0,6669,6669.0,0.0,7240,0.0,721.0,4742.0,1777.0,4513,,,937.0,3576.0,24298,21191,42349.0,-21158.0,0.0,,93642,86806.0,55067.0,31739.0,,6836,114833,,16314,7422,,,8892.0,11098,0.0,,,,11098.0,0,,,,0,27412,21125,21125.0,,,,22641,,,10725.0,11916,43766,71178,1143.0,67367.0,4009.0,63358.0,-71644.0,80035.0,-9633,67268,685.0,67953,139131,
06/30/2013,139263,5947,5947,0.0,6508,6508.0,0.0,6909,0.0,722.0,4483.0,1704.0,4626,0.0,,948.0,3678.0,23990,21666,43012.0,-21346.0,0.0,,93607,86760.0,55188.0,31572.0,114.0,6733,115273,,17605,8777,817.0,0.0,8011.0,12432,7921.0,5.0,5.0,,4506.0,0,0.0,0.0,,0,30037,19111,19085.0,26.0,26.0,,21406,0.0,7740.0,10827.0,2839,40517,70554,1137.0,67547.0,4009.0,63538.0,-71966.0,80197.0,-8851,68064,645.0,68709,139263,
09/30/2013,141125,6122,6122,0.0,6555,6555.0,0.0,7394,0.0,698.0,4852.0,1844.0,6251,,,1095.0,5156.0,26322,21876,,,0.0,,92927,87589.0,55874.0,31715.0,,5338,114803,,16917,7489,,,9428.0,16300,0.0,,,,16300.0,0,,,,0,33217,18480,18480.0,,,,20612,,,10853.0,9759,39092,72309,1128.0,67647.0,4009.0,63638.0,-74145.0,81534.0,-8077,68087,729.0,68816,141125,
12/31/2013,142927,6929,6929,0.0,6911,6911.0,0.0,7379,0.0,686.0,4719.0,1974.0,6248,,,1173.0,5075.0,27467,22152,,,0.0,,93308,87888.0,56293.0,31595.0,,5420,115460,,16636,7156,,,9480.0,14091,0.0,,,,14091.0,0,,,,0,30727,21517,21517.0,,,,20545,,,10809.0,9736,42062,72789,1125.0,67735.0,4009.0,63726.0,-75048.0,83280.0,-7714,69378,760.0,70138,142927,
03/31/2014,143197,9752,8182,1570.0,6353,6353.0,0.0,7227,0.0,718.0,4707.0,1802.0,4794,,,1255.0,3539.0,28126,22274,,,0.0,,92797,87532.0,56226.0,31306.0,,5265,115071,,16590,7512,,,9078.0,15528,0.0,,,,15528.0,0,,,,0,32118,20837,20837.0,,,,20201,,,10913.0,9288,41038,73156,1115.0,67789.0,4009.0,63780.0,-75869.0,84220.0,-7974,69281,760.0,70041,143197,
06/30/2014,144266,10686,8558,2128.0,6386,6386.0,0.0,6759,0.0,684.0,4333.0,1742.0,7786,0.0,2849.0,1092.0,3845.0,31617,22304,44427.0,-22123.0,0.0,,90345,84547.0,53704.0,30843.0,69.0,5729,112649,,17460,8461,,0.0,8999.0,15606,11299.0,19.0,19.0,,4288.0,660,0.0,0.0,,660,33726,19811,19747.0,64.0,64.0,,20753,0.0,7890.0,10218.0,2645,40564,74290,1111.0,67920.0,4009.0,63911.0,-75805.0,84990.0,-9002,69214,762.0,69976,144266,
09/30/2014,138183,10846,7486,3360.0,6197,6197.0,0.0,7100,0.0,739.0,4532.0,1829.0,4964,,134.0,916.0,3914.0,29107,21799,,,0.0,,87277,81571.0,51361.0,30210.0,,5706,109076,,17834,8280,,,9554.0,14228,0.0,,,,14228.0,9,,,,9,32071,19004,19004.0,,,,20279,,,10271.0,10008,39283,71354,1102.0,68037.0,4009.0,64028.0,-77149.0,85207.0,-11142,66055,774.0,66829,138183,
12/31/2014,136263,12251,8204,4047.0,5802,5802.0,0.0,6477,0.0,612.0,4090.0,1775.0,8648,,4153.0,816.0,3679.0,33178,20745,,,0.0,,82340,76442.0,48875.0,27567.0,,5898,103085,,16586,7733,,,8853.0,16329,0.0,,,,16329.0,1237,,,,1237,34152,18124,18124.0,,,,19175,,,9552.0,9623,37299,71451,1094.0,67823.0,4009.0,63814.0,-77905.0,85770.0,-12649,64133,679.0,64812,136263,
03/31/2015,130937,13160,8374,4786.0,4990,4990.0,0.0,5893,0.0,585.0,3772.0,1536.0,7519,,3632.0,820.0,3067.0,31562,20043,,,0.0,,79332,73764.0,46856.0,26908.0,,5568,99375,,15691,7285,,,8406.0,15075,0.0,,,,15075.0,1115,,,,1115,31881,17364,17364.0,,,,18312,,,9808.0,8504,35676,67557,1086.0,67850.0,4009.0,63841.0,-77190.0,86157.0,-15170,62733,647.0,63380,130937,
06/30/2015,129495,11603,6836,4767.0,4568,4568.0,0.0,4979,0.0,525.0,3188.0,1266.0,8496,,4432.0,1356.0,2708.0,29646,19655,40063.0,-20408.0,0.0,,80194,69632.0,44622.0,25010.0,276.0,10286,99849,,16229,8138,,,8091.0,12018,9246.0,20.0,20.0,,2752.0,1543,0.0,,,1543,29790,18327,18295.0,32.0,32.0,,18328,0.0,6997.0,9179.0,2152,36655,66445,725.93444,68212.06556,4009.0,64203.06556,-77226.0,84807.0,-14100,62419,631.0,63050,129495,
09/30/2015,129265,12606,7705,4901.0,4724,4724.0,,5239,0.0,549.0,3309.0,1381.0,13051,,9360.0,1334.0,2357.0,35620,19081,,,,,74564,69327.0,44612.0,24715.0,,5237,93645,,16252,7758,,,8494.0,13093,13093.0,,,,,2222,,,,2222,31567,17394,17394.0,,,,17350,,,9224.0,8126,34744,66311,1067.0,67737.0,4009.0,63728.0,-77044.0,85579.0,-15052,62287,667.0,62954,129265,
12/31/2015,129143,14277,9403,4874.0,4721,4721.0,0.0,5125,0.0,533.0,3167.0,1425.0,12224,,9223.0,1173.0,1828.0,36347,18910,,,,,73886,68652.0,44157.0,24495.0,,5234,92796,,15662,7717,,,7945.0,13931,13931.0,,,,,2460,,,,2460,32053,17595,17595.0,,,,17193,,,9257.0,7936,34788,66841,1062.0,67760.0,4009.0,63751.0,-78469.0,86917.0,-15642,61628,674.0,62302,129143,
03/31/2016,127508,13819,7895,5924.0,4591,4591.0,0.0,4957,0.0,558.0,3114.0,1285.0,10950,,7028.0,1189.0,2733.0,34317,19186,,,0.0,,74005,69308.0,44679.0,24629.0,,4697,93191,,15447,7795,,,7652.0,13681,13681.0,,,,,2229,,,,2229,31357,19134,19134.0,,,,17164,,,9161.0,8003,36298,67655,1043.0,67626.0,4009.0,63617.0,-82400.0,87849.0,-14931,59187,666.0,59853,127508,
06/30/2016,127136,13348,7102,6246.0,4373,4373.0,0.0,4716,0.0,563.0,2965.0,1188.0,11345,,7185.0,1507.0,2653.0,33782,19385,39866.0,-20481.0,0.0,,73969,68877.0,44350.0,24527.0,180.0,4912,93354,,16774,9325,397.0,,7052.0,11653,8893.0,16.0,16.0,,2744.0,2343,0.0,,,2343,30770,18945,18916.0,29.0,29.0,,19438,0.0,8569.0,9113.0,1756,38383,69153,2009.2524,66751.7476,4009.0,62742.7476,-82176.0,87953.0,-17197,57341,642.0,57983,127136,
09/30/2016,129043,14071,7456,6615.0,4713,4713.0,0.0,4999,0.0,549.0,3070.0,1380.0,11388,,7071.0,0.0,4317.0,35171,19310,,,0.0,,74562,68887.0,44458.0,24429.0,,5675,93872,,17056,9024,,,8032.0,12215,12215.0,,,,,3130,,,,3130,32401,18910,18910.0,,,,18781,,,8515.0,10266,37691,70092,1029.0,67562.0,4009.0,63553.0,-81970.0,88855.0,-17214,58262,689.0,58951,129043,
12/31/2016,117033,13454,6051,7403.0,4729,4729.0,0.0,4787,0.0,522.0,2867.0,1398.0,2602,,0.0,0.0,2602.0,25572,18778,,,,,72683,67643.0,43458.0,24185.0,,5040,91461,,15884,8300,,,7584.0,13007,13007.0,,,,,0,,,,0,28891,16460,16460.0,,,,17938,,,8692.0,9246,34398,63289,1024.0,67605.0,4009.0,63596.0,-92720.0,94945.0,-17794,53060,684.0,53744,117033,
03/31/2017,118091,14327,5817,8510.0,4358,4358.0,0.0,4754,0.0,505.0,2925.0,1324.0,2446,,0.0,0.0,2446.0,25885,19219,,,0.0,,72987,67835.0,43682.0,24153.0,,5152,92206,,15301,8076,,,7225.0,13781,13781.0,,,,,0,,,,0,29082,16633,16633.0,,,,17828,,,8644.0,9184,34461,63543,1010.0,67522.0,4009.0,63513.0,-93225.0,95736.0,-17203,53840,708.0,54548,118091,
06/30/2017,120406,15137,5569,9568.0,4594,4594.0,0.0,4624,0.0,529.0,2787.0,1308.0,2139,,,,2139.0,26494,19893,40148.0,-20255.0,132.0,132.0,73887,68886.0,44699.0,24187.0,196.0,4805,93912,,16656,9632,449.0,,6575.0,13554,11878.0,13.0,13.0,,1663.0,0,0.0,,,0,30210,18038,18000.0,38.0,38.0,,16380,0.0,6820.0,8126.0,1434,34418,64628,1925.34564,66730.65436,4009.0,62721.65436,-93715.0,96124.0,-15881,55184,594.0,55778,120406,
09/30/2017,122851,16007,5024,10983.0,4942,4942.0,0.0,5023,0.0,588.0,3091.0,1344.0,2124,,0.0,0.0,2124.0,28096,20108,,,,,74647,69451.0,45189.0,24262.0,,5196,94755,,16698,9458,,,7240.0,14026,14026.0,,,,,0,,,,0,30724,20188,20188.0,,,,16524,,,8481.0,8043,36712,67436,991.0,67714.0,4009.0,63705.0,-95563.0,97197.0,-15521,54818,597.0,55415,122851,
12/31/2017,126644,18758,7432,11326.0,5182,5182.0,0.0,5131,0.0,575.0,3085.0,1471.0,2143,,0.0,0.0,2143.0,31214,20420,,,0.0,,75010,69848.0,45624.0,24224.0,,5162,95430,,17560,9740,,,7820.0,15547,15547.0,,,,,0,,,,0,33107,22186,22186.0,,,,16630,,,6145.0,10485,38816,71923,986.0,67766.0,4009.0,63757.0,-97121.0,97881.0,-15400,54112,609.0,54721,126644,
03/31/2018,124369,15534,5326,10208.0,5149,5149.0,0.0,5207,0.0,617.0,3175.0,1415.0,2070,,,,2070.0,27960,20925,,,0.0,,75484,70304.0,46175.0,24129.0,,5180,96409,,17849,9716,,,8133.0,12862,12862.0,,,,,0,,,,0,30711,22437,22437.0,,,,16275,,,6083.0,10192,38712,69423,972.0,67726.0,4009.0,63717.0,-97912.0,98623.0,-15094,54315,631.0,54946,124369,
06/30/2018,118310,11850,2569,9281.0,4686,4686.0,0.0,4738,0.0,588.0,2815.0,1335.0,2046,,,,2046.0,23320,20600,41847.0,-21247.0,141.0,141.0,74249,69077.0,45175.0,23902.0,420.0,4752,94990,,17814,10344,268.0,,7202.0,10423,8651.0,22.0,22.0,,1750.0,0,0.0,,,0,28237,20863,20778.0,85.0,85.0,,16327,0.0,6263.0,6163.0,3901,37190,65427,967.0,67855.0,4009.0,63846.0,-99217.0,98641.0,-15953,52293,590.0,52883,118310,
09/30/2018,118440,11253,2545,8708.0,5035,5035.0,0.0,5182,0.0,600.0,3153.0,1429.0,1876,,,,1876.0,23346,20590,,,,,74504,69144.0,45225.0,23919.0,,5360,95094,,18712,10243,,,8469.0,10508,10508.0,,,,,0,,,,0,29220,20779,20779.0,,,,15937,,,6179.0,9758,36716,65936,951.0,67720.0,4009.0,63711.0,-99956.0,99831.0,-16310,52236,268.0,52504,118440,
12/31/2018,123687,12117,3696,8421.0,5055,5055.0,0.0,5281,0.0,593.0,3164.0,1524.0,1978,,,,1978.0,24431,20822,,,,,78434,72879.0,46932.0,25947.0,,5555,99256,,19134,10266,,,8868.0,12113,12113.0,,,,,0,,,,0,31247,21514,21514.0,,,,16483,,,6872.0,9611,37997,69244,946.0,67688.0,4009.0,63679.0,-99480.0,101170.0,-16334,53990,453.0,54443,123687,
03/31/2019,121673,9823,2738,7085.0,5198,5198.0,0.0,5358,0.0,617.0,3326.0,1415.0,1933,,,,1933.0,22312,20993,,,0.0,,78368,72589.0,46753.0,25836.0,,5779,99361,,19459,10207,,,9252.0,8911,8911.0,,,,,0,,,,0,28370,21359,21359.0,,,,16392,,,6951.0,9441,37751,66121,933.0,67633.0,4009.0,63624.0,-99484.0,102103.0,-16113,55072,480.0,55552,121673,
06/30/2019,115095,10287,4239,6048.0,4951,4951.0,0.0,5017,0.0,612.0,3116.0,1289.0,2218,,,,2218.0,22473,21271,43393.0,-22122.0,169.0,169.0,71182,64488.0,40273.0,24215.0,19.0,6675,92622,,20314,11260,341.0,,8713.0,9697,6309.0,9.0,9.0,,3379.0,0,0.0,,,0,30011,20395,20371.0,24.0,24.0,,17110,0.0,6720.0,6899.0,3491,37505,67516,928.0,67836.0,4009.0,63827.0,-100406.0,94918.0,-16082,47194,385.0,47579,115095,
09/30/2019,114058,9304,9304,0.0,5143,5143.0,0.0,5465,0.0,656.0,3415.0,1394.0,2013,,,,2013.0,21925,21788,,,,,70345,63607.0,39605.0,24002.0,,6738,92133,,20638,10951,,,9687.0,9615,9352.0,263.0,,263.0,,0,,,,0,30253,20791,20161.0,630.0,,630.0,16030,,,6325.0,9705,36821,67074,915.0,67958.0,4009.0,63949.0,-102510.0,96625.0,-16410,46578,406.0,46984,114058,
12/31/2019,111723,6279,6279,0.0,5196,5196.0,0.0,5521,0.0,632.0,3431.0,1458.0,1921,,,,1921.0,18917,22153,,,,,70653,63978.0,39998.0,23980.0,,6675,92806,,20760,10781,,,9979.0,9404,9153.0,251.0,,251.0,,0,,,,0,30164,19661,18985.0,676.0,,676.0,15990,,,6242.0,9748,35651,65815,911.0,68028.0,4009.0,64019.0,-105761.0,98414.0,-16054,45538,370.0,45908,111723,
03/31/2020,118560,15393,15393,0.0,4640,4640.0,0.0,5330,0.0,635.0,3370.0,1325.0,1777,,,,1777.0,27140,21314,,,0.0,,70106,63451.0,39617.0,23834.0,,6655,91420,,19950,10464,,,9486.0,12946,12701.0,245.0,0.0,245.0,,0,,,,0,32896,23955,23310.0,645.0,0.0,645.0,15768,,,6309.0,9459,39723,72619,900.0,67985.0,4009.0,63976.0,-105823.0,99474.0,-16996,45540,401.0,45941,118560,
06/30/2020,120700,16181,16181,0.0,4178,4178.0,0.0,5498,0.0,674.0,3410.0,1414.0,2130,,,,2130.0,27987,21542,44621.0,-23079.0,150.0,150.0,71021,63693.0,39901.0,23792.0,12.0,7316,92713,,21554,12071,693.0,,8790.0,11422,8675.0,239.0,0.0,239.0,2508.0,0,0.0,,,0,32976,24189,23537.0,652.0,0.0,652.0,16657,0.0,7188.0,6199.0,3270,40846,73822,897.0,68203.0,4009.0,64194.0,-105573.0,100239.0,-17245,46521,357.0,46878,120700,
