Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/2008,113331,10246,10153,93.0,19242,16928.0,,,7879,,,5219.0,2660.0,14361,,,,,,,51728,10838,18885.0,-8047.0,2722.0,,,48043.0,40297.0,32335.0,7962.0,,7746.0,61603,,14138,14138,,,,10176,,,,,,28625,,,28625,52939,7676,,,,,13774,,,,13774,21450,74389,0.0,14036.0,,,0.0,24971.0,-65,38942,0.0,38942,113331,
01/31/2009,109634,11255,11189,66.0,17085,14769.0,2316.0,,7629,2798.0,0.0,4831.0,0.0,12912,2505.0,,,,,10407.0,48881,10774,,,,,,49979.0,39868.0,32429.0,7439.0,,10111.0,60753,,30197,11231,699.0,,18267.0,10199,7545.0,,,,2654.0,6591,,,0,46987,10259,10259.0,,,,12801,,,,12801,23060,70047,0.0,14002.0,24.0,13978.0,0.0,26165.0,-580,39587,0.0,39587,109634,
04/30/2009,108515,12916,12851,65.0,17018,14666.0,2352.0,,5746,2016.0,0.0,3730.0,0.0,11506,,472.0,,,,11077.0,47186,10807,19982.0,-9175.0,,,,50522.0,40112.0,32976.0,7136.0,,9938.0,61329,,29353,11421,546.0,,17386.0,5702,3054.0,,,,2648.0,6528,,25.0,0,41583,12978,12978.0,,,,13412,,,,13387,26390,67973,0.0,13874.0,24.0,13850.0,0.0,27594.0,-926,40542,0.0,40542,108515,
07/31/2009,111072,13587,13521,66.0,17267,14735.0,2532.0,,5850,2041.0,0.0,3809.0,0.0,12138,,330.0,,,,12002.0,48842,11194,20129.0,-8935.0,,,,51036.0,40179.0,33277.0,6902.0,,10527.0,62230,,31673,12778,786.0,,18109.0,3288,678.0,,,,2610.0,6849,,82.0,0,41810,13892,13892.0,,,,13835,,,,13753,27727,69537,0.0,13822.0,24.0,13798.0,0.0,28509.0,-796,41535,0.0,41535,111072,
10/31/2009,114799,13334,13279,55.0,19212,16537.0,2675.0,,6128,2036.0,0.0,4092.0,0.0,13865,,419.0,,,,13528.0,52539,11262,20944.0,-9682.0,0.0,,,50998.0,39709.0,33109.0,6600.0,1066.0,9804.0,62260,,34370,14809,910.0,0.0,18651.0,1850,707.0,,,,1143.0,6783,0.0,173.0,0,43003,13980,13980.0,,,,17052,0.0,6078.0,,10801,31032,74035,0.0,13828.0,24.0,13804.0,0.0,29936.0,-3247,40517,247.0,40764,114799,
01/31/2010,113618,13607,13547,60.0,17268,14503.0,2765.0,,6630,2303.0,0.0,4327.0,0.0,14192,,458.0,,,,13587.0,51697,11164,21251.0,-10087.0,,,,50757.0,39334.0,33068.0,6266.0,,10965.0,61921,,32352,13557,983.0,,17812.0,1862,749.0,,,,1113.0,6659,,157.0,0,40873,14009,14009.0,,,,16845,,,,16688,30854,71727,0.0,14181.0,23.0,14158.0,0.0,30391.0,-2944,41628,263.0,41891,113618,
04/30/2010,115994,14170,14131,39.0,17548,14753.0,2795.0,,6436,2125.0,0.0,4311.0,0.0,13541,,502.0,,,,13021.0,51695,11242,21768.0,-10526.0,,,,53057.0,41331.0,34312.0,7019.0,,11224.0,64299,,31577,13350,1043.0,,17184.0,3934,2506.0,,,,1428.0,6760,,167.0,0,42271,13728,13728.0,,,,16183,,,,16016,29911,72182,0.0,14636.0,23.0,14613.0,0.0,31631.0,-2756,43511,301.0,43812,115994,
07/31/2010,120017,14723,14718,5.0,18420,15621.0,2799.0,,7206,2319.0,0.0,4887.0,0.0,14016,,733.0,,,,13599.0,54365,11477,22433.0,-10956.0,,,,54175.0,42494.0,35409.0,7085.0,,10948.0,65652,,34418,14885,947.0,,18586.0,7842,5638.0,,,,2204.0,7028,,184.0,0,49288,12204,12204.0,,,,15690,,,,15506,27894,77182,0.0,13691.0,23.0,13668.0,0.0,31784.0,-2940,42535,300.0,42835,120017,
10/31/2010,124503,10929,10929,0.0,21467,18481.0,2986.0,,6466,2035.0,0.0,4431.0,0.0,15322,,766.0,,,,15160.0,54184,11763,22927.0,-11164.0,0.0,,,58556.0,46331.0,38483.0,7848.0,95.0,11364.0,70319,,34940,14365,802.0,0.0,19773.0,7046,4830.0,,,,2216.0,7417,0.0,289.0,0,49403,15258,15258.0,,,,19061,0.0,5264.0,,13508,34319,83722,0.0,11591.0,22.0,11569.0,0.0,32695.0,-3837,40449,332.0,40781,124503,
01/31/2011,119933,9934,9934,0.0,19534,16552.0,2982.0,,6747,2220.0,0.0,4527.0,0.0,15189,,566.0,,,,15061.0,51404,11575,23699.0,-12124.0,,,,56954.0,45937.0,38506.0,7431.0,,10451.0,68529,,32706,13453,789.0,,18464.0,3381,1141.0,,,,2240.0,7523,,256.0,0,43610,17022,17022.0,,,,17754,,,,17498,34776,78386,0.0,10899.0,22.0,10877.0,0.0,34005.0,-3698,41206,341.0,41547,119933,
04/30/2011,125127,12738,12738,0.0,21800,18621.0,3179.0,,6778,2399.0,0.0,4379.0,0.0,14759,,527.0,,,,9548.0,56075,11890,24551.0,-12661.0,,,,57162.0,45842.0,38762.0,7080.0,,10793.0,69052,,34300,14222,848.0,,19230.0,8406,3904.0,,,,4502.0,8664,,395.0,0,51370,14512,14512.0,,,,17450,,,2241.0,14814,31962,83332,0.0,9863.0,21.0,9842.0,0.0,35152.0,-3592,41423,372.0,41795,125127,
07/31/2011,124917,12953,12953,0.0,21288,18121.0,3167.0,,7427,2607.0,0.0,4820.0,0.0,14611,,554.0,,,,9074.0,56279,11959,25070.0,-13111.0,,,,56679.0,45501.0,38772.0,6729.0,,10624.0,68638,,34143,14489,788.0,,18866.0,6666,3343.0,,,,3323.0,8129,,367.0,0,48938,19030,19030.0,,,,17731,,,5812.0,11552,36761,85699,0.0,6998.0,20.0,6978.0,0.0,35099.0,-3274,38823,395.0,39218,124917,
10/31/2011,129517,8043,8043,0.0,21386,18224.0,3162.0,,7490,2621.0,0.0,4869.0,0.0,14102,,608.0,,,,13782.0,51021,12292,25462.0,-13170.0,,,,66204.0,55449.0,44551.0,10898.0,418.0,9729.0,78496,,34298,14750,1048.0,0.0,18500.0,8083,3738.0,,,,4345.0,8061,0.0,292.0,0,50442,22551,22551.0,,,,17520,0.0,5166.0,,12062,40071,90513,0.0,6857.0,20.0,6837.0,0.0,35266.0,-3498,38625,379.0,39004,129517,
01/31/2012,126596,8113,8113,0.0,19015,15892.0,3123.0,,7271,2645.0,0.0,4626.0,0.0,14350,,658.0,,,,13817.0,48749,12122,25916.0,-13794.0,,,,65725.0,54668.0,44639.0,10029.0,,10399.0,77847,,30901,12375,929.0,,17597.0,5438,1097.0,,,,4341.0,7954,,202.0,0,44293,25462,25462.0,,,,17269,,,,17067,42731,87024,0.0,6486.0,20.0,6466.0,0.0,36183.0,-3507,39162,410.0,39572,126596,
04/30/2012,127689,8311,8311,0.0,19748,16609.0,3139.0,,7306,0.0,0.0,4518.0,2788.0,14324,,434.0,,,,8853.0,49689,12236,26078.0,-13842.0,4599.0,479.0,4120.0,61165.0,54746.0,44938.0,9808.0,,5985.0,78000,,30610,12900,871.0,,16839.0,4252,906.0,,,,3346.0,7937,,166.0,0,42799,25825,25825.0,,,,17368,,,5241.0,11961,43193,85992,,6596.0,20.0,6576.0,0.0,37758.0,-3066,41288,409.0,41697,127689,
07/31/2012,117556,9509,9509,0.0,18802,15686.0,3116.0,,7292,2874.0,0.0,4418.0,0.0,14634,,540.0,,1176.0,,9435.0,50237,12069,26289.0,-14220.0,4555.0,468.0,4087.0,50695.0,44771.0,36805.0,7966.0,,4208.0,67319,,31284,12554,712.0,,18018.0,5681,1105.0,,,,4576.0,7954,,135.0,0,44919,24063,24063.0,,,,16564,,,3920.0,12509,40627,85546,,6498.0,20.0,6478.0,0.0,28379.0,-3276,31601,409.0,32010,117556,
10/31/2012,108768,11301,11301,0.0,19659,16407.0,3252.0,,6317,0.0,0.0,4094.0,2223.0,13360,3730.0,332.0,,1581.0,,5543.0,50637,11954,25883.0,-13929.0,4775.0,483.0,4292.0,41402.0,35584.0,31069.0,4515.0,0.0,3905.0,58131,,32129,13350,4110.0,,14669.0,6647,852.0,51.0,51.0,,5744.0,7890,3371.0,122.0,0,46666,21789,21519.0,270.0,270.0,,17480,,7502.0,2948.0,3537,39269,85935,,6474.0,20.0,6454.0,0.0,21521.0,-5559,22436,397.0,22833,108768,
01/31/2013,106701,12589,12589,0.0,17552,14236.0,3316.0,,6374,2316.0,0.0,4058.0,0.0,13037,,257.0,,1580.0,,9013.0,49552,11686,25855.0,-14169.0,4637.0,516.0,4121.0,40826.0,35214.0,31031.0,4183.0,,3775.0,57149,,29625,11660,851.0,,17114.0,6475,819.0,,,,5656.0,8286,,136.0,0,44386,21752,21752.0,,,,17273,,,3400.0,13737,39025,83411,0.0,6328.0,20.0,6308.0,0.0,22239.0,-5672,22895,395.0,23290,106701,
04/30/2013,106254,13240,13240,0.0,17818,14606.0,3212.0,,5999,0.0,0.0,3778.0,2221.0,12514,,296.0,,1567.0,,8128.0,49571,11476,25918.0,-14442.0,4465.0,497.0,3968.0,40742.0,35002.0,31133.0,3869.0,,3877.0,56683,,30863,12313,1015.0,,17535.0,6928,766.0,,,,6162.0,6867,,456.0,0,44658,19863,19863.0,,,,17801,,,3790.0,13555,37664,82322,0.0,5736.0,19.0,5717.0,0.0,23319.0,-5522,23533,399.0,23932,106254,
07/31/2013,105800,13251,13251,0.0,17449,14336.0,3113.0,,6540,2218.0,0.0,4322.0,0.0,12718,,297.0,,1541.0,,8477.0,49958,11328,25952.0,-14624.0,4326.0,485.0,3841.0,40188.0,34601.0,31116.0,3485.0,,3749.0,55842,,31475,13293,979.0,,17203.0,7624,717.0,,,,6907.0,6913,,225.0,0,46012,17124,17124.0,,,,17686,,,3582.0,13879,34810,80822,0.0,5887.0,19.0,5868.0,0.0,24149.0,-5433,24603,375.0,24978,105800,
10/31/2013,105676,12163,12163,0.0,19020,15876.0,3144.0,,6046,0.0,0.0,3847.0,2199.0,13135,4238.0,232.0,,1346.0,,4784.0,50364,11463,26133.0,-14670.0,4387.0,509.0,3878.0,39462.0,34293.0,31124.0,3169.0,479.0,3112.0,55312,,32628,14019,3906.0,,14703.0,5979,529.0,224.0,224.0,,5226.0,6914,3907.0,219.0,0,45521,16608,16563.0,45.0,45.0,,15891,,4831.0,2668.0,4266,32499,78020,0.0,5484.0,19.0,5465.0,0.0,25563.0,-3778,27269,387.0,27656,105676,
01/31/2014,105025,16165,16165,0.0,16546,13492.0,3054.0,,6004,0.0,0.0,3757.0,2247.0,11969,,300.0,,1253.0,,8207.0,50684,11259,26166.0,-14907.0,4202.0,538.0,3664.0,38880.0,33951.0,31131.0,2820.0,,3376.0,54341,,29927,12640,1224.0,,16063.0,6621,739.0,,,,5882.0,7063,,263.0,0,43611,17971,17971.0,,,,15294,,,2131.0,12900,33265,76876,0.0,4985.0,19.0,4966.0,0.0,26436.0,-3667,27754,395.0,28149,105025,
04/30/2014,103972,15096,15096,0.0,17400,14288.0,3112.0,,5840,0.0,0.0,3728.0,2112.0,11547,,210.0,,1144.0,,11394.0,49883,11350,26561.0,-15211.0,4189.0,548.0,3641.0,38550.0,33696.0,31134.0,2562.0,,3500.0,54089,,31053,13521,1263.0,,16269.0,5396,812.0,,,,4584.0,6831,,290.0,0,43280,17190,17190.0,,,,14920,,,1481.0,13149,32110,75390,0.0,4356.0,19.0,4337.0,0.0,27658.0,-3829,28185,397.0,28582,103972,
07/31/2014,103170,14474,14474,0.0,17328,14198.0,3130.0,,6249,2258.0,0.0,3991.0,0.0,11236,,177.0,,1086.0,,8254.0,49287,11434,26733.0,-15299.0,646.0,646.0,,41803.0,33468.0,31132.0,2336.0,,7072.0,53883,,33098,15141,1228.0,,16729.0,2705,817.0,,,,1888.0,6673,3865.0,225.0,0,42476,17128,17128.0,,,,14664,,,1228.0,9346,31792,74268,0.0,4135.0,19.0,4116.0,0.0,27984.0,-3610,28509,393.0,28902,103170,
10/31/2014,103206,15133,15133,0.0,16778,13832.0,2946.0,0.0,6415,0.0,0.0,3973.0,2442.0,11819,4518.0,306.0,,740.0,,3873.0,50145,11340,26252.0,-14912.0,4278.0,665.0,3613.0,37443.0,33267.0,31139.0,2128.0,421.0,2709.0,53061,,33883,15903,3286.0,0.0,14694.0,3486,831.0,,,,2655.0,6366,3931.0,182.0,0,43735,16039,16039.0,,,,16305,0.0,6105.0,1124.0,4963,32344,76079,0.0,3448.0,18.0,3430.0,0.0,29164.0,-5881,26731,396.0,27127,103206,
01/31/2015,100861,12919,12919,0.0,15202,12295.0,2907.0,,6575,0.0,0.0,4103.0,2472.0,13502,,610.0,,953.0,,9147.0,48198,11030,25567.0,-14537.0,4025.0,604.0,3421.0,37608.0,33014.0,31108.0,1906.0,,3031.0,52663,,32442,14873,1565.0,,16004.0,3509,832.0,,,,2677.0,6578,,177.0,0,42529,15552,15552.0,,,,15876,,,1594.0,14105,31428,73957,0.0,2556.0,18.0,2538.0,0.0,29626.0,-5675,26507,397.0,26904,100861,
04/30/2015,101396,14768,14768,0.0,15162,12320.0,2842.0,,6227,0.0,0.0,3847.0,2380.0,12726,,462.0,,942.0,,11795.0,48883,11014,25905.0,-14891.0,4044.0,585.0,3459.0,37455.0,32947.0,31218.0,1729.0,,3104.0,52513,,31029,14923,1144.0,,14962.0,5594,3664.0,,,,1930.0,6563,,189.0,0,43186,15464,15464.0,,,,15577,,,1738.0,13650,31041,74227,0.0,2205.0,18.0,2187.0,0.0,30565.0,-6002,26768,401.0,27169,101396,
07/31/2015,107033,17171,17171,0.0,15557,12753.0,2804.0,,6700,0.0,0.0,4284.0,2416.0,12570,,468.0,,899.0,,11724.0,51998,11028,26478.0,-15450.0,3542.0,,3542.0,40465.0,35274.0,33025.0,2249.0,,3824.0,55035,,31414,15549,629.0,,15236.0,11034,8099.0,,,,2935.0,6585,4317.0,183.0,0,49033,14468,14468.0,,,,16089,,5305.0,,6284,30557,79590,0.0,2119.0,18.0,2101.0,0.0,30764.0,-5848,27035,408.0,27443,107033,
10/31/2015,106882,7584,7584,0.0,4825,4825.0,,,4288,0.0,0.0,2820.0,1468.0,35090,1193.0,48.0,,216.0,22449.0,2048.0,51787,1492,5731.0,-4239.0,0.0,,,53603.0,5680.0,5680.0,0.0,37.0,1291.0,55095,,17223,10194,1250.0,,5779.0,2194,34.0,,,,2160.0,22774,812.0,102.0,0,42191,6677,6677.0,,,,29863,0.0,1979.0,1813.0,2708,36540,78731,0.0,1981.0,18.0,1963.0,0.0,32089.0,-6302,27768,383.0,28151,106882,
01/31/2016,25517,3688,3688,0.0,4114,4114.0,0.0,,4052,0.0,0.0,2477.0,1575.0,3301,1319.0,57.0,,0.0,0.0,1761.0,15155,1529,5819.0,-4290.0,59.0,59.0,,8774.0,5680.0,5680.0,0.0,,3037.0,10362,,15684,9041,925.0,,5718.0,49,29.0,,,,20.0,1028,,80.0,0,16761,6683,6683.0,,,,6982,,,1977.0,4925,13665,30426,0.0,1239.0,17.0,1222.0,0.0,-5026.0,-1122,-4909,0.0,-4909,25517,
04/30/2016,25523,4636,4636,0.0,3884,3884.0,,,3547,0.0,0.0,2341.0,1206.0,3318,1081.0,117.0,,0.0,0.0,2161.0,15385,1572,5932.0,-4360.0,12.0,12.0,,8554.0,5672.0,5672.0,0.0,,2765.0,10138,,15594,9099,136.0,,6359.0,64,35.0,,,,29.0,1204,,38.0,0,16862,6708,6708.0,,,,6739,,,1793.0,4908,13447,30309,0.0,984.0,17.0,967.0,0.0,-1266.0,-4504,-4786,0.0,-4786,25523,
07/31/2016,27224,5636,5636,0.0,4008,4008.0,0.0,,3961,0.0,0.0,2665.0,1296.0,3797,1270.0,176.0,,166.0,0.0,2352.0,17402,1607,6012.0,-4405.0,0.0,,,8215.0,5618.0,5618.0,0.0,,2255.0,9822,,17007,10402,162.0,,6443.0,75,34.0,,,,41.0,1032,830.0,5.0,0,18114,6760,6760.0,,,,6276,,2002.0,1594.0,1845,13036,31150,0.0,1003.0,17.0,986.0,0.0,-3982.0,-947,-3926,0.0,-3926,27224,
10/31/2016,28987,6288,6288,0.0,4114,4114.0,0.0,,4484,0.0,0.0,3103.0,1381.0,3582,1087.0,111.0,,254.0,,2281.0,18468,1736,6084.0,-4348.0,0.0,,,8783.0,5622.0,5622.0,0.0,17.0,2779.0,10519,,17799,11103,986.0,,5710.0,78,27.0,,,,51.0,931,865.0,85.0,0,18808,6735,6735.0,,,,7333,0.0,2511.0,1116.0,2756,14068,32876,0.0,1047.0,17.0,1030.0,0.0,-3498.0,-1438,-3889,0.0,-3889,28987,
01/31/2017,28192,6331,6331,0.0,3478,3478.0,0.0,,4555,0.0,0.0,2977.0,1578.0,3411,908.0,27.0,,0.0,0.0,2359.0,17775,1730,6067.0,-4337.0,0.0,,,8687.0,5622.0,5622.0,0.0,,3038.0,10417,,17339,10951,955.0,,5433.0,100,32.0,,,,68.0,1148,866.0,51.0,0,18587,6688,6688.0,,,,7244,,,1198.0,5129,13932,32519,0.0,681.0,17.0,664.0,0.0,-3339.0,-1669,-4327,0.0,-4327,28192,
04/30/2017,28686,6223,6223,0.0,3771,3771.0,0.0,,4756,0.0,0.0,3101.0,1655.0,3552,1026.0,20.0,,0.0,,2412.0,18302,1661,5863.0,-4202.0,19.0,19.0,,8704.0,5622.0,5622.0,0.0,,3062.0,10384,,17274,11079,922.0,,5273.0,110,34.0,,,,76.0,1220,872.0,38.0,0,18604,6710,6710.0,,,,7327,,,1412.0,5005,14037,32641,0.0,538.0,17.0,521.0,0.0,-2779.0,-1714,-3955,0.0,-3955,28686,
07/31/2017,31934,6967,6967,0.0,4233,4233.0,0.0,,5184,0.0,0.0,3384.0,1800.0,5059,1327.0,14.0,,372.0,,3680.0,21443,1707,5979.0,-4272.0,0.0,,,8784.0,5622.0,5622.0,0.0,,2776.0,10491,,19465,12804,1014.0,,5647.0,1062,970.0,,,,92.0,1533,894.0,122.0,0,22060,6744,6744.0,,,,7469,,2506.0,1586.0,2361,14213,36273,0.0,305.0,17.0,288.0,0.0,-2526.0,-2118,-4339,0.0,-4339,31934,
10/31/2017,32913,6997,6997,0.0,4414,4414.0,0.0,,5786,0.0,0.0,3857.0,1929.0,5121,1224.0,12.0,0.0,342.0,,3788.0,22318,1878,5958.0,-4080.0,0.0,,,8717.0,5625.0,5622.0,3.0,25.0,2713.0,10595,,20068,13279,214.0,,6575.0,1072,976.0,,,,96.0,1272,921.0,112.0,0,22412,6747,6747.0,,,,7162,0.0,1837.0,1410.0,2882,13909,36321,0.0,396.0,16.0,380.0,0.0,-2386.0,-1418,-3408,0.0,-3408,32913,
01/31/2018,35245,5475,5475,0.0,4396,4396.0,0.0,,5655,0.0,0.0,3768.0,1887.0,5691,1113.0,4.0,1266.0,2648.0,,3261.0,21217,2026,5934.0,-3908.0,0.0,,,12002.0,6438.0,5935.0,503.0,,2912.0,14028,,20169,12848,1173.0,,6148.0,1529,1003.0,,,,526.0,1651,945.0,227.0,0,23349,6340,6340.0,,,,8298,,,100.0,7026,14638,37987,0.0,433.0,16.0,417.0,0.0,-1346.0,-1829,-2742,0.0,-2742,35245,
04/30/2018,32087,4247,4247,0.0,4605,4605.0,0.0,,5557,0.0,0.0,3579.0,1978.0,5024,1193.0,20.0,,2174.0,,3651.0,19433,2061,6010.0,-3949.0,0.0,,,10593.0,6424.0,5941.0,483.0,,1975.0,12654,,20207,13054,1197.0,,5956.0,1617,1080.0,,,,537.0,1303,956.0,119.0,0,23127,4494,4494.0,,,,6329,,,86.0,5168,10823,33950,0.0,526.0,16.0,510.0,0.0,-1075.0,-1314,-1863,0.0,-1863,32087,
07/31/2018,34254,6195,6195,0.0,4615,4615.0,0.0,,6091,0.0,0.0,4009.0,2082.0,4875,1258.0,54.0,,1992.0,,3348.0,21776,2112,6085.0,-3973.0,0.0,,,10366.0,6403.0,5930.0,473.0,,1917.0,12478,,21592,14245,1163.0,,6184.0,2681,2134.0,,,,547.0,1233,981.0,81.0,0,25506,4503,4503.0,,,,6012,,1755.0,92.0,3103,10515,36021,0.0,602.0,16.0,586.0,0.0,-1039.0,-1330,-1767,0.0,-1767,34254,
10/31/2018,34622,5166,5166,0.0,5113,5113.0,0.0,,6062,0.0,0.0,4019.0,2043.0,5046,1445.0,107.0,711.0,2431.0,,2482.0,21387,2198,6109.0,-3911.0,0.0,,,11037.0,6421.0,5968.0,453.0,21.0,2057.0,13235,,15798,14816,982.0,,0.0,1463,898.0,,,,565.0,7870,1005.0,75.0,6655,25131,4524,4524.0,,,,5606,0.0,1509.0,100.0,2917,10130,35261,0.0,679.0,16.0,663.0,0.0,-473.0,-845,-639,0.0,-639,34622,
01/31/2019,32490,3367,3367,0.0,5113,5113.0,0.0,,5649,0.0,0.0,3797.0,1852.0,4807,1284.0,88.0,425.0,2329.0,,2908.0,18936,2312,6290.0,-3978.0,0.0,,,11242.0,7067.0,6343.0,724.0,,1758.0,13554,,22543,14572,1187.0,,6784.0,297,38.0,,,,259.0,1359,986.0,41.0,0,24199,4706,4706.0,,,,5422,,,64.0,4331,10128,34327,0.0,681.0,15.0,666.0,0.0,-1431.0,-1087,-1837,0.0,-1837,32490,
04/30/2019,31946,3556,3556,0.0,5414,5414.0,0.0,,5394,0.0,0.0,3544.0,1850.0,3921,1216.0,129.0,17.0,2288.0,,2386.0,18285,2412,6505.0,-4093.0,0.0,,,11249.0,7050.0,6349.0,701.0,,1782.0,13661,,21671,13839,1122.0,,6710.0,290,38.0,,,,252.0,1242,1026.0,50.0,0,23203,4749,4749.0,,,,5481,,,52.0,4353,10230,33433,0.0,738.0,15.0,723.0,0.0,-1325.0,-900,-1487,0.0,-1487,31946,
07/31/2019,32405,4919,4919,0.0,5295,5295.0,0.0,,5716,0.0,0.0,3902.0,1814.0,3753,1145.0,130.0,0.0,2105.0,,2263.0,19683,2462,6615.0,-4153.0,0.0,,,10260.0,6993.0,6330.0,663.0,,1032.0,12722,,23030,14648,1006.0,,7376.0,328,33.0,,,,295.0,1221,1034.0,23.0,0,24579,4730,4730.0,,,,4227,,1522.0,73.0,1575,8957,33536,0.0,800.0,15.0,785.0,0.0,-1068.0,-863,-1131,0.0,-1131,32405,
10/31/2019,33467,4537,4537,0.0,6031,6031.0,0.0,,5734,0.0,0.0,3855.0,1879.0,3875,967.0,115.0,0.0,2620.0,,2631.0,20177,2794,7037.0,-4243.0,0.0,,,10496.0,7033.0,6372.0,661.0,35.0,693.0,13290,,15853,14793,1060.0,,0.0,357,50.0,,,,307.0,9083,1069.0,28.0,7767,25293,4780,4780.0,,,,4587,0.0,1634.0,60.0,1796,9367,34660,0.0,850.0,15.0,835.0,0.0,-818.0,-1225,-1193,0.0,-1193,33467,
01/31/2020,31656,4205,4205,0.0,4857,4857.0,0.0,,4946,0.0,0.0,3061.0,1885.0,3469,1022.0,103.0,288.0,2477.0,,1871.0,17477,2756,7149.0,-4393.0,0.0,,,11423.0,6387.0,6387.0,0.0,,2456.0,14179,,13878,12808,241.0,,829.0,1178,45.0,255.0,,255.0,878.0,8811,1058.0,26.0,7538,23867,4852,3932.0,920.0,,920.0,4571,,1682.0,59.0,1746,9423,33290,0.0,880.0,14.0,866.0,0.0,-1306.0,-1208,-1634,0.0,-1634,31656,
04/30/2020,33773,4054,4054,0.0,5146,5146.0,0.0,,6354,0.0,0.0,3874.0,2480.0,4106,1173.0,145.0,,2452.0,,2514.0,19660,2714,7247.0,-4533.0,0.0,,,11399.0,6370.0,6370.0,0.0,,2432.0,14113,,15294,14195,192.0,,907.0,1793,670.0,242.0,,242.0,881.0,8189,1042.0,21.0,6858,25276,4840,3941.0,899.0,,899.0,4400,,1599.0,62.0,1676,9240,34516,0.0,940.0,14.0,926.0,0.0,-633.0,-1050,-743,0.0,-743,33773,
07/31/2020,34244,4679,4679,0.0,5269,5269.0,0.0,,5896,0.0,0.0,3937.0,1959.0,4425,1472.0,30.0,,2506.0,,2784.0,20269,2658,7303.0,-4645.0,0.0,,,11317.0,6386.0,6386.0,0.0,,2395.0,13975,,15389,14276,170.0,,943.0,533,44.0,257.0,,257.0,232.0,9104,1067.0,63.0,7533,25026,6885,5981.0,904.0,,904.0,4319,,1550.0,21.0,1618,11204,36230,0.0,972.0,14.0,958.0,0.0,-1353.0,-1605,-1986,0.0,-1986,34244,
