Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/26/2017,11212.0,11212.0,-9806.0,9806.0,1406.0,0.0,-4.0,4.0,1402.0,-367.0,,155.0,,,212.0,1035.0,-246.0,789.0,0.0,0.0,0.0,789.0,,789.0,0.0,0.0,789.0,903.0,114.0,290.0,2.72,2.72,3.113793,292.8,2.69,2.69,3.079344,
06/25/2017,12563.0,12563.0,-10907.0,10907.0,1656.0,0.0,60.0,-60.0,1716.0,-374.0,,160.0,,,214.0,1342.0,-387.0,955.0,0.0,0.0,0.0,955.0,,955.0,0.0,0.0,955.0,1097.35,142.35,288.5,3.31,3.31,3.80364,291.2,3.28,3.28,3.768839,
09/24/2017,12341.0,12341.0,-10741.0,10741.0,1600.0,0.0,77.0,-77.0,1677.0,-380.0,,162.0,,,218.0,1297.0,-334.0,963.0,0.0,0.0,0.0,963.0,,963.0,0.0,0.0,963.0,1106.0,143.0,287.1,3.35,3.35,3.852316,290.0,3.32,3.32,3.813103,
12/31/2017,13844.0,13844.0,-12135.0,12135.0,1709.0,0.0,240.0,-240.0,1949.0,-377.0,,174.0,,,203.0,1572.0,-2389.0,-817.0,-73.0,-73.0,0.0,-744.0,,-744.0,0.0,0.0,-744.0,1349.05,2166.05,285.6,-2.605042,-2.860644,4.723564,288.4,-2.605042,-2.860644,4.649932,
03/25/2018,11635.0,11635.0,-9977.0,9977.0,1658.0,0.0,67.0,-67.0,1725.0,-365.0,155.0,155.0,0.0,,210.0,1360.0,-203.0,1157.0,0.0,0.0,0.0,1157.0,,1157.0,0.0,0.0,1157.0,1356.08,199.08,285.5,4.05,4.05,4.749842,287.9,4.02,4.02,4.71149,
06/24/2018,13398.0,13398.0,-11645.0,11645.0,1753.0,0.0,42.0,-42.0,1795.0,-375.0,,165.0,,,210.0,1420.0,-257.0,1163.0,0.0,0.0,0.0,1163.0,,1163.0,0.0,0.0,1163.0,1438.08,275.08,285.0,4.08,4.08,5.045895,287.1,4.05,4.05,5.008133,
09/30/2018,14318.0,14318.0,-12397.0,12397.0,1921.0,0.0,42.0,-42.0,1963.0,-388.0,177.0,177.0,0.0,,211.0,1575.0,-102.0,1473.0,0.0,0.0,0.0,1473.0,,1473.0,0.0,0.0,1473.0,1672.08,199.08,284.3,5.18,5.18,5.881393,286.7,5.14,5.14,5.834384,
12/31/2018,14411.0,14411.0,-12469.0,12469.0,1942.0,0.0,-91.0,91.0,1851.0,-368.0,171.0,171.0,0.0,,197.0,1483.0,-230.0,1253.0,0.0,0.0,0.0,1253.0,,1253.0,0.0,0.0,1253.0,1530.34,277.34,283.1,4.43,4.43,5.405652,285.5,4.39,4.39,5.361419,
03/31/2019,14336.0,14336.0,-12148.0,12148.0,2188.0,0.0,95.0,-95.0,2283.0,-338.0,171.0,171.0,0.0,,167.0,1945.0,-241.0,1704.0,0.0,0.0,0.0,1704.0,,1704.0,0.0,0.0,1704.0,1956.72,252.72,282.5,6.03,6.03,6.926442,284.3,5.99,5.99,6.87892,
06/30/2019,14427.0,14427.0,-12434.0,12434.0,1993.0,0.0,15.0,-15.0,2008.0,-325.0,163.0,163.0,0.0,,162.0,1683.0,-263.0,1420.0,0.0,0.0,0.0,1420.0,,1420.0,0.0,0.0,1420.0,1784.534,364.534,282.2,5.03,5.03,6.32365,283.9,5.0,5.0,6.284023,
09/29/2019,15171.0,15171.0,-13108.0,13108.0,2063.0,0.0,42.0,-42.0,2105.0,-324.0,162.0,162.0,0.0,,162.0,1781.0,-173.0,1608.0,0.0,0.0,0.0,1608.0,,1608.0,0.0,0.0,1608.0,1836.72,228.72,282.0,5.7,5.7,6.513191,283.9,5.66,5.66,6.465636,
12/31/2019,15878.0,15878.0,-13755.0,13755.0,2123.0,0.0,26.0,-26.0,2149.0,-317.0,157.0,157.0,0.0,,160.0,1832.0,-334.0,1498.0,0.0,0.0,0.0,1498.0,,1498.0,0.0,0.0,1498.0,1761.86,263.86,281.4,5.32,5.32,6.261052,283.3,5.29,5.29,6.22138,
03/29/2020,15651.0,15651.0,-13560.0,13560.0,2091.0,0.0,31.0,-31.0,2122.0,-92.0,148.0,148.0,0.0,,-56.0,2030.0,-313.0,1717.0,0.0,0.0,0.0,1717.0,,1717.0,0.0,0.0,1717.0,2130.96,413.96,281.3,6.1,6.1,7.5754,282.6,6.08,6.08,7.544827,
06/28/2020,16220.0,16220.0,-14007.0,14007.0,2213.0,0.0,-127.0,127.0,2086.0,-124.0,149.0,149.0,0.0,,-25.0,1962.0,-336.0,1626.0,0.0,0.0,0.0,1626.0,,1626.0,0.0,0.0,1626.0,2135.96,509.96,279.8,5.81,5.81,7.633881,280.8,5.79,5.79,7.606097,
09/30/2020,16097.944,,,,2135.71423048,,,,2134.333,,,,,,,2032.357,,1704.0,,,,,,1704.0,,,1704.0,1702.733,,,6.05,6.05,6.081,,6.05,6.05,6.081,
12/31/2020,16661.111,,,,2206.93076306,,,,2185.083,,,,,,,2090.571,,1739.286,,,,,,1739.286,,,1739.286,1739.933,,,6.239,6.239,6.23,,6.239,6.239,6.23,
