Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2017,8229.0,32551.0,2353.0,-239.0,-239.0,-26436.0,-26436.0,0.0,-19863.0,-3297.0,0.0,0.0,0.0,-3297.0,-3297.0,0.0,-13040.0,44288.0,-57328.0,-68.0,0.0,-68.0,0.0,-3458.0,469.0,0.0,482.0,0.0,0.0,0.0,-13.0,26.0,-11139.0,-1488.0,934.0,
03/31/2018,7556.0,-1138.0,2387.0,6602.0,6602.0,-295.0,-295.0,0.0,22308.0,-2589.0,0.0,0.0,0.0,-2589.0,-2589.0,0.0,25162.0,53005.0,-27843.0,-112.0,0.0,-112.0,0.0,-153.0,-3794.0,0.0,-3692.0,0.0,0.0,0.0,-102.0,92.0,26162.0,289.0,1168.0,
06/30/2018,8535.0,12011.0,2387.0,-6483.0,-6483.0,620.0,620.0,0.0,122.0,-3740.0,0.0,0.0,0.0,-3740.0,-3740.0,0.0,3744.0,47054.0,-43310.0,-261.0,0.0,-261.0,0.0,379.0,-1722.0,0.0,-1571.0,0.0,0.0,0.0,-151.0,-133.0,6802.0,2069.0,880.0,
09/30/2018,10464.0,18540.0,2395.0,-14229.0,-14229.0,3758.0,3758.0,0.0,-33461.0,-3711.0,0.0,0.0,0.0,-3711.0,-3711.0,0.0,-29633.0,25016.0,-54649.0,-148.0,0.0,-148.0,0.0,31.0,-10.0,0.0,942.0,-928.0,0.0,-928.0,-24.0,-68.0,-23075.0,1619.0,1015.0,
12/31/2018,10845.0,-25392.0,2610.0,39693.0,39693.0,-6066.0,-6066.0,0.0,-21818.0,-4497.0,0.0,0.0,0.0,-4497.0,-4497.0,0.0,-14235.0,46788.0,-61023.0,-2758.0,0.0,-2758.0,0.0,-328.0,-286.0,0.0,198.0,-418.0,0.0,-418.0,-66.0,-31.0,-11290.0,377.0,915.0,
03/31/2019,7577.0,21661.0,2417.0,-22740.0,-22740.0,6239.0,6239.0,0.0,-10201.0,-3151.0,0.0,0.0,0.0,-3151.0,-3151.0,0.0,-6855.0,25604.0,-32459.0,-262.0,0.0,-262.0,0.0,67.0,-1678.0,0.0,196.0,-1585.0,0.0,-1585.0,-289.0,15.0,-4287.0,464.0,1078.0,
06/30/2019,9185.0,14073.0,2456.0,-10674.0,-10674.0,3330.0,3330.0,0.0,7293.0,-3596.0,0.0,0.0,0.0,-3596.0,-3596.0,0.0,11251.0,48571.0,-37320.0,-318.0,0.0,-318.0,0.0,-44.0,2089.0,0.0,2627.0,-548.0,0.0,-548.0,10.0,11.0,18578.0,735.0,832.0,
09/30/2019,9848.0,16524.0,2534.0,-11409.0,-11409.0,2199.0,2199.0,0.0,18364.0,-4392.0,0.0,0.0,0.0,-4392.0,-4392.0,0.0,23998.0,41555.0,-17557.0,-152.0,0.0,-152.0,0.0,-1090.0,2098.0,0.0,2834.0,-674.0,0.0,-674.0,-62.0,-121.0,30189.0,3196.0,1118.0,
12/31/2019,12077.0,29159.0,2657.0,-29000.0,-29000.0,9261.0,9261.0,0.0,-21077.0,-4840.0,0.0,0.0,0.0,-4840.0,-4840.0,0.0,-14857.0,52647.0,-67504.0,-951.0,0.0,-951.0,0.0,-429.0,-1779.0,0.0,420.0,-2043.0,0.0,-2043.0,-156.0,120.0,-10659.0,1020.0,862.0,
03/31/2020,6798.0,-49746.0,2585.0,67242.0,67242.0,-13283.0,-13283.0,0.0,-27804.0,-2968.0,0.0,0.0,0.0,-2968.0,-2968.0,0.0,-24891.0,11258.0,-36149.0,-26.0,0.0,-26.0,0.0,81.0,-346.0,0.0,1554.0,-1741.0,0.0,-1741.0,-159.0,-184.0,-21536.0,595.0,1151.0,
06/30/2020,10668.0,26295.0,2524.0,-28026.0,-28026.0,9875.0,9875.0,0.0,-14747.0,-3219.0,0.0,0.0,0.0,-3219.0,-3219.0,0.0,-10676.0,71752.0,-82428.0,-56.0,0.0,-56.0,0.0,-796.0,-2474.0,0.0,2579.0,-4998.0,0.0,-4998.0,-55.0,44.0,-6509.0,385.0,878.0,
