Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,4087,757,629,128,327,327.0,0.0,290,63.0,0.0,227.0,0.0,63,0.0,,3.0,,53.0,1437,2266,3812,-1546,150.0,,150.0,234,78.0,0.0,78.0,,156,2650,,522,218,10.0,0.0,294.0,7.0,0.0,0.0,0.0,7.0,0,0.0,25.0,7.0,0,529,2301.0,2301.0,0.0,0.0,638,-19.0,444.0,158.0,286.0,181,2939,3468,0.0,2575,10.0,2565.0,-55.0,-1851.0,-50,619,0.0,619,4087,
03/31/2011,4012,609,464,145,396,396.0,0.0,306,62.0,0.0,244.0,0.0,59,,,3.0,,49.0,1370,2243,3824,-1581,160.0,,160.0,239,76.0,,76.0,,163,2642,,531,240,7.0,,284.0,7.0,0.0,,,7.0,0,,24.0,6.0,0,538,2300.0,2300.0,,,630,-20.0,,,,620,2930,3468,0.0,2572,10.0,2562.0,-39.0,-1956.0,-33,544,0.0,544,4012,
06/30/2011,3949,560,402,158,380,380.0,0.0,313,63.0,0.0,250.0,0.0,66,1.0,,2.0,,56.0,1319,2221,3840,-1619,165.0,,165.0,244,74.0,,74.0,,169,2630,,517,234,5.0,,278.0,7.0,0.0,,,7.0,0,,20.0,8.0,0,524,2299.0,2299.0,,,599,-17.0,,,,588,2898,3422,0.0,2566,10.0,2556.0,0.0,-2026.0,-13,527,0.0,527,3949,
09/30/2011,3819,517,356,161,376,376.0,0.0,320,68.0,0.0,252.0,0.0,65,1.0,12.0,7.0,,49.0,1278,2129,3719,-1590,160.0,,160.0,252,72.0,,72.0,,167,2541,,529,249,8.0,,272.0,7.0,0.0,,,7.0,0,,11.0,8.0,0,536,2298.0,2298.0,,,610,-10.0,,,,601,2908,3444,0.0,2569,10.0,2559.0,0.0,-2141.0,-53,375,0.0,375,3819,
12/31/2011,3719,529,365,164,316,316.0,0.0,292,62.0,0.0,230.0,0.0,102,0.0,25.0,8.0,,51.0,1239,2104,3706,-1602,122.0,,122.0,254,70.0,0.0,70.0,,159,2480,,490,226,6.0,0.0,258.0,7.0,0.0,0.0,0.0,7.0,27,0.0,8.0,7.0,0,524,2297.0,2297.0,0.0,0.0,742,-8.0,521.0,,,214,3039,3563,0.0,2571,10.0,2561.0,0.0,-2241.0,-174,156,0.0,156,3719,
03/31/2012,3733,543,470,73,396,396.0,0.0,313,60.0,0.0,253.0,0.0,51,,25.0,9.0,,35.0,1303,2107,3791,-1684,65.0,,65.0,258,68.0,,68.0,,165,2430,,514,249,4.0,,261.0,7.0,0.0,,,7.0,12,,9.0,6.0,0,533,2296.0,2296.0,,,750,-9.0,,,,744,3046,3579,0.0,2578,10.0,2568.0,0.0,-2268.0,-156,154,0.0,154,3733,
06/30/2012,3649,479,405,74,371,371.0,0.0,307,56.0,0.0,251.0,0.0,71,,24.0,6.0,,59.0,1228,2108,3814,-1706,54.0,,54.0,259,66.0,,66.0,,169,2421,,485,228,5.0,,252.0,7.0,0.0,,,7.0,12,,5.0,6.0,0,504,2305.0,2305.0,,,709,-5.0,,,,703,3014,3518,0.0,2600,11.0,2589.0,0.0,-2325.0,-157,118,13.0,131,3649,
09/30/2012,3664,526,437,89,347,347.0,0.0,302,56.0,0.0,246.0,0.0,111,,21.0,7.0,,58.0,1286,2083,3792,-1709,41.0,,41.0,254,64.0,,64.0,,169,2378,,523,244,3.0,,276.0,5.0,0.0,,,5.0,29,,3.0,6.0,0,557,2306.0,2306.0,,,679,-3.0,,,,673,2985,3542,0.0,2603,11.0,2592.0,0.0,-2355.0,-139,109,13.0,122,3664,
12/31/2012,3723,652,546,106,326,326.0,0.0,304,59.0,0.0,245.0,0.0,45,0.0,38.0,2.0,,38.0,1327,2100,3838,-1738,25.0,,25.0,271,62.0,0.0,62.0,,171,2396,,523,286,2.0,0.0,235.0,4.0,0.0,0.0,0.0,4.0,24,0.0,0.0,5.0,0,551,2305.0,2305.0,0.0,0.0,848,0.0,573.0,,,270,3153,3704,0.0,2606,11.0,2595.0,0.0,-2367.0,-233,6,13.0,19,3723,
03/31/2013,3671,494,395,99,397,397.0,0.0,315,60.0,0.0,255.0,0.0,51,,41.0,3.0,,38.0,1257,2115,3884,-1769,32.0,,32.0,267,60.0,,60.0,,166,2414,,454,246,2.0,,206.0,4.0,0.0,,,4.0,22,,,6.0,0,480,2305.0,2305.0,,,846,,573.0,,,267,3151,3631,0.0,2606,11.0,2595.0,-3.0,-2365.0,-224,14,26.0,40,3671,
06/30/2013,3687,529,416,113,396,396.0,0.0,323,59.0,0.0,264.0,0.0,53,,40.0,2.0,,44.0,1301,2094,3887,-1793,25.0,,25.0,267,58.0,,58.0,,169,2386,,464,256,2.0,,206.0,4.0,0.0,,,4.0,22,,2.0,5.0,0,490,2308.0,2308.0,,,849,-1.0,575.0,,,268,3157,3647,0.0,2610,11.0,2599.0,-1.0,-2340.0,-255,14,26.0,40,3687,
09/30/2013,3714,552,452,100,386,386.0,0.0,327,61.0,0.0,266.0,0.0,60,1.0,40.0,2.0,,54.0,1325,2085,3902,-1817,38.0,,38.0,266,56.0,,56.0,,169,2389,,505,271,3.0,,231.0,63.0,0.0,,,63.0,25,,3.0,6.0,3,593,2252.0,2252.0,,,797,-3.0,531.0,,,260,3049,3642,0.0,2615,11.0,2604.0,0.0,-2317.0,-252,46,26.0,72,3714,
12/31/2013,4121,892,810,82,369,369.0,0.0,332,62.0,0.0,270.0,0.0,107,0.0,17.0,3.0,,47.0,1700,2103,3943,-1840,60.0,,60.0,258,54.0,0.0,54.0,,187,2421,,505,284,5.0,48.0,168.0,63.0,0.0,0.0,0.0,63.0,0,0.0,0.0,66.0,0,568,2292.0,2292.0,0.0,0.0,599,0.0,277.0,,,256,2891,3459,0.0,2934,14.0,2920.0,0.0,-2320.0,24,638,24.0,662,4121,
03/31/2014,4070,246,159,87,419,419.0,0.0,332,57.0,0.0,275.0,0.0,112,,17.0,3.0,,48.0,1109,1998,3861,-1863,790.0,739.0,51.0,173,29.0,,29.0,,127,2961,,443,249,3.0,,191.0,63.0,0.0,,,63.0,1,,2.0,66.0,0,507,2280.0,2280.0,,,604,,279.0,,,257,2884,3391,0.0,2938,14.0,2924.0,-3.0,-2275.0,18,678,1.0,679,4070,
06/30/2014,4151,314,235,79,417,417.0,0.0,337,61.0,0.0,276.0,0.0,108,,16.0,4.0,,46.0,1176,1994,3910,-1916,59.0,,59.0,922,50.0,,50.0,755.0,101,2975,,441,254,,,187.0,63.0,0.0,,,63.0,0,,5.0,69.0,0,504,2207.0,2207.0,,,626,-2.0,295.0,,,259,2833,3337,0.0,3017,14.0,3003.0,0.0,-2218.0,14,813,1.0,814,4151,
09/30/2014,4064,304,240,64,434,434.0,0.0,326,62.0,0.0,264.0,0.0,112,1.0,12.0,7.0,,50.0,1176,1953,3862,-1909,36.0,,36.0,899,48.0,,48.0,739.0,99,2888,,463,257,,,206.0,4.0,0.0,,,4.0,48,,6.0,70.0,48,515,2206.0,2206.0,,,577,-5.0,246.0,,,260,2783,3298,0.0,3021,14.0,3007.0,0.0,-2230.0,-27,764,2.0,766,4064,
12/31/2014,3936,324,228,96,404,404.0,0.0,329,62.0,35.0,232.0,0.0,52,0.0,18.0,3.0,,45.0,1109,1908,3793,-1885,793.0,735.0,58.0,126,18.0,0.0,18.0,,90,2827,,493,290,1.0,45.0,157.0,4.0,0.0,0.0,0.0,4.0,66,0.0,7.0,17.0,48,563,2191.0,2191.0,0.0,0.0,774,0.0,491.0,,,259,2965,3528,0.0,3028,14.0,3014.0,0.0,-2283.0,-338,407,1.0,408,3936,
03/31/2015,3906,214,153,61,456,456.0,0.0,328,56.0,37.0,235.0,0.0,166,1.0,17.0,3.0,,113.0,1164,1849,3750,-1901,751.0,723.0,28.0,142,46.0,,46.0,,78,2742,,436,236,1.0,,199.0,4.0,0.0,,,4.0,50,,27.0,61.0,48,490,2202.0,2202.0,,,811,-18.0,490.0,,,251,3013,3503,0.0,3029,14.0,3015.0,-4.0,-2259.0,-364,402,1.0,403,3906,
06/30/2015,3930,292,231,61,468,468.0,0.0,324,70.0,36.0,218.0,0.0,179,4.0,17.0,3.0,,133.0,1263,1826,3752,-1926,21.0,,21.0,820,44.0,,44.0,681.0,74,2667,,452,246,1.0,,205.0,0.0,0.0,,,0.0,49,,21.0,61.0,48,501,2188.0,2188.0,,,765,-14.0,451.0,,,246,2953,3454,0.0,3031,14.0,3017.0,-3.0,-2180.0,-372,476,0.0,476,3930,
09/30/2015,3937,422,333,89,432,432.0,0.0,316,65.0,35.0,216.0,0.0,143,2.0,15.0,5.0,,87.0,1313,1806,3750,-1944,28.0,,28.0,790,42.0,,42.0,657.0,74,2624,,445,251,3.0,,191.0,0.0,0.0,,,0.0,27,,6.0,60.0,9,472,2188.0,2188.0,,,761,0.0,453.0,,,242,2949,3421,0.0,3037,15.0,3022.0,0.0,-2106.0,-415,516,0.0,516,3937,
12/31/2015,4736,636,442,194,391,391.0,0.0,314,68.0,36.0,210.0,0.0,59,0.0,728.0,5.0,,45.0,1400,1788,3724,-1936,36.0,,36.0,1512,10.0,0.0,10.0,682.0,92,3336,,465,259,9.0,45.0,152.0,500.0,0.0,0.0,0.0,500.0,26,0.0,5.0,5.0,9,991,1675.0,1675.0,0.0,0.0,634,0.0,392.0,,,232,2309,3300,0.0,3042,15.0,3027.0,0.0,-1292.0,-314,1436,0.0,1436,4736,
03/31/2016,4662,553,347,206,459,459.0,0.0,318,69.0,34.0,215.0,0.0,40,0.0,698.0,4.0,,33.0,1370,1770,3744,-1974,726.0,706.0,20.0,796,30.0,,30.0,,68,3292,,453,267,6.0,,180.0,438.0,0.0,,,438.0,18,,6.0,3.0,0,909,1676.0,1676.0,,,559,,341.0,,,209,2235,3144,0.0,3042,15.0,3027.0,0.0,-1225.0,-299,1518,0.0,1518,4662,
06/30/2016,4645,687,479,208,433,433.0,0.0,331,67.0,36.0,228.0,0.0,40,3.0,658.0,5.0,,31.0,1491,1749,3752,-2003,2.0,,2.0,1403,28.0,,28.0,648.0,66,3154,,477,287,6.0,,184.0,363.0,0.0,,,363.0,0,,14.0,4.0,0,840,1676.0,1676.0,,,563,-3.0,347.0,,,201,2239,3079,0.0,3048,15.0,3033.0,0.0,-1151.0,-331,1566,0.0,1566,4645,
09/30/2016,4661,736,634,102,197,197.0,0.0,228,69.0,35.0,124.0,0.0,426,2.0,636.0,4.0,0.0,34.0,1587,1700,3638,-1938,0.0,,0.0,1374,1.0,,1.0,674.0,61,3074,,386,222,7.0,,157.0,300.0,0.0,,,300.0,126,,5.0,3.0,0,812,1677.0,1677.0,,,543,,357.0,,,178,2220,3032,0.0,3049,15.0,3034.0,0.0,-1089.0,-331,1629,0.0,1629,4661,
12/31/2016,3869,489,427,62,183,183.0,0.0,236,67.0,37.0,132.0,0.0,41,3.0,492.0,1.0,0.0,30.0,949,1707,3667,-1960,657.0,628.0,29.0,556,0.0,0.0,0.0,,61,2920,,417,237,10.0,31.0,139.0,0.0,0.0,0.0,0.0,0.0,5,0.0,20.0,4.0,0,422,1083.0,1083.0,0.0,0.0,478,0.0,290.0,,,164,1561,1983,0.0,3053,15.0,3038.0,0.0,-782.0,-385,1886,0.0,1886,3869,
03/31/2017,3912,410,341,69,264,264.0,0.0,243,71.0,38.0,134.0,0.0,36,1.0,493.0,1.0,,33.0,953,1715,3710,-1995,689.0,665.0,24.0,555,,,,,61,2959,,364,233,10.0,,121.0,500.0,0.0,,,500.0,5,,8.0,4.0,0,869,584.0,584.0,,,483,,292.0,,,179,1067,1936,0.0,3054,15.0,3039.0,-24.0,-702.0,-352,1976,0.0,1976,3912,
06/30/2017,3887,430,371,59,234,234.0,0.0,249,72.0,40.0,137.0,0.0,36,2.0,469.0,1.0,,33.0,949,1718,3744,-2026,689.0,656.0,33.0,531,,,,,60,2938,,379,242,4.0,,133.0,0.0,0.0,,,,0,,14.0,4.0,0,379,1077.0,1077.0,,,463,-3.0,272.0,,,176,1540,1919,0.0,3058,15.0,3043.0,-95.0,-666.0,-329,1968,0.0,1968,3887,
09/30/2017,3892,408,347,61,237,237.0,0.0,252,69.0,42.0,141.0,0.0,38,1.0,450.0,,,36.0,935,1733,3779,-2046,713.0,676.0,37.0,511,,,,,60,2957,,386,253,1.0,,132.0,0.0,0.0,,,,8,,8.0,4.0,0,394,1077.0,1077.0,,,439,,250.0,,,177,1516,1910,0.0,3068,15.0,3053.0,-150.0,-600.0,-336,1982,0.0,1982,3892,
12/31/2017,3851,456,394,62,233,233.0,0.0,252,73.0,39.0,140.0,0.0,50,1.0,287.0,15.0,,35.0,991,1762,3815,-2053,723.0,686.0,37.0,375,43.0,43.0,0.0,,44,2860,,414,280,0.0,12.0,122.0,0.0,0.0,0.0,0.0,,1,0.0,0.0,4.0,0,415,1078.0,1078.0,0.0,0.0,513,0.0,326.0,,,183,1591,2006,0.0,3072,15.0,3057.0,-169.0,-669.0,-389,1845,0.0,1845,3851,
03/31/2018,3831,323,261,62,332,332.0,0.0,255,70.0,40.0,145.0,0.0,46,2.0,280.0,16.0,,28.0,956,1778,3860,-2082,732.0,699.0,33.0,365,39.0,39.0,0.0,,44,2875,,392,269,,,123.0,0.0,0.0,,,,8,,11.0,5.0,0,400,1078.0,1078.0,,,514,,326.0,,,172,1592,1992,0.0,3055,15.0,3040.0,-212.0,-630.0,-374,1839,0.0,1839,3831,
06/30/2018,3813,304,246,58,342,342.0,0.0,265,73.0,39.0,153.0,0.0,52,4.0,264.0,16.0,,33.0,963,1793,3904,-2111,704.0,666.0,38.0,353,42.0,42.0,0.0,,43,2850,,406,281,1.0,,124.0,0.0,0.0,,,,6,,12.0,4.0,0,412,1078.0,1078.0,,,460,,277.0,,,167,1538,1950,0.0,3055,15.0,3040.0,-219.0,-572.0,-401,1863,0.0,1863,3813,
09/30/2018,3890,390,329,61,303,303.0,0.0,288,78.0,43.0,167.0,0.0,50,1.0,252.0,16.0,,30.0,1031,1814,3960,-2146,709.0,671.0,38.0,336,41.0,41.0,0.0,,42,2859,,485,284,2.0,72.0,127.0,0.0,0.0,,,,5,,11.0,5.0,0,490,1079.0,1079.0,,,458,,281.0,,,161,1537,2027,0.0,3054,15.0,3039.0,-209.0,-585.0,-397,1863,0.0,1863,3890,
12/31/2018,3842,383,328,55,233,233.0,0.0,290,80.0,42.0,168.0,0.0,65,2.0,246.0,21.0,,36.0,971,1838,3945,-2107,705.0,662.0,43.0,328,40.0,40.0,0.0,,40,2871,,405,290,2.0,12.0,101.0,0.0,0.0,0.0,0.0,,16,0.0,0.0,5.0,0,421,1079.0,1079.0,0.0,0.0,423,0.0,254.0,,,164,1502,1923,0.0,3045,15.0,3030.0,-200.0,-543.0,-383,1919,0.0,1919,3842,
