Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2017,-17.0,2211,0.0,116.0,-2344.0,,,-2344.0,0.0,,,0.0,27737.0,0.0,0.0,0.0,-1524.0,56733.0,0.0,9123.0,47610.0,-58257.0,0.0,-2610.0,-55647.0,37356.0,37356.0,0.0,0.0,0.0,0.0,0.0,0.0,-8095.0,-37424.0,-4475.0,-32949.0,0.0,0.0,208096.0,-241045.0,0.0,0.0,0.0,0.0,0.0,0.0,-9704.0,0.0,15647.0,
06/30/2017,316.0,1664,,-654.0,-694.0,,,-694.0,,,,0.0,48077.0,0.0,0.0,0.0,13933.0,51968.0,0.0,4010.0,47958.0,-38035.0,0.0,-1490.0,-36545.0,40051.0,40051.0,0.0,0.0,0.0,0.0,0.0,0.0,-5907.0,-46696.0,-2234.0,-44459.0,0.0,0.0,196830.0,-241289.0,0.0,0.0,0.0,0.0,-3.0,0.0,1697.0,487.0,16323.0,
09/30/2017,4458.0,4671,0.0,360.0,-573.0,,,-573.0,0.0,,,0.0,42576.0,0.0,0.0,0.0,12766.0,38037.0,0.0,11103.0,26934.0,-25271.0,0.0,-2261.0,-23010.0,36987.0,36987.0,0.0,0.0,0.0,0.0,0.0,0.0,-7177.0,-45380.0,-1986.0,-43394.0,0.0,0.0,191993.0,-235387.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.0,400.0,15877.0,
12/31/2017,-533.0,-2921,0.0,94.0,5192.0,,,5192.0,-2898.0,,,0.0,26166.0,0.0,0.0,0.0,-6602.0,42717.0,0.0,10556.0,32161.0,-49319.0,0.0,-4188.0,-45131.0,46146.0,37263.0,0.0,8883.0,0.0,0.0,0.0,0.0,-13378.0,-31689.0,-2250.0,-29439.0,0.0,0.0,207999.0,-237438.0,0.0,0.0,0.0,0.0,0.0,0.0,-6056.0,985.0,15727.0,
03/31/2018,4643.0,2926,0.0,-63.0,1780.0,,,1780.0,,,,0.0,52020.0,0.0,0.0,0.0,21710.0,55925.0,0.0,7892.0,48033.0,-34215.0,0.0,-4266.0,-29949.0,32087.0,32087.0,0.0,0.0,0.0,0.0,0.0,0.0,-1777.0,-57857.0,0.0,-57856.0,0.0,0.0,174132.0,-231988.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1194.0,0.0,16306.0,
06/30/2018,-1149.0,2503,,66.0,-3718.0,,,-3718.0,,,,0.0,37238.0,0.0,0.0,0.0,-2722.0,36980.0,0.0,5865.0,31115.0,-39702.0,0.0,-4672.0,-35030.0,26957.0,26957.0,0.0,0.0,0.0,0.0,0.0,0.0,13003.0,-19031.0,0.0,-19342.0,0.0,0.0,202278.0,-221620.0,0.0,0.0,0.0,0.0,311.0,0.0,17058.0,2125.0,16030.0,
09/30/2018,-599.0,2706,0.0,374.0,-3679.0,,,-3679.0,,,,0.0,-4931.0,0.0,0.0,0.0,-5707.0,29021.0,0.0,7959.0,21062.0,-34728.0,0.0,-5370.0,-29358.0,18137.0,18137.0,0.0,0.0,0.0,0.0,0.0,0.0,-17361.0,-13107.0,-1585.0,-11522.0,0.0,0.0,227224.0,-238746.0,0.0,0.0,0.0,0.0,0.0,0.0,-18637.0,2125.0,16579.0,
12/31/2018,-2221.0,1100,0.0,-1113.0,3183.0,,,3183.0,-5391.0,,,0.0,35321.0,0.0,0.0,0.0,21514.0,64547.0,0.0,6238.0,58309.0,-43033.0,0.0,-5393.0,-37640.0,29759.0,19098.0,0.0,10661.0,0.0,0.0,0.0,0.0,-15952.0,-32865.0,-2560.0,-29993.0,0.0,0.0,188412.0,-218405.0,0.0,0.0,0.0,0.0,-312.0,0.0,235.0,-2125.0,16806.0,
03/31/2019,4274.0,1407,0.0,135.0,2732.0,,,2732.0,,,,0.0,-2373.0,0.0,0.0,0.0,-11582.0,13454.0,0.0,3964.0,9490.0,-25036.0,0.0,-2298.0,-22738.0,19977.0,19977.0,0.0,0.0,0.0,0.0,0.0,0.0,-10768.0,-2935.0,-1477.0,-1457.0,0.0,0.0,203118.0,-204575.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1034.0,0.0,17366.0,
06/30/2019,1336.0,1506,,160.0,-330.0,,,-330.0,,,,0.0,8826.0,0.0,0.0,0.0,12140.0,40331.0,0.0,8686.0,31645.0,-28191.0,0.0,-1776.0,-26415.0,29237.0,29237.0,0.0,0.0,0.0,0.0,0.0,0.0,-32551.0,-12974.0,-1665.0,-11257.0,0.0,0.0,263741.0,-274998.0,0.0,0.0,0.0,0.0,-52.0,0.0,-2812.0,306.0,17349.0,
09/30/2019,-2206.0,1709,0.0,179.0,-4094.0,,,-4094.0,,,,0.0,24661.0,0.0,0.0,0.0,-14766.0,30954.0,,,,-45720.0,0.0,-2366.0,-43354.0,28719.0,28719.0,0.0,0.0,0.0,0.0,0.0,0.0,10708.0,-17174.0,0.0,-17143.0,0.0,0.0,343017.0,-360160.0,0.0,0.0,0.0,0.0,-31.0,0.0,5281.0,306.0,18005.0,
12/31/2019,8793.0,2592,0.0,-1220.0,373.0,,,373.0,7048.0,,,0.0,17038.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,57044.0,41826.0,0.0,15218.0,0.0,0.0,0.0,0.0,-27795.0,-29350.0,0.0,-29304.0,0.0,0.0,334746.0,-364050.0,0.0,0.0,0.0,0.0,-46.0,0.0,-3519.0,-306.0,18198.0,
03/31/2020,2791.0,173,0.0,-1233.0,3851.0,,,3851.0,,,,0.0,24242.0,0.0,0.0,0.0,7427.0,37869.0,0.0,2937.0,34932.0,-30442.0,0.0,-1375.0,-29067.0,41506.0,41506.0,0.0,0.0,0.0,0.0,0.0,0.0,-24691.0,-7898.0,0.0,-7873.0,0.0,0.0,547563.0,-555436.0,0.0,0.0,0.0,0.0,-25.0,0.0,19135.0,0.0,17962.0,
06/30/2020,-2363.0,1777,,-705.0,-3435.0,,,-3435.0,,,,0.0,-35248.0,0.0,0.0,0.0,5116.0,58658.0,0.0,33045.0,25613.0,-53542.0,0.0,-4293.0,-49249.0,33610.0,33610.0,0.0,0.0,0.0,0.0,0.0,0.0,-73974.0,20892.0,0.0,20907.0,0.0,0.0,553789.0,-532882.0,0.0,0.0,0.0,0.0,-15.0,0.0,-16719.0,340.0,17524.0,
