Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
12/31/2015,463.0,229.0,289.0,182.0,76.0,-29.0,135.0,-237.0,-237.0,0.0,-145.0,-141.0,0.0,,,-141.0,-134.0,-7.0,0.0,0.0,,0.0,0.0,0.0,0.0,-4.0,-146.0,-140.0,0.0,0.0,0.0,,44.0,44.0,0.0,-50.0,-14.0,158.0,,
03/31/2016,557.0,338.0,280.0,-104.0,43.0,-83.0,-64.0,43.0,43.0,0.0,-25.0,-128.0,0.0,,,-128.0,-124.0,-4.0,0.0,0.0,,111.0,111.0,0.0,0.0,-8.0,-430.0,-140.0,-301.0,-300.0,0.0,-1.0,-38.0,7.0,-45.0,49.0,12.0,114.0,,
06/30/2016,834.0,390.0,272.0,27.0,39.0,-38.0,26.0,145.0,145.0,0.0,-148.0,-155.0,0.0,,,-155.0,-147.0,-8.0,0.0,0.0,,47.0,47.0,0.0,0.0,-40.0,-700.0,-141.0,-600.0,150.0,0.0,-750.0,69.0,,,-28.0,4.0,-10.0,,
09/30/2016,705.0,19.0,273.0,-35.0,38.0,-276.0,203.0,448.0,448.0,0.0,-351.0,-269.0,0.0,,,-269.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-485.0,-141.0,-351.0,-350.0,0.0,-1.0,11.0,11.0,0.0,-4.0,-14.0,-145.0,,
12/31/2016,315.0,562.0,262.0,-3.0,88.0,21.0,-112.0,-506.0,-506.0,0.0,48.0,-112.0,0.0,0.0,0.0,-112.0,-112.0,0.0,0.0,0.0,0.0,167.0,167.0,0.0,0.0,-7.0,-955.0,-156.0,-435.0,700.0,1054.0,-2189.0,-220.0,0.0,-220.0,-144.0,-30.0,-622.0,,
03/31/2017,725.0,344.0,261.0,88.0,59.0,-64.0,93.0,32.0,32.0,0.0,-203.0,-160.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,-42.0,-2.0,-40.0,0.0,-1.0,-906.0,-156.0,-750.0,-750.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-371.0,,
06/30/2017,384.0,-132.0,279.0,428.0,51.0,-296.0,673.0,-191.0,-191.0,0.0,-381.0,-195.0,0.0,0.0,0.0,-195.0,-195.0,0.0,0.0,0.0,0.0,-118.0,0.0,-118.0,0.0,-68.0,13294.0,-166.0,8717.0,100.0,10408.0,-1791.0,4827.0,4827.0,0.0,-84.0,6.0,13303.0,,
09/30/2017,1126.0,327.0,286.0,219.0,53.0,103.0,63.0,294.0,294.0,0.0,-347.0,-260.0,0.0,0.0,0.0,-260.0,-260.0,0.0,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,-71.0,-456.0,-199.0,-250.0,-250.0,0.0,0.0,0.0,0.0,0.0,-7.0,5.0,328.0,,
12/31/2017,321.0,-136.0,291.0,-243.0,179.0,-324.0,-98.0,409.0,409.0,0.0,-15202.0,-178.0,0.0,0.0,0.0,-178.0,-178.0,0.0,0.0,0.0,0.0,-14900.0,0.0,-14900.0,0.0,-124.0,1938.0,-210.0,2250.0,0.0,2250.0,0.0,0.0,0.0,0.0,-102.0,2.0,-12941.0,,
03/31/2018,696.0,-12.0,553.0,-138.0,84.0,-76.0,-146.0,293.0,293.0,0.0,-171.0,-213.0,0.0,0.0,0.0,-213.0,-213.0,0.0,0.0,0.0,0.0,-6.0,100.0,-106.0,0.0,48.0,-373.0,-239.0,-81.0,380.0,1372.0,-1833.0,0.0,0.0,0.0,-53.0,27.0,179.0,,
06/30/2018,542.0,594.0,568.0,-348.0,61.0,-72.0,-337.0,-272.0,-272.0,0.0,200.0,-197.0,0.0,0.0,0.0,-197.0,-197.0,0.0,0.0,0.0,0.0,442.0,434.0,8.0,0.0,-45.0,-616.0,-238.0,-357.0,-180.0,713.0,-890.0,0.0,0.0,0.0,-21.0,-34.0,92.0,,
09/30/2018,1306.0,-135.0,566.0,408.0,76.0,232.0,100.0,467.0,467.0,0.0,-560.0,-307.0,0.0,0.0,0.0,-307.0,-307.0,0.0,0.0,0.0,0.0,-157.0,0.0,-157.0,0.0,-96.0,-1007.0,-240.0,-722.0,-200.0,751.0,-1273.0,0.0,0.0,0.0,-45.0,-12.0,-273.0,,
12/31/2018,245.0,599.0,563.0,-444.0,93.0,-28.0,-509.0,-473.0,-473.0,0.0,299.0,-167.0,0.0,0.0,0.0,-167.0,-167.0,0.0,0.0,0.0,0.0,476.0,476.0,0.0,0.0,-10.0,-734.0,-245.0,-403.0,50.0,0.0,-453.0,0.0,0.0,0.0,-86.0,-5.0,-195.0,,
03/31/2019,782.0,20.0,563.0,257.0,59.0,-81.0,279.0,-58.0,-58.0,0.0,-269.0,-195.0,0.0,0.0,0.0,-195.0,-195.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-75.0,-797.0,-246.0,-502.0,-50.0,0.0,-452.0,0.0,0.0,0.0,-49.0,10.0,-274.0,,
06/30/2019,932.0,451.0,575.0,36.0,63.0,-63.0,36.0,-130.0,-130.0,0.0,-330.0,-237.0,0.0,,,-237.0,-237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,-768.0,-246.0,-453.0,300.0,2224.0,-2977.0,0.0,0.0,0.0,-69.0,-6.0,-172.0,,
09/30/2019,1371.0,162.0,553.0,366.0,63.0,-209.0,512.0,290.0,290.0,0.0,-441.0,-358.0,0.0,0.0,0.0,-358.0,-358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,-924.0,-247.0,-677.0,185.0,0.0,-862.0,0.0,0.0,0.0,0.0,-11.0,-5.0,,
12/31/2019,712.0,278.0,530.0,-196.0,82.0,-71.0,-207.0,100.0,100.0,0.0,-287.0,-173.0,0.0,0.0,0.0,-173.0,-173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.0,-413.0,-252.0,-93.0,210.0,0.0,-303.0,0.0,0.0,0.0,-68.0,6.0,18.0,,
03/31/2020,484.0,183.0,537.0,122.0,59.0,-65.0,128.0,-358.0,-358.0,0.0,-255.0,-222.0,0.0,0.0,0.0,-222.0,-222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,1623.0,-253.0,1898.0,0.0,1900.0,-2.0,0.0,0.0,0.0,-22.0,-21.0,1831.0,,
06/30/2020,862.0,286.0,534.0,32.0,52.0,-67.0,47.0,10.0,10.0,0.0,-363.0,-202.0,0.0,0.0,0.0,-202.0,-202.0,0.0,0.0,0.0,0.0,-139.0,0.0,-139.0,0.0,-22.0,20.0,-268.0,-2612.0,-695.0,1489.0,-3406.0,2917.0,2917.0,0.0,-17.0,6.0,525.0,,
