Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2009,483.078,480.215,0.0,2.863,0.0,0.0,-350.691,198.488,52.539,145.949,10.394,141.809,,0.0,0.0,132.387,-118.169,123.502,-2.57,-2.763,14.218,-2.128,85.421,-73.331,-73.331,0.0,85.421,0.065,80.795,-3.62,0.0,77.175,3.844,0.0,272.324,0.28,0.03,0.03,288.853,0.28,0.03,0.03,,141.809,0.183,-1.898,8.679,,,-2.765,-61.871,,-0.064,165.939,-3.437,162.659,-26.382,,136.277,0.56233,0.471124,0.4825,85.803717,102.414544,79.183513,
06/30/2009,480.333,477.921,0.0,2.412,0.0,0.0,-353.389,188.768,51.357,137.411,10.201,143.296,,0.0,11.124,126.944,-114.346,115.67,2.032,-3.356,12.598,-0.259,105.932,-93.593,-93.593,0.0,105.932,0.002,100.205,-3.62,0.0,96.585,14.116,11.124,272.901,0.35,0.03,0.051726,289.338,0.35,0.03,0.051726,,143.296,0.248,-1.894,8.051,,,0.006,-83.927,,0.399,168.493,-11.259,157.392,-26.567,,130.825,0.543212,0.451521,0.4825,88.823446,106.861072,78.148488,
09/30/2009,480.241,477.588,0.0,2.653,0.0,0.0,-351.586,197.54,54.579,142.961,9.881,144.165,,0.0,0.0,128.655,-119.167,121.166,-3.808,1.809,9.488,-0.459,143.365,-134.336,-134.336,0.0,143.365,0.315,135.981,-3.619,0.0,132.362,-1.974,0.0,273.658,0.48,0.02,0.02,290.215,0.48,0.02,0.02,,144.165,0.225,-1.777,5.487,,,-3.959,-129.135,,-0.785,154.282,-4.127,150.309,-27.871,,122.438,0.517208,0.421305,0.3375,65.254176,80.108218,59.864129,
12/31/2009,461.274,458.856,0.0,2.418,0.0,0.0,-334.32,183.155,52.931,130.224,8.518,142.647,,0.0,0.0,126.954,-143.983,140.611,-3.528,6.9,-17.029,0.037,47.311,-64.307,-64.307,0.0,47.315,0.167,45.296,-3.62,0.0,41.676,-22.631,0.0,275.519,0.15,-0.08,-0.08,275.519,0.15,-0.08,-0.08,,142.647,0.103,-1.786,6.241,,,-3.971,-60.366,,0.065,126.791,-29.676,97.269,-25.03,,72.239,0.333131,0.247407,0.3375,101.311415,136.414679,73.339324,
03/31/2010,464.999,462.577,0.0,2.422,0.0,0.0,-354.991,198.228,55.575,142.653,10.721,146.042,,0.0,0.0,110.008,-119.256,114.111,-0.014,5.159,-9.248,-0.159,57.856,-67.263,-67.263,0.0,57.856,0.25,55.483,-3.62,0.0,51.863,-15.4,0.0,280.645,0.18,-0.04,-0.04,280.645,0.18,-0.04,-0.04,,146.042,0.011,-1.693,6.692,,,-0.478,-60.036,,0.388,145.412,4.888,150.453,-27.311,,123.142,0.506088,0.414221,0.3375,66.687952,81.478314,65.137463,
06/30/2010,447.379,444.333,0.0,3.046,0.0,0.0,-347.05,174.264,52.35,121.914,10.089,162.697,,0.0,0.0,100.329,-110.421,113.723,-4.62,1.318,-10.092,0.147,10.089,-20.034,-20.034,0.0,10.089,0.185,9.961,-3.618,0.0,6.343,-13.691,0.0,282.217,0.02,-0.05,-0.05,282.217,0.02,-0.05,-0.05,,162.697,-0.004,-1.62,12.189,,,-5.079,-0.217,,0.243,174.865,0.153,175.171,-26.647,,148.524,0.583827,0.495016,0.3375,57.808177,68.179663,54.469584,
09/30/2010,453.96,451.832,0.0,2.128,0.0,0.0,-348.696,180.157,56.205,123.952,10.221,158.318,,0.0,0.0,105.264,-105.268,121.116,-22.732,6.884,-0.004,-0.291,29.826,-30.121,-30.121,0.0,29.826,0.188,28.783,-3.617,0.0,25.166,-3.794,1.161,282.717,0.09,-0.01,-0.01342,282.717,0.09,-0.01,-0.01342,,158.318,-0.856,-1.585,15.646,,,-22.544,-9.285,,-0.012,166.079,6.53,172.761,-29.694,,143.067,0.57439,0.475664,0.3375,58.757988,70.953391,57.452771,
12/31/2010,460.748,458.868,0.0,1.88,0.0,0.0,-384.245,172.712,51.922,120.79,8.852,157.301,,0.0,45.38,76.503,-124.91,120.136,,4.774,-48.407,-0.009,198.212,-246.628,-246.628,0.0,198.212,0.103,189.383,-3.513,0.0,185.87,-15.144,45.614,285.916,0.65,-0.212503,-0.052967,285.916,0.65,-0.212589,-0.053053,,157.301,-0.77,-1.724,14.352,,,0.0,-228.418,,0.887,136.43,48.065,184.498,-25.922,,158.576,0.607225,0.52191,0.4575,75.34276,87.658842,95.878157,
03/31/2011,466.356,464.55,0.0,1.806,0.0,0.0,-350.403,180.515,52.139,128.376,11.433,158.455,,0.0,0.0,115.953,-124.682,120.528,,4.154,-8.729,-0.184,133.066,-141.979,-141.979,0.0,133.066,0.04,127.331,-3.466,0.0,123.865,-18.114,0.0,292.895,0.42,-0.04,-0.04,292.895,0.42,-0.04,-0.04,,158.455,-0.75,-1.385,10.855,,,,-123.754,,0.395,173.456,1.751,175.207,-25.94,,149.267,0.564334,0.480782,0.3375,59.805038,70.19811,56.989705,
06/30/2011,480.367,478.419,0.0,1.948,0.0,0.0,-340.51,175.15,54.803,120.347,10.908,154.452,,0.0,0.0,139.857,-124.529,119.997,,4.532,15.328,-0.202,581.753,-566.627,-566.627,0.0,581.753,-0.071,555.924,-3.467,0.0,552.457,-18.387,-4.217,294.663,1.88,-0.048089,-0.0624,312.199,1.85,-0.048089,-0.0624,,154.452,-0.755,-1.521,7.081,,,,-557.458,,0.72,180.734,5.983,186.717,26.193,,212.91,0.59807,0.681969,0.3375,56.431478,49.489062,55.024933,
09/30/2011,493.872,490.944,0.0,2.928,0.0,0.0,-349.058,179.246,57.109,122.137,10.121,159.691,,0.0,0.0,144.814,-114.314,112.449,,1.865,30.5,-0.283,112.977,-82.76,-82.76,0.0,112.977,-0.387,107.848,-3.466,0.0,104.382,21.622,0.0,295.831,0.35,0.09,0.09,312.844,0.35,0.08,0.08,,159.691,-0.758,-1.297,5.762,,,,-76.866,,0.935,196.591,-3.482,193.109,-27.294,,165.815,0.617269,0.530025,0.3375,54.676297,63.676296,50.787148,
12/31/2011,492.35,490.006,0.0,2.344,0.0,0.0,-337.628,169.546,52.331,117.215,11.144,156.938,,0.0,0.0,154.722,-122.156,113.525,,8.631,32.566,-0.06,107.401,-74.895,-74.895,0.0,107.401,-0.414,102.482,-3.466,0.0,99.016,24.121,0.0,295.99,0.33,0.081493,0.081493,312.731,0.33,0.081493,0.081493,,156.938,-0.799,-1.317,10.295,,,,-67.209,,-0.057,201.372,3.26,204.632,-25.496,,179.136,0.654339,0.572812,0.5675,86.728783,99.072684,83.414936,
03/31/2012,446.448,444.384,0.0,2.064,0.0,0.0,-331.972,170.038,52.44,117.598,13.688,148.246,,0.0,0.0,114.476,-127.732,118.011,0.0,9.721,-13.256,-0.17,152.167,-165.593,-165.593,0.0,152.167,-0.45,145.299,-3.466,0.0,141.833,-22.611,1.149,298.805,0.47,-0.06,-0.075671,298.805,0.47,-0.06,-0.075671,,148.246,-0.8,-1.354,26.862,,,,-132.956,,0.049,188.298,3.555,191.853,-25.94,,165.913,0.608613,0.526324,0.3375,55.45398,64.124044,53.556962,
06/30/2012,448.351,446.139,0.0,2.212,0.0,0.0,-319.791,160.962,53.422,107.54,13.391,145.438,,0.0,0.0,128.56,-127.873,114.627,,13.246,0.687,-0.213,108.315,-107.841,-107.841,0.0,108.315,-0.319,103.264,-3.467,0.0,99.797,-7.359,0.685,300.193,0.33,-0.029,-0.024514,300.193,0.33,-0.029,-0.026718,,145.438,-0.797,-1.427,27.56,,,,-70.747,,,204.556,10.448,215.004,25.94,,240.944,0.676862,0.758525,0.3375,49.862421,44.494239,49.529291,
09/30/2012,451.699,448.647,0.0,3.052,0.0,0.0,-308.767,159.347,53.064,106.283,10.083,139.337,,0.0,0.0,142.932,-50.529,113.222,0.003,-62.696,92.403,-0.222,236.323,-144.142,-144.142,0.0,236.323,0.312,226.139,-2.386,-5.15,218.603,74.548,0.087,301.336,0.73,0.247103,0.247392,318.773,0.72,0.247103,0.247376,,139.337,-0.798,-1.43,29.497,,,,-103.394,,,292.311,-59.792,232.519,-28.686,,203.833,0.729419,0.63943,0.3375,46.269719,52.781388,34.792019,
12/31/2012,452.483,450.238,0.0,2.245,0.0,0.0,-304.236,153.742,53.007,100.735,10.072,140.422,,0.0,0.0,148.247,-47.572,109.76,0.011,-62.199,100.675,0.088,384.399,-283.636,-283.636,0.0,384.399,-0.387,367.017,-1.036,-0.002,365.979,86.041,3.698,310.398,1.18,0.265282,0.277196,327.108,1.17,0.265282,0.276587,,140.422,-0.798,-1.135,27.63,,,,-240.981,,-0.06,308.052,-64.159,243.893,-24.954,,218.939,0.745604,0.669317,0.7675,102.936694,114.669104,77.334497,
03/31/2013,504.722,502.562,0.0,2.16,0.0,0.0,-400.476,187.759,65.095,122.664,16.495,196.222,,0.0,0.0,104.246,-269.18,194.467,46.366,28.347,-164.934,-0.405,1061.034,-1226.373,-1226.373,0.0,1061.034,-0.025,1017.686,-1.036,0.0,1016.65,-209.723,0.0,337.532,3.01,-0.621343,-0.621343,337.532,3.01,-0.623353,-0.623353,,196.222,-1.015,-1.216,23.816,,,,-1198.672,,,79.108,147.061,226.169,-26.237,,199.932,0.639517,0.565329,0.4,62.54721,70.755257,170.668959,
06/30/2013,617.217,614.544,0.0,2.673,0.0,0.0,-553.24,213.851,76.742,137.109,16.085,323.304,,0.0,0.0,63.977,-122.06,122.95,8.174,-9.064,-58.083,-0.428,336.732,-395.243,-395.243,0.0,336.732,0.815,324.759,-1.036,0.0,323.723,-86.136,-14.616,359.653,0.9,-0.198858,-0.239498,359.653,0.9,-0.198956,-0.239596,,323.304,-1.493,-1.257,7.146,,,,-389.601,,0.007,274.617,-7.349,267.268,-29.069,,238.199,0.710989,0.63366,0.4,56.259635,63.12537,52.386123,
09/30/2013,626.629,624.063,0.0,2.566,0.0,0.0,-506.233,215.089,75.916,139.173,14.437,276.707,,0.0,0.0,120.396,-133.369,120.035,3.209,10.125,-12.973,-0.492,391.717,-405.182,-405.182,0.0,391.717,0.311,377.192,-1.037,0.0,376.155,-31.282,-2.255,359.811,1.05,-0.080673,-0.08694,359.811,1.05,-0.080673,-0.08694,,276.707,0.136,-1.855,2.902,,0.0,-0.016,-401.595,,0.0,267.27,7.438,274.708,-29.069,,245.639,0.730834,0.653499,0.4,54.732006,61.20901,53.849815,
12/31/2013,639.134,636.835,0.0,2.299,0.0,0.0,-415.457,217.555,76.246,141.309,15.162,182.74,,0.0,0.0,223.677,-154.692,149.402,0.407,4.883,68.985,0.156,115.87,-46.729,-46.729,0.0,115.87,-0.563,110.976,-1.036,0.0,109.94,63.163,-0.048,359.919,0.31,0.175626,0.175492,375.86,0.3,0.175626,0.175492,,182.74,0.236,-1.18,0.516,,,0.009,-45.167,,0.001,251.426,37.502,288.928,-25.968,,262.96,0.768712,0.699622,0.65,84.557052,92.907286,93.048193,
03/31/2014,633.442,630.725,0.0,2.717,0.0,0.0,-434.183,231.44,82.094,149.346,17.576,185.167,,0.0,0.0,199.259,-117.339,113.049,1.409,2.881,81.92,-0.24,82.732,-1.052,-1.052,0.0,82.732,-0.504,79.135,-1.036,0.0,78.099,77.077,0.03,360.47,0.22,0.21,0.213824,376.384,0.22,0.21,0.21008,,185.167,0.535,-1.188,,,,,-0.071,,,265.635,0.02,265.655,-26.47,,239.185,0.705808,0.635481,0.5,70.840752,78.680519,67.850622,
06/30/2014,652.568,649.766,0.0,2.802,0.0,0.0,-424.258,220.37,83.055,137.315,13.752,190.136,,0.0,0.0,228.31,-110.454,115.924,7.616,-13.086,117.856,-0.646,117.72,-0.51,-0.51,0.0,117.72,-0.588,112.69,-1.036,0.0,111.654,95.417,-15.727,360.809,0.31,0.31,0.264453,377.118,0.31,0.31,0.264453,,190.136,0.761,-1.16,,,-14.903,,-0.153,,,290.777,5.107,295.884,-28.079,,267.805,0.784593,0.710136,0.5,63.727339,70.409066,62.042218,
09/30/2014,664.078,662.001,0.0,2.077,0.0,0.0,-420.804,220.367,80.568,139.799,9.968,190.469,,0.0,0.0,243.274,-11.762,118.251,1.176,-107.665,231.512,-0.26,231.19,0.062,0.062,0.0,231.19,-0.708,221.744,-1.037,0.0,220.707,106.076,-114.693,361.409,0.61,0.61,0.293507,377.954,0.61,0.61,0.293507,,190.469,0.675,-1.137,,,-113.641,0.0,0.001,,,305.812,3.388,309.2,-25.868,,283.332,0.818089,0.749647,0.5,61.118047,66.698079,59.090062,
12/31/2014,664.66,662.819,0.0,1.841,0.0,0.0,-414.128,211.387,79.684,131.703,9.652,193.089,,0.0,0.0,250.532,-23.325,109.967,-2.249,-84.393,227.207,-0.248,227.041,-0.082,-0.082,0.0,227.041,-0.744,217.739,-1.036,0.0,216.703,129.049,-87.572,362.018,0.6,0.6,0.356471,378.886,0.59,0.59,0.356471,,193.089,0.498,-1.158,0.0,,-84.141,-4.902,0.044,,,328.691,-2.984,325.707,-25.261,,300.446,0.859644,0.792972,0.5,58.163626,63.053926,55.069655,
03/31/2015,666.371,664.606,0.0,1.765,0.0,0.0,-448.04,233.757,86.432,147.325,19.762,194.521,,0.0,0.0,218.331,-28.219,108.782,-2.963,-77.6,190.112,-0.043,190.224,-0.155,-0.155,0.0,190.224,-0.643,182.522,-3.68,-2.789,178.842,98.737,-79.95,363.098,0.49,0.49,0.271929,380.327,0.49,0.49,0.271929,,194.521,0.149,-1.261,,,-79.951,,0.0,,,299.359,-0.357,299.002,-27.27,,271.732,0.786171,0.714469,0.5525,70.277345,77.330115,67.013734,
06/30/2015,679.112,676.508,0.0,2.604,0.0,0.0,-432.857,222.916,83.119,139.797,15.659,194.282,,0.0,0.0,246.255,52.575,110.866,-12.466,-150.975,298.83,-0.326,298.618,-0.114,-0.114,0.0,298.618,-0.844,286.42,-0.833,0.0,285.587,136.671,-148.802,363.476,0.79,0.79,0.376011,380.491,0.78,0.78,0.376011,,194.282,0.146,-1.263,,,-148.802,,0.0,,,341.304,-16.043,325.261,-28.079,,297.182,0.854845,0.781049,0.5525,64.631566,70.738227,58.839184,
09/30/2015,696.289,694.245,0.0,2.044,0.0,0.0,-438.695,227.439,84.962,142.477,15.197,196.059,,0.0,0.0,257.594,-51.89,114.298,1.041,-63.449,205.704,-0.329,205.456,-0.081,-0.081,0.0,205.456,-0.986,196.692,-0.833,0.0,195.859,128.839,-66.939,363.579,0.54,0.54,0.354363,380.663,0.53,0.53,0.354152,,196.059,0.145,-1.243,,,-66.939,-0.1,,,,331.559,8.927,340.486,-29.604,,310.882,0.894657,0.81687,0.5525,61.755488,67.636207,60.585717,
12/31/2015,703.193,701.219,0.0,1.974,0.0,0.0,-416.135,221.056,85.289,135.767,14.046,181.033,,0.0,0.0,287.058,-73.166,110.541,-0.637,-36.738,213.892,-0.219,213.72,-0.047,-0.047,0.0,213.72,-1.1,204.486,-1.581,-0.697,202.989,163.5,-39.442,363.828,0.56,0.56,0.449388,381.22,0.55,0.55,0.446537,,181.033,0.148,-1.214,,,-39.442,0.0,0.0,,,351.564,1.489,353.053,-24.808,,328.245,0.926135,0.861059,0.5525,59.656504,64.165205,57.177348,
03/31/2016,619.083,616.165,0.0,2.918,0.0,0.0,-402.458,212.856,80.196,132.66,16.717,172.885,,0.0,0.0,216.625,3515.713,213.492,1.104,-3730.309,3732.338,-0.35,3731.831,0.157,0.157,0.0,3731.831,-0.764,3587.758,-0.773,0.0,3586.985,-148.059,-3735.201,364.592,9.84,9.84,-0.406095,382.243,9.76,9.76,-0.406095,,172.885,0.239,-1.408,,,-3723.479,,-0.015,,,178.516,110.965,289.481,-22.758,,266.723,0.757322,0.697784,8.50375,1122.871246,1218.679646,1736.762654,
06/30/2016,595.154,594.939,0.0,0.215,0.0,0.0,-389.136,194.713,77.415,117.298,18.296,176.127,,0.0,0.0,206.018,22.76,86.472,0.8,-110.032,228.778,-0.413,228.4,-0.035,-0.035,0.0,228.4,-0.781,218.839,-0.772,0.0,218.067,160.676,-57.356,365.047,0.6,0.6,0.440152,382.065,0.59,0.59,0.439879,,176.127,0.285,-1.227,,,-57.356,,0.0,,,344.676,-54.317,290.359,-22.974,,267.385,0.759973,0.699842,0.50375,66.285269,71.980569,53.352257,
09/30/2016,606.074,605.856,0.0,0.218,0.0,0.0,-396.701,205.076,81.343,123.733,12.395,179.23,,0.0,,209.373,8.299,86.352,-7.75,-86.901,217.672,-0.426,217.492,-0.246,-0.246,0.0,217.492,-0.823,208.316,-0.773,0.0,207.543,113.224,-94.073,365.109,0.57,0.57,0.31011,382.373,0.56,0.56,0.31011,,179.23,0.186,-1.297,,,-90.036,-8.841,-0.028,,,295.11,2.08,297.19,-24.432,,272.758,0.777225,0.71333,3.50375,450.802315,491.18244,433.482654,
12/31/2016,605.489,605.273,0.0,0.216,0.0,0.0,-381.419,193.58,78.433,115.147,10.432,177.407,,0.0,0.0,224.07,78.341,95.93,1.045,-175.316,302.411,-0.424,302.381,-0.394,-0.394,0.0,302.381,0.459,277.25,-0.773,0.0,276.477,102.927,-173.156,365.256,0.76,0.76,0.281794,381.86,0.75,0.75,0.281794,,177.407,0.23,-1.292,0.0,,-173.184,0.0,0.0,,,305.228,-2.608,302.62,-21.231,,281.389,0.792489,0.73689,0.50375,63.565519,68.361583,60.282055,
03/31/2017,604.1,603.92,0.0,0.18,0.0,0.0,-399.729,206.588,81.728,124.86,14.173,178.968,,,0.0,204.371,-54.168,106.21,1.073,-53.115,150.203,-0.262,149.941,0.0,0.0,0.0,149.941,-0.788,143.742,-0.773,0.0,142.969,87.069,-55.9,366.605,0.39,0.39,0.237501,382.28,0.39,0.39,0.237501,,178.968,0.31,-1.298,,,-36.707,-0.068,,,,289.585,-5.864,283.721,-21.749,,261.972,0.742181,0.685288,0.50375,67.874267,73.509211,63.773078,
06/30/2017,612.48,612.299,0.0,0.181,0.0,0.0,-401.93,208.408,87.503,120.905,13.626,179.896,,,0.0,210.55,-6.17,91.224,0.682,-85.736,204.38,-0.22,204.16,0.0,0.0,0.0,204.16,-0.765,196.041,-0.773,0.0,195.268,107.565,-87.703,366.82,0.53,0.53,0.293236,382.692,0.53,0.53,0.293236,,179.896,0.309,-1.282,,,-87.726,0.0,,,,293.819,0.072,293.891,-23.026,,270.865,0.767957,0.707789,0.50375,65.596121,71.17239,62.890955,
09/30/2017,624.122,623.951,0.0,0.171,0.0,0.0,-406.336,209.669,84.087,125.582,12.567,184.1,,,0.0,217.786,-73.362,91.145,0.398,-18.181,144.424,-0.228,144.196,0.0,0.0,0.0,144.196,-0.801,138.229,-0.772,0.0,137.457,120.129,-17.328,366.996,0.37,0.37,0.327331,382.945,0.37,0.37,0.324751,,184.1,0.311,-1.228,,0.0,-17.328,0.0,,,,308.478,-3.64,304.838,-20.735,,284.103,0.796036,0.74189,0.50375,63.282315,67.900918,59.931092,
12/31/2017,630.704,630.519,0.0,0.185,0.0,0.0,-415.94,201.604,82.177,119.427,11.858,200.785,,0.0,1.693,214.764,-84.912,95.311,1.217,-11.616,129.852,0.232,130.084,0.0,0.0,0.0,130.084,0.321,125.442,-0.773,0.0,124.669,111.069,-13.6,367.442,0.34,0.34,0.302276,383.105,0.34,0.34,0.302276,,200.785,-0.879,-1.215,,,-15.296,-0.005,,,,313.022,3.765,316.787,-18.969,,297.818,0.826893,0.77738,0.50375,60.92079,64.801034,59.132875,
03/31/2018,633.016,632.831,0.0,0.185,0.0,0.0,-436.147,223.56,91.914,131.646,16.278,196.309,,,0.0,196.869,23.892,116.104,0.977,-140.973,220.761,-0.213,220.548,0.0,0.0,0.0,220.548,-0.68,211.809,-0.773,0.0,211.036,68.823,-142.213,367.8,0.57,0.57,0.187121,383.018,0.57,0.57,0.187121,,196.309,0.116,-1.145,,,-142.213,0.0,,,,272.162,21.444,293.606,-17.751,,275.855,0.766559,0.720214,0.54,70.44465,74.977695,72.975654,
06/30/2018,639.808,639.62,0.0,0.188,0.0,0.0,-422.154,216.71,89.482,127.228,12.502,192.942,,,0.0,217.654,-98.97,94.131,1.031,3.808,118.684,-0.274,118.41,0.0,0.0,0.0,118.41,-0.793,113.602,-0.772,0.0,112.83,111.886,-0.944,367.93,0.31,0.31,0.304096,383.423,0.31,0.31,0.304096,,192.942,0.248,-1.115,,,0.051,0.0,,,,308.971,2.213,311.184,-44.781,,266.403,0.811595,0.694802,0.54,66.535689,77.720003,64.304482,
09/30/2018,652.867,652.677,0.0,0.19,0.0,0.0,-428.136,220.176,87.388,132.788,12.64,194.618,,,0.702,224.731,-0.605,111.219,0.985,-111.599,224.126,-0.28,223.846,0.0,0.0,0.0,223.846,-0.75,214.937,-0.773,0.0,214.164,100.194,-113.97,368.028,0.58,0.58,0.272246,383.884,0.58,0.58,0.272246,,194.618,0.246,-1.137,,0.702,-114.672,0.0,,,,302.08,17.747,319.827,-26.751,,293.076,0.833134,0.763449,0.54,64.815466,70.731605,65.788904,
12/31/2018,652.743,652.553,0.0,0.19,0.0,0.0,-433.437,219.188,89.03,130.158,12.393,201.856,,0.0,0.0,219.306,-96.807,91.906,0.674,4.227,122.499,-0.111,122.388,0.0,0.0,0.0,122.388,-0.779,117.187,-0.772,0.0,116.415,116.447,0.032,368.445,0.32,0.32,0.31605,384.296,0.31,0.31,0.310083,,201.856,0.101,-1.164,,,0.024,0.0,,,,321.654,2.439,324.093,-18.454,,305.639,0.843342,0.795322,0.54,64.030954,67.897042,61.855379,
03/31/2019,662.494,662.302,0.0,0.192,0.0,0.0,-452.504,232.908,91.442,141.466,15.381,204.215,,0.0,0.0,209.99,-100.495,94.938,0.707,4.85,109.495,-0.238,109.257,0.0,0.0,0.0,109.257,-0.799,104.539,-0.773,0.0,103.766,103.786,0.02,369.558,0.28,0.28,0.280838,385.184,0.28,0.28,0.280052,,204.215,0.019,-1.182,,,0.021,,,,,310.758,3.252,314.01,-15.98,,298.03,0.815221,0.773734,0.5675,69.613044,73.34561,67.487938,
06/30/2019,669.517,669.374,0.0,0.143,0.0,0.0,-439.113,224.276,91.446,132.83,14.329,200.508,,,0.0,230.404,91.141,108.902,-68.765,-131.278,321.545,-0.246,321.299,0.0,0.0,0.0,321.299,-0.821,308.968,-0.772,0.0,308.196,169.163,-139.033,370.342,0.83,0.83,0.456775,386.107,0.83,0.83,0.456775,,200.508,-0.049,-1.121,,,-138.856,-69.522,,,,310.666,21.052,331.718,-47.51,,284.208,0.859135,0.736086,0.5675,66.054818,77.096958,67.651138,
09/30/2019,685.145,685.12,0.0,0.025,0.0,0.0,-447.347,224.452,87.546,136.906,11.417,211.478,,,0.0,237.798,40.313,85.936,1.152,-127.401,278.111,-0.265,277.846,0.0,0.0,0.0,277.846,-0.83,267.106,-0.773,0.0,266.333,133.869,-132.464,370.768,0.72,0.72,0.361059,386.896,0.71,0.71,0.361059,,211.478,-0.285,-1.932,,0.0,-130.565,0.0,,,,354.939,-3.06,351.879,-22.969,,328.91,0.909492,0.850125,0.5675,62.397438,66.754881,59.280845,
12/31/2019,683.919,683.895,0.0,0.024,0.0,0.0,-453.204,226.692,95.705,130.987,11.63,214.882,,,0.0,230.715,67.561,100.3,0.961,-168.822,298.276,3.03,301.306,0.0,0.0,0.0,301.306,-0.847,289.764,-0.772,0.0,288.992,110.788,-178.204,371.155,0.78,0.78,0.298495,387.143,0.77,0.77,0.298495,,214.882,-2.249,0.612,,,-178.237,0.0,,,,334.695,15.766,350.461,-20.817,,329.644,0.905249,0.851479,0.5675,62.689901,66.648764,62.932061,
03/31/2020,682.329,682.305,0.0,0.024,0.0,0.0,-468.197,241.257,97.732,143.525,14.518,212.422,,0.0,0.0,214.132,118.592,85.59,1.157,-205.339,332.724,-0.053,332.671,0.0,0.0,0.0,332.671,-0.875,308.606,-0.773,0.0,307.833,99.856,-207.977,371.582,0.83,0.83,0.268732,386.949,0.83,0.83,0.268732,,212.422,-0.243,-1.287,,,-207.977,,,,,333.938,1.15,335.088,-21.589,,313.499,0.865975,0.810182,0.6025,69.57479,74.366034,67.041833,
06/30/2020,653.532,653.532,0.0,0.0,0.0,0.0,-440.909,223.098,95.038,128.06,11.835,205.976,,,0.0,212.623,59.045,81.885,1.042,-141.972,271.668,-0.187,271.481,0.0,0.0,0.0,271.481,-0.88,260.888,-0.772,0.0,260.116,115.85,-144.266,371.795,0.7,0.7,0.311596,385.913,0.7,0.7,0.311596,,205.976,-0.219,-1.02,,,-144.266,0.0,,,,330.3,0.52,330.82,-22.923,,307.897,0.85724,0.79784,0.6025,70.283714,75.516352,67.8191,
09/30/2020,643.125,,,,,,,,,,,,,,,382.667,,,,,123.833,,,,,,,,119.0,,,119.0,108.778,,,0.308,0.308,0.3,,0.308,0.308,0.3,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,640.125,,,,,,,,,,,,,,,352.143,,,,,120.167,,,,,,,,115.5,,,115.5,105.933,,,0.292,0.292,0.29,,0.292,0.292,0.29,,,,,,,,,,,,,,,,,,,,,,,,
