Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2016,504.199,455.346,0.0,84.218,0.0,371.128,0.0,0.0,0.0,48.853,-386.083,183.912,27.331,,156.581,29.808,169.016,,0.0,3.347,118.116,-53.674,57.261,-4.078,0.491,64.442,-2.109,39.125,0.0,0.0,0.0,62.333,0.663,61.549,,,39.125,40.44,1.315,146.565564,0.27,0.27,0.275917,147.433194,0.27,0.27,0.275917,,166.912,2.803,,,,-1.097,,,208.406,4.22,212.626,-1.801,3.42,2.907,-21.064,0.475,-4.719,191.844,1.41831,1.279685,0.88,62.045658,68.766915,61.929119,
06/30/2016,514.934,465.32,0.0,88.211,0.0,377.109,0.0,0.0,0.0,49.614,-402.636,189.238,27.449,,161.789,32.681,175.594,,0.0,5.123,112.298,-59.102,59.909,-4.132,3.325,53.196,-2.252,27.951,0.0,0.0,0.0,50.944,0.457,50.375,,,27.951,29.459,1.508,146.824268,0.19,0.19,0.200641,147.808268,0.19,0.19,0.200202,,167.043,2.81,,,6.122,0.0,,,204.383,8.205,212.588,0.379,4.63,3.332,-17.914,1.101,-4.132,199.984,1.415263,1.331354,0.88,62.179276,66.098128,63.217271,
09/30/2016,546.293,490.877,0.0,95.665,0.0,395.212,0.0,0.0,0.0,55.416,-430.543,200.282,20.62,,179.662,46.135,178.133,,0.0,5.993,115.75,110.405,63.084,-4.152,-169.337,226.155,-3.72,187.33,0.0,0.0,0.0,222.435,3.024,219.188,,,187.33,20.928,-166.402,147.397853,1.27,1.27,0.141983,149.384871,1.25,1.25,0.136085,,178.133,2.81,-2.801,,0.0,-169.0,,,199.496,18.917,218.413,0.37,4.041,3.243,-15.252,0.61,-4.581,206.844,1.439153,1.362923,0.88,61.147093,64.567113,65.018903,
12/31/2016,576.787,486.871,0.0,87.809,0.0,399.062,0.0,0.0,0.0,89.916,-425.665,198.734,27.097,,171.637,40.481,176.581,,0.0,9.869,151.122,-52.678,56.226,-4.742,1.194,98.444,-2.304,77.682,0.0,0.0,0.0,96.14,1.154,95.075,,,77.682,78.578,0.896,158.956606,0.49,0.49,0.494336,159.699411,0.49,0.49,0.494336,,173.523,2.823,,,0.0,0.195,,0.0,255.377,-23.206,232.171,-0.114,3.774,3.148,-21.246,-0.269,-5.479,211.985,1.432624,1.308065,0.88,61.425759,67.274949,54.774633,
03/31/2017,550.569,548.639,0.0,87.288,0.0,461.351,0.0,0.0,0.0,1.93,-413.286,198.85,26.919,,171.931,34.647,176.466,,0.0,3.323,137.283,-50.497,55.45,-5.324,0.371,86.786,-2.223,66.145,0.0,0.0,0.0,84.563,0.904,83.538,,,66.145,67.536,1.391,159.297027,0.42,0.42,0.423963,160.421655,0.41,0.41,0.418671,,176.466,2.757,-3.019,,0.0,0.522,,,243.775,4.157,247.932,0.129,3.704,3.14,-29.588,0.393,-4.127,221.583,1.524797,1.362749,0.93,60.991724,68.244405,60.858579,
06/30/2017,565.989,564.219,0.0,93.342,0.0,470.877,0.0,0.0,0.0,1.77,-435.332,205.453,28.161,,177.292,37.509,178.111,,0.0,14.259,130.657,-48.447,57.582,-8.388,-0.747,82.21,-2.639,57.837,0.0,0.0,0.0,79.571,0.807,78.651,,,57.837,72.057,14.22,160.832889,0.36,0.36,0.448024,161.781867,0.36,0.36,0.447896,,178.111,2.754,-3.101,,0.0,-0.38,,,236.028,17.307,253.335,2.233,5.637,3.231,-26.74,-0.288,-4.095,233.313,1.544471,1.422406,0.93,60.214779,65.382173,63.371544,
09/30/2017,609.925,608.055,0.0,107.613,0.0,500.442,0.0,0.0,0.0,1.87,-543.768,225.237,32.586,,192.651,43.765,199.914,,0.0,74.852,66.157,-51.188,71.621,-5.88,-14.553,14.969,-2.494,-4.14,0.0,0.0,0.0,12.475,-0.079,12.435,,,-4.14,15.4,19.54,170.194254,-0.02,-0.02,0.090485,170.194254,-0.02,-0.02,0.090485,,199.914,2.732,-3.043,,28.992,-9.75,,,214.626,49.132,263.758,2.52,4.636,3.427,-34.664,2.454,-4.17,237.961,1.514371,1.366257,0.93,61.411635,68.069179,69.123964,
12/31/2017,731.445,669.337,0.0,151.981,0.0,517.356,0.0,0.0,0.0,62.108,-614.247,265.071,36.348,,228.723,44.311,287.973,,0.0,16.892,117.198,-36.995,73.989,-5.924,-31.07,80.203,-0.545,53.306,0.0,0.0,0.0,79.658,6.038,73.635,,,53.306,23.769,-29.537,205.448689,0.26,0.26,0.115693,206.185084,0.26,0.26,0.115693,,287.973,3.323,-3.049,,0.0,-30.746,,,316.845,16.445,333.29,-9.34,3.923,3.95,-45.298,8.511,-4.784,290.252,1.55435,1.353636,0.93,59.832074,68.703857,60.303076,
03/31/2018,744.368,742.377,0.0,150.079,0.0,592.298,0.0,0.0,0.0,1.991,-600.555,264.634,35.263,,229.371,36.523,294.789,,0.0,4.609,143.813,-30.344,76.985,-7.41,-39.231,113.469,-3.374,86.298,0.0,0.0,0.0,110.095,3.48,106.627,,,86.298,47.259,-39.039,205.714173,0.42,0.42,0.229731,206.507476,0.42,0.42,0.229731,,294.789,3.476,-3.103,,0.0,-39.273,,,345.667,3.985,349.652,-7.719,5.497,3.935,-27.328,9.553,-5.047,328.543,1.62778,1.529508,1.01,62.047702,66.034288,60.177859,
06/30/2018,754.919,752.049,0.0,155.723,0.0,596.326,0.0,0.0,0.0,2.87,-610.857,260.212,27.284,,232.928,46.099,298.788,,0.0,5.758,144.062,-53.782,78.81,-7.438,-17.59,90.28,-2.121,65.134,0.0,0.0,0.0,88.159,2.7,85.463,,,65.134,58.37,-6.764,205.956005,0.32,0.32,0.28341,206.563079,0.32,0.32,0.28341,,298.788,3.722,-3.038,,0.0,-14.192,,,353.114,3.917,357.031,-5.82,8.419,3.835,-34.447,8.695,-5.647,332.066,1.661421,1.545248,1.01,60.791346,65.36169,58.924597,
09/30/2018,768.924,766.937,0.0,163.104,0.0,603.833,0.0,0.0,0.0,1.987,-629.859,283.495,34.871,,248.624,41.642,293.957,,0.0,10.765,139.065,-46.369,80.851,-8.886,-25.596,92.696,-2.432,67.268,0.0,0.0,0.0,90.264,2.7,87.597,,,67.268,50.962,-16.306,206.118472,0.33,0.33,0.247246,206.766256,0.33,0.33,0.247246,,293.957,3.775,-3.2,,0.0,-26.577,,,337.923,12.022,349.945,-8.029,5.823,3.968,-22.5,7.969,-5.153,332.023,1.628128,1.544746,1.01,62.034425,65.382931,61.556923,
12/31/2018,778.267,711.547,0.0,155.731,0.0,555.816,0.0,0.0,0.0,66.72,-655.42,289.642,32.098,,257.544,38.801,299.362,,0.0,27.615,122.847,-76.093,84.883,-9.245,0.455,46.754,5.843,31.23,0.0,0.0,0.0,52.597,1.3,51.559,,,31.23,59.31,28.08,206.345138,0.15,0.15,0.287431,207.1131,0.15,0.15,0.285578,,299.362,3.615,-3.638,,0.0,-0.007,,,331.862,31.105,362.967,-9.105,5.609,4.099,-47.951,1.324,-5.16,311.783,1.684951,1.447346,1.01,59.942411,69.782884,62.799775,
03/31/2019,814.515,812.03,0.0,158.437,0.0,585.425,0.0,0.0,0.0,2.485,-672.972,295.26,37.315,,257.945,53.459,311.486,,0.0,12.767,141.543,-16.28,101.552,-9.217,-76.055,125.263,-4.266,95.869,0.0,0.0,0.0,120.997,4.3,116.812,,,95.869,50.586,-45.283,207.809383,0.46,0.46,0.243425,208.526249,0.46,0.46,0.242843,,311.486,3.851,-3.622,,5.351,0.0,,,417.235,-41.553,375.682,-14.744,7.592,5.253,-38.059,-5.565,3.581,333.74,1.725243,1.532633,1.08,62.59988,70.466974,53.790821,
06/30/2019,800.797,799.386,0.0,0.0,0.0,799.386,0.0,0.0,0.0,1.411,-651.825,296.955,44.923,,252.032,52.983,290.562,,0.0,11.325,148.972,-83.014,86.051,-6.962,3.925,65.958,-4.634,31.738,0.0,0.0,0.0,61.324,1.4,60.168,,,31.738,57.518,25.78,208.284407,0.15,0.15,0.276151,209.435572,0.15,0.15,0.273093,,290.562,13.623,-3.647,,0.0,0.0,,,333.676,23.578,357.254,-12.715,9.468,3.42,-39.515,6.622,4.025,328.559,1.635052,1.503723,1.08,66.052937,71.821731,67.414845,
09/30/2019,806.466,802.472,0.0,0.0,0.0,802.472,0.0,0.0,0.0,3.994,-641.699,300.789,38.255,,262.534,49.985,286.718,,0.0,4.207,164.767,-92.367,84.574,19.269,-11.476,72.4,-4.826,49.827,0.0,0.0,0.0,67.574,2.3,66.497,,,49.827,59.431,9.604,208.42147,0.24,0.24,0.285148,209.801771,0.24,0.24,0.285148,,286.718,13.612,-3.628,,0.0,0.0,,,348.829,16.04,364.869,-12.973,8.906,3.366,-48.408,5.034,3.254,324.048,1.667927,1.481322,1.08,64.751042,72.907866,64.555413,
12/31/2019,787.463,716.892,0.0,167.159,0.0,549.733,0.0,0.0,0.0,70.571,-648.53,299.757,42.541,,257.216,53.54,275.008,,0.0,20.225,138.933,208.662,80.88,-11.157,-278.385,347.595,1.731,315.577,0.0,0.0,0.0,349.326,13.1,336.284,,,315.577,66.162,-249.415,208.776355,1.51,1.51,0.316904,210.286278,1.5,1.5,0.313926,,275.008,21.631,-3.637,,0.0,-267.651,,,354.028,0.669,354.697,-14.336,8.937,3.676,-54.731,6.748,3.646,308.637,1.620353,1.409939,1.08,66.652123,76.599073,63.689444,
03/31/2020,823.337,820.072,,,,,0.0,0.0,0.0,3.265,-723.288,311.378,42.123,,269.255,63.538,291.457,,0.0,56.915,100.049,135.831,85.8,78.996,-300.627,235.88,-7.182,202.859,0.0,0.0,0.0,228.698,7.8,224.014,,,202.859,-43.237,-246.096,222.163324,0.91,0.91,-0.194618,224.474295,0.9,0.9,-0.196322,,291.457,19.923,-4.94,,0.0,-304.801,,,212.298,143.077,355.375,-13.944,12.153,5.203,-34.677,7.442,2.793,334.345,1.526827,1.436474,1.12,73.35476,77.968709,117.204553,
06/30/2020,992.995,987.675,,,,,0.0,0.0,0.0,5.32,-840.184,381.088,45.071,,336.017,94.291,349.165,,0.0,15.64,152.811,-65.343,79.874,7.632,-22.163,87.468,-11.49,53.676,0.0,0.0,0.0,75.978,1.4,74.831,,,53.676,72.936,19.26,267.569823,0.2,0.2,0.272587,270.744408,0.2,0.2,0.271137,,349.165,17.123,-6.831,,0.0,0.0,,,414.533,14.9,429.433,-3.555,15.06,4.672,-38.796,10.475,1.739,419.028,1.540738,1.503406,1.12,72.692458,74.497504,72.292966,
09/30/2020,993.333,,,,,,,,,,,,,,,,,,,,153.833,,,,,78.838,,,,,,,,48.962,,,48.962,47.179,,,0.157,0.157,0.481,,0.157,0.157,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,1009.133,,,,,,,,,,,,,,,,,,,,165.25,,,,,88.088,,,,,,,,59.746,,,59.746,57.679,,,0.185,0.185,0.529,,0.185,0.185,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,
