Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2011,146.7,146.7,,-48.9,48.9,97.8,30.0,-64.0,24.1,24.1,40.1,-0.2,63.8,-8.6,9.6,13.3,-3.7,,-1.0,0.0,55.2,-19.1,,36.1,0.0,0.0,0.0,36.1,0.0,36.1,0.0,0.0,36.1,35.97,-0.13,177.5,0.21,0.21,0.202648,178.9,0.2,0.2,0.199273,
12/31/2011,354.8,354.8,,-172.0,172.0,182.8,0.0,-76.2,34.6,34.6,41.5,0.1,106.6,-10.3,11.2,12.7,-1.5,,-0.9,0.0,96.3,-34.7,,61.6,0.0,0.0,0.0,61.6,0.0,61.6,0.0,0.0,61.6,61.665,0.065,177.7,0.34,0.34,0.347017,179.0,0.34,0.34,0.340363,
03/31/2012,425.7,425.7,,-152.7,152.7,273.0,0.0,-142.1,29.1,29.1,44.2,68.8,130.9,-12.4,13.3,14.7,-1.4,,-0.9,0.0,118.5,-43.3,,75.2,0.0,0.0,0.0,75.2,0.0,75.2,0.0,0.0,75.2,73.77,-1.43,178.2,0.42,0.42,0.413973,179.3,0.42,0.42,0.412025,
06/30/2012,188.4,188.4,,11.5,-11.5,199.9,0.0,-127.3,29.9,29.9,45.5,51.9,72.6,-11.6,12.5,15.1,-2.6,,-0.9,0.0,61.0,-21.8,,39.2,0.0,0.0,0.0,39.2,0.0,39.2,0.0,0.0,39.2,38.94,-0.26,177.2,0.22,0.22,0.219752,178.3,0.22,0.22,0.218542,
09/30/2012,141.8,141.8,,42.1,-42.1,183.9,0.0,-120.3,29.0,29.0,45.9,45.4,63.6,-11.8,12.8,14.5,-1.7,,-1.0,0.0,51.8,-18.0,,33.8,0.0,0.0,0.0,33.8,0.0,33.8,0.0,0.0,33.8,32.175,-1.625,175.4,0.2,0.2,0.183438,176.5,0.19,0.19,0.180793,
12/31/2012,343.0,343.0,,-93.2,93.2,249.8,0.0,-141.2,32.8,32.8,46.0,62.4,108.6,-11.4,12.3,13.6,-1.3,,-0.9,0.0,97.2,-33.4,,63.8,0.0,0.0,0.0,63.8,0.0,63.8,0.0,0.0,63.8,63.8,0.0,175.2,0.36,0.36,0.36,175.9,0.36,0.36,0.36,
03/31/2013,476.9,476.9,,-199.7,199.7,277.2,0.0,-145.8,33.8,33.8,48.5,63.5,131.4,-10.6,11.5,14.5,-3.0,,-0.9,0.0,120.8,-47.9,,72.9,0.0,0.0,0.0,72.9,0.0,72.9,0.0,0.0,72.9,72.9,0.0,175.3,0.42,0.42,0.42,176.1,0.41,0.41,0.41,
06/30/2013,195.6,195.6,,,,,0.0,-124.4,32.0,32.0,47.5,44.9,71.2,-10.2,11.2,14.3,-3.1,,-1.0,0.0,61.0,-21.6,,39.4,0.0,0.0,0.0,39.4,0.0,39.4,0.0,0.0,39.4,39.335,-0.065,175.5,0.22,0.22,0.224131,176.3,0.22,0.22,0.219631,
09/30/2013,149.6,149.6,,,,,0.0,-169.0,24.4,24.4,47.4,97.2,-19.4,-9.9,10.8,13.9,-3.1,,-0.9,0.0,-29.3,10.1,,-19.2,0.0,0.0,0.0,-19.2,0.0,-19.2,0.0,0.0,-19.2,33.2,52.4,175.5,-0.11,-0.11,0.189174,175.5,-0.11,-0.11,0.188575,
12/31/2013,397.9,397.7,0.2,-192.8,192.8,205.1,0.0,-82.5,30.8,30.8,51.4,0.3,122.6,-12.6,13.5,14.2,-0.7,,-0.9,0.0,110.0,-41.9,,68.1,0.0,0.0,0.0,68.1,0.0,68.1,0.0,0.0,68.1,68.295,0.195,175.5,0.39,0.39,0.389145,175.9,0.39,0.39,0.389145,
03/31/2014,456.9,456.6,0.3,-148.2,148.2,308.7,0.0,-160.4,31.5,31.5,55.3,73.6,148.3,-13.1,14.0,15.8,-1.8,,-0.9,0.0,135.2,-50.1,,85.1,0.0,0.0,0.0,85.1,0.0,85.1,0.0,0.0,85.1,85.1,0.0,175.7,0.48,0.48,0.48,176.1,0.48,0.48,0.48,
06/30/2014,201.3,200.9,0.4,,,,0.0,-124.8,30.5,30.5,56.8,37.5,76.5,-13.7,14.6,15.8,-1.2,,-0.9,0.0,62.8,-22.5,,40.3,0.0,0.0,0.0,40.3,0.0,40.3,0.0,0.0,40.3,41.535,1.235,175.8,0.23,0.23,0.236263,176.1,0.23,0.23,0.236263,
09/30/2014,157.9,157.4,0.5,-57.3,57.3,100.6,42.3,-74.0,24.7,24.7,50.8,-1.5,68.9,-12.8,15.7,15.7,0.0,0.0,-0.9,-2.0,56.1,-17.5,,38.6,0.0,0.0,0.0,38.6,0.0,38.6,0.0,0.0,38.6,37.625,-0.975,175.8,0.22,0.22,0.214022,176.1,0.22,0.22,0.214022,
12/31/2014,373.2,371.8,1.4,-171.8,171.8,201.4,0.0,-89.7,38.5,38.5,50.8,0.4,111.7,-13.4,,15.8,,,-0.8,-1.6,98.3,-35.8,,62.5,0.0,0.0,0.0,62.5,0.0,62.5,0.0,0.0,62.5,62.24,-0.26,175.8,0.36,0.36,0.354039,176.2,0.35,0.35,0.348524,
03/31/2015,428.6,427.9,0.7,-131.8,131.8,296.8,0.0,-149.8,29.4,29.4,54.3,66.1,147.0,-13.6,14.5,15.9,-1.4,,-0.9,0.0,133.4,-48.8,,84.6,0.0,0.0,0.0,84.6,0.0,84.6,0.0,0.0,84.6,84.6,0.0,176.2,0.48,0.48,0.48,176.5,0.48,0.48,0.48,
06/30/2015,199.3,198.3,1.0,,,,0.0,-124.0,27.4,27.4,53.6,43.0,75.3,-13.3,14.3,15.8,-1.5,,-1.0,0.0,62.0,-21.4,,40.6,0.0,0.0,0.0,40.6,0.0,40.6,0.0,0.0,40.6,39.755,-0.845,176.4,0.23,0.23,0.225368,176.6,0.23,0.23,0.225215,
09/30/2015,142.3,140.7,1.6,-51.3,51.3,91.0,52.6,-81.3,26.5,26.5,55.0,-0.2,62.3,-13.5,15.7,15.7,0.0,0.0,-0.9,-1.3,48.8,-16.2,,32.6,0.0,0.0,0.0,32.6,0.0,32.6,0.0,0.0,32.6,32.47,-0.13,176.2,0.18,0.18,0.184279,176.3,0.18,0.18,0.179263,
12/31/2015,364.7,361.5,3.2,-167.2,167.2,197.5,0.0,-107.7,25.7,25.7,53.1,28.9,89.8,-14.7,,15.6,,,-0.9,0.0,75.1,-24.2,,50.9,0.0,0.0,0.0,50.9,0.0,50.9,0.0,0.0,50.9,68.97,18.07,175.5,0.29,0.29,0.392991,175.7,0.29,0.29,0.392846,
03/31/2016,456.3,454.4,1.9,-158.5,158.5,297.8,0.0,-162.1,29.6,29.6,55.9,76.6,135.7,-13.8,,15.8,,,-1.0,-1.0,121.9,-43.4,,78.5,0.0,0.0,0.0,78.5,0.0,78.5,0.0,0.0,78.5,81.62,3.12,175.8,0.45,0.45,0.464278,176.1,0.45,0.45,0.464278,
06/30/2016,174.1,173.0,1.1,,,,0.0,-109.7,26.0,26.0,56.4,27.3,64.4,-13.5,14.4,15.5,-1.1,,-0.9,0.0,50.9,-17.8,,33.1,0.0,0.0,0.0,33.1,0.0,33.1,0.0,0.0,33.1,35.4,2.3,176.0,0.19,0.19,0.201136,176.2,0.19,0.19,0.201136,
09/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,0.19,
12/31/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.41,
