Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,33291,1851,1736,115.0,4801,,,4743.0,863.0,1534.0,2831.0,-485.0,1027,,,,,,,12422,10309,24963,-14654,,10560,4771.0,2087.0,2684.0,,5789.0,20869,,2670.0,2670.0,,,,1397,1395.0,2.0,2.0,,,3369.0,,,3369.0,7436,6783.0,6768.0,15.0,15.0,,9620,,,,,,,9620,16403.0,23839.0,237.0,7980.0,,,-6727.0,7990.0,-518,8962.0,490.0,9452.0,33291.0,
03/31/2006,34313,1533,1456,77.0,6143,,,4652.0,842.0,1028.0,3281.0,-499.0,1054,,,,,,,13382,10278,25156,-14878,,10653,4837.0,2116.0,2721.0,813.0,5003.0,20931,,2536.0,2536.0,,,,2302,,,,,,3161.0,,,3161.0,7999,6689.0,,,,,9663,,,,,,,9663,16352.0,24351.0,237.0,8068.0,,,-6727.0,8408.0,-513,9473.0,489.0,9962.0,34313.0,
06/30/2006,34357,827,820,7.0,6875,,,4453.0,862.0,974.0,3128.0,-511.0,1047,,,,,,,13202,10379,25401,-15022,0.0,10776,4790.0,2115.0,2675.0,837.0,5149.0,21155,,2342.0,2342.0,,,,2408,,,,,,3233.0,,,3233.0,7983,6123.0,,,,,9571,,,,,,,9571,15694.0,23677.0,237.0,8135.0,,,-6727.0,9038.0,-488,10195.0,485.0,10680.0,34357.0,
09/30/2006,34180,724,718,6.0,6586,,,4809.0,896.0,1303.0,3137.0,-527.0,955,,,,,,,13074,10406,25596,-15190,0.0,10700,4745.0,2118.0,2627.0,855.0,5100.0,21106,,2401.0,2401.0,,,,3242,,,,,,3088.0,,,3088.0,8731,5509.0,,,,,9346,,,,,,,9346,14855.0,23586.0,237.0,7973.0,,,-6727.0,9097.0,-459,10121.0,473.0,10594.0,34180.0,
12/31/2006,31777,1893,1814,79.0,5198,,,4941.0,804.0,1616.0,3075.0,-554.0,838,,,,,,,12870,10498,25719,-15221,,8409,4587.0,2108.0,2479.0,,3822.0,18907,,2711.0,2711.0,,,,1517,1515.0,2.0,2.0,,,3712.0,,,3712.0,7940,6013.0,6001.0,12.0,12.0,,7961,,,,,,,7961,13974.0,21914.0,237.0,8100.0,,,-6727.0,9679.0,-1867,9422.0,441.0,9863.0,31777.0,
03/31/2007,32473,954,883,71.0,6813,,,4855.0,818.0,1206.0,3398.0,-567.0,910,,,,,,,13532,10425,25876,-15451,0.0,8516,4544.0,2108.0,2436.0,790.0,3182.0,18941,,2782.0,2782.0,,,,1590,,,,,,3442.0,,,3442.0,7814,6010.0,,,,,8031,,,,,,,8031,14041.0,21855.0,237.0,8375.0,,,-6727.0,10142.0,-1851,10176.0,442.0,10618.0,32473.0,
06/30/2007,32850,1089,987,102.0,7370,,,4481.0,934.0,1006.0,3109.0,-568.0,874,,,,,,,13814,10478,26053,-15575,0.0,8558,4489.0,2108.0,2381.0,802.0,3267.0,19036,,2539.0,2539.0,,,,2375,,,,,,3290.0,,,3290.0,8204,5664.0,,,,,7850,,,,,,,7850,13514.0,21718.0,237.0,8489.0,,,-6727.0,10516.0,-1825,10690.0,442.0,11132.0,32850.0,
09/30/2007,33915,1318,1209,109.0,6990,,,4963.0,1004.0,1458.0,3090.0,-589.0,860,,,,,,,14131,10568,26302,-15734,,9216,5014.0,2110.0,2904.0,791.0,3411.0,19784,,2873.0,2873.0,,,,3618,,,,,,3306.0,,,3306.0,9797,5367.0,,,,,8388,,,,,,,8388,13755.0,23552.0,237.0,8417.0,,,-6727.0,9772.0,-1781,9918.0,445.0,10363.0,33915.0,
12/31/2007,34131,1436,1305,131.0,5683,,,5278.0,1000.0,1865.0,3043.0,-630.0,763,,,,,,,13160,10860,26593,-15733,0.0,10111,4930.0,2074.0,2856.0,,5181.0,20971,,3172.0,3172.0,,,,1370,1367.0,3.0,3.0,,,3999.0,,,3999.0,8541,5955.0,5948.0,7.0,7.0,,8057,,,,,,,8057,14012.0,22553.0,237.0,8475.0,,,-6727.0,9945.0,-794,11136.0,442.0,11578.0,34131.0,
03/31/2008,36228,1127,1094,33.0,7645,,,5310.0,1053.0,1176.0,3748.0,-667.0,779,,,,,,,14861,10905,26941,-16036,,10462,4855.0,2074.0,2781.0,818.0,4789.0,21367,,3061.0,3061.0,,,,3196,,,,,,3537.0,,,3537.0,9794,5784.0,,,,,8085,,,,,,,8085,13869.0,23663.0,237.0,8516.0,,,-6727.0,10764.0,-668,12122.0,443.0,12565.0,36228.0,
06/30/2008,37594,1513,1303,210.0,8477,,,5021.0,1082.0,1112.0,3561.0,-734.0,725,,,,,,,15736,10922,27347,-16425,0.0,10936,4881.0,2085.0,2796.0,892.0,5163.0,21858,,2846.0,2846.0,,,,4432,,,,,,3358.0,,,3358.0,10636,5361.0,,,,,8253,,,,,,,8253,13614.0,24250.0,237.0,8633.0,,,-6727.0,11466.0,-706,12903.0,441.0,13344.0,37594.0,
09/30/2008,38128,2145,1993,152.0,7438,,,5635.0,1118.0,1684.0,3658.0,-825.0,844,,,,,,,16062,11083,27592,-16509,,10983,4834.0,2084.0,2750.0,939.0,5210.0,22066,,2942.0,2942.0,,,,2953,,,,,,3526.0,,,3526.0,9421,7402.0,,,,,8188,,,,,,,8188,15590.0,25011.0,237.0,8665.0,,,-6727.0,11458.0,-959,12674.0,443.0,13117.0,38128.0,
12/31/2008,36209,3704,3645,59.0,5140,,,5681.0,1199.0,2234.0,3156.0,-908.0,786,,,,,,,15311,11154,27954,-16800,0.0,9744,4845.0,2135.0,2710.0,844.0,4055.0,20898,,3128.0,3128.0,,,,2012,2009.0,3.0,3.0,,,4570.0,,,4570.0,9710,7638.0,7634.0,4.0,4.0,,11309,,,,,,,11309,18947.0,28657.0,237.0,8677.0,,,-6727.0,10456.0,-5518,7125.0,427.0,7552.0,36209.0,
03/31/2009,34888,2407,2386,21.0,6423,,,4615.0,935.0,1033.0,3535.0,-888.0,770,200.0,29.0,,,,0.0,14215,11164,28281,-17117,0.0,9509,4740.0,2128.0,2612.0,877.0,3863.0,20673,,5800.0,2300.0,155.0,,3345.0,1569,1569.0,,,,,233.0,,83.0,0.0,7602,8490.0,8490.0,,,,11153,,,,,,142.0,10928,19643.0,27245.0,237.0,8693.0,297.0,8396.0,-6727.0,10569.0,-5558,7214.0,429.0,7643.0,34888.0,
06/30/2009,35258,2613,2157,456.0,7327,,,3900.0,813.0,911.0,2999.0,-823.0,738,150.0,,,,,0.0,14578,11124,28519,-17395,0.0,9556,4768.0,2138.0,2630.0,892.0,3896.0,20680,,5624.0,2185.0,156.0,,3283.0,2803,2803.0,,,,,226.0,,66.0,0.0,8653,7556.0,7556.0,,,,11142,,,,,,148.0,10928,18698.0,27351.0,237.0,8738.0,297.0,8441.0,-6727.0,10611.0,-5385,7474.0,433.0,7907.0,35258.0,
09/30/2009,36168,3155,2249,906.0,7126,,,4392.0,811.0,1319.0,2972.0,-710.0,683,125.0,,,,,0.0,15356,11080,28670,-17590,0.0,9732,4720.0,2138.0,2582.0,991.0,4021.0,20812,,5837.0,2554.0,138.0,,3145.0,3525,3525.0,,,,,200.0,,54.0,0.0,9562,7545.0,7545.0,,,,10978,,,,,,148.0,10776,18523.0,28085.0,237.0,8760.0,297.0,8463.0,-6727.0,10644.0,-5267,7647.0,436.0,8083.0,36168.0,
12/31/2009,38185,6137,4021,2116.0,5030,,,5380.0,872.0,2231.0,2893.0,-616.0,741,129.0,128.0,,3240.0,,0.0,17288,11094,28915,-17821,,9803,4689.0,2137.0,2552.0,1014.0,732.0,20897,,7884.0,3542.0,154.0,,4188.0,1506,524.0,1.0,1.0,,981.0,0.0,0.0,,0.0,9390,9528.0,9521.0,7.0,7.0,,11616,,9761.0,9761.0,0.0,0.0,126.0,1729,21144.0,30534.0,237.0,8766.0,297.0,8469.0,-6727.0,10710.0,-5771,7215.0,436.0,7651.0,38185.0,
03/31/2010,37986,4510,2911,1599.0,7064,,,5062.0,853.0,1206.0,3622.0,-619.0,800,222.0,10.0,,,,0.0,17436,10960,29012,-18052,,9590,4636.0,2137.0,2499.0,1050.0,3894.0,20550,,7019.0,3179.0,432.0,,3408.0,1484,1484.0,,,,,93.0,,46.0,0.0,8596,9543.0,9543.0,,,,11424,,,,,,129.0,11249,20967.0,29563.0,237.0,8812.0,298.0,8514.0,-6727.0,11463.0,-5804,7981.0,442.0,8423.0,37986.0,
06/30/2010,37712,3959,2215,1744.0,8076,,,4581.0,865.0,1124.0,3192.0,-600.0,749,128.0,236.0,,,,0.0,17365,10910,29185,-18275,0.0,9437,4569.0,2134.0,2435.0,1047.0,3585.0,20347,,6713.0,2970.0,533.0,,3210.0,651,651.0,,,,,142.0,,31.0,0.0,7506,9577.0,9577.0,,,,11353,,,,,,125.0,11197,20930.0,28436.0,237.0,8867.0,298.0,8569.0,-6727.0,12245.0,-5796,8826.0,450.0,9276.0,37712.0,
09/30/2010,39918,5980,4088,1892.0,7498,,,5420.0,915.0,1862.0,3277.0,-634.0,691,127.0,114.0,,,,0.0,19589,10976,29443,-18467,,9353,4542.0,2135.0,2407.0,1108.0,3589.0,20329,,6805.0,3545.0,194.0,,3066.0,2211,2211.0,,,,,305.0,,18.0,0.0,9321,10175.0,10175.0,,,,10771,,,,,,132.0,10621,20946.0,30267.0,237.0,9062.0,299.0,8763.0,-6727.0,12235.0,-5610,9197.0,454.0,9651.0,39918.0,
12/31/2010,40410,6801,4263,2538.0,5635,,,5967.0,855.0,2564.0,3191.0,-643.0,656,122.0,153.0,,2772.0,,0.0,19059,11339,29967,-18628,0.0,10012,5321.0,2617.0,2704.0,1041.0,725.0,21351,,9124.0,4360.0,225.0,0.0,4539.0,133,128.0,1.0,1.0,,4.0,132.0,0.0,0.0,0.0,9389,10137.0,10133.0,4.0,4.0,,11141,0.0,9514.0,,,,115.0,1512,21278.0,30667.0,237.0,9528.0,301.0,9227.0,-6727.0,12030.0,-5790,9278.0,465.0,9743.0,40410.0,
03/31/2011,42600,4822,3796,1026.0,7936,,,5580.0,804.0,1602.0,3842.0,-668.0,2781,225.0,97.0,,,,1991.0,21119,11377,30246,-18869,,10104,5294.0,2617.0,2677.0,1081.0,3632.0,21481,,7784.0,3836.0,304.0,,3644.0,2137,2137.0,,,,,235.0,,,0.0,10156,10114.0,10114.0,,,,11051,,,,,,144.0,10907,21165.0,31321.0,237.0,10076.0,304.0,9772.0,-6727.0,12852.0,-5629,10809.0,470.0,11279.0,42600.0,
06/30/2011,47736,2482,2268,214.0,9368,,,6049.0,994.0,1716.0,4078.0,-739.0,804,166.0,172.0,,,,0.0,18703,13185,32331,-19146,,15848,11044.0,5550.0,5494.0,1084.0,3548.0,29033,,8123.0,3767.0,516.0,,3840.0,2336,2336.0,,,,,82.0,,,0.0,10541,12460.0,12460.0,,,,12233,,,,,,1174.0,11059,24693.0,35234.0,237.0,10283.0,305.0,9978.0,-6727.0,13683.0,-5453,12023.0,479.0,12502.0,47736.0,
09/30/2011,47794,2979,2750,229.0,8544,,,6413.0,1099.0,2368.0,3773.0,-827.0,859,154.0,301.0,,,,0.0,18795,13235,32597,-19362,0.0,15764,11043.0,5493.0,5550.0,1079.0,3341.0,28999,,7968.0,3981.0,520.0,,3467.0,3301,3301.0,,,,,101.0,,,0.0,11370,12200.0,12200.0,,,,12200,,,,,,1135.0,11065,24400.0,35770.0,237.0,10286.0,303.0,9983.0,-6727.0,13432.0,-5684,11544.0,480.0,12024.0,47794.0,
12/31/2011,48492,4019,3586,433.0,6022,,,7195.0,1262.0,2293.0,4541.0,-901.0,822,151.0,109.0,,4067.0,,0.0,18058,13412,32761,-19349,0.0,17022,10826.0,5413.0,5413.0,1117.0,903.0,30434,,10368.0,4816.0,255.0,0.0,5297.0,817,405.0,2.0,2.0,,410.0,0.0,0.0,0.0,0.0,11185,11736.0,11713.0,23.0,23.0,,16509,0.0,15508.0,,,,1001.0,0,28245.0,39430.0,237.0,10411.0,304.0,10107.0,-6727.0,13422.0,-8750,8593.0,469.0,9062.0,48492.0,
03/31/2012,50223,3601,3410,191.0,8626,,,6616.0,1239.0,1796.0,4497.0,-916.0,966,260.0,223.0,,4052.0,,0.0,19809,13395,33090,-19695,0.0,17019,10853.0,5443.0,5410.0,1121.0,770.0,30414,,8886.0,4180.0,585.0,,4121.0,3593,3593.0,,,,,57.0,,,0.0,12536,11232.0,11232.0,,,,16028,,,,,,1093.0,14935,27260.0,39796.0,237.0,10393.0,307.0,10086.0,-6727.0,14522.0,-8465,9960.0,467.0,10427.0,50223.0,
06/30/2012,50031,3556,3506,50.0,9476,,,6011.0,1234.0,1746.0,3927.0,-896.0,1083,151.0,282.0,,3822.0,,0.0,20126,13342,33304,-19962,0.0,16563,10576.0,5348.0,5228.0,1087.0,796.0,29905,,8706.0,3695.0,930.0,,4081.0,3696,3696.0,,,,,36.0,,,0.0,12438,11254.0,11254.0,,,,15694,,,,,,1051.0,14643,26948.0,39386.0,237.0,10799.0,305.0,10494.0,-6727.0,14975.0,-8743,10541.0,104.0,10645.0,50031.0,
09/30/2012,50607,3523,3418,105.0,7879,,,6752.0,1291.0,2820.0,3505.0,-864.0,4263,135.0,127.0,3157.0,3825.0,,0.0,22417,12528,31420,-18892,0.0,15662,9724.0,4579.0,5145.0,1098.0,888.0,28190,,8471.0,4154.0,644.0,,3673.0,4564,4564.0,,,,,1168.0,,,1010.0,14203,10502.0,10502.0,,,,15191,,,,,,1055.0,14136,25693.0,39896.0,237.0,10900.0,306.0,10594.0,-6727.0,14581.0,-8385,10606.0,105.0,10711.0,50607.0,
12/31/2012,49859,4407,4284,123.0,5452,,,7565.0,1313.0,2407.0,4449.0,-604.0,3893,204.0,150.0,3076.0,3936.0,,0.0,21317,12741,31826,-19085,0.0,15801,9742.0,4616.0,5126.0,1163.0,810.0,28542,,11106.0,4853.0,343.0,0.0,5910.0,1275,20.0,3.0,3.0,,1252.0,1171.0,0.0,0.0,997.0,13552,10465.0,10444.0,21.0,21.0,,15543,353.0,12574.0,,,,856.0,1760,26008.0,39560.0,237.0,10961.0,306.0,10655.0,-6727.0,14383.0,-8646,10208.0,91.0,10299.0,49859.0,
03/31/2013,50564,6581,6555,26.0,7950,,,6916.0,1298.0,1867.0,4370.0,-619.0,967,268.0,263.0,,3957.0,,0.0,22414,12590,31823,-19233,0.0,15560,9513.0,4543.0,4970.0,1169.0,658.0,28150,,9466.0,3957.0,945.0,,4564.0,2006,2006.0,,,,,51.0,,,0.0,11523,11279.0,11279.0,,,,15447,,,,,,921.0,14526,26726.0,38249.0,237.0,10696.0,302.0,10394.0,-6727.0,16709.0,-8662,12253.0,62.0,12315.0,50564.0,
06/30/2013,51349,6896,6685,211.0,8985,,,6373.0,1315.0,1828.0,3841.0,-611.0,983,196.0,40.0,,3864.0,,0.0,23237,12698,32192,-19494,0.0,15414,9503.0,4561.0,4942.0,1143.0,864.0,28112,,8497.0,3613.0,796.0,,4088.0,3315,3315.0,,,,,78.0,,,0.0,11890,10765.0,10765.0,,,,15339,,,,,,896.0,14443,26104.0,37994.0,237.0,11173.0,303.0,10870.0,-6727.0,17156.0,-8544,13295.0,60.0,13355.0,51349.0,
09/30/2013,51990,7189,7005,184.0,8295,,,7031.0,1323.0,2443.0,3857.0,-592.0,1028,185.0,129.0,,3739.0,,0.0,23543,12908,32687,-19779,0.0,15539,9853.0,4718.0,5135.0,1054.0,764.0,28447,,8059.0,3876.0,442.0,,3741.0,4204,4204.0,,,,,133.0,,,0.0,12396,10755.0,10755.0,,,,14874,,,,,,973.0,13901,25629.0,38025.0,237.0,11311.0,304.0,11007.0,-6727.0,17020.0,-8000,13841.0,124.0,13965.0,51990.0,
12/31/2013,51499,9086,8941,145.0,6047,,,8042.0,1360.0,2576.0,4645.0,-539.0,1209,206.0,121.0,228.0,2353.0,,0.0,24384,12993,32431,-19438,0.0,14122,9809.0,4713.0,5096.0,1011.0,828.0,27115,,11541.0,5180.0,247.0,0.0,6114.0,1721,44.0,3.0,3.0,,1674.0,105.0,0.0,0.0,0.0,13367,10741.0,10721.0,20.0,20.0,,11105,374.0,8105.0,,,,926.0,1700,21846.0,35213.0,237.0,11376.0,304.0,11072.0,-6727.0,16784.0,-5441,16229.0,57.0,16286.0,51499.0,
03/31/2014,47800,3849,3782,67.0,8040,,,7610.0,1248.0,2110.0,4794.0,-542.0,1335,338.0,72.0,202.0,2394.0,,0.0,20834,13003,32629,-19626,0.0,13963,9673.0,4698.0,4975.0,987.0,837.0,26966,,8971.0,3905.0,347.0,,4719.0,2019,2019.0,,,,,95.0,,,0.0,11085,9298.0,9298.0,,,,10975,,,,,,943.0,10032,20273.0,31358.0,237.0,11181.0,301.0,10880.0,-6727.0,17091.0,-5402,16380.0,62.0,16442.0,47800.0,
06/30/2014,48314,4347,4174,173.0,8896,,,6940.0,1160.0,2107.0,4210.0,-537.0,1146,252.0,60.0,,2420.0,,0.0,21329,13035,32996,-19961,0.0,13950,9571.0,4686.0,4885.0,982.0,917.0,26985,,8477.0,3542.0,763.0,,4172.0,2506,2506.0,,,,,56.0,,,0.0,11039,9292.0,9292.0,,,,10855,,,,,,924.0,9931,20147.0,31186.0,237.0,11469.0,301.0,11168.0,-6762.0,17572.0,-5453,17063.0,65.0,17128.0,48314.0,
09/30/2014,47911,4548,3982,566.0,8347,,,7295.0,1144.0,2515.0,4150.0,-514.0,978,239.0,301.0,,2263.0,,0.0,21168,13114,32879,-19765,0.0,13629,9332.0,4602.0,4730.0,998.0,735.0,26743,,8199.0,3757.0,528.0,,3914.0,3889,3889.0,,,,,49.0,,,0.0,12137,9279.0,9279.0,,,,10513,,,,,,877.0,9636,19792.0,31929.0,237.0,11289.0,298.0,10991.0,-6727.0,16913.0,-5789,15923.0,59.0,15982.0,47911.0,
12/31/2014,50490,7034,6910,124.0,5238,,,6787.0,739.0,2277.0,4011.0,-240.0,7023,264.0,255.0,,3734.0,2467.0,0.0,26082,10008,23773,-13765,0.0,14400,8901.0,4332.0,4569.0,762.0,748.0,24408,,9858.0,3786.0,534.0,0.0,5538.0,1422,17.0,0.0,0.0,,1405.0,2525.0,0.0,,0.0,13805,9233.0,9221.0,12.0,12.0,,14074,1943.0,11672.0,,,,459.0,0,23307.0,37112.0,237.0,11472.0,298.0,11174.0,-6727.0,16894.0,-8556,13320.0,58.0,13378.0,50490.0,
03/31/2015,46175,3747,3622,125.0,7651,,,7051.0,1138.0,1877.0,4529.0,-493.0,870,366.0,69.0,,3244.0,,0.0,19319,12873,32930,-20057,0.0,13983,8672.0,4365.0,4307.0,929.0,1069.0,26856,,8980.0,3706.0,654.0,,4620.0,1621,1621.0,,,,,131.0,,,0.0,10732,8763.0,8763.0,,,,13818,,,,,,489.0,13329,22581.0,33313.0,237.0,11609.0,298.0,11311.0,-6727.0,17405.0,-9722,12802.0,60.0,12862.0,46175.0,
06/30/2015,48106,5302,4746,556.0,8308,,,6514.0,1128.0,1853.0,4006.0,-473.0,921,296.0,,,3223.0,,0.0,21045,13061,33317,-20256,0.0,14000,8741.0,4455.0,4286.0,895.0,1141.0,27061,,8002.0,3399.0,613.0,,3990.0,647,647.0,,,,,56.0,,,0.0,8705,12088.0,12088.0,,,,13660,,,,,,472.0,13188,25748.0,34453.0,237.0,11687.0,298.0,11389.0,-6727.0,17838.0,-9446,13589.0,64.0,13653.0,48106.0,
09/30/2015,40302,3730,3324,406.0,6656,,,5888.0,749.0,2083.0,3260.0,-204.0,772,287.0,132.0,,3252.0,0.0,0.0,17046,9769,24066,-14297,0.0,13487,8463.0,4249.0,4214.0,712.0,928.0,23256,,6489.0,2830.0,569.0,,3090.0,1781,1781.0,,,,,84.0,,,0.0,8354,8155.0,8155.0,,,,12571,,,,,,359.0,12212,20726.0,29080.0,237.0,10967.0,289.0,10678.0,-6727.0,15441.0,-8911,11007.0,215.0,11222.0,40302.0,
12/31/2015,41166,6206,5300,906.0,3662,3361.0,301.0,6140.0,783.0,1780.0,3779.0,-202.0,1379,398.0,7.0,,3799.0,,907.0,17387,9784,24130,-14346,0.0,13995,8392.0,4248.0,4144.0,688.0,1109.0,23779,,9067.0,3398.0,173.0,,5496.0,1165,49.0,1.0,1.0,,1115.0,84.0,0.0,0.0,0.0,10316,7642.0,7630.0,12.0,12.0,,13008,1589.0,11002.0,,,,417.0,0,20650.0,30966.0,237.0,11369.0,288.0,11081.0,-6727.0,14510.0,-9396,9993.0,207.0,10200.0,41166.0,
03/31/2016,41801,4789,4166,623.0,6917,,,5482.0,721.0,1559.0,3401.0,-199.0,677,677.0,51.0,,4142.0,,0.0,17865,9649,24270,-14621,0.0,14287,8327.0,4256.0,4071.0,689.0,1078.0,23936,,7191.0,2773.0,171.0,,4247.0,1625,1625.0,,,,,139.0,,,0.0,8955,8126.0,8126.0,,,,14122,,,,,,422.0,13700,22248.0,31203.0,237.0,11428.0,288.0,11140.0,-6727.0,15400.0,-9951,10387.0,211.0,10598.0,41801.0,
06/30/2016,42266,5153,4411,742.0,7656,,,4756.0,701.0,1478.0,2774.0,-197.0,526,526.0,,,4474.0,,0.0,18091,9624,24323,-14699,0.0,14551,8212.0,4245.0,3967.0,695.0,1170.0,24175,,5823.0,2244.0,164.0,,3415.0,2295,2295.0,,,,,260.0,,,0.0,8378,8119.0,8119.0,,,,15228,,,,,,410.0,14818,23347.0,31725.0,237.0,11500.0,288.0,11212.0,-6727.0,16084.0,-10757,10337.0,204.0,10541.0,42266.0,
09/30/2016,42481,5532,4452,1080.0,7073,,,5168.0,677.0,1922.0,2761.0,-192.0,525,525.0,33.0,,4466.0,,0.0,18298,9654,24549,-14895,0.0,14529,8054.0,4267.0,3787.0,687.0,1289.0,24183,,5788.0,2627.0,109.0,,3052.0,3242,3242.0,,,,,80.0,,,0.0,9110,8114.0,8114.0,,,,15303,,,,,,376.0,14927,23417.0,32527.0,237.0,11501.0,287.0,11214.0,-6727.0,15407.0,-10667,9751.0,203.0,9954.0,42481.0,
12/31/2016,39964,5910,4548,1362.0,3807,3601.0,206.0,5350.0,292.0,1877.0,2961.0,220.0,2446,,52.0,789.0,3308.0,,1475.0,17513,8851,23015,-14164,0.0,13600,7833.0,4169.0,3664.0,649.0,1758.0,22451,,8308.0,3678.0,101.0,,4529.0,429,425.0,,,,4.0,195.0,0.0,0.0,74.0,8932,8107.0,8098.0,,,,12729,,10646.0,,,,425.0,1658,20836.0,29768.0,237.0,11475.0,285.0,11190.0,-6727.0,14924.0,-9911,9998.0,198.0,10196.0,39964.0,
03/31/2017,41850,5917,3347,2570.0,7272,,,5287.0,669.0,1838.0,2953.0,-173.0,574,574.0,60.0,,3382.0,,0.0,19050,9084,24078,-14994,0.0,13716,7796.0,4172.0,3624.0,687.0,1791.0,22800,,7456.0,3038.0,185.0,,4233.0,2279,2279.0,,,,,75.0,,,0.0,9810,8099.0,8099.0,,,,12306,,,,,,395.0,11911,20405.0,30215.0,237.0,11640.0,286.0,11354.0,-6727.0,15704.0,-9423,11431.0,204.0,11635.0,41850.0,
06/30/2017,43206,6228,3254,2974.0,8562,,,4856.0,713.0,1424.0,2880.0,-161.0,476,476.0,44.0,,2841.0,,0.0,20122,8959,24253,-15294,0.0,14125,7855.0,4232.0,3623.0,698.0,2687.0,23084,,6841.0,2756.0,153.0,,3932.0,3473,3473.0,,,,,128.0,,,0.0,10442,10086.0,10086.0,,,,10084,,,,,,366.0,9718,20170.0,30612.0,237.0,11710.0,286.0,11424.0,-6727.0,16233.0,-9065,12388.0,206.0,12594.0,43206.0,
09/30/2017,115820,6580,4754,1826.0,7898,,,8783.0,388.0,3310.0,4132.0,953.0,3542,,,3171.0,491.0,,358.0,26803,11902,12023,-121,0.0,77115,72881.0,45213.0,27668.0,1675.0,2068.0,89017,,6305.0,3694.0,134.0,,2477.0,5920,5920.0,,,,,108.0,,,76.0,12333,9815.0,9815.0,,,,19434,,8015.0,,,,9443.0,1976,29249.0,41582.0,239.0,74967.0,261.0,74706.0,0.0,-295.0,-833,74078.0,160.0,74238.0,115820.0,
12/31/2017,112964,8202,7250,952.0,3976,3777.0,199.0,8633.0,371.0,2769.0,4500.0,993.0,2244,,0.0,0.0,480.0,,2235.0,23055,12435,12878,-443,0.0,77474,73315.0,45589.0,27726.0,1595.0,2084.0,89909,,9317.0,4831.0,149.0,,4337.0,2779,2779.0,,,,,47.0,0.0,0.0,0.0,12143,10291.0,10291.0,,,,15598,0.0,7787.0,,,,5836.0,1975,25889.0,38032.0,239.0,74727.0,260.50143,74466.49857,0.0,175.0,-381,74760.0,172.0,74932.0,112964.0,
03/31/2018,111888,5341,5095,246.0,7147,,,7901.0,450.0,1502.0,5058.0,891.0,1287,,9.0,,330.0,,1287.0,21676,12362,13131,-769,0.0,77850,73939.0,46446.0,27493.0,1479.0,2093.0,90212,,8509.0,4293.0,133.0,,4083.0,3406,3406.0,,,,,50.0,,,0.0,11965,9747.0,9747.0,,,,15210,,7650.0,,,,5669.0,1891,24957.0,36922.0,239.0,74783.0,,,,-881.0,591,74732.0,234.0,74966.0,111888.0,
06/30/2018,116129,2745,2696,49.0,7331,,,4362.0,209.0,1401.0,2611.0,141.0,10203,0.0,,,419.0,,10203.0,24641,4463,7061,-2598,0.0,87025,26930.0,14612.0,12318.0,195.0,59481.0,91488,,6523.0,3629.0,249.0,,2645.0,3715,3715.0,,,,,2811.0,,,2767.0,13049,9736.0,9736.0,,,,15641,,6474.0,,,,1387.0,7780,25377.0,38426.0,0.0,0.0,0.0,0.0,,,77444,77444.0,259.0,77703.0,116129.0,
09/30/2018,43251,2097,1980,117.0,6590,,,4403.0,417.0,1691.0,2295.0,0.0,1043,,68.0,0.0,270.0,0.0,975.0,14133,4503,7689,-3186,0.0,24615,21835.0,10168.0,11667.0,70.0,2372.0,29118,,5438.0,3014.0,126.0,,2298.0,3604,3604.0,,,,,0.0,0.0,0.0,0.0,9042,4153.0,4153.0,,,,8865,,5405.0,,,,1328.0,2132,13018.0,22060.0,239.0,23963.0,260.3418,23702.6582,0.0,-351.0,-2667,21184.0,7.0,21191.0,43251.0,
