Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/01/2016,604.0,1483.0,458.0,343.0,69.0,-81.0,355.0,-1680.0,-1680.0,0.0,348.0,-507.0,29.0,29.0,0.0,-536.0,-536.0,0.0,0.0,0.0,0.0,-397.0,291.0,-688.0,0.0,1252.0,399.0,-1505.0,1747.0,24.0,763.0,-739.0,133.0,88.0,1439.0,,,
07/01/2016,3216.0,3448.0,445.0,-1163.0,50.0,-97.0,-1116.0,486.0,486.0,0.0,-1285.0,-537.0,12.0,12.0,0.0,-549.0,-549.0,0.0,0.0,0.0,0.0,94.0,129.0,-35.0,0.0,-842.0,-1182.0,-1512.0,1450.0,-1072.0,345.0,-1417.0,-48.0,150.0,899.0,,,
09/30/2016,2903.0,1046.0,420.0,1151.0,72.0,80.0,999.0,286.0,286.0,0.0,-396.0,-425.0,51.0,51.0,0.0,-476.0,-476.0,0.0,0.0,0.0,0.0,281.0,325.0,-44.0,0.0,-252.0,-1000.0,-11.0,-936.0,-166.0,187.0,-353.0,113.0,-7.0,1500.0,,,
12/31/2016,2073.0,550.0,464.0,372.0,67.0,-758.0,1063.0,687.0,687.0,0.0,334.0,-643.0,58.0,58.0,0.0,-701.0,-701.0,0.0,0.0,0.0,0.0,219.0,290.0,-71.0,0.0,758.0,-4762.0,-3015.0,-595.0,-1033.0,139.0,-1172.0,-119.0,-237.0,-2592.0,,,
03/31/2017,764.0,1182.0,328.0,788.0,55.0,-34.0,767.0,-1534.0,-1534.0,0.0,1331.0,-424.0,18.0,18.0,0.0,-442.0,-442.0,0.0,0.0,0.0,0.0,1093.0,1430.0,-337.0,0.0,662.0,1535.0,0.0,2481.0,-910.0,394.0,-1304.0,-36.0,202.0,3832.0,,,
06/30/2017,2578.0,1371.0,301.0,840.0,59.0,654.0,127.0,66.0,66.0,0.0,-2532.0,-366.0,24.0,24.0,0.0,-390.0,-390.0,0.0,0.0,0.0,0.0,442.0,625.0,-183.0,0.0,-2608.0,-738.0,-1584.0,1195.0,-370.0,523.0,-893.0,21.0,-3.0,-695.0,,,
09/29/2017,2520.0,1447.0,297.0,759.0,53.0,-14.0,720.0,17.0,17.0,0.0,1472.0,-332.0,30.0,30.0,0.0,-362.0,-362.0,0.0,0.0,0.0,0.0,717.0,735.0,-18.0,0.0,1087.0,-3296.0,-1581.0,-1201.0,-487.0,403.0,-890.0,-27.0,111.0,807.0,,,
12/31/2017,1179.0,-2752.0,334.0,-1296.0,52.0,-1858.0,510.0,4893.0,4893.0,0.0,-2583.0,-520.0,36.0,36.0,0.0,-556.0,-556.0,0.0,0.0,0.0,0.0,-2240.0,1031.0,-3271.0,0.0,177.0,-4948.0,-3155.0,-1420.0,-320.0,275.0,-595.0,-53.0,-69.0,-6421.0,,,
03/30/2018,613.0,1368.0,270.0,360.0,72.0,-199.0,487.0,-1312.0,-1312.0,62.0,1321.0,-231.0,43.0,43.0,0.0,-274.0,-274.0,0.0,0.0,0.0,0.0,-180.0,3.0,-183.0,0.0,1732.0,346.0,0.0,806.0,-450.0,477.0,-927.0,-72.0,95.0,2375.0,,,
06/29/2018,2073.0,2316.0,283.0,282.0,49.0,223.0,10.0,-881.0,-881.0,-62.0,933.0,-395.0,20.0,20.0,0.0,-415.0,-415.0,0.0,0.0,0.0,0.0,266.0,301.0,-35.0,0.0,1062.0,-3181.0,-1662.0,-1192.0,-267.0,123.0,-390.0,2.0,-204.0,-379.0,,,
09/28/2018,3004.0,1880.0,254.0,310.0,46.0,21.0,243.0,523.0,523.0,-55.0,1854.0,-401.0,35.0,35.0,0.0,-436.0,-436.0,0.0,0.0,0.0,0.0,670.0,1050.0,-380.0,0.0,1498.0,-3548.0,-1659.0,-1720.0,12.0,291.0,-279.0,-126.0,-140.0,1170.0,,,
12/31/2018,1937.0,870.0,279.0,390.0,58.0,-439.0,771.0,398.0,398.0,0.0,1819.0,-349.0,151.0,151.0,0.0,-500.0,-500.0,0.0,0.0,0.0,0.0,-657.0,8.0,-665.0,0.0,2825.0,-3964.0,-3323.0,-822.0,269.0,585.0,-316.0,-88.0,-13.0,-221.0,,,
03/29/2019,788.0,1678.0,275.0,317.0,40.0,122.0,155.0,-1482.0,-1482.0,0.0,-4459.0,-361.0,27.0,27.0,0.0,-388.0,-388.0,0.0,0.0,0.0,0.0,-5061.0,261.0,-5322.0,0.0,963.0,421.0,0.0,604.0,-207.0,190.0,-397.0,24.0,56.0,-3194.0,,,
06/28/2019,3802.0,2607.0,327.0,-170.0,48.0,-273.0,55.0,818.0,818.0,-81.0,-1047.0,-386.0,17.0,17.0,0.0,-403.0,-403.0,0.0,0.0,0.0,0.0,-148.0,4.0,-152.0,0.0,-513.0,-1798.0,-1709.0,-223.0,120.0,412.0,-292.0,95.0,-54.0,903.0,,,
09/27/2019,3270.0,2593.0,363.0,-577.0,58.0,-436.0,-199.0,781.0,781.0,0.0,1461.0,462.0,901.0,901.0,0.0,-439.0,-439.0,0.0,-4113.0,0.0,-4113.0,-22.0,1.0,-23.0,0.0,5134.0,-3905.0,-1710.0,-2358.0,320.0,321.0,-1.0,-157.0,-77.0,749.0,,,
12/31/2019,2700.0,2042.0,400.0,13.0,55.0,46.0,-88.0,245.0,245.0,0.0,-75.0,-814.0,34.0,34.0,0.0,-848.0,-848.0,0.0,0.0,0.0,0.0,-3.0,163.0,-166.0,0.0,742.0,-3667.0,-3426.0,277.0,-324.0,89.0,-413.0,-194.0,3.0,-1039.0,,,
03/27/2020,556.0,2775.0,367.0,-817.0,-5.0,-122.0,-690.0,-1769.0,-1769.0,0.0,-1084.0,-236.0,91.0,91.0,0.0,-327.0,-327.0,0.0,0.0,0.0,0.0,-948.0,36.0,-984.0,0.0,100.0,7810.0,0.0,7730.0,319.0,413.0,-94.0,-239.0,-54.0,7228.0,,,
06/26/2020,2230.0,1779.0,381.0,27.0,41.0,83.0,-97.0,43.0,43.0,0.0,-5883.0,-188.0,21.0,21.0,0.0,-209.0,-209.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,-5705.0,235.0,-1761.0,1741.0,32.0,32.0,0.0,223.0,-118.0,-3536.0,,,
