Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2011,13597.6,13597.6,-9965.2,9965.2,3632.4,0.0,-3242.3,3242.3,3242.3,0.0,390.1,-80.4,,84.3,,,-3.9,309.7,-92.9,216.8,0.0,0.0,0.0,216.8,-1.2,215.6,0.0,0.0,215.6,178.29,-37.31,321.6,0.67,0.67,0.554384,321.6,0.67,0.67,0.553986,
03/24/2012,10003.0,10003.0,-7317.8,7317.8,2685.2,0.0,-2495.4,2495.4,2495.4,0.0,189.8,-66.1,,71.4,,,-5.3,123.7,-42.1,81.6,8.6,8.6,0.0,73.0,-0.1,72.9,0.0,0.0,72.9,85.075,3.575,271.4,0.27,0.3,0.313467,271.9,0.27,0.3,0.313148,
06/16/2012,8833.9,8833.9,-6542.3,6542.3,2291.6,0.0,-2152.9,2152.9,2152.9,0.0,138.7,-69.2,,73.1,,,-3.9,69.5,-21.9,47.6,-75.3,-75.3,0.0,122.9,-0.2,122.7,0.0,0.0,122.7,57.865,10.465,239.5,0.51,0.2,0.241608,239.8,0.51,0.2,0.241608,
09/08/2012,8525.8,8525.8,-6294.6,6294.6,2231.2,0.0,-2114.5,2114.5,2114.5,0.0,116.7,-60.6,,70.9,,,-10.3,56.1,-17.1,39.0,-118.0,-118.0,0.0,157.0,0.0,157.0,0.0,-1.1,155.9,35.235,-2.665,237.1,0.66,0.16,0.148608,237.1,0.66,0.16,0.148608,
12/29/2012,9297.9,9297.9,-6858.5,6858.5,2439.4,0.0,-2171.3,2171.3,2171.3,0.0,268.1,-77.8,,85.7,,,-7.9,190.3,-57.9,132.4,-112.9,-112.9,0.0,245.3,-1.3,244.0,0.0,-2.4,241.6,77.48,-51.22,234.2,1.031597,0.54953,0.330828,234.8,1.028961,0.548126,0.329983,
03/23/2013,8176.9,8176.9,-6010.6,6010.6,2166.3,0.0,-2051.8,2051.8,2051.8,0.0,114.5,-57.9,,64.2,0.0,,-6.3,56.6,3.1,59.7,-59.1,-59.1,0.0,118.8,0.1,118.9,0.0,0.0,118.9,67.925,8.125,237.4,0.5,0.25,0.28612,238.6,0.49,0.25,0.284053,
06/15/2013,8149.8,8149.8,-6004.0,6004.0,2145.8,0.0,-2006.3,2006.3,2006.3,0.0,139.5,-47.5,,64.1,0.0,,-16.6,92.0,-29.5,62.5,53.7,53.7,0.0,8.8,-0.4,8.4,0.0,0.0,8.4,70.475,8.375,238.7,0.03,0.26,0.295245,240.8,0.03,0.26,0.29478,
09/07/2013,8099.2,8099.2,-6004.5,6004.5,2094.7,0.0,-2006.8,2006.8,2006.8,0.0,87.9,-58.1,,63.3,0.0,,-5.2,29.8,-6.4,23.4,-43.0,-43.0,0.0,66.4,-0.6,65.8,0.0,-0.7,65.1,39.445,17.345,239.4,0.27,0.1,0.164766,241.6,0.27,0.1,0.164766,
12/28/2013,10814.8,10814.8,-7949.0,7949.0,2865.8,0.0,-2655.8,2655.8,2655.8,0.0,210.0,-136.4,,81.4,57.4,,-2.4,73.6,-2.0,71.6,-3256.6,-3256.6,0.0,3328.2,-13.8,3314.4,0.0,-32.1,3282.3,-5.345,-31.045,240.9,13.625156,0.106683,-0.022188,245.1,13.391677,0.104855,-0.022188,
03/22/2014,8260.9,8260.9,-6100.7,6100.7,2160.2,0.0,-2105.5,2105.5,2105.5,0.0,54.7,-190.5,,51.2,153.1,,-13.8,-135.8,52.7,-83.1,15.5,15.5,0.0,-98.6,1.0,-97.6,0.0,0.0,-97.6,-74.725,7.375,228.1,-0.43,-0.36,-0.327598,228.1,-0.43,-0.36,-0.327668,
06/14/2014,8307.2,8307.2,-6167.7,6167.7,2139.5,0.0,-2015.3,2015.3,2015.3,0.0,124.2,1.7,,51.9,-45.3,,-8.3,125.9,-45.3,80.6,-15.0,-15.0,0.0,95.6,0.0,95.6,0.0,0.0,95.6,97.174,16.574,228.8,0.41,0.35,0.424712,230.7,0.41,0.34,0.411842,
09/06/2014,8307.9,8307.9,-6133.3,6133.3,2174.6,0.0,-2080.4,2080.4,2080.4,0.0,94.2,-126.5,,45.0,3.8,,77.7,-32.3,11.1,-21.2,-30.7,-30.7,0.0,9.5,0.0,9.5,0.0,-0.5,9.0,36.155,57.855,229.0,0.04,-0.09,0.157882,230.9,0.04,-0.09,0.157882,
01/03/2015,11677.4,11677.4,-8418.8,8418.8,3258.6,0.0,-3000.3,3000.3,3000.3,0.0,258.3,-56.7,,50.8,19.6,,-13.7,201.6,-74.0,127.6,21.6,21.6,0.0,106.0,0.0,106.0,0.0,-0.4,105.6,122.163,-5.037,229.4,0.460331,0.55449,0.532533,231.6,0.455959,0.549223,0.527474,
03/31/2015,8470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.09,
06/30/2015,8654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,0.32,
