Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,12071.0,601.0,427.0,174.0,389.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.0,0.0,,536.0,2394.0,3400.0,292.0,760.0,-468.0,163.0,163.0,8216.0,7615.0,5538.0,2077.0,65.0,8671.0,,332.0,,332.0,0.0,0.0,0.0,0.0,,,2648.0,215.0,0.0,626.0,2434.0,2980.0,2297.0,2297.0,0.0,0.0,,1000.0,0.0,139.0,20.0,3297.0,6277.0,0.0,3224.0,2.0,3222.0,-41.0,3292.0,-682.0,5793.0,1.0,5794.0,12071.0,
03/31/2015,12242.0,522.0,328.0,194.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,2822.0,,,652.0,2799.0,3688.0,281.0,,,0.0,,8273.0,7345.0,5350.0,1995.0,276.0,8554.0,,278.0,,278.0,0.0,0.0,,,,,3162.0,210.0,,587.0,2850.0,3440.0,2306.0,2306.0,,,,951.0,,,154.0,3257.0,6697.0,0.0,3245.0,2.0,3243.0,-94.0,3276.0,-883.0,5544.0,1.0,5545.0,12242.0,
06/30/2015,12104.0,588.0,324.0,264.0,323.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,2535.0,,,621.0,2500.0,3446.0,295.0,,,0.0,,8363.0,7478.0,5469.0,2009.0,264.0,8658.0,,282.0,,282.0,0.0,0.0,,,,,2864.0,208.0,,606.0,2603.0,3146.0,2281.0,2281.0,,,,961.0,,,147.0,3242.0,6388.0,0.0,3259.0,2.0,3257.0,-104.0,3366.0,-805.0,5716.0,0.0,5716.0,12104.0,
09/30/2015,11770.0,483.0,290.0,193.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,2399.0,,,630.0,2350.0,3160.0,305.0,,,0.0,,8305.0,7402.0,5421.0,1981.0,273.0,8610.0,,294.0,,294.0,20.0,0.0,,,,20.0,2538.0,211.0,,603.0,2347.0,2852.0,2415.0,2415.0,,,,957.0,,,143.0,3372.0,6224.0,0.0,3034.0,2.0,3032.0,-105.0,3464.0,-847.0,5546.0,0.0,5546.0,11770.0,
12/31/2015,11861.0,502.0,301.0,201.0,316.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.0,0.0,,643.0,2442.0,3260.0,323.0,830.0,-507.0,204.0,204.0,8074.0,7354.0,5395.0,1959.0,77.0,8601.0,,329.0,,329.0,0.0,0.0,0.0,0.0,,,2591.0,200.0,0.0,626.0,2464.0,2920.0,2364.0,2364.0,0.0,0.0,,968.0,0.0,134.0,8.0,3332.0,6252.0,0.0,3013.0,2.0,3011.0,-111.0,3571.0,-864.0,5609.0,0.0,5609.0,11861.0,
03/31/2016,13717.0,590.0,331.0,259.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.0,,,604.0,3799.0,4722.0,326.0,,,0.0,,8669.0,7748.0,5663.0,2085.0,317.0,8995.0,,262.0,,262.0,0.0,0.0,,,,,4167.0,188.0,,678.0,3863.0,4429.0,2565.0,2565.0,,,,1026.0,,,160.0,3591.0,8020.0,0.0,3003.0,2.0,3001.0,-145.0,3609.0,-770.0,5697.0,0.0,5697.0,13717.0,
06/30/2016,15099.0,599.0,344.0,255.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,,,741.0,3598.0,4596.0,332.0,,,0.0,,10171.0,9007.0,6236.0,2771.0,423.0,10503.0,,301.0,,301.0,0.0,0.0,,,,,4007.0,199.0,,983.0,3732.0,4308.0,3731.0,3731.0,0.0,0.0,,1343.0,,,161.0,5074.0,9382.0,0.0,3064.0,2.0,3062.0,-166.0,3679.0,-860.0,5717.0,0.0,5717.0,15099.0,
09/30/2016,14808.0,495.0,257.0,238.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.0,,,768.0,3502.0,4346.0,342.0,,,0.0,,10120.0,8946.0,6206.0,2740.0,406.0,10462.0,,334.0,,334.0,20.0,0.0,,,,20.0,3700.0,191.0,,980.0,3484.0,4054.0,3689.0,3689.0,,,,1311.0,,,140.0,5000.0,9054.0,0.0,3048.0,2.0,3046.0,-169.0,3757.0,-882.0,5754.0,0.0,5754.0,14808.0,
12/31/2016,14150.0,648.0,403.0,245.0,429.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,3483.0,0.0,,717.0,3483.0,4560.0,362.0,919.0,-557.0,0.0,,9228.0,8121.0,6027.0,2094.0,390.0,9590.0,,382.0,,382.0,0.0,0.0,0.0,0.0,,,3700.0,171.0,0.0,720.0,3538.0,4082.0,3603.0,3603.0,0.0,0.0,,1035.0,0.0,133.0,11.0,4638.0,8720.0,0.0,3106.0,2.0,3104.0,-176.0,3479.0,-979.0,5430.0,0.0,5430.0,14150.0,
03/31/2017,14490.0,606.0,386.0,220.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,3874.0,,,617.0,3874.0,4947.0,376.0,,,0.0,,9167.0,8152.0,6070.0,2082.0,398.0,9543.0,,297.0,,297.0,379.0,0.0,,,,379.0,4210.0,164.0,,702.0,3888.0,4886.0,3242.0,3242.0,,,,1010.0,,,144.0,4252.0,9138.0,0.0,2965.0,2.0,2963.0,-221.0,3595.0,-987.0,5352.0,0.0,5352.0,14490.0,
06/30/2017,14660.0,656.0,356.0,300.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.0,,,633.0,3873.0,4921.0,384.0,,,0.0,,9355.0,8339.0,6237.0,2102.0,383.0,9739.0,,273.0,,273.0,494.0,0.0,,,,494.0,4220.0,161.0,,732.0,3955.0,4987.0,3058.0,3058.0,0.0,0.0,,1039.0,,,146.0,4097.0,9084.0,0.0,3013.0,2.0,3011.0,-225.0,3680.0,-892.0,5576.0,0.0,5576.0,14660.0,
09/30/2017,15072.0,737.0,530.0,207.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,4389.0,,300.0,611.0,4089.0,5446.0,379.0,,,0.0,,9247.0,8245.0,6154.0,2091.0,391.0,9626.0,,298.0,,298.0,154.0,0.0,,,,154.0,4271.0,157.0,,726.0,4067.0,4723.0,3589.0,3589.0,,,,1025.0,,,142.0,4614.0,9337.0,0.0,3014.0,2.0,3012.0,-241.0,3787.0,-825.0,5735.0,0.0,5735.0,15072.0,
12/31/2017,15354.0,612.0,377.0,235.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,4542.0,0.0,,,4542.0,5510.0,400.0,905.0,-505.0,283.0,283.0,9161.0,9054.0,6586.0,2468.0,107.0,9844.0,,347.0,,347.0,480.0,0.0,0.0,0.0,,480.0,4407.0,126.0,0.0,225.0,4246.0,5234.0,3727.0,3727.0,0.0,0.0,,513.0,0.0,139.0,23.0,4240.0,9474.0,0.0,3026.0,2.0,3024.0,-247.0,3963.0,-862.0,5880.0,0.0,5880.0,15354.0,
03/31/2018,15790.0,629.0,405.0,224.0,486.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,4523.0,,268.0,416.0,4255.0,5638.0,384.0,,,0.0,,9768.0,8981.0,6549.0,2432.0,371.0,10152.0,,348.0,,348.0,960.0,0.0,,,,960.0,4728.0,106.0,,600.0,4342.0,6036.0,3155.0,3155.0,,,,874.0,,,168.0,4029.0,10065.0,0.0,2928.0,2.0,2926.0,-289.0,4146.0,-1060.0,5725.0,0.0,5725.0,15790.0,
06/30/2018,15141.0,635.0,322.0,313.0,405.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,4687.0,,,0.0,4687.0,5727.0,370.0,,,138.0,138.0,8906.0,8706.0,6355.0,2351.0,200.0,9414.0,,289.0,,289.0,768.0,0.0,,,,768.0,5091.0,96.0,,99.0,4781.0,6148.0,3079.0,3079.0,,,,372.0,,,177.0,3451.0,9599.0,0.0,2714.0,2.0,2712.0,-290.0,4309.0,-1191.0,5542.0,0.0,5542.0,15141.0,
09/30/2018,14855.0,526.0,324.0,202.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,4575.0,,0.0,,4575.0,5457.0,371.0,,,207.0,207.0,8820.0,8697.0,6369.0,2328.0,123.0,9398.0,,321.0,,321.0,808.0,0.0,,,,808.0,4670.0,91.0,,137.0,4413.0,5799.0,3072.0,3072.0,,,,382.0,,,154.0,3454.0,9253.0,0.0,2678.0,2.0,2676.0,-291.0,4399.0,-1184.0,5602.0,0.0,5602.0,14855.0,
12/31/2018,15700.0,813.0,545.0,268.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,5173.0,0.0,,,5173.0,6370.0,376.0,800.0,-424.0,179.0,179.0,8775.0,8663.0,6363.0,2300.0,112.0,9330.0,,397.0,,397.0,875.0,0.0,0.0,0.0,,875.0,5298.0,,,501.0,5104.0,6570.0,2956.0,2956.0,0.0,0.0,,725.0,,94.0,130.0,3681.0,10251.0,0.0,2718.0,2.0,2716.0,-297.0,4558.0,-1530.0,5449.0,0.0,5449.0,15700.0,
03/31/2019,14503.0,692.0,472.0,220.0,447.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.0,,,,3597.0,4736.0,748.0,,,197.0,197.0,8822.0,8709.0,6380.0,2329.0,113.0,9767.0,,336.0,,336.0,1300.0,1239.0,61.0,,61.0,,4005.0,,,503.0,3603.0,5641.0,2685.0,2328.0,357.0,,357.0,683.0,,,180.0,3368.0,9009.0,0.0,2734.0,2.0,2732.0,-327.0,4732.0,-1645.0,5494.0,0.0,5494.0,14503.0,
06/30/2019,14132.0,592.0,333.0,259.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,3356.0,,,,3356.0,4363.0,755.0,,,215.0,215.0,8799.0,8686.0,6382.0,2304.0,113.0,9769.0,,268.0,,268.0,528.0,467.0,61.0,,61.0,,3735.0,,,510.0,3402.0,4531.0,3365.0,3022.0,343.0,,343.0,685.0,,,175.0,4050.0,8581.0,0.0,2715.0,2.0,2713.0,-327.0,4829.0,-1666.0,5551.0,0.0,5551.0,14132.0,
09/30/2019,12980.0,505.0,304.0,201.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,2595.0,,,,2595.0,3499.0,707.0,,,208.0,208.0,8566.0,8471.0,6232.0,2239.0,95.0,9481.0,,283.0,,283.0,599.0,539.0,60.0,,60.0,,2810.0,,,525.0,2543.0,3692.0,3266.0,2939.0,327.0,,327.0,695.0,,,170.0,3961.0,7653.0,0.0,2587.0,2.0,2585.0,-328.0,4901.0,-1833.0,5327.0,0.0,5327.0,12980.0,
12/31/2019,13924.0,623.0,332.0,291.0,422.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,3245.0,0.0,,,3245.0,4290.0,730.0,1216.0,-486.0,205.0,205.0,8699.0,8615.0,6366.0,2249.0,84.0,9634.0,,336.0,,336.0,452.0,0.0,61.0,0.0,61.0,391.0,3439.0,,0.0,552.0,3228.0,4227.0,3327.0,2996.0,331.0,0.0,331.0,731.0,0.0,110.0,69.0,4058.0,8285.0,0.0,2634.0,2.0,2632.0,-336.0,5027.0,-1686.0,5639.0,0.0,5639.0,13924.0,
03/31/2020,14798.0,1269.0,1015.0,254.0,568.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,3433.0,,,,3433.0,5270.0,699.0,,,216.0,216.0,8613.0,8526.0,6326.0,2200.0,87.0,9528.0,,315.0,,315.0,1204.0,1146.0,58.0,,58.0,,3931.0,,,507.0,3515.0,5450.0,3272.0,2962.0,310.0,,310.0,678.0,,,171.0,3950.0,9400.0,0.0,2529.0,2.0,2527.0,-364.0,5140.0,-1909.0,5396.0,2.0,5398.0,14798.0,
06/30/2020,14559.0,917.0,711.0,206.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,3276.0,,,,3276.0,4716.0,801.0,,,250.0,250.0,8792.0,8703.0,6488.0,2215.0,89.0,9843.0,,278.0,,278.0,57.0,0.0,57.0,,57.0,,3914.0,,,506.0,3563.0,4249.0,3885.0,3482.0,403.0,,403.0,668.0,,,162.0,4553.0,8802.0,0.0,2535.0,2.0,2533.0,-367.0,5301.0,-1715.0,5754.0,3.0,5757.0,14559.0,
