Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2016,403.0,393.0,10.0,-315.0,315.0,88.0,0.0,-102.0,23.0,23.0,52.0,27.0,-14.0,-36.0,34.0,34.0,0.0,,,3.0,2.0,-50.0,10.0,-37.0,0.0,0.0,0.0,-37.0,0.0,-37.0,0.0,0.0,-37.0,-24.0,13.0,129.0,-0.29,-0.29,-0.186047,129.0,-0.29,-0.29,-0.189225,
06/30/2016,418.0,400.0,18.0,-314.0,314.0,104.0,0.0,-99.0,25.0,25.0,51.0,23.0,5.0,-32.0,34.0,34.0,0.0,,,1.0,-2.0,-27.0,-3.0,-29.0,0.0,0.0,0.0,-29.0,0.0,-29.0,0.0,0.0,-29.0,-28.0,1.0,129.0,-0.23,-0.23,-0.217054,129.0,-0.23,-0.23,-0.222248,
09/30/2016,421.0,405.0,16.0,-272.0,272.0,149.0,0.0,-89.0,23.0,23.0,52.0,14.0,60.0,7.0,35.0,35.0,0.0,,,-1.0,-42.0,67.0,-12.0,54.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,54.0,0.7,-53.3,129.0,0.42,0.42,0.005426,131.0,0.42,0.42,0.005426,
12/31/2016,457.0,420.0,37.0,-276.0,276.0,181.0,0.0,-123.0,29.0,29.0,52.0,42.0,58.0,-34.0,35.0,35.0,0.0,,,1.0,-1.0,24.0,-17.0,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,129.0,0.06,0.06,0.06,131.0,0.06,0.06,0.06,
03/31/2017,404.0,388.0,16.0,-332.0,332.0,72.0,0.0,-95.0,28.0,28.0,52.0,15.0,-23.0,-40.0,36.0,36.0,0.0,,,0.0,4.0,-63.0,11.0,-52.0,0.0,0.0,0.0,-52.0,0.0,-52.0,0.0,0.0,-52.0,-48.0,4.0,129.0,-0.41,-0.41,-0.372093,129.0,-0.41,-0.41,-0.378992,
06/30/2017,424.0,400.0,24.0,-319.0,319.0,105.0,0.0,-85.0,30.0,30.0,52.0,3.0,20.0,-50.0,35.0,35.0,0.0,,,1.0,15.0,-30.0,-8.0,-37.0,0.0,0.0,0.0,-37.0,0.0,-37.0,0.0,0.0,-37.0,-28.384615,8.615385,130.0,-0.28,-0.28,-0.218343,130.0,-0.28,-0.28,-0.218343,
09/30/2017,429.0,409.0,20.0,-301.0,301.0,128.0,0.0,-82.0,24.0,24.0,51.0,7.0,46.0,-33.0,35.0,35.0,0.0,,,0.0,-2.0,13.0,2.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,15.0,15.65,0.65,130.0,0.11,0.11,0.120385,131.0,0.11,0.11,0.114962,
12/31/2017,495.0,450.0,45.0,-319.0,319.0,176.0,0.0,-118.0,30.0,30.0,60.0,28.0,58.0,-113.0,41.0,41.0,0.0,,,0.0,72.0,-55.0,186.0,131.0,0.0,0.0,0.0,131.0,0.0,131.0,0.0,0.0,131.0,20.986301,-110.013699,130.0,1.02,1.02,0.161433,131.0,1.01,1.01,0.161433,
03/31/2018,458.0,436.0,22.0,-345.0,345.0,113.0,0.0,-93.0,31.0,31.0,54.0,8.0,20.0,172.0,38.0,38.0,0.0,,,0.0,-210.0,192.0,9.0,201.0,0.0,0.0,0.0,201.0,0.0,201.0,0.0,0.0,201.0,-10.42007,-211.42007,130.0,1.55,1.55,-0.080154,132.0,1.53,1.53,-0.080154,
06/30/2018,454.0,434.0,20.0,-334.0,334.0,120.0,0.0,-138.0,27.0,27.0,55.0,56.0,-18.0,-37.0,36.0,36.0,0.0,,,2.0,1.0,-55.0,22.0,-31.0,0.0,0.0,0.0,-31.0,0.0,-31.0,0.0,0.0,-31.0,-1.21,29.79,130.0,-0.24,-0.24,-0.009308,130.0,-0.24,-0.24,-0.010846,
09/30/2018,456.0,436.0,20.0,-308.0,308.0,148.0,0.0,-146.0,27.0,27.0,53.0,66.0,2.0,-33.0,37.0,37.0,0.0,,,1.0,-4.0,-31.0,3.0,-27.0,0.0,0.0,0.0,-27.0,0.0,-27.0,0.0,0.0,-27.0,-3.997236,23.002764,130.0,-0.21,-0.21,-0.030748,130.0,-0.21,-0.21,-0.033056,
12/31/2018,500.0,459.0,41.0,-334.0,334.0,166.0,0.0,-107.0,30.0,30.0,56.0,21.0,59.0,-48.0,34.0,34.0,0.0,,,3.0,14.0,11.0,-5.0,9.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,3.21,-5.79,130.0,0.07,0.07,0.024692,133.0,0.07,0.07,0.024692,
03/31/2019,453.0,442.0,11.0,-359.0,359.0,94.0,0.0,-102.0,30.0,30.0,55.0,17.0,-8.0,15.0,36.0,36.0,0.0,,,0.0,-51.0,7.0,-2.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,-32.13,-37.13,131.0,0.04,0.04,-0.245267,133.0,0.03,0.03,-0.249173,
06/30/2019,467.0,452.0,15.0,-354.0,354.0,113.0,0.0,-103.0,31.0,31.0,55.0,17.0,10.0,-37.0,36.0,36.0,0.0,,,3.0,1.0,-27.0,3.0,-21.0,0.0,0.0,0.0,-21.0,0.0,-21.0,0.0,0.0,-21.0,-17.05,3.95,131.0,-0.16,-0.16,-0.130153,131.0,-0.16,-0.16,-0.130153,
09/30/2019,465.0,453.0,12.0,-325.0,325.0,140.0,0.0,-96.0,29.0,29.0,55.0,12.0,44.0,-36.0,36.0,36.0,0.0,,,1.0,0.0,8.0,5.0,14.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,14.0,17.16,3.16,131.0,0.11,0.11,0.130992,133.0,0.1,0.1,0.123759,
12/31/2019,485.0,461.0,24.0,-333.0,333.0,152.0,0.0,-108.0,32.0,32.0,56.0,20.0,44.0,-35.0,35.0,35.0,0.0,,,2.0,0.0,9.0,1.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,13.58,1.58,131.0,0.09,0.09,0.103664,134.0,0.09,0.09,0.101791,
03/31/2020,468.0,456.0,12.0,-361.0,361.0,107.0,0.0,-119.0,30.0,30.0,58.0,31.0,-12.0,-26.0,34.0,34.0,0.0,,,1.0,-8.0,-38.0,5.0,-32.0,0.0,0.0,0.0,-32.0,0.0,-32.0,0.0,0.0,-32.0,-23.31,8.69,131.0,-0.24,-0.24,-0.177939,131.0,-0.24,-0.24,-0.177939,
06/30/2020,454.0,442.0,12.0,-340.0,340.0,114.0,0.0,-96.0,26.0,26.0,56.0,14.0,18.0,-35.0,34.0,34.0,0.0,,,0.0,1.0,-17.0,4.0,-13.0,0.0,0.0,0.0,-13.0,0.0,-13.0,0.0,0.0,-13.0,-10.63,2.37,132.0,-0.1,-0.1,-0.08053,132.0,-0.1,-0.1,-0.082045,
09/30/2020,465.714,,,,,121.21603992,,,,,,,26.667,,,,,,,,,-6.373,,-5.104,,,,,,-5.104,,,-5.104,-5.13,,,-0.042,-0.042,-0.028,,-0.042,-0.042,-0.028,
12/31/2020,484.857,,,,,129.9901617,,,,,,,28.367,,,,,,,,,-6.226,,-1.008,,,,,,-1.008,,,-1.008,-2.51,,,-0.008,-0.008,-0.005,,-0.008,-0.008,-0.005,
