Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2015,693.5,504.2,51.0,,29.4,-10.1,30.8,8.7,108.9,11.1,-66.4,,164.2,0.0,128.2,-13.8,0.0,-13.8,119.7,296.5,-176.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,-552.2,-93.0,-280.6,0.0,0.0,137.4,-418.0,-215.4,2.9,-218.3,0.0,36.8,34.6,304.1,187.7,21.0,
09/30/2015,437.1,358.2,50.4,,128.2,4.5,30.6,93.1,-99.7,17.7,-131.3,,13.9,0.0,13.6,-25.3,0.0,-25.3,55.0,258.6,-203.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.1,-515.0,-92.4,-42.9,0.0,0.0,117.8,-160.7,-485.5,14.8,-500.3,0.0,105.8,6.0,-58.3,218.9,20.5,
12/31/2015,295.2,447.8,45.4,,37.3,-1.8,34.0,5.1,-235.3,1.5,-102.5,,-134.3,0.0,89.2,-19.1,0.0,-19.1,120.5,233.0,-112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.2,-463.4,-91.5,-26.9,0.0,0.0,1.0,-27.9,-381.5,0.0,-381.5,0.0,36.5,-20.1,-99.1,48.1,8.8,
03/31/2016,134.5,360.4,37.9,,29.2,-18.4,36.0,11.6,-293.0,-209.5,12.4,,-95.9,0.0,9.8,-16.0,0.0,-16.0,24.7,256.1,-231.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-403.1,-107.4,51.0,0.0,0.0,111.7,-60.7,-339.0,13.8,-352.8,0.0,-7.7,30.8,-228.0,385.6,27.0,
06/30/2016,735.7,446.4,40.3,,54.9,12.2,33.4,9.3,194.1,101.9,-28.8,,121.0,0.0,-7.0,-26.3,0.0,-26.3,20.1,223.6,-203.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-509.2,-105.7,-27.2,0.0,0.0,11.2,-38.4,-322.4,0.3,-322.7,0.0,-53.9,-18.4,201.1,126.6,17.8,
09/30/2016,562.3,472.1,38.7,,16.9,17.0,28.1,-28.2,34.6,226.5,-123.4,,-68.5,0.0,100.2,-36.2,0.0,-36.2,136.1,289.8,-153.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-425.0,-104.1,-90.7,0.0,0.0,3.3,-94.0,-240.2,10.8,-251.0,0.0,10.0,3.7,241.2,198.3,22.1,
12/31/2016,446.2,440.2,37.0,,-47.0,-6.9,30.4,-70.5,16.0,27.9,43.9,,-55.8,0.0,-58.4,-12.8,0.0,-12.8,9.7,107.9,-98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.3,-365.9,-103.4,-2.8,0.0,0.0,0.4,-3.2,-256.2,0.0,-256.2,0.0,-3.5,-50.4,-28.5,33.1,13.4,
03/31/2017,168.1,420.7,37.9,,32.0,7.5,32.6,-8.1,-322.5,37.9,-329.5,,-30.9,0.0,132.5,-16.0,0.0,-16.0,133.3,415.3,-282.0,0.0,0.0,0.0,0.0,-14.0,0.0,-14.0,0.0,29.2,4.1,-113.3,-63.7,0.0,0.0,0.3,-64.0,-155.6,13.3,-168.9,0.0,336.7,16.6,321.3,298.9,17.4,
06/30/2017,344.0,410.6,40.3,,22.1,-7.6,32.0,-2.3,-129.0,2.8,-243.3,,111.5,0.0,-9.2,-20.2,0.0,-20.2,11.7,82.0,-70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-369.0,-112.7,-243.6,0.0,0.0,0.0,-243.6,-175.2,0.3,-175.5,0.0,162.5,44.3,10.1,188.5,13.9,
09/30/2017,177.1,425.2,37.1,,39.9,15.8,28.4,-4.3,-325.1,61.6,-346.1,,-40.6,0.0,-12.9,-25.9,0.0,-25.9,71.1,107.8,-36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.1,-225.2,-111.8,-331.5,0.0,0.0,19.9,-351.4,-152.5,12.2,-164.7,0.0,370.6,24.5,-36.5,191.7,8.8,
12/31/2017,320.4,-583.3,40.0,,-42.8,-49.9,30.3,-23.2,906.5,18.6,-187.1,,1075.0,0.0,-58.6,-19.2,0.0,-19.2,5.7,56.4,-50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.1,-51.1,-111.7,-2.4,0.0,0.0,0.0,-2.4,-198.7,0.0,-198.7,0.0,261.7,10.0,220.7,38.8,14.8,
03/31/2018,576.6,443.2,38.8,,17.1,5.2,30.9,-19.0,77.5,-53.2,158.8,,-28.1,0.0,-122.9,-24.5,0.0,-24.5,-85.5,86.7,-172.2,0.0,0.0,0.0,0.0,-9.7,0.0,-9.7,0.0,-3.2,-713.4,-127.3,-17.2,0.0,0.0,0.0,-17.2,-407.1,13.6,-420.7,0.0,-161.8,15.8,-243.9,272.1,10.8,
06/30/2018,565.1,402.0,40.4,,48.9,-9.8,28.3,30.4,73.8,-131.1,,,204.9,0.0,-36.1,-27.8,0.0,-27.8,107.3,180.5,-73.2,0.0,,,,-87.3,0.0,-87.3,0.0,-28.3,-2552.2,-1755.9,-361.9,0.0,0.0,0.0,-361.9,-436.6,0.0,-436.6,0.0,2.2,-40.3,-2063.5,104.0,10.5,
09/30/2018,767.6,502.5,37.9,,432.3,3.9,28.3,400.1,-205.1,126.5,28.3,,-359.9,0.0,-72.8,-35.0,0.0,-35.0,-100.0,35.9,-135.9,,0.0,0.0,0.0,10.2,0.0,10.2,0.0,52.0,-445.0,-122.0,-1.4,0.0,0.0,0.0,-1.4,-357.6,11.2,-368.8,0.0,36.0,-2.2,247.6,108.6,5.1,
12/31/2018,254.8,275.9,42.0,,122.1,11.5,31.2,79.4,-185.2,105.8,-150.9,,-140.1,0.0,-99.1,-25.7,0.0,-25.7,-42.5,73.2,-115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.9,-396.1,-122.3,1.7,0.0,0.0,1.7,0.0,-321.4,0.0,-321.4,0.0,45.9,-11.3,-251.7,35.8,6.5,
03/31/2019,189.4,367.5,39.6,,-32.4,-4.0,28.2,-56.6,-185.3,22.6,-89.4,,-118.5,0.0,-635.1,-46.5,0.0,-46.5,71.4,,,0.0,0.0,0.0,0.0,-684.2,0.0,-684.2,0.0,24.2,-266.7,-133.1,0.0,0.0,0.0,0.0,0.0,-135.2,12.8,-148.0,0.0,1.6,-0.5,-712.9,267.5,5.0,
06/30/2019,-274.9,245.9,45.9,,31.3,-9.0,28.7,11.6,-598.0,-12.2,,,-585.8,0.0,-274.6,-130.4,0.0,-130.4,-96.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.2,360.8,-132.1,-2.2,0.0,0.0,0.0,-2.2,-120.4,0.0,-120.4,0.0,615.5,0.3,-188.4,111.6,6.7,
09/30/2019,32.3,306.4,51.7,,-1436.8,0.2,23.4,-1460.4,1111.0,26.3,,,1084.7,0.0,-68.3,-31.1,0.0,-31.1,16.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.6,261.5,-131.1,18.6,0.0,0.0,19.9,-1.3,-154.2,10.5,-164.7,0.0,528.2,-25.5,200.0,105.9,11.5,
12/31/2019,31.7,350.5,47.1,,3.5,13.7,28.0,-38.2,-369.4,-25.7,-268.5,,-75.2,0.0,-29.6,-25.7,0.0,-25.7,-0.3,87.6,-87.9,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-2.6,-9.3,-130.6,49.4,0.0,0.0,49.6,-0.2,-121.4,0.0,-121.4,0.0,193.3,25.9,18.7,20.6,1.1,
03/31/2020,109.3,79.1,44.6,,223.4,-5.1,29.8,198.7,-237.8,76.1,-91.4,,-222.5,0.0,35.7,-47.8,0.0,-47.8,-113.6,122.3,-235.9,0.0,0.0,0.0,0.0,-18.8,0.0,-18.8,0.0,215.9,-54.8,-134.6,20.5,0.0,0.0,20.5,0.0,-53.9,12.1,-66.0,0.0,113.2,-30.7,59.5,237.6,10.6,
06/30/2020,505.6,290.4,40.8,,-19.0,-43.1,29.1,-5.0,193.4,273.1,-256.3,,176.6,0.0,263.0,-11.8,0.0,-11.8,6.3,424.8,-418.5,-57.4,-57.4,0.0,0.0,-62.0,0.0,-62.0,0.0,387.9,160.5,-133.9,135.4,0.0,0.0,136.6,-1.2,-0.9,0.0,-0.9,0.0,159.9,11.0,940.1,8.6,2.0,
