Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2013,-587.0,539.0,338.0,6.0,130.0,-44.0,212.0,-38.0,-1600.0,-2080.0,,480.0,0.0,-4663.0,-237.0,0.0,-237.0,-445.0,8420.0,450.0,7970.0,0.0,-8865.0,-3.0,-8835.0,-27.0,-3646.0,-1506.0,-2140.0,0.0,-2.0,0.0,-2.0,0.0,-333.0,4377.0,-201.0,-472.0,-1341.0,-89.0,1065.0,-107.0,-223.0,98.0,-321.0,5219.0,54.0,29.0,-844.0,100.0,61.0,
03/31/2014,-1055.0,674.0,333.0,-18.0,-91.0,-27.0,-52.0,-12.0,-1953.0,229.0,,-2182.0,0.0,7401.0,-201.0,0.0,-201.0,-1048.0,11631.0,423.0,11208.0,0.0,-12679.0,-4.0,-12499.0,-176.0,8727.0,-2539.0,11062.0,204.0,-1.0,0.0,-1.0,0.0,-76.0,-6717.0,-186.0,2716.0,1046.0,287.0,2087.0,-704.0,-318.0,57.0,-375.0,-8910.0,-19.0,3.0,-368.0,79.0,97.0,
06/30/2014,3440.0,577.0,313.0,-12.0,-78.0,-16.0,-49.0,-13.0,2640.0,798.0,,1842.0,0.0,-33719.0,-179.0,0.0,-179.0,-3842.0,16212.0,550.0,15662.0,0.0,-20054.0,-453.0,-19572.0,-29.0,-29823.0,-5204.0,-24637.0,18.0,40.0,64.0,-24.0,0.0,85.0,30352.0,-220.0,665.0,420.0,366.0,1496.0,-1617.0,-339.0,92.0,-431.0,30148.0,98.0,8.0,81.0,330.0,72.0,
09/30/2014,913.0,1083.0,330.0,-19.0,-443.0,-22.0,-409.0,-12.0,-38.0,127.0,,-165.0,0.0,15659.0,370.0,585.0,-215.0,-12318.0,8749.0,525.0,8224.0,0.0,-21067.0,-1675.0,-19357.0,-35.0,24073.0,1683.0,22353.0,37.0,0.0,0.0,0.0,0.0,3534.0,-16224.0,-209.0,3050.0,2886.0,-614.0,1378.0,-600.0,-284.0,147.0,-431.0,-18796.0,15.0,-111.0,237.0,247.0,122.0,
12/31/2014,1186.0,233.0,316.0,1.0,-410.0,-32.0,-343.0,-35.0,1046.0,1482.0,,-436.0,0.0,-1016.0,-196.0,0.0,-196.0,-4138.0,14914.0,489.0,14425.0,0.0,-19052.0,-1366.0,-17673.0,-13.0,1977.0,-1844.0,3768.0,53.0,-3.0,0.0,-3.0,0.0,1344.0,418.0,-218.0,1213.0,,,,,-332.0,100.0,-432.0,-195.0,-50.0,-28.0,560.0,851.0,53.0,
03/31/2015,-71.0,779.0,340.0,2.0,-141.0,-21.0,-107.0,-13.0,-1051.0,283.0,0.0,-1334.0,0.0,-9945.0,-162.0,0.0,-162.0,-7345.0,14989.0,486.0,14490.0,13.0,-22334.0,-10575.0,-11759.0,0.0,-3782.0,-3333.0,-547.0,98.0,-9.0,0.0,-9.0,0.0,1353.0,10236.0,-205.0,-2778.0,778.0,-3550.0,1999.0,-2005.0,-313.0,87.0,-400.0,13456.0,76.0,-23.0,197.0,1407.0,134.0,
06/30/2015,2705.0,853.0,368.0,-6.0,63.0,-19.0,94.0,-12.0,1427.0,12.0,,1415.0,0.0,-8105.0,-137.0,13.0,-150.0,2476.0,13964.0,1319.0,12421.0,224.0,-11488.0,-2238.0,-9250.0,0.0,-9535.0,-687.0,-9066.0,218.0,0.0,0.0,0.0,0.0,-909.0,6593.0,-214.0,2207.0,91.0,2101.0,793.0,-778.0,288.0,1122.0,-834.0,4265.0,47.0,-7.0,1186.0,133.0,25.0,
09/30/2015,1290.0,833.0,376.0,1.0,-266.0,-23.0,-166.0,-77.0,346.0,216.0,,130.0,0.0,17802.0,-112.0,3.0,-115.0,2503.0,10021.0,1804.0,8087.0,130.0,-7518.0,-1732.0,-5786.0,0.0,14531.0,-217.0,14748.0,0.0,17.0,17.0,0.0,0.0,863.0,-19344.0,-204.0,-305.0,186.0,-1196.0,1398.0,-693.0,-626.0,64.0,-690.0,-18226.0,17.0,72.0,-180.0,99.0,126.0,
12/31/2015,142.0,693.0,373.0,163.0,177.0,-20.0,226.0,-29.0,-1264.0,-925.0,-381.0,42.0,0.0,-19539.0,-190.0,0.0,-190.0,209.0,8714.0,,,,-8505.0,-1515.0,-6990.0,0.0,-21834.0,-378.0,-21502.0,46.0,0.0,0.0,0.0,0.0,2276.0,17700.0,-242.0,6061.0,-336.0,6178.0,796.0,-577.0,-362.0,69.0,-431.0,12395.0,-152.0,0.0,-1697.0,277.0,10.0,
03/31/2016,1794.0,817.0,364.0,10.0,-40.0,-20.0,-10.0,-10.0,643.0,1624.0,57.0,-1038.0,0.0,20080.0,-148.0,0.0,-148.0,2016.0,10274.0,2810.0,7414.0,50.0,-8258.0,-1240.0,-7018.0,0.0,18400.0,1942.0,16290.0,168.0,0.0,0.0,0.0,0.0,-188.0,-24487.0,-199.0,-49.0,102.0,-199.0,1248.0,-1200.0,-529.0,48.0,-577.0,-23675.0,-35.0,4.0,-2609.0,108.0,170.0,
06/30/2016,-332.0,873.0,384.0,-9.0,-313.0,-21.0,-289.0,-3.0,-1267.0,290.0,52.0,-1609.0,0.0,5616.0,-201.0,,-201.0,791.0,9271.0,,,,-8480.0,-925.0,-7506.0,-49.0,4721.0,-3022.0,7741.0,2.0,-38.0,0.0,-38.0,0.0,343.0,-3219.0,-232.0,-5981.0,-832.0,-7192.0,2293.0,-250.0,-438.0,71.0,-509.0,3410.0,22.0,-184.0,1881.0,141.0,71.0,
09/30/2016,95.0,987.0,370.0,-19.0,-12.0,-25.0,17.0,-4.0,-1231.0,-234.0,343.0,-1340.0,0.0,-4638.0,-81.0,65.0,-146.0,-2228.0,6751.0,1830.0,4921.0,0.0,-8979.0,-2004.0,-6967.0,-8.0,-1936.0,-1804.0,-134.0,2.0,1.0,1.0,0.0,0.0,-394.0,3528.0,-219.0,1293.0,-13.0,441.0,1868.0,-1003.0,556.0,1020.0,-464.0,1887.0,11.0,163.0,-852.0,641.0,130.0,
12/31/2016,4689.0,870.0,384.0,7.0,58.0,-7.0,156.0,-91.0,3370.0,-158.0,29.0,3499.0,0.0,30145.0,-330.0,0.0,-330.0,1562.0,10102.0,2135.0,7967.0,0.0,-8540.0,-2504.0,-5979.0,-57.0,29118.0,1401.0,27716.0,1.0,0.0,0.0,0.0,0.0,-205.0,-34872.0,-250.0,2314.0,-168.0,1937.0,1045.0,-500.0,-532.0,316.0,-848.0,-36360.0,-44.0,-97.0,-135.0,427.0,35.0,
03/31/2017,-1224.0,922.0,347.0,-5.0,115.0,-10.0,130.0,-5.0,-2603.0,-751.0,,-1852.0,0.0,-2777.0,-286.0,0.0,-286.0,-389.0,8017.0,3536.0,4409.0,72.0,-8406.0,-2896.0,-5510.0,0.0,-2592.0,3618.0,-6282.0,72.0,0.0,0.0,0.0,0.0,490.0,4032.0,-243.0,6194.0,2854.0,1160.0,2476.0,-296.0,-727.0,152.0,-879.0,-1201.0,9.0,36.0,67.0,101.0,211.0,
06/30/2017,-612.0,975.0,346.0,-7.0,-9.0,0.0,-6.0,-3.0,-1917.0,918.0,,-2835.0,0.0,-10891.0,-436.0,0.0,-436.0,-2112.0,7568.0,,,,-9680.0,-1598.0,-8059.0,-23.0,-8126.0,-965.0,-7453.0,292.0,0.0,0.0,0.0,0.0,-217.0,11041.0,-248.0,-357.0,-1352.0,-215.0,1710.0,-500.0,-388.0,118.0,-506.0,12013.0,21.0,77.0,-385.0,121.0,174.0,
09/30/2017,5212.0,1018.0,351.0,-6.0,125.0,-19.0,148.0,-4.0,3724.0,-233.0,,3957.0,0.0,167.0,-211.0,0.0,-211.0,-261.0,6557.0,,,,-6818.0,-1384.0,-5405.0,-29.0,854.0,2630.0,-1781.0,5.0,0.0,0.0,0.0,0.0,-215.0,-3844.0,-288.0,3296.0,1176.0,-620.0,2740.0,0.0,-513.0,137.0,-650.0,-6353.0,14.0,44.0,1579.0,113.0,336.0,
12/31/2017,1291.0,1175.0,430.0,-6.0,-215.0,26.0,-139.0,-102.0,-93.0,-628.0,,535.0,0.0,-19204.0,-264.0,0.0,-264.0,-1953.0,7747.0,,,,-9700.0,-2451.0,-7177.0,-72.0,-16698.0,-2489.0,-14232.0,23.0,0.0,0.0,0.0,0.0,-289.0,15549.0,-297.0,3847.0,,,,,-593.0,58.0,-651.0,12610.0,-18.0,32.0,-2332.0,183.0,312.0,
03/31/2018,-852.0,1171.0,335.0,-5.0,62.0,49.0,16.0,-3.0,-2415.0,-2214.0,,-201.0,0.0,-1430.0,-173.0,0.0,-173.0,1267.0,11712.0,4479.0,7221.0,12.0,-10445.0,-1688.0,-8757.0,0.0,-2107.0,752.0,-2860.0,1.0,84.0,84.0,0.0,0.0,-501.0,971.0,-282.0,6107.0,849.0,6437.0,221.0,-1400.0,-576.0,68.0,-644.0,-4283.0,5.0,50.0,-1261.0,170.0,483.0,
06/30/2018,2420.0,1103.0,342.0,-3.0,-263.0,-1.0,-246.0,-16.0,1241.0,1752.0,,-511.0,0.0,16644.0,-332.0,0.0,-332.0,-1607.0,8442.0,3155.0,5284.0,3.0,-10049.0,-1256.0,-8793.0,0.0,18441.0,2947.0,15489.0,5.0,0.0,0.0,0.0,0.0,142.0,-17806.0,-293.0,-8902.0,-2467.0,-8400.0,2770.0,-805.0,-629.0,22.0,-651.0,-7987.0,5.0,-110.0,1148.0,323.0,563.0,
09/30/2018,1244.0,1111.0,334.0,-3.0,-199.0,0.0,-171.0,-28.0,1.0,-820.0,,821.0,0.0,2803.0,-314.0,0.0,-314.0,137.0,6570.0,1702.0,4829.0,39.0,-6433.0,-1085.0,-5348.0,0.0,2761.0,3528.0,-1018.0,251.0,-61.0,-84.0,23.0,0.0,280.0,-4721.0,-319.0,-5426.0,-2209.0,-3042.0,1153.0,-1328.0,-588.0,14.0,-602.0,1590.0,22.0,3.0,-671.0,361.0,749.0,
12/31/2018,3184.0,881.0,328.0,0.0,-132.0,0.0,-124.0,-8.0,2107.0,708.0,,1399.0,0.0,-14718.0,-266.0,23.0,-289.0,-1508.0,9024.0,1327.0,7692.0,5.0,-10532.0,-1026.0,-9506.0,0.0,-12931.0,-2607.0,-10330.0,6.0,61.0,84.0,-23.0,0.0,-74.0,13458.0,-327.0,7389.0,2258.0,4085.0,1163.0,-117.0,-1356.0,16.0,-1372.0,7806.0,-54.0,-15.0,1909.0,304.0,916.0,
03/31/2019,-949.0,946.0,302.0,7.0,-46.0,-1.0,-28.0,-17.0,-2158.0,-57.0,,-2101.0,0.0,20810.0,-264.0,,-264.0,3435.0,13732.0,1414.0,12315.0,3.0,-10297.0,-1403.0,-8894.0,0.0,17210.0,3010.0,14149.0,51.0,0.0,0.0,0.0,0.0,429.0,-19837.0,-306.0,-2867.0,420.0,-2482.0,695.0,-1500.0,-511.0,44.0,-555.0,-16146.0,-7.0,11.0,35.0,103.0,1122.0,
06/30/2019,-1565.0,1017.0,333.0,-8.0,-94.0,-7.0,-82.0,-5.0,-2813.0,-1249.0,,-1564.0,0.0,-32196.0,-453.0,0.0,-453.0,-1479.0,13466.0,2044.0,11400.0,22.0,-14945.0,-2336.0,-12609.0,0.0,-30775.0,1106.0,-31882.0,1.0,0.0,0.0,0.0,0.0,511.0,33082.0,-318.0,3728.0,5757.0,-4.0,553.0,-2578.0,-743.0,7.0,-750.0,30401.0,14.0,-22.0,-701.0,705.0,1116.0,
09/30/2019,5081.0,1038.0,336.0,-16.0,-82.0,1.0,-75.0,-8.0,3805.0,-574.0,,4379.0,0.0,6156.0,-395.0,0.0,-395.0,-2684.0,11393.0,2317.0,9033.0,43.0,-14077.0,-1651.0,-12426.0,0.0,9587.0,-2638.0,12130.0,95.0,0.0,0.0,0.0,0.0,-352.0,-9791.0,-330.0,-7467.0,-5910.0,39.0,998.0,-2594.0,-962.0,19.0,-981.0,-1048.0,16.0,-46.0,1400.0,334.0,1290.0,
12/31/2019,-2471.0,1440.0,344.0,-8.0,126.0,25.0,116.0,-15.0,-4373.0,-3287.0,,-1086.0,0.0,-5318.0,-98.0,0.0,-98.0,199.0,16137.0,2566.0,13565.0,6.0,-15938.0,-3432.0,-12506.0,0.0,-5507.0,8.0,-5515.0,0.0,0.0,0.0,0.0,0.0,88.0,6005.0,-335.0,-85.0,772.0,-375.0,747.0,-1229.0,-1025.0,16.0,-1041.0,7456.0,-6.0,59.0,-1725.0,516.0,872.0,
03/31/2020,-1685.0,980.0,354.0,169.0,-315.0,-9.0,-300.0,-6.0,-2873.0,2419.0,,-5292.0,0.0,-78601.0,-264.0,0.0,-264.0,-14666.0,12707.0,2813.0,9876.0,18.0,-27373.0,-5151.0,-22222.0,0.0,-63322.0,-7626.0,-55697.0,1.0,0.0,0.0,0.0,0.0,-349.0,82880.0,-318.0,4475.0,2491.0,1775.0,1959.0,-1750.0,-952.0,33.0,-985.0,79678.0,-3.0,-56.0,2538.0,195.0,851.0,
06/30/2020,6810.0,950.0,390.0,143.0,-78.0,-9.0,-63.0,-6.0,5405.0,-2248.0,,7653.0,0.0,19855.0,-359.0,0.0,-359.0,-14231.0,17760.0,2564.0,15195.0,1.0,-31991.0,-9348.0,-22643.0,0.0,34371.0,7016.0,27354.0,1.0,0.0,0.0,0.0,0.0,74.0,-29490.0,-327.0,1928.0,475.0,1380.0,287.0,-214.0,993.0,996.0,-3.0,-32102.0,18.0,6.0,-2819.0,572.0,1359.0,
