Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2015,-530.0,40.0,89.0,5.0,18.0,-9.0,21.0,7.0,-1.0,-682.0,,0.0,-682.0,0.0,-1261.0,-16.0,0.0,-16.0,-1557.0,1144.0,380.0,764.0,0.0,-2701.0,-699.0,-2002.0,0.0,303.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1033.0,0.0,-344.0,0.0,-4.0,730.0,-1070.0,0.0,0.0,0.0,1382.0,-5.0,0.0,-758.0,3.0,108.0,
06/30/2015,919.0,292.0,97.0,3.0,-172.0,-11.0,-170.0,10.0,-1.0,699.0,,,699.0,0.0,39.0,-16.0,0.0,-16.0,-308.0,1323.0,411.0,912.0,0.0,-1631.0,-199.0,-1432.0,0.0,365.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-111.0,0.0,-51.0,0.0,-51.0,270.0,-270.0,0.0,0.0,0.0,-58.0,-2.0,0.0,847.0,0.0,38.0,
09/30/2015,279.0,-153.0,85.0,-25.0,305.0,353.0,-93.0,6.0,39.0,67.0,,,67.0,0.0,4470.0,-20.0,0.0,-20.0,3995.0,4111.0,692.0,3419.0,0.0,-116.0,0.0,-116.0,0.0,402.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,-5168.0,0.0,-4537.0,0.0,-3617.0,270.0,-1190.0,-10.0,0.0,-10.0,-604.0,-17.0,0.0,-419.0,1.0,43.0,
12/31/2015,164.0,89.0,54.0,-23.0,69.0,-9.0,66.0,11.0,1.0,-25.0,,,-25.0,0.0,-3246.0,-18.0,0.0,-18.0,-3534.0,782.0,305.0,477.0,0.0,-4316.0,-1716.0,-2600.0,0.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3862.0,0.0,82.0,0.0,82.0,150.0,-150.0,-55.0,0.0,-55.0,3835.0,0.0,0.0,780.0,4.0,23.0,
03/31/2016,108.0,153.0,53.0,-34.0,44.0,-10.0,42.0,8.0,4.0,-108.0,,,-108.0,0.0,-2704.0,-20.0,0.0,-20.0,-2953.0,1418.0,715.0,703.0,0.0,-4371.0,-2378.0,-1993.0,0.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,1990.0,0.0,-82.0,0.0,-82.0,,0.0,-301.0,0.0,-301.0,2384.0,-11.0,0.0,-606.0,2.0,17.0,
06/30/2016,232.0,133.0,59.0,-35.0,68.0,-10.0,72.0,6.0,0.0,7.0,,,7.0,0.0,-448.0,-18.0,0.0,-18.0,-690.0,1748.0,149.0,1599.0,0.0,-2438.0,-744.0,-1694.0,0.0,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,-151.0,0.0,-151.0,1135.0,11.0,0.0,779.0,3.0,42.0,
09/30/2016,418.0,139.0,62.0,-62.0,61.0,-14.0,76.0,7.0,-8.0,218.0,,,218.0,0.0,-453.0,-13.0,0.0,-13.0,13.0,1915.0,612.0,1303.0,0.0,-1902.0,-1099.0,-803.0,0.0,309.0,309.0,0.0,0.0,-723.0,0.0,-723.0,0.0,-39.0,-891.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.0,-1267.0,-24.0,0.0,-926.0,1.0,1.0,
12/31/2016,1286.0,127.0,65.0,-18.0,85.0,-8.0,85.0,9.0,-1.0,1027.0,,,1027.0,0.0,-394.0,-24.0,0.0,-24.0,-662.0,1721.0,,,,-2383.0,-168.0,-2215.0,0.0,288.0,288.0,0.0,0.0,723.0,0.0,723.0,0.0,-719.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-4.0,0.0,873.0,0.0,17.0,
03/31/2017,781.0,145.0,61.0,-14.0,77.0,-10.0,81.0,10.0,-4.0,512.0,,,512.0,0.0,-6990.0,-23.0,0.0,-23.0,-7292.0,1097.0,849.0,248.0,0.0,-8389.0,-3963.0,-4426.0,0.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5673.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5702.0,-16.0,0.0,-536.0,1.0,20.0,
06/30/2017,-1180.0,193.0,63.0,-99.0,116.0,-7.0,111.0,11.0,1.0,-1453.0,,,-1453.0,0.0,-3002.0,-27.0,0.0,-27.0,-3293.0,1506.0,258.0,1248.0,0.0,-4799.0,-2877.0,-1922.0,0.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3288.0,0.0,600.0,0.0,400.0,200.0,0.0,0.0,0.0,0.0,2688.0,0.0,0.0,-894.0,4.0,21.0,
09/30/2017,342.0,147.0,68.0,-29.0,157.0,-6.0,96.0,11.0,56.0,-1.0,,,-1.0,,-1538.0,-27.0,0.0,-27.0,-1757.0,1662.0,774.0,888.0,0.0,-3419.0,-2247.0,-1172.0,0.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,808.0,-12.0,-1449.0,0.0,-400.0,0.0,-1049.0,812.0,999.0,-187.0,1471.0,-14.0,0.0,-388.0,1.0,76.0,
12/31/2017,639.0,129.0,70.0,-26.0,164.0,-5.0,162.0,9.0,-2.0,302.0,,,302.0,0.0,-2046.0,-25.0,0.0,-25.0,-2207.0,1524.0,,,,-3731.0,-1432.0,-2299.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1618.0,0.0,-200.0,,,,,100.0,300.0,-200.0,1699.0,19.0,,211.0,2.0,9.0,
03/31/2018,546.0,247.0,65.0,-21.0,79.0,-10.0,78.0,10.0,1.0,176.0,,,176.0,0.0,-1370.0,-21.0,0.0,-21.0,-1542.0,1849.0,1052.0,797.0,0.0,-3391.0,-1109.0,-2282.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-9.0,-12.0,0.0,0.0,0.0,1550.0,-1550.0,0.0,0.0,0.0,160.0,-157.0,0.0,-833.0,4.0,30.0,
06/30/2018,-70.0,250.0,64.0,-19.0,93.0,-15.0,92.0,12.0,4.0,-458.0,,,-458.0,0.0,706.0,-28.0,0.0,-28.0,631.0,2135.0,426.0,1709.0,0.0,-1504.0,-977.0,-527.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,-454.0,0.0,350.0,0.0,0.0,350.0,0.0,231.0,420.0,-189.0,-1028.0,-7.0,0.0,182.0,1.0,25.0,
09/30/2018,747.0,285.0,63.0,-34.0,88.0,-17.0,83.0,13.0,9.0,345.0,,,345.0,0.0,197.0,-29.0,0.0,-29.0,-110.0,5645.0,,,,-5755.0,-1598.0,-4157.0,0.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,-644.0,-24.0,-300.0,,,,,-309.0,0.0,-309.0,410.0,-421.0,0.0,300.0,4.0,51.0,
12/31/2018,463.0,270.0,52.0,-12.0,94.0,-11.0,86.0,11.0,8.0,59.0,,,59.0,0.0,277.0,-34.0,0.0,-34.0,234.0,2133.0,,,,-1899.0,,,,158.0,158.0,,,0.0,0.0,0.0,0.0,-81.0,1152.0,0.0,-50.0,,,,,-537.0,0.0,-537.0,1739.0,0.0,,1892.0,2.0,51.0,
03/31/2019,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2019,41.0,219.0,58.0,-8.0,126.0,64.0,51.0,13.0,-2.0,-354.0,,,-354.0,0.0,6386.0,-43.0,0.0,-43.0,6380.0,8488.0,828.0,7660.0,0.0,-2108.0,-669.0,-1439.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-6299.0,-34.0,0.0,0.0,0.0,0.0,0.0,-222.0,0.0,-222.0,-6039.0,-4.0,0.0,128.0,20.0,65.0,
09/30/2019,743.0,274.0,56.0,-12.0,62.0,-16.0,62.0,12.0,4.0,363.0,,,363.0,0.0,617.0,-36.0,0.0,-36.0,892.0,3427.0,1953.0,1474.0,0.0,-2535.0,-107.0,-2428.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,-351.0,-830.0,-54.0,-300.0,,,,,-566.0,0.0,-566.0,93.0,-3.0,0.0,530.0,29.0,69.0,
12/31/2019,2101.0,172.0,57.0,-19.0,56.0,-14.0,39.0,15.0,16.0,1835.0,,,1835.0,0.0,879.0,-32.0,0.0,-32.0,806.0,2560.0,,,,-1754.0,-828.0,-926.0,0.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,-1986.0,0.0,0.0,,,,,-312.0,0.0,-312.0,-1776.0,102.0,,994.0,60.0,56.0,
03/31/2020,4821.0,181.0,57.0,6.0,-12.0,-20.0,-11.0,8.0,11.0,4589.0,,,4589.0,0.0,-3997.0,-34.0,0.0,-34.0,-4141.0,3705.0,1603.0,2102.0,0.0,-7846.0,-4367.0,-3479.0,0.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,3382.0,-51.0,0.0,0.0,0.0,0.0,0.0,-95.0,0.0,-95.0,3540.0,-12.0,0.0,4206.0,-22.0,46.0,
06/30/2020,-1077.0,196.0,73.0,-1.0,-20.0,-23.0,-5.0,11.0,-3.0,-1325.0,,,-1325.0,0.0,-3841.0,-43.0,0.0,-43.0,-732.0,4402.0,2395.0,2007.0,0.0,-5134.0,-3953.0,-1181.0,0.0,-173.0,-173.0,0.0,0.0,0.0,0.0,0.0,0.0,-2893.0,1489.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,-1.0,0.0,-3429.0,14.0,16.0,
