Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2014,1461.691,13213.152,15.763,14690.606,0.0,0.0,47.022,47.022,10.057,18.566644,167.835673,0.200224,186.602541,7.021344,63.47038,0.075719,70.567443,
03/31/2015,1517.981,13535.647,8.778,15062.406,0.0,0.0,47.264,47.264,-0.796,18.354773,163.667216,0.10614,182.128128,7.137633,63.645386,0.041275,70.824295,
06/30/2015,1487.945,13598.608,9.795,15096.348,0.0,0.0,40.819,40.819,-6.367,17.533307,160.240177,0.11542,177.888905,6.926184,63.299697,0.045594,70.271476,
09/30/2015,1365.636,13581.943,13.691,14961.27,0.0,0.0,52.247,52.247,12.483,16.57524,164.849171,0.166173,181.590584,6.298388,62.640661,0.063144,69.002193,
12/31/2015,1367.573,13432.97,5.526,14806.069,0.0,0.0,40.705,40.705,-19.495,17.974078,176.550173,0.072628,194.59688,6.656341,65.381829,0.026897,72.065066,
03/31/2016,1350.117,13824.895,16.302,15191.314,0.0,0.0,43.725,43.725,2.025,17.220223,176.331222,0.207926,193.759371,6.473564,66.287839,0.078165,72.839568,
06/30/2016,1143.089,14104.615,34.431,15282.135,0.0,0.0,83.458,41.729,-0.616,14.314615,176.628533,0.431171,191.374319,5.37111,66.274312,0.161783,71.807205,
09/30/2016,1129.13,14291.841,63.154,15484.125,0.0,0.0,35.219,35.219,-7.866,14.041998,177.735076,0.785391,192.562465,5.212232,65.973258,0.291528,71.477018,
12/31/2016,1055.03,14113.795,67.735,15236.56,0.0,0.0,22.059,22.059,-19.683,13.064746,174.775268,0.838782,188.678797,4.948197,66.195119,0.317684,71.461,
03/31/2017,1056.811,14674.865,87.124,15818.8,0.0,0.0,19.429,19.429,-2.469,12.659639,175.791603,1.043667,189.494909,4.761921,66.123985,0.392575,71.278482,
06/30/2017,1123.975,14835.624,141.256,16100.855,0.0,0.0,18.662,18.662,0.245,13.09262,172.812732,1.64542,187.550773,4.990589,65.872018,0.627194,71.489801,
09/30/2017,1206.769,14682.025,157.952,16046.746,,,,,,15.142664,184.231587,1.981998,201.356249,5.041592,61.337985,0.659886,67.039462,
12/31/2017,1055.245,14577.553,217.138,15849.936,0.0,0.0,12.477,12.477,-4.152,12.608624,174.180295,2.594479,189.383399,4.472933,61.790783,0.920396,67.184112,
03/31/2018,1123.632,14658.557,233.744,16015.933,0.0,0.0,12.205,12.205,0.778,13.466057,175.674027,2.801282,191.941365,4.778729,62.341831,0.994097,68.114658,
06/30/2018,1123.975,14835.624,141.256,16100.855,0.0,0.0,18.662,18.662,-2.677,13.638241,180.01451,1.713991,195.366742,4.705603,62.110422,0.591379,67.407404,
09/30/2018,1123.911,14256.833,443.653,15824.397,0.0,0.0,6.993,6.993,-5.083,13.493928,171.170738,5.326598,189.991263,4.604144,58.403656,1.817441,64.825241,
12/31/2018,674.433,14831.51,438.296,31167.165,0.0,0.0,11.958,11.958,4.576,8.579703,188.676924,5.57572,396.488613,2.724873,59.922891,1.770822,125.922892,
03/31/2019,833.414,15117.94,447.474,16398.828,0.0,0.0,8.727,8.727,-2.658,9.890242,179.406735,5.310237,194.607215,3.251649,58.984163,1.745865,63.981676,
06/30/2019,834.213,15339.994,544.971,16719.178,0.0,0.0,8.374,8.374,-0.892,9.389892,172.666791,6.134187,188.19087,3.16136,58.132922,2.065239,63.359521,
09/30/2019,814.833,16026.746,630.784,17472.363,0.0,0.0,8.563,8.563,0.348,9.070573,178.406832,7.021773,194.499178,3.015249,59.306171,2.334185,64.655604,
12/31/2019,864.584,16118.838,778.805,17762.227,0.0,0.0,5.584,5.584,8.427,9.466671,176.491518,8.527443,194.485633,3.164187,58.991392,2.850255,65.005833,
03/31/2020,666.266,15650.768,956.415,17273.449,0.0,0.0,20.958,20.958,,7.764484,182.389816,11.145802,201.300102,2.44747,57.491739,3.513308,63.452517,
06/30/2020,875.708,16095.006,1038.146,18008.86,0.0,0.0,9.088,9.088,5.138,9.430108,173.31992,11.17933,193.929358,3.063545,56.306184,3.631812,63.001541,
