Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2018,381.945,348.615,33.33,-222.638,103.053,119.585,159.307,0.0,-37.98,32.435,5.545,121.327,82.107,35.723,35.723,0.0,,,-117.83,203.434,-56.678,146.756,0.0,0.0,0.0,146.756,-21.727,125.029,0.0,0.0,125.029,31.646911,-93.382089,210.238509,0.59,0.59,0.150529,212.708082,0.59,0.59,0.150529,
12/31/2018,472.182,496.882,-24.7,-254.757,124.673,130.084,217.425,0.0,-96.647,36.113,60.534,120.778,-15.076,33.221,33.222,-0.001,,,-18.145,105.702,23.713,129.415,0.0,0.0,0.0,129.415,-27.488,101.927,0.0,0.0,101.927,128.495015,26.568015,203.741408,0.51,0.51,0.630677,203.741408,0.5,0.5,0.630401,
03/31/2019,432.425,439.143,-6.718,-246.357,121.196,125.161,186.068,0.0,-216.464,35.738,180.726,-30.396,-45.814,35.049,35.771,-0.722,,,10.765,-76.21,11.559,-64.651,0.0,0.0,0.0,-64.651,-22.686,-87.337,0.0,0.0,-87.337,36.120944,123.457944,197.475702,-0.44,-0.44,0.182913,197.475702,-0.44,-0.44,0.182913,
06/30/2019,815.941,345.788,470.153,-259.291,130.292,128.999,556.65,0.0,-283.422,48.97,234.452,273.228,-39.743,40.081,40.152,-0.071,,,-0.338,233.485,-40.791,192.694,0.0,0.0,0.0,192.694,-30.217,162.477,0.0,0.0,162.477,9.378663,-153.098337,191.524289,0.85,0.85,0.048969,192.780732,0.84,0.84,0.045842,
09/30/2019,373.125,268.367,104.758,-248.471,128.012,120.459,124.654,0.0,106.744,24.307,-131.051,231.398,-38.536,37.327,38.405,-1.078,,,1.209,192.862,-48.902,143.96,0.0,0.0,0.0,143.96,-28.422,115.538,0.0,0.0,115.538,-1.216919,-116.754919,187.448749,0.62,0.62,-0.006492,188.430959,0.61,0.61,-0.009616,
12/31/2019,416.451,324.705,91.746,-268.34,134.496,133.844,148.111,0.0,-436.365,34.535,401.83,-288.254,-2.199,36.973,37.051,-0.078,,,-34.774,-290.453,50.398,-240.055,0.0,0.0,0.0,-240.055,-31.353,-271.408,0.0,0.0,-271.408,-38.824723,232.583277,186.615121,-1.45,-1.45,-0.208047,186.615121,-1.45,-1.45,-0.208047,
03/31/2020,452.378,256.452,195.926,-253.599,124.435,129.164,198.779,0.0,-625.72,30.238,595.482,-426.941,-30.863,48.903,48.995,-0.092,,,-18.04,-457.804,152.582,-305.222,0.0,0.0,0.0,-305.222,-23.864,-329.086,0.0,0.0,-329.086,83.908321,412.994321,186.918361,-1.76,-1.76,0.448904,186.918361,-1.76,-1.76,0.448904,
06/30/2020,354.399,179.529,174.87,-209.187,95.642,113.545,145.212,0.0,-258.883,23.419,235.464,-113.671,-45.461,45.933,46.256,-0.323,,,-0.472,-159.132,28.646,-130.486,0.0,0.0,0.0,-130.486,-15.263,-145.749,0.0,0.0,-145.749,1.744524,147.493524,187.316463,-0.78,-0.78,0.009313,187.316463,-0.78,-0.78,0.007403,
09/30/2020,295.857,,,,,,,,,,,51.85,,,,,,,,10.067,,-2.0,,,,,,-2.0,,,-2.0,-2.58,,,-0.057,-0.057,-0.044,,-0.057,-0.057,-0.044,
12/31/2020,377.857,,,,,,,,,,,73.8,,,,,,,,38.233,,20.967,,,,,,20.967,,,20.967,21.138,,,0.088,0.088,0.088,,0.088,0.088,0.088,
