Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/03/2008,13448,1940,1940,0.0,431,431.0,0.0,3694,,,,,200,,,,,200.0,6265,5042,7358.0,-2316.0,0.0,2141,,,,1548.0,593,7183,,2657,1307,,,1350.0,202,0.0,,,,202.0,0,,,0,2859,3505,3505.0,,,,1991,,,,,1289.0,702,5496,8355,0.0,3575,111.0,3464.0,0.0,1642.0,-124,5093,0.0,5093,13448,
08/02/2008,13796,2109,133,1976.0,500,500.0,0.0,3693,,,,,217,217.0,,,,0.0,6519,5161,7539.0,-2378.0,0.0,2116,,,,1582.0,534,7277,,2946,1477,,,1469.0,201,0.0,,,,201.0,0,,,0,3147,3505,3505.0,,,,1993,,,,,1283.0,710,5498,8645,0.0,3587,111.0,3476.0,0.0,1713.0,-149,5151,0.0,5151,13796,
11/01/2008,14098,1624,1624,0.0,0,0.0,0.0,4471,,,,,661,297.0,,,364.0,0.0,6756,5254,7739.0,-2485.0,0.0,2088,,,,1615.0,473,7342,,3415,1915,,,1500.0,0,0.0,,,,,0,,,0,3415,3505,3505.0,,,,1981,,,,,1263.0,718,5486,8901,0.0,3600,111.0,3489.0,0.0,1792.0,-195,5197,0.0,5197,14098,
01/31/2009,12011,2352,2352,0.0,0,0.0,0.0,3259,,,,,609,,0.0,,352.0,257.0,6220,5367,7806.0,-2439.0,0.0,424,0.0,0.0,0.0,,424,5791,,2794,1194,0.0,0.0,1600.0,0,0.0,,,,0.0,0,0.0,0.0,0,2794,3505,3505.0,,,,1557,0.0,29.0,,,599.0,929,5062,7856,0.0,3610,111.0,3499.0,0.0,1959.0,-1414,4155,0.0,4155,12011,
05/02/2009,11745,2138,2138,0.0,0,0.0,0.0,3237,,,,,554,,,,320.0,234.0,5929,5335,8036.0,-2701.0,0.0,481,,,,,481,5816,,2442,1102,,,1340.0,506,0.0,,,,506.0,0,,,0,2948,2999,2999.0,,,,1602,,,,,608.0,994,4601,7549,0.0,3618,111.0,3507.0,0.0,1940.0,-1362,4196,0.0,4196,11745,
08/01/2009,12169,2312,2312,0.0,0,0.0,0.0,3258,,,,,702,,,,446.0,256.0,6272,5368,7971.0,-2603.0,0.0,529,,,,30.0,499,5897,,2780,1302,,,1478.0,393,0.0,,,,393.0,0,,,0,3173,2999,2999.0,,,,1461,,,,,747.0,714,4460,7633,0.0,3967,118.0,3849.0,0.0,1891.0,-1322,4536,0.0,4536,12169,
10/31/2009,12798,2129,2129,0.0,0,0.0,0.0,4018,,,,,773,,,,523.0,250.0,6920,5319,8026.0,-2707.0,0.0,559,,,,25.0,534,5878,,3280,1794,,,1486.0,393,0.0,,,,393.0,0,,,0,3673,2999,2999.0,,,,1538,,,,,810.0,728,4537,8210,0.0,3980,118.0,3862.0,0.0,1871.0,-1263,4588,0.0,4588,12798,
01/30/2010,12581,3011,3011,0.0,0,0.0,0.0,3024,,,,,617,,0.0,,395.0,222.0,6652,5357,8058.0,-2701.0,0.0,572,0.0,0.0,0.0,,572,5929,,2856,1226,0.0,0.0,1630.0,393,0.0,,,,393.0,0,0.0,0.0,0,3249,2999,2999.0,,,,1555,0.0,236.0,,,817.0,502,4554,7803,0.0,3985,118.0,3867.0,0.0,2023.0,-1230,4778,0.0,4778,12581,
05/01/2010,12081,2378,2378,0.0,0,0.0,0.0,3214,,,,,556,,,,357.0,199.0,6148,5307,8113.0,-2806.0,0.0,626,,,,0.0,626,5933,,2653,1303,,,1350.0,0,0.0,,,,,0,,,0,2653,2999,2999.0,,,,1559,,,,,833.0,726,4558,7211,0.0,3999,118.0,3881.0,0.0,2036.0,-1165,4870,0.0,4870,12081,
07/31/2010,12509,2003,2003,0.0,0,0.0,0.0,3490,,,,,704,,,,499.0,205.0,6197,5298,8098.0,-2800.0,0.0,1014,,,,387.0,627,6312,,2832,1410,,,1422.0,0,0.0,,,,,0,,,0,2832,3099,3099.0,,,,1692,,,,,982.0,710,4791,7623,0.0,4014,118.0,3896.0,0.0,2002.0,-1130,4886,0.0,4886,12509,
10/30/2010,12952,1666,1666,0.0,0,0.0,0.0,4267,,,,,686,,,,464.0,222.0,6619,5285,8196.0,-2911.0,0.0,1048,,,,391.0,657,6333,,3225,1766,,,1459.0,0,0.0,,,,,0,,,0,3225,3099,3099.0,,,,1687,,,,,994.0,693,4786,8011,0.0,4026,118.0,3908.0,0.0,1999.0,-1084,4941,0.0,4941,12952,
01/29/2011,13042,2622,2622,0.0,0,0.0,0.0,3213,,,,,535,,0.0,335.0,334.0,201.0,6370,5231,8085.0,-2854.0,0.0,1441,0.0,0.0,0.0,763.0,343,6672,,2647,1133,0.0,0.0,1514.0,0,0.0,,,,,0,0.0,0.0,0,2647,3099,3098.0,1.0,1.0,,1836,0.0,194.0,,,1192.0,450,4935,7582,0.0,4043,118.0,3925.0,0.0,2222.0,-805,5460,0.0,5460,13042,
04/30/2011,12374,1767,1767,0.0,0,0.0,0.0,3408,,,,,458,,,,269.0,189.0,5633,5226,8189.0,-2963.0,0.0,1515,,,,776.0,739,6741,,2670,1274,,,1396.0,0,0.0,,,,0.0,0,,,0,2670,3099,3099.0,,,,1854,,,,,1208.0,646,4953,7623,0.0,3695,108.0,3587.0,0.0,1819.0,-763,4751,0.0,4751,12374,
07/30/2011,12429,1551,1551,0.0,0,0.0,0.0,3572,,,,,528,,,,334.0,194.0,5651,5237,8167.0,-2930.0,0.0,1541,,,,788.0,753,6778,,2767,1386,,,1381.0,0,0.0,,,,,0,,,0,2767,3099,3099.0,,,,1860,,,,,1216.0,644,4959,7726,0.0,3712,107.0,3605.0,0.0,1728.0,-737,4703,0.0,4703,12429,
10/29/2011,12827,1085,1085,0.0,0,0.0,0.0,4376,0.0,0.0,4376.0,0.0,649,,,,175.0,285.0,6110,5242,8277.0,-3035.0,0.0,1475,,,,668.0,807,6717,,3235,1831,,,1404.0,231,0.0,,,,231.0,0,,,0,3466,2871,2871.0,,,,1968,,,,,1152.0,816,4839,8305,0.0,3726,107.0,3619.0,0.0,1541.0,-745,4522,0.0,4522,12827,
01/28/2012,11424,1507,1507,0.0,0,0.0,0.0,2916,,,,,658,,0.0,,413.0,245.0,5081,5176,8141.0,-2965.0,0.0,1167,565.0,0.0,565.0,0.0,602,6343,,2525,1022,0.0,0.0,1503.0,231,0.0,,,,231.0,0,0.0,0.0,0,2756,2871,2871.0,,,,1787,0.0,406.0,121.0,285.0,888.0,493,4658,7414,0.0,3807,108.0,3699.0,0.0,1412.0,-1209,4010,0.0,4010,11424,
04/28/2012,11039,839,839,0.0,0,0.0,0.0,3084,,,,,759,,,,542.0,217.0,4682,5126,8197.0,-3071.0,0.0,1231,,,,0.0,1231,6357,,2206,984,,,1222.0,231,0.0,,,,231.0,0,,,0,2437,2871,2871.0,,,,1795,,,,,924.0,871,4666,7103,0.0,3876,109.0,3767.0,0.0,1204.0,-1144,3936,0.0,3936,11039,
07/28/2012,10812,888,888,0.0,0,0.0,0.0,2993,,,,,855,,,,209.0,239.0,4736,5153,8249.0,-3096.0,0.0,923,,,,0.0,923,6076,,2234,1015,,,1219.0,250,0.0,,,,250.0,0,,,0,2484,2901,2901.0,,,,1756,,,,,904.0,852,4657,7141,0.0,3891,109.0,3782.0,0.0,1057.0,-1277,3671,0.0,3671,10812,
10/27/2012,10890,525,525,0.0,0,0.0,0.0,3362,,,,,743,,,,69.0,265.0,4630,5493,8563.0,-3070.0,0.0,767,,,,0.0,767,6260,,2752,1408,,,1344.0,22,0.0,,,,22.0,0,,,0,2774,2943,2943.0,,,,1671,,,,,786.0,885,4614,7388,0.0,3899,110.0,3789.0,0.0,932.0,-1329,3502,0.0,3502,10890,
02/02/2013,9781,930,930,0.0,0,0.0,0.0,2341,,,,,412,,0.0,,57.0,249.0,3683,5353,8233.0,-2880.0,0.0,745,0.0,0.0,0.0,,745,6098,,2557,1162,0.0,0.0,1395.0,26,0.0,,,,26.0,0,0.0,0.0,0,2583,2868,2868.0,,,,1159,0.0,273.0,7.0,266.0,388.0,498,4027,6610,0.0,3909,110.0,3799.0,0.0,380.0,-1118,3171,0.0,3171,9781,
05/04/2013,10372,821,821,0.0,0,0.0,0.0,2798,,,,,313,,,,1.0,199.0,3932,5690,8794.0,-3104.0,0.0,750,,,,7.0,743,6440,,2772,1248,,,1524.0,876,850.0,,,,26.0,0,,,0,3648,2950,2950.0,,,,908,,,,,250.0,658,3858,7506,0.0,3922,110.0,3812.0,0.0,32.0,-1088,2866,0.0,2866,10372,
08/03/2013,11654,1535,1535,0.0,0,0.0,0.0,3155,,,,,324,,,,,209.0,5014,5820,8887.0,-3067.0,0.0,820,,,,22.0,798,6640,,2626,1276,,,1350.0,900,850.0,,,,50.0,0,,,0,3526,4850,4850.0,,,,958,,,,,242.0,716,5808,9334,0.0,3938,110.0,3828.0,0.0,-554.0,-1064,2320,0.0,2320,11654,
11/02/2013,11875,1227,1227,0.0,0,0.0,0.0,3747,,,,,368,,,,,249.0,5342,5753,8931.0,-3178.0,0.0,780,,,,36.0,744,6533,,2678,1409,,,1269.0,700,650.0,,,,50.0,0,,,0,3378,4845,4845.0,,,,1005,,,,,250.0,755,5850,9228,0.0,4728,153.0,4575.0,0.0,-1043.0,-1038,2647,0.0,2647,11875,
02/01/2014,11801,1515,1515,0.0,0,0.0,0.0,2935,,,,,383,,0.0,,4.0,186.0,4833,5619,8934.0,-3315.0,0.0,1349,0.0,0.0,0.0,663.0,686,6968,,2146,948,0.0,0.0,1198.0,700,650.0,0.0,0.0,,50.0,0,0.0,0.0,0,2846,4839,4839.0,0.0,0.0,,1029,0.0,187.0,0.0,187.0,335.0,507,5868,8714,0.0,4723,152.0,4571.0,0.0,-1008.0,-628,3087,0.0,3087,11801,
05/03/2014,11292,1170,1170,0.0,0,0.0,0.0,2835,,,,,390,,,,,212.0,4395,5510,8949.0,-3439.0,0.0,1387,,,,682.0,705,6897,,1928,841,,,1087.0,703,650.0,,,,53.0,0,,,0,2631,4834,4834.0,,,,1074,,,,,365.0,709,5908,8539,0.0,4731,152.0,4579.0,0.0,-1360.0,-618,2753,0.0,2753,11292,
08/02/2014,11112,1036,1036,0.0,0,0.0,0.0,2848,,,,,389,,,,,207.0,4273,5415,8900.0,-3485.0,0.0,1424,,,,701.0,723,6839,,2160,984,,,1176.0,58,0.0,,,,58.0,0,,,0,2218,5323,5323.0,,,,971,,,,,364.0,607,6294,8512,0.0,4740,152.0,4588.0,0.0,-1532.0,-608,2600,0.0,2600,11112,
11/01/2014,11065,684,684,0.0,0,0.0,0.0,3358,,,,,398,,,,,223.0,4440,5312,8870.0,-3558.0,0.0,1313,,,,695.0,618,6625,,2368,1289,,,1079.0,58,0.0,30.0,30.0,,28.0,0,,,0,2426,5229,5229.0,,,,980,,,,,357.0,623,6209,8635,0.0,4749,152.0,4597.0,0.0,-1720.0,-599,2430,0.0,2430,11065,
01/31/2015,10309,1318,1318,0.0,0,0.0,0.0,2652,,,,,361,,0.0,,,189.0,4331,5148,8765.0,-3617.0,0.0,830,0.0,0.0,0.0,220.0,610,5978,,2100,997,0.0,0.0,1103.0,28,0.0,,,,28.0,28,0.0,0.0,28,2156,5227,5227.0,,,,1012,0.0,185.0,0.0,185.0,363.0,464,6239,8395,0.0,4758,152.0,4606.0,0.0,-2494.0,-350,1914,0.0,1914,10309,
05/02/2015,10150,1044,1044,0.0,0,0.0,0.0,2811,,,,,402,,,,,226.0,4257,5049,8718.0,-3669.0,0.0,844,,,,243.0,601,5893,,2091,1063,,,1028.0,68,0.0,40.0,40.0,,28.0,0,,,0,2159,5226,5226.0,,,,990,,,,,369.0,621,6216,8375,0.0,4769,153.0,4616.0,0.0,-2644.0,-350,1775,0.0,1775,10150,
08/01/2015,10232,973,973,0.0,0,0.0,0.0,3005,,,,,384,,,,,200.0,4362,4989,8575.0,-3586.0,0.0,881,,,,266.0,615,5870,,2292,1122,,,1170.0,55,0.0,27.0,27.0,,28.0,0,,,0,2347,5225,5225.0,,,,1000,,,,,378.0,622,6225,8572,0.0,4780,153.0,4627.0,0.0,-2761.0,-359,1660,0.0,1660,10232,
10/31/2015,10550,638,638,0.0,0,0.0,0.0,3669,,,,,426,,,,,218.0,4733,4905,8591.0,-3686.0,0.0,912,,,,289.0,623,5817,,2699,1453,,,1246.0,106,0.0,,,,106.0,26,,,26,2831,5147,5147.0,,,,1025,,,,,395.0,630,6172,9003,0.0,4792,153.0,4639.0,0.0,-2876.0,-369,1547,0.0,1547,10550,
01/30/2016,9442,900,900,0.0,0,0.0,0.0,2721,,,,,397,,0.0,,,166.0,4018,4816,8573.0,-3757.0,0.0,608,0.0,0.0,0.0,,608,5424,,2283,925,0.0,0.0,1358.0,101,0.0,0.0,0.0,,101.0,28,0.0,28.0,26,2412,4668,4668.0,0.0,0.0,,1053,0.0,138.0,0.0,138.0,425.0,462,5721,8133,0.0,4807,153.0,4654.0,0.0,-3007.0,-491,1309,0.0,1309,9442,
04/30/2016,8895,415,415,0.0,0,0.0,0.0,2925,,,,,227,,,,,227.0,3567,4735,8587.0,-3852.0,0.0,593,,,,,593,5328,,2120,995,,,1125.0,321,0.0,,,,321.0,17,,,17,2458,4388,4388.0,,,,799,,,,,194.0,605,5187,7645,0.0,4813,154.0,4659.0,0.0,-3075.0,-488,1250,0.0,1250,8895,
07/30/2016,9166,429,429,0.0,0,0.0,0.0,2981,,,,,466,,,,,235.0,3876,4686,8428.0,-3742.0,0.0,604,,,,0.0,604,5290,,2215,1094,,,1121.0,341,0.0,,,,341.0,18,,,18,2574,4356,4356.0,,,,1039,,,,,425.0,614,5395,7969,0.0,4822,154.0,4668.0,0.0,-3131.0,-494,1197,0.0,1197,9166,
10/29/2016,9387,183,183,0.0,0,0.0,0.0,3691,,,,,254,,,,,254.0,4128,4651,8453.0,-3802.0,0.0,608,,,,0.0,608,5259,,2663,1493,,,1170.0,263,0.0,,,,263.0,15,,,15,2941,4509,4509.0,,,,797,,,,,198.0,599,5306,8247,0.0,4830,154.0,4676.0,0.0,-3198.0,-492,1140,0.0,1140,9387,
01/28/2017,9118,887,887,0.0,0,0.0,0.0,2854,,,,,160,,0.0,,,160.0,3901,4599,8441.0,-3842.0,0.0,618,0.0,0.0,0.0,0.0,618,5217,,2139,977,0.0,0.0,1162.0,263,0.0,0.0,0.0,,263.0,17,0.0,10.0,15,2419,4339,4339.0,0.0,0.0,,1006,0.0,126.0,0.0,126.0,204.0,666,5345,7764,0.0,4833,154.0,4679.0,0.0,-3006.0,-473,1354,0.0,1354,9118,
04/29/2017,8629,363,363,0.0,0,0.0,0.0,2991,,,,,228,,,,,228.0,3582,4437,8340.0,-3903.0,0.0,610,,,,0.0,610,5047,,1971,893,,,1078.0,307,0.0,,,,307.0,12,,,12,2290,4066,4066.0,,,,1069,,,,,203.0,866,5135,7425,0.0,4839,155.0,4684.0,0.0,-3187.0,-448,1204,0.0,1204,8629,
07/29/2017,8369,314,314,0.0,0,0.0,0.0,2820,,,,,223,,,,,223.0,3357,4390,8000.0,-3610.0,0.0,622,,,,0.0,622,5012,,2071,950,,,1121.0,232,0.0,,,,232.0,9,,,9,2312,3836,3836.0,,,,1053,,,,,202.0,851,4889,7201,0.0,4849,155.0,4694.0,0.0,-3235.0,-446,1168,0.0,1168,8369,
10/28/2017,8785,185,185,0.0,0,0.0,0.0,3406,,,,,243,,,,,243.0,3834,4316,7779.0,-3463.0,0.0,635,,,,3.0,632,4951,,2423,1342,,,1081.0,232,0.0,,,,232.0,8,,,8,2663,4039,4039.0,,,,989,,,,,201.0,788,5028,7691,0.0,4857,156.0,4701.0,0.0,-3360.0,-403,1094,0.0,1094,8785,
02/03/2018,8454,458,458,0.0,0,0.0,0.0,2803,,,,,190,,9.0,,,190.0,3451,4281,7781.0,-3500.0,0.0,722,0.0,0.0,0.0,61.0,652,5003,,2128,973,0.0,0.0,1155.0,232,0.0,0.0,0.0,,232.0,9,0.0,1.0,8,2369,3780,3780.0,0.0,0.0,,922,0.0,153.0,0.0,153.0,143.0,625,4702,7071,0.0,4861,156.0,4705.0,0.0,-3118.0,-360,1383,0.0,1383,8454,
05/05/2018,8305,181,181,0.0,0,0.0,0.0,2948,,,,,223,,,,,223.0,3352,4200,7756.0,-3556.0,0.0,753,,,,74.0,679,4953,,1890,933,,,957.0,42,0.0,,,,42.0,7,,,7,1939,4142,4142.0,,,,909,,,,,142.0,767,5051,6990,0.0,4865,157.0,4708.0,0.0,-3196.0,-354,1315,0.0,1315,8305,
08/04/2018,8058,182,182,0.0,0,0.0,0.0,2824,,,,,221,,16.0,,,220.0,3227,4058,7351.0,-3293.0,0.0,773,,,,87.0,670,4831,,1935,910,,,1025.0,49,0.0,7.0,7.0,,42.0,0,,0.0,0,1984,3960,3960.0,,,,898,,,,,144.0,754,4858,6842,0.0,4866,157.0,4709.0,0.0,-3297.0,-353,1216,0.0,1216,8058,
11/03/2018,8744,185,185,0.0,0,0.0,0.0,3365,,,,,243,,,,,243.0,3793,4316,7779.0,-3463.0,0.0,635,,,,3.0,632,4951,,2398,1342,,,1056.0,232,0.0,,,,232.0,8,,,8,2638,4039,4039.0,,,,989,,,,,201.0,788,5028,7666,0.0,4857,156.0,4701.0,0.0,-3376.0,-403,1078,0.0,1078,8744,
02/02/2019,7721,333,333,0.0,0,0.0,0.0,2437,,,,0.0,189,,10.0,,,189.0,2959,3938,7363.0,-3425.0,0.0,824,609.0,0.0,609.0,147.0,58,4762,,1827,847,0.0,0.0,980.0,100,0.0,0.0,0.0,,100.0,15,0.0,0.0,0,1942,3716,3716.0,0.0,0.0,,893,0.0,116.0,0.0,116.0,131.0,646,4609,6551,0.0,4871,158.0,4713.0,0.0,-3373.0,-328,1170,0.0,1170,7721,
05/04/2019,8342,171,171,0.0,0,0.0,0.0,2477,,,,,287,,6.0,,,286.0,2935,4586,7925.0,-3339.0,0.0,821,0.0,,,156.0,659,5407,,1767,842,,,925.0,178,0.0,86.0,2.0,84.0,92.0,0,,25.0,0,1945,4908,3826.0,1082.0,,1082.0,455,,,,,119.0,311,5363,7308,0.0,4873,158.0,4715.0,0.0,-3553.0,-286,1034,0.0,1034,8342,
08/03/2019,8260,175,175,0.0,0,0.0,0.0,2471,,,,,275,,0.0,,,274.0,2921,4516,7683.0,-3167.0,0.0,823,,,,166.0,657,5339,,1848,878,,,970.0,280,0.0,83.0,1.0,82.0,197.0,1,,48.0,1,2129,4678,3588.0,1090.0,1.0,1089.0,490,,,,,121.0,321,5168,7297,0.0,4878,159.0,4719.0,0.0,-3601.0,-314,963,0.0,963,8260,
11/02/2019,8699,157,157,0.0,0,0.0,0.0,2934,,,,,285,,0.0,,,285.0,3376,4490,7758.0,-3268.0,0.0,833,,,,175.0,658,5323,,1951,1105,,,846.0,225,0.0,77.0,0.0,77.0,148.0,53,,0.0,0,2229,5123,4010.0,1113.0,1.0,1112.0,479,,,,,117.0,362,5602,7831,0.0,4880,160.0,4720.0,0.0,-3694.0,-318,868,0.0,868,8699,
02/01/2020,7989,386,386,0.0,0,0.0,0.0,2166,,,,,174,,0.0,,,174.0,2726,4486,7581.0,-3095.0,0.0,777,612.0,0.0,612.0,120.0,45,5263,,1659,786,0.0,0.0,873.0,215,0.0,67.0,0.0,67.0,148.0,58,0.0,0.0,0,1932,4682,3574.0,1108.0,0.0,1108.0,546,0.0,109.0,0.0,109.0,116.0,321,5228,7160,0.0,4883,160.0,4723.0,0.0,-3667.0,-387,829,0.0,829,7989,
05/02/2020,8223,698,698,0.0,0,0.0,0.0,2221,,,,,272,,0.0,,,272.0,3191,4278,7917.0,-3639.0,0.0,754,,,,138.0,616,5032,,1331,579,0.0,0.0,752.0,4968,0.0,84.0,0.0,84.0,4884.0,77,0.0,0.0,0,6376,1086,0.0,1086.0,,1086.0,413,0.0,,0.0,,48.0,365,1499,7875,0.0,4886,161.0,4725.0,0.0,-4215.0,-323,348,0.0,348,8223,
08/01/2020,8403,1031,1031,0.0,0,0.0,0.0,1891,,,,,916,,0.0,,,916.0,3838,3941,,,0.0,624,,,,27.0,597,4565,,1048,236,0.0,0.0,812.0,1204,0.0,,,,1204.0,900,0.0,77.0,900,3152,0,,,,,5340,0.0,,0.0,,39.0,5224,5340,8492,0.0,4882,161.0,4721.0,0.0,-4613.0,-358,-89,0.0,-89,8403,
