Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/31/2017,728.719,728.719,-400.643,400.643,328.076,0.0,-246.077,122.308,86.739,35.569,117.729,,6.04,81.999,-14.263,11.595,13.415,-1.82,2.946,-0.278,67.736,-7.726,60.01,0.0,0.0,0.0,60.01,0.0,60.01,0.0,0.0,60.01,61.44195,1.43195,142.464,0.42,0.42,0.431281,172.112,0.39,0.39,0.39832,
10/31/2017,744.449,744.449,-418.764,418.764,325.685,0.0,-269.886,132.058,95.877,36.181,119.108,,18.72,55.799,-13.274,11.956,13.926,-1.97,-2.279,3.597,42.525,1117.531,1160.056,0.0,0.0,0.0,1160.056,0.0,1160.056,0.0,0.0,1160.056,527.65915,-632.39685,143.097,8.11,8.11,3.687423,158.791,7.32,7.32,3.337426,
01/31/2018,646.135,646.135,-374.37,374.37,271.765,0.0,-255.029,126.921,88.515,38.406,118.524,,9.584,16.736,-12.159,12.159,13.734,-1.575,-0.013,0.013,4.577,-477.94,-473.363,0.0,0.0,0.0,-473.363,0.0,-473.363,0.0,0.0,-473.363,-468.97841,4.38459,143.922,-3.29,-3.29,-3.25856,143.922,-3.29,-3.29,-3.259535,
04/30/2018,729.978,729.978,-436.671,436.671,293.307,0.0,-261.241,136.335,97.359,38.976,116.924,,7.982,32.066,-11.735,9.819,13.031,-3.212,-4.804,6.72,20.331,-6.475,13.856,0.0,0.0,0.0,13.856,0.0,13.856,0.0,0.0,13.856,17.016608,3.160608,143.975,0.1,0.1,0.118191,147.973,0.09,0.09,0.111359,
07/31/2018,818.817,818.817,-467.274,467.274,351.543,0.0,-266.269,133.607,95.395,38.212,121.133,,11.529,85.274,-15.154,9.991,13.611,-3.62,6.879,-1.716,70.12,-19.28,50.84,0.0,0.0,0.0,50.84,0.0,50.84,0.0,0.0,50.84,59.09155,8.25155,143.4,0.35,0.35,0.412075,159.998,0.34,0.34,0.391573,
10/31/2018,899.356,899.356,-501.281,501.281,398.075,0.0,-302.205,157.33,112.791,44.539,134.983,,9.892,95.87,-42.117,10.446,14.873,-4.427,17.346,14.325,53.753,10.224,63.977,0.0,0.0,0.0,63.977,0.0,63.977,0.0,0.0,63.977,70.491762,6.514762,143.659,0.45,0.45,0.490688,157.745,0.34,0.34,0.381299,
01/31/2019,778.527,778.527,-455.186,455.186,323.341,0.0,-275.398,137.356,98.113,39.243,128.633,,9.409,47.943,-5.188,5.569,9.441,-3.872,-0.783,0.402,42.755,-9.139,33.616,0.0,0.0,0.0,33.616,,33.616,,,33.616,36.510998,2.894998,156.314,0.22,0.22,0.233575,158.174,0.21,0.21,0.228303,
04/30/2019,865.011,865.011,-490.334,490.334,374.677,0.0,-294.357,145.656,103.502,42.154,137.969,,10.732,80.32,-9.715,5.952,9.471,-3.519,-2.995,6.758,70.605,-17.867,52.738,0.0,0.0,0.0,52.738,0.0,52.738,0.0,0.0,52.738,56.872206,4.134206,156.17,0.34,0.34,0.364169,158.289,0.33,0.33,0.356118,
07/31/2019,960.606,960.606,-536.254,536.254,424.352,0.0,-299.051,146.925,104.23,42.695,139.88,,12.246,125.301,-8.354,5.929,9.404,-3.475,2.373,0.052,116.947,-30.198,86.749,0.0,0.0,0.0,86.749,0.0,86.749,0.0,0.0,86.749,92.352852,5.603852,155.488,0.56,0.56,0.593955,157.455,0.55,0.55,0.58559,
10/31/2019,967.987,967.987,-548.291,548.291,419.696,0.0,-326.494,167.508,117.201,50.307,141.657,,17.329,93.202,-10.319,5.592,9.136,-3.544,5.215,-0.488,82.883,-2.552,80.331,0.0,0.0,0.0,80.331,0.0,80.331,0.0,0.0,80.331,83.73401,3.40301,154.852,0.52,0.52,0.540736,156.612,0.51,0.51,0.531729,
01/31/2020,832.912,832.912,-462.377,462.377,370.535,0.0,-292.578,149.534,107.066,42.468,130.9,,12.144,77.957,-5.815,5.425,8.815,-3.39,0.771,-0.381,72.142,-9.814,62.328,0.0,0.0,0.0,62.328,0.0,62.328,0.0,0.0,62.328,66.520949,4.192949,154.334,0.4,0.4,0.431019,155.738,0.4,0.4,0.426923,
05/02/2020,894.053,894.053,-480.727,480.727,413.326,0.0,-285.838,143.244,101.214,42.03,131.53,,11.064,127.488,-10.525,5.837,7.86,-2.023,-4.067,8.755,116.963,-25.308,91.655,0.0,0.0,0.0,91.655,0.0,91.655,0.0,0.0,91.655,95.758367,4.103367,153.858,0.6,0.6,0.622381,155.141,0.59,0.59,0.616449,
08/01/2020,976.712,976.712,-512.031,512.031,464.681,0.0,-276.645,136.398,94.763,41.635,130.221,,10.026,188.036,-7.019,,7.251,,,-0.232,181.017,-38.75,142.267,0.0,0.0,0.0,142.267,0.0,142.267,0.0,0.0,142.267,145.501959,3.234959,154.184,0.92,0.92,0.94369,156.318,0.91,0.91,0.930695,
10/31/2020,826.267,,,,387.13914018,,,,,,,,,135.231,,,,,,,125.25,,83.82,,,,,,83.82,,,83.82,100.129,,,0.45,0.45,0.628,,0.45,0.45,0.628,
01/31/2021,781.0,,,,361.36089,,,,,,,,,110.069,,,,,,,104.175,,57.1,,,,,,57.1,,,57.1,79.986,,,0.335,0.335,0.504,,0.335,0.335,0.504,
