Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2012,175.502,83.325,13.366,5.926,11.254,-14.24,18.433,14.343,-7.282,61.631,129.762,-16.885,31.057,-82.303,0.0,-218.597,-23.943,0.0,-23.943,-141.263,54.53,0.0,0.0,204.238,-195.793,0.0,0.0,-332.886,-195.413,-195.413,0.0,0.0,23.01,0.0,23.01,0.0,119.012,292.121,-18.127,-17.78,-17.78,0.0,0.0,0.0,9.636,10.007,-0.371,322.409,-4.017,1.959,250.985,52.824,40.046,
12/31/2012,237.989,85.874,16.418,3.954,21.854,-4.501,2.104,15.712,8.539,109.889,-27.78,-8.309,-70.335,216.313,0.0,-382.624,-18.935,0.0,-18.935,29.832,35.144,0.0,0.0,35.144,-5.312,0.0,0.0,-5.312,-387.071,-387.071,0.0,0.0,-6.45,0.0,-6.45,0.0,0.0,354.363,-17.968,4.73,4.73,0.0,0.0,0.0,20.649,28.92,-8.271,346.952,0.0,-2.041,207.687,10.65,27.093,
03/31/2013,-61.981,-5.914,16.593,7.011,66.361,-66.041,-2.3,15.464,119.238,-146.032,112.655,-0.965,91.142,-348.864,0.0,-108.655,-27.998,0.0,-27.998,-25.001,28.716,0.0,0.0,28.716,-53.717,0.0,0.0,-53.717,-55.656,-55.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.748,-19.489,34.78,34.78,0.0,0.0,0.0,16.771,17.811,-1.04,127.686,0.0,-2.67,-13.558,72.461,26.349,
06/30/2013,237.169,83.862,15.879,4.642,21.911,-9.997,-1.341,13.85,19.399,110.875,253.919,-103.511,-63.967,24.434,0.0,214.402,-18.824,0.0,-18.824,261.908,263.949,0.0,0.0,263.949,-2.041,0.0,0.0,-2.041,-28.682,-28.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.388,-19.545,-78.872,-78.872,0.0,0.0,0.0,5.996,7.266,-1.27,56.033,0.0,-3.787,411.396,48.841,27.099,
09/30/2013,246.628,117.458,17.469,-1.663,-24.519,-0.092,-30.252,14.246,-8.421,137.883,-86.693,-78.422,104.668,198.33,0.0,-375.097,-7.122,0.0,-7.122,223.917,224.949,0.0,0.0,224.949,-1.032,0.0,0.0,-1.032,-591.892,-591.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.709,-19.591,-10.587,-10.587,0.0,0.0,0.0,3.453,4.59,-1.137,164.987,-0.553,1.831,11.071,57.778,26.277,
12/31/2013,16.516,116.633,16.609,5.265,-4.851,-6.664,-4.343,14.953,-8.797,-117.14,117.067,114.995,15.147,-364.349,0.0,-505.294,-12.691,0.0,-12.691,93.276,109.403,0.0,0.0,109.403,-16.127,0.0,0.0,-16.127,-585.879,-585.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.736,-20.28,-5.544,-5.544,0.0,0.0,0.0,11.493,16.521,-5.028,710.067,0.0,-1.622,205.336,78.074,24.448,
03/31/2014,116.577,104.56,15.835,4.074,-14.045,-11.247,-19.175,12.586,3.791,6.153,-176.408,33.383,-29.247,178.425,0.0,-657.175,-18.629,0.0,-18.629,91.846,,,,,,,,,-728.385,-728.385,0.0,0.0,-2.007,0.0,-2.007,0.0,0.0,391.204,-22.48,-9.538,-9.538,0.0,0.0,0.0,13.856,15.04,-1.184,409.366,0.0,-10.682,-160.076,101.414,25.302,
06/30/2014,317.827,122.689,15.714,5.885,-0.841,-3.822,-2.636,16.276,-10.659,174.38,115.178,38.728,33.249,-12.775,0.0,-404.959,-12.784,0.0,-12.784,102.413,120.104,0.0,0.0,120.104,-17.691,0.0,0.0,-17.691,-494.588,-494.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.297,-22.682,466.184,466.184,0.0,0.0,0.0,3.761,5.343,-1.582,-146.966,0.0,-9.284,203.881,78.723,26.224,
09/30/2014,56.667,136.366,16.005,11.19,27.18,-1.071,-9.017,18.357,18.911,-134.074,-102.363,19.56,-7.405,-43.866,0.0,-529.336,-16.045,,-16.045,69.454,69.467,,,,-0.013,,,,-582.459,-582.459,,,0.0,0.0,0.0,0.0,-0.286,-163.276,-22.66,94.765,-401.591,0.0,500.367,-4.011,3.533,4.166,-0.633,-238.914,0.0,-10.749,-646.694,61.068,25.116,
12/31/2014,239.649,126.296,16.327,11.267,0.117,-6.704,-4.09,13.298,-2.387,85.642,14.616,154.499,-107.713,24.24,0.0,-765.438,-13.058,0.0,-13.058,14.283,32.4,0.0,0.0,32.4,-18.117,0.0,0.0,-18.117,-766.663,-766.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.527,-23.626,-60.674,-60.674,0.0,0.0,0.0,13.732,26.44,-12.708,1060.095,0.0,-13.416,450.322,66.578,26.867,
03/31/2015,141.037,113.463,17.602,6.045,-7.549,-14.574,-22.187,19.634,9.578,11.476,19.717,-145.098,41.928,94.929,0.0,-500.208,-16.585,0.0,-16.585,28.947,43.757,0.0,33.902,9.855,-14.81,0.0,0.0,-14.81,-512.57,-512.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.376,-25.779,115.667,115.667,0.0,0.0,0.0,13.494,15.663,-2.169,182.994,0.0,-36.453,-109.248,142.993,26.213,
06/30/2015,84.1,133.195,17.122,2.609,11.193,-21.366,2.25,31.368,-1.059,-80.019,11.778,27.373,-45.366,-73.804,,331.241,-22.022,0.0,-22.022,166.515,,,,,,,,,183.182,183.182,0.0,0.0,0.0,0.0,0.0,0.0,3.566,-366.608,-27.71,-53.33,-95.486,0.0,300.198,-258.042,-24.171,,,-261.397,0.0,-6.789,41.944,102.36,27.307,
09/30/2015,434.391,129.186,17.264,14.356,42.901,0.1,0.565,15.303,26.933,230.684,-5.455,23.139,-30.104,243.104,0.0,-1233.554,-22.446,0.0,-22.446,124.768,266.273,0.0,154.542,111.731,-141.505,0.0,-92.485,-49.02,-1104.81,-1104.81,0.0,0.0,-15.823,0.0,-15.823,0.0,-5.498,816.61,-26.028,-14.879,-13.77,0.0,250.101,-251.21,-48.693,39.849,-88.542,909.265,0.0,1.478,18.925,66.997,25.926,
12/31/2015,247.973,106.329,17.909,22.588,29.669,2.587,6.631,22.4,-1.949,71.478,162.685,-18.345,-112.578,39.716,0.0,-849.645,-32.581,0.0,-32.581,-46.412,57.002,0.0,21.627,35.375,-103.414,0.0,-77.223,-26.191,-770.371,-770.371,0.0,0.0,0.0,0.0,0.0,0.0,-0.281,621.778,-27.106,-91.091,-115.0,0.0,25.0,-1.091,2.247,14.386,-12.139,737.728,0.0,-24.724,-4.618,33.917,26.7,
03/31/2016,-305.472,125.847,17.743,16.367,-5.341,-6.439,-19.926,20.335,0.689,-460.088,-179.393,-78.232,-21.438,-181.025,0.0,-736.834,-25.599,0.0,-25.599,4.568,52.7,0.0,22.632,30.068,-48.132,0.0,-10.453,-37.679,-720.516,-720.516,0.0,0.0,0.0,0.0,0.0,0.0,4.713,-88.47,-29.046,-1.09,0.0,0.0,0.0,-1.09,-130.182,16.854,-147.036,71.848,0.0,14.174,-1116.602,90.604,28.848,
06/30/2016,307.565,125.504,18.312,-7.933,301.149,-14.432,-20.562,-16.749,352.892,-129.467,-81.61,59.531,-27.75,-79.638,,-452.667,-28.338,0.0,-28.338,76.244,,,,,,,,,-489.306,-489.306,,,0.0,0.0,0.0,0.0,-11.267,1111.598,-28.845,99.631,100.737,0.0,0.0,-1.106,38.075,40.401,-2.326,1002.737,0.0,-3.737,962.759,86.268,30.203,
09/30/2016,-823.384,171.67,18.419,11.372,-329.204,-6.726,-24.941,50.44,-347.977,-695.641,79.728,-97.039,-283.553,-394.777,0.0,-878.757,-35.215,0.0,-35.215,-193.022,,,,,,,,,-420.054,-420.054,0.0,0.0,-175.283,0.0,-175.283,0.0,-55.183,895.573,-28.438,440.364,-100.737,0.0,792.221,-251.12,-29.311,,,530.353,-17.395,14.475,-792.093,93.004,27.766,
12/31/2016,807.299,146.567,19.941,33.017,31.612,-10.185,10.928,40.545,-9.676,576.162,152.474,120.393,20.608,282.687,0.0,-1094.74,-78.371,0.0,-78.371,-259.117,118.118,0.0,110.81,7.308,-377.235,0.0,-377.235,0.0,-774.376,-774.376,0.0,0.0,0.0,0.0,0.0,0.0,17.124,1174.778,-31.255,307.262,208.4,0.0,100.0,-1.138,-1.915,24.143,-26.058,927.243,-26.557,-9.514,877.823,13.71,32.442,
03/31/2017,227.952,112.755,21.018,110.976,-35.162,-8.791,-49.109,25.47,-2.732,18.365,-53.23,-157.036,22.597,206.034,0.0,-789.952,-44.681,0.0,-44.681,-498.081,136.922,0.0,38.007,98.915,-635.003,0.0,-635.003,0.0,-280.947,-280.947,0.0,0.0,0.0,0.0,0.0,0.0,33.757,666.17,-31.772,-159.553,-158.4,0.0,0.0,-1.153,16.841,19.846,-3.005,1187.754,-347.1,3.881,108.051,130.962,44.548,
06/30/2017,292.836,183.424,21.19,15.138,132.191,-4.492,-18.767,23.214,132.236,-59.107,-99.234,57.653,-40.615,23.089,0.0,-787.163,-29.663,0.0,-29.663,-115.529,296.939,0.0,115.493,181.446,-412.468,0.0,-412.468,0.0,-675.791,-675.791,,,0.0,0.0,0.0,0.0,33.82,461.306,-32.295,-301.17,-400.0,0.0,750.0,-651.17,512.567,515.683,-3.116,-66.663,348.867,12.174,-20.847,98.913,15.94,
09/30/2017,-1453.087,193.489,21.851,-123.131,-21.876,-4.532,44.948,19.771,-82.063,-1523.42,,75.99,135.41,-1734.82,0.0,-704.145,-37.285,0.0,-37.285,-134.273,174.021,0.0,128.69,45.331,-308.294,0.0,-308.294,0.0,-522.886,-522.886,0.0,0.0,0.0,0.0,0.0,0.0,-9.701,1762.746,-31.678,916.461,960.0,0.0,608.0,-651.539,23.0,57.0,-34.0,1421.666,-39.21,40.459,-354.027,105.415,63.07,
12/31/2017,422.0,119.0,23.0,9.0,148.0,0.0,121.0,38.0,-11.0,123.0,-47.0,104.0,-130.0,196.0,0.0,-1074.0,-36.0,0.0,-36.0,-204.0,136.0,0.0,136.0,0.0,-340.0,0.0,-340.0,0.0,-645.0,-645.0,0.0,0.0,-159.0,0.0,-159.0,0.0,-30.0,980.0,-32.0,19.0,-280.0,0.0,300.0,-1.0,6.0,26.0,-20.0,993.0,-6.0,-7.0,321.0,9.0,28.0,
03/31/2018,184.0,243.0,24.0,5.0,7.0,-5.0,-16.0,18.0,10.0,-95.0,-119.0,-228.0,70.0,182.0,0.0,-741.0,-34.0,0.0,-34.0,-126.0,189.0,0.0,98.0,91.0,-315.0,0.0,-315.0,0.0,-593.0,-593.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-668.0,-39.0,-631.0,-330.0,0.0,0.0,-301.0,15.0,18.0,-3.0,-13.0,0.0,-23.0,-1248.0,74.0,56.0,
06/30/2018,-382.0,232.0,25.0,20.0,24.0,8.0,-6.0,19.0,3.0,-683.0,78.0,76.0,-83.0,-754.0,0.0,-683.0,-26.0,0.0,-26.0,-69.0,175.0,0.0,126.0,49.0,-244.0,0.0,-244.0,0.0,-637.0,-637.0,,,0.0,0.0,0.0,0.0,49.0,730.0,-36.0,-2.0,0.0,0.0,850.0,-852.0,9.0,10.0,-1.0,767.0,-8.0,-17.0,-352.0,109.0,43.0,
09/30/2018,660.0,263.0,27.0,21.0,43.0,18.0,18.0,24.0,-17.0,306.0,,43.0,-40.0,303.0,0.0,-978.0,-38.0,0.0,-38.0,8.0,233.0,0.0,180.0,53.0,-225.0,0.0,-225.0,0.0,-943.0,-943.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,378.0,-44.0,-1.0,0.0,0.0,0.0,-1.0,-29.0,9.0,-38.0,463.0,-11.0,14.0,74.0,39.0,74.0,
12/31/2018,225.0,249.0,26.0,32.0,113.0,3.0,6.0,37.0,67.0,-195.0,62.0,-60.0,48.0,-245.0,0.0,-533.0,-27.0,0.0,-27.0,-11.0,280.0,0.0,280.0,0.0,-291.0,0.0,-291.0,0.0,-461.0,-461.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,1526.0,-47.0,299.0,0.0,0.0,300.0,-1.0,-457.0,23.0,-480.0,1731.0,0.0,-55.0,1163.0,10.0,62.0,
03/31/2019,-205.0,261.0,27.0,6.0,-7.0,4.0,-7.0,28.0,-32.0,-492.0,-98.0,7.0,-24.0,-377.0,0.0,-377.0,-32.0,,-32.0,-19.0,199.0,0.0,199.0,0.0,-218.0,0.0,-218.0,0.0,-318.0,-318.0,,,0.0,0.0,0.0,0.0,-8.0,-427.0,-48.0,-302.0,0.0,0.0,0.0,-302.0,-21.0,20.0,-41.0,-55.0,-1.0,24.0,-985.0,178.0,85.0,
06/30/2019,-121.0,259.0,28.0,7.0,-4.0,7.0,-21.0,23.0,-13.0,-411.0,-16.0,-8.0,-25.0,-362.0,0.0,-476.0,-43.0,,-43.0,7.0,187.0,,,,-180.0,0.0,-180.0,0.0,-447.0,-447.0,,,-5.0,0.0,-5.0,0.0,12.0,411.0,-48.0,49.0,50.0,0.0,250.0,-251.0,-85.0,10.0,-95.0,548.0,-53.0,19.0,-167.0,107.0,61.0,
09/30/2019,678.0,265.0,31.0,14.0,61.0,0.0,-1.0,24.0,38.0,307.0,,53.0,-46.0,300.0,0.0,-511.0,-36.0,0.0,-36.0,-125.0,213.0,,,,-338.0,0.0,-338.0,0.0,-379.0,-379.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,-137.0,-48.0,-51.0,-50.0,0.0,0.0,-1.0,-150.0,12.0,-162.0,115.0,-3.0,-11.0,19.0,95.0,75.0,
12/31/2019,546.0,268.0,30.0,1.0,41.0,8.0,16.0,43.0,-26.0,206.0,4.0,68.0,-103.0,237.0,0.0,-502.0,-36.0,0.0,-36.0,-83.0,231.0,0.0,231.0,0.0,-314.0,0.0,-314.0,0.0,-365.0,-365.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,654.0,-51.0,5.0,856.0,0.0,0.0,-851.0,6.0,25.0,-19.0,694.0,0.0,21.0,719.0,9.0,39.0,
03/31/2020,2397.0,169.0,28.0,123.0,134.0,35.0,-30.0,31.0,98.0,1943.0,-4.0,205.0,83.0,1659.0,0.0,-1588.0,-35.0,,-35.0,-860.0,229.0,0.0,229.0,0.0,-1089.0,0.0,-1089.0,0.0,-701.0,-701.0,,,0.0,0.0,0.0,0.0,8.0,7297.0,-52.0,487.0,-361.0,0.0,850.0,-2.0,-185.0,18.0,-203.0,7048.0,-1.0,-103.0,8003.0,167.0,53.0,
06/30/2020,-288.0,172.0,30.0,85.0,-44.0,10.0,1.0,23.0,-78.0,-531.0,216.0,-47.0,29.0,-729.0,0.0,-930.0,-26.0,,-26.0,-966.0,778.0,0.0,506.0,272.0,-1744.0,0.0,-1744.0,0.0,88.0,88.0,,,-5.0,0.0,-5.0,0.0,-21.0,-4693.0,-51.0,-2.0,-1.0,0.0,0.0,-1.0,12.0,12.0,0.0,-4651.0,-1.0,55.0,-5856.0,26.0,26.0,
