Date,Revenue,Revenue From Electric,Revenue from Gas,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1996,1920.340942,1708.145996,141.121002,,0.0,71.073997,-519.093994,480.499008,145.942001,334.557007,38.595001,,,,1401.246948,-809.547974,100.369003,121.273003,302.98999,284.915985,591.698975,-83.501003,,,0.883,83.119003,77.956001,-0.415,5.578,1.265,508.197971,-180.210007,327.988007,0.0,,,327.987965,0.0,327.988007,-4.606,,323.382007,323.382007,,234.981003,1.38,1.38,1.38,234.981003,1.38,1.38,1.38,
12/31/1996,1632.295044,1302.396973,243.656998,,0.0,86.240997,-538.047974,435.765991,123.056,312.709991,102.281998,,,,1094.24707,-826.054016,109.328003,122.593002,279.699005,314.43399,268.192993,-78.916002,,,1.327,80.038002,77.389,-0.623,3.272,0.205,189.276991,-69.129997,120.147003,0.0,,,120.146994,0.0,120.147003,-4.61,,115.537003,115.537003,,234.988998,0.49,0.49,0.49,234.988998,0.49,0.49,0.49,
03/31/1997,1886.147949,1268.949951,455.019989,,0.0,162.177994,-726.774048,504.062012,151.354004,352.708008,222.712006,,,,1159.373901,-819.716003,114.222,123.751999,304.962006,276.779999,339.657898,-80.859997,,,1.8,82.283997,78.751999,-0.882,4.414,0.376,258.797901,-92.190002,166.60791,0.0,,,166.607899,0.0,166.60791,-4.604,,162.00391,162.00391,,235.001007,0.689375,0.689375,0.689375,235.001007,0.689375,0.689375,0.689375,
06/30/1997,1504.013916,1228.365967,213.376007,,0.0,62.271999,-522.054993,436.647011,122.426003,314.221008,85.407997,,,,981.958923,-825.93103,146.858994,124.931999,270.802002,283.338013,156.027954,-83.129001,,,1.52,81.734001,79.192001,-0.745,3.287,2.915,72.898953,-25.34,47.558956,0.0,,,47.558953,0.0,47.558956,-4.603,,42.955956,42.955956,,235.016006,0.182779,0.182779,0.182779,235.016006,0.182779,0.182779,0.182779,
09/30/1997,2011.027954,1786.146973,157.623001,,0.0,67.258003,-572.466003,525.740983,188.707993,337.03299,46.724998,,,,1438.561951,-813.031006,106.228996,126.389,312.709015,267.70401,625.531006,-85.086001,,,0.756,83.221001,80.330002,-0.371,3.262,2.621,540.445005,-185.399994,355.044983,0.0,,,355.045011,0.0,355.044983,-4.601,,350.443983,350.443983,,235.029999,1.491061,1.491061,1.491061,235.029999,1.491061,1.491061,1.491061,
12/31/1997,1720.063965,1352.112061,267.860992,,0.0,100.091003,-604.16803,479.795013,134.335999,345.459015,124.373001,,,,1115.895935,-808.815002,107.477997,127.706001,292.608002,281.02301,307.080994,-86.680006,,,0.372,85.822006,79.884003,-0.182,6.12,1.23,220.400987,-76.790001,143.610992,0.0,,,143.610987,0.0,143.610992,-4.536,,139.074993,139.074993,,235.235001,0.591217,0.591217,0.591217,235.235001,0.591217,0.591217,0.591217,
03/31/1998,1853.046997,1291.322998,399.170013,,0.0,162.554001,-682.242981,492.804001,134.554001,358.25,189.438995,,,,1170.804016,-824.281982,117.974998,128.257996,302.218994,275.829987,346.522003,-77.129,,,0.512,80.042,79.057999,-0.263,1.247,-2.401,269.393003,-92.940002,176.453003,0.0,,,176.453001,0.0,176.453003,-4.536,,171.917003,171.917003,,235.490005,0.73,0.73,0.73,235.490005,0.73,0.73,0.73,
06/30/1998,1561.041016,1286.319946,196.561996,,0.0,78.158997,-535.197998,448.295998,123.870003,324.425995,86.902,,,,1025.843018,-841.776978,132.709,129.264999,290.415009,289.388,184.065994,-82.064004,,,0.575,86.757004,76.985001,-0.294,10.066,-4.118,102.00199,-35.490002,66.512001,0.0,,,66.511988,0.0,66.512001,-4.536,,61.976001,61.976001,,234.992004,0.264,0.264,0.264,234.992004,0.264,0.264,0.264,
09/30/1998,2061.623047,1818.855957,139.927994,,0.0,102.838997,-586.539001,525.308991,203.186005,322.122986,61.23,,,,1475.084046,-844.79303,115.259003,130.205994,326.062988,273.265015,630.291016,-88.076,,,0.647,80.402,76.820999,-0.332,3.913,8.321,542.215016,-190.660004,351.554993,0.0,,,351.555012,0.0,351.554993,-4.537,,347.017993,347.017993,,233.628006,1.49,1.49,1.49,233.628006,1.49,1.49,1.49,
12/31/1998,1617.337036,1277.947021,223.949005,,0.0,115.441002,-466.117004,366.379997,117.396004,248.983994,99.737,,,,1151.220032,-851.13501,111.470001,130.785004,289.404999,319.475006,300.084991,-78.536001,,,0.697,78.624001,75.806999,-0.357,3.174,0.609,221.548991,-86.32,135.229004,0.0,,,135.228991,0.0,135.229004,-3.398,,131.831004,131.831004,,233.098007,0.56,0.56,0.56,233.098007,0.56,0.56,0.56,
