Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,6865,104,104,0.0,1100,,0.0,0.0,0.0,0.0,0.0,717,64.0,,233.0,530.0,109.0,1921,1460,2378.0,-918.0,215,215.0,3269,2245.0,894.0,1351.0,,224.0,270,4944,,2059,605,0.0,0.0,1454.0,324.0,0.0,,,,324.0,677,0.0,,677,3060,3457,3457.0,,,,2548,0.0,0.0,0.0,0.0,16.0,2532,6005,9065,0.0,2807,5.0,2802.0,-9223,4286.0,-70,-2200,0.0,-2200,6865,
03/31/2015,6803,120,120,0.0,1172,,0.0,0.0,0.0,0.0,0.0,536,64.0,,45.0,469.0,116.0,1828,1446,,,154,154.0,3375,2289.0,894.0,1395.0,,217.0,400,4975,,2030,604,,,1426.0,325.0,0.0,,,,325.0,675,,,675,3030,3703,3703.0,,,,2607,,,,,,2607,6310,9340,0.0,2745,5.0,2740.0,-9593,4401.0,-90,-2537,0.0,-2537,6803,
06/30/2015,6321,140,140,0.0,1188,,0.0,0.0,0.0,0.0,0.0,578,68.0,,145.0,397.0,56.0,1906,987,1896.0,-909.0,154,154.0,3274,2414.0,962.0,1452.0,,216.0,247,4415,,2070,640,,,1430.0,614.0,0.0,,,,614.0,833,,,833,3517,3303,3303.0,,,,2534,,,,,,2534,5837,9354,0.0,2786,5.0,2781.0,-10304,4573.0,-88,-3033,0.0,-3033,6321,
09/30/2015,6153,95,95,0.0,1144,,0.0,0.0,0.0,0.0,0.0,484,58.0,,139.0,450.0,30.0,1723,985,1881.0,-896.0,154,154.0,3291,2420.0,970.0,1450.0,,174.0,247,4430,,1356,577,,,779.0,615.0,0.0,,,,615.0,1538,,,1538,3509,3689,3689.0,,,,2544,,,,,,2544,6233,9742,0.0,2796,5.0,2791.0,-11005,4740.0,-120,-3589,0.0,-3589,6153,
12/31/2015,6082,96,96,0.0,1103,,0.0,0.0,0.0,0.0,0.0,185,77.0,,78.0,672.0,30.0,1384,1029,1926.0,-897.0,215,215.0,3454,2394.0,943.0,1451.0,,165.0,223,4698,,1981,593,0.0,0.0,1388.0,300.0,0.0,,,,300.0,952,0.0,,952,3233,3807,3807.0,,,,2632,0.0,0.0,0.0,0.0,16.0,2616,6439,9672,0.0,2826,5.0,2821.0,-11098,4878.0,-196,-3590,0.0,-3590,6082,
03/31/2016,6121,99,99,0.0,1143,,0.0,0.0,0.0,0.0,0.0,182,79.0,,78.0,620.0,25.0,1424,1042,,,218,218.0,3437,2414.0,946.0,1468.0,,169.0,234,4697,,1934,597,,,1337.0,300.0,0.0,,,,300.0,1013,,,1013,3247,3859,3859.0,,,,2682,,,,,,2682,6541,9788,0.0,2756,5.0,2751.0,-11271,5025.0,-177,-3667,0.0,-3667,6121,
06/30/2016,6650,679,679,0.0,1152,,0.0,0.0,0.0,0.0,0.0,128,71.0,,31.0,586.0,26.0,1959,1056,,,227,227.0,3408,2420.0,947.0,1473.0,,179.0,223,4691,,1949,621,,,1328.0,303.0,0.0,,,,303.0,992,,,992,3244,4057,4057.0,,,,2811,,,,,,2811,6868,10112,0.0,2792,5.0,2787.0,-11266,5185.0,-173,-3462,0.0,-3462,6650,
09/30/2016,25002,1078,1078,0.0,1705,,0.0,0.0,0.0,0.0,0.0,1004,168.0,,771.0,92.0,65.0,3787,2411,,,240,240.0,18564,17223.0,7175.0,10048.0,,830.0,419,21215,,3053,667,,,2386.0,316.0,0.0,,,,316.0,1860,,,1860,5229,8506,8339.0,167.0,167.0,,5426,,,,,1308.0,4118,13932,19161,0.0,5745,5.0,5740.0,-6110,6375.0,-169,5841,0.0,5841,25002,
12/31/2016,24140,858,858,0.0,1695,,0.0,0.0,0.0,0.0,0.0,818,168.0,,588.0,116.0,62.0,3371,2335,3320.0,-985.0,245,245.0,18189,16868.0,7598.0,9270.0,40.0,728.0,437,20769,,2972,687,0.0,0.0,2285.0,309.0,0.0,,,,309.0,1866,0.0,,1866,5147,8197,8024.0,173.0,173.0,,5439,0.0,40.0,,,1020.0,4379,13636,18783,0.0,5813,5.0,5808.0,-6460,6501.0,-497,5357,0.0,5357,24140,
03/31/2017,23925,738,738,0.0,1752,,0.0,0.0,0.0,0.0,0.0,631,231.0,,400.0,119.0,0.0,3121,2109,,,267,267.0,18428,17125.0,7802.0,9323.0,,745.0,439,20804,,2966,661,,,2305.0,309.0,0.0,,,,309.0,1948,,,1948,5223,8161,7988.0,173.0,173.0,,5373,,,,,891.0,4482,13534,18757,0.0,5716,5.0,5711.0,-6986,6750.0,-312,5168,0.0,5168,23925,
06/30/2017,23881,498,498,0.0,1804,,0.0,0.0,0.0,0.0,0.0,528,243.0,,285.0,119.0,0.0,2830,2102,,,275,275.0,18674,17351.0,8582.0,8769.0,,762.0,442,21051,,3013,650,,,2363.0,402.0,0.0,,,,402.0,1948,,,1948,5363,7911,7738.0,173.0,173.0,,5706,,,,,994.0,4712,13617,18980,0.0,5717,5.0,5712.0,-7700,7040.0,-156,4901,0.0,4901,23881,
09/30/2017,24236,508,508,0.0,1914,,0.0,0.0,0.0,0.0,0.0,522,225.0,,297.0,110.0,0.0,2944,1894,,,228,228.0,19170,17940.0,9182.0,8758.0,,720.0,400,21292,,3251,733,,,2518.0,398.0,0.0,,,,398.0,1959,,,1959,5608,8271,8099.0,172.0,172.0,,5845,,,,,927.0,4918,14116,19724,0.0,5749,5.0,5744.0,-8498,7310.0,-49,4512,0.0,4512,24236,
12/31/2017,23846,383,383,0.0,1973,,0.0,0.0,0.0,0.0,0.0,384,235.0,,149.0,93.0,0.0,2740,1793,2890.0,-1097.0,142,142.0,19171,17751.0,9207.0,8544.0,56.0,734.0,537,21106,,3288,783,0.0,0.0,2505.0,398.0,0.0,,,,398.0,2121,583.0,,2121,5807,7840,7669.0,171.0,171.0,,6617,0.0,40.0,,,605.0,5389,14457,20264,0.0,5775,5.0,5770.0,-9418,7242.0,-17,3582,0.0,3582,23846,
03/31/2018,24484,701,701,0.0,2098,,0.0,0.0,0.0,0.0,0.0,353,232.0,,121.0,172.0,0.0,3152,1791,,,147,147.0,19394,17864.0,9270.0,8594.0,,754.0,604,21332,,3243,766,,,2477.0,988.0,0.0,,,,988.0,2238,645.0,,2238,6469,7858,7688.0,170.0,170.0,,6591,,,,,634.0,5312,14449,20918,0.0,5690,5.0,5685.0,-10163,7898.0,141,3566,0.0,3566,24484,
06/30/2018,23844,366,366,0.0,2174,,0.0,0.0,0.0,0.0,0.0,277,264.0,,13.0,171.0,0.0,2817,1958,,,121,121.0,18948,17543.0,9103.0,8440.0,,638.0,596,21027,,3111,834,,,2277.0,616.0,0.0,,,,616.0,2177,645.0,,2177,5904,8375,8207.0,168.0,168.0,,6724,,,,,567.0,5512,15099,21003,0.0,5733,5.0,5728.0,-11011,8363.0,-244,2841,0.0,2841,23844,
09/30/2018,23833,373,373,0.0,2175,,0.0,0.0,0.0,0.0,0.0,255,242.0,,13.0,171.0,0.0,2803,1967,,,122,122.0,18941,17470.0,9067.0,8403.0,,689.0,611,21030,,3129,759,,,2370.0,617.0,0.0,,,,617.0,2305,632.0,,2305,6051,8710,8543.0,167.0,167.0,,6748,,,,,551.0,5565,15458,21509,0.0,5778,5.0,5773.0,-11850,8705.0,-309,2324,0.0,2324,23833,
12/31/2018,23696,316,316,0.0,2133,,0.0,0.0,0.0,0.0,0.0,257,249.0,,8.0,171.0,0.0,2706,1956,3473.0,-1517.0,125,125.0,18909,17419.0,9039.0,8380.0,21.0,732.0,566,20990,,3075,767,0.0,0.0,2308.0,833.0,0.0,,,,833.0,2529,3663.0,,2529,6437,8514,8351.0,163.0,163.0,,6520,0.0,35.0,,,485.0,2337,15034,21471,0.0,5819,5.0,5814.0,-12185,8982.0,-391,2225,0.0,2225,23696,
03/31/2019,24746,258,258,0.0,2218,,0.0,0.0,0.0,0.0,0.0,259,259.0,,,171.0,0.0,2735,2940,,,124,124.0,18947,17655.0,9053.0,8602.0,,584.0,537,22011,,2861,745,,,2116.0,362.0,0.0,137.0,6.0,131.0,225.0,2625,743.0,,2625,5848,10914,9869.0,1045.0,156.0,889.0,6381,,,,,441.0,5197,17295,23143,0.0,5711,5.0,5706.0,-12967,9219.0,-360,1603,0.0,1603,24746,
06/30/2019,24893,284,284,0.0,2328,,0.0,0.0,0.0,0.0,0.0,257,257.0,,,171.0,0.0,2869,2922,,,97,97.0,19005,17681.0,9067.0,8614.0,,580.0,573,22024,,3111,927,,,2184.0,356.0,0.0,133.0,6.0,127.0,223.0,2157,768.0,,2157,5624,11078,10031.0,1047.0,154.0,893.0,6951,,,,,359.0,5824,18029,23653,0.0,5734,5.0,5729.0,-13460,9292.0,-326,1240,0.0,1240,24893,
09/30/2019,24812,276,276,0.0,2394,,0.0,0.0,0.0,0.0,0.0,230,,,,169.0,230.0,2900,2915,,,109,109.0,18888,17540.0,8990.0,8550.0,,580.0,599,21912,,3195,813,,,2382.0,358.0,0.0,137.0,6.0,131.0,221.0,2185,4238.0,,2185,5738,11420,10399.0,1021.0,153.0,868.0,6816,,,,,291.0,2287,18236,23974,0.0,5778,5.0,5773.0,-13958,9522.0,-504,838,0.0,838,24812,
12/31/2019,25051,225,225,0.0,2395,,0.0,0.0,0.0,0.0,0.0,507,252.0,,255.0,154.0,0.0,3127,2792,4093.0,-1301.0,117,117.0,19015,17689.0,9048.0,8641.0,,577.0,595,21924,,3442,720,0.0,0.0,2722.0,1107.0,0.0,136.0,6.0,130.0,971.0,2128,4300.0,,2128,6677,10845,9812.0,1033.0,151.0,882.0,6826,0.0,,,,290.0,2236,17671,24348,0.0,5805,5.0,5800.0,-14385,9644.0,-361,703,0.0,703,25051,
03/31/2020,25549,1760,1760,0.0,2068,,0.0,0.0,0.0,0.0,0.0,221,213.0,,8.0,155.0,0.0,4049,2636,,,144,144.0,18720,17387.0,8901.0,8486.0,,562.0,616,21500,,3302,828,,,2474.0,1801.0,0.0,143.0,6.0,137.0,1658.0,1413,5156.0,,1413,6516,11415,10419.0,996.0,150.0,846.0,7638,,,,,212.0,2270,19053,25569,0.0,5716,5.0,5711.0,-14501,9504.0,-739,-20,0.0,-20,25549,
06/30/2020,25680,2283,2283,0.0,1621,,0.0,0.0,0.0,0.0,0.0,209,201.0,,8.0,184.0,0.0,4113,2577,,,148,148.0,18842,17474.0,8962.0,8512.0,,534.0,650,21567,,2973,555,,,2418.0,1806.0,0.0,148.0,7.0,141.0,1658.0,1339,6265.0,,1339,6118,10963,9985.0,978.0,148.0,830.0,8678,,,,,121.0,2292,19641,25759,0.0,5758,5.0,5753.0,-14499,9270.0,-608,-79,0.0,-79,25680,
