Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
05/31/2002,,3.05097,1.83135,2.943907,4.130213,,9.859487,9.114721,3.399945,-6.523982,3.192915,2.446032,2.446032,2.446032,,23.391877,0.0,3.05097,
08/31/2002,,2.376888,1.415355,2.454084,4.44734,,9.676564,8.479159,3.424632,4.999764,0.182651,0.185383,0.185383,0.185383,,,0.0,2.376888,
11/30/2002,,2.363987,1.323883,2.488609,4.942481,,9.131225,7.902674,3.083279,3.077108,0.342431,0.782311,0.78231,0.78231,,,0.0,2.363987,
02/28/2003,,2.713789,1.531733,2.876112,5.917305,,9.153103,7.922389,2.830048,4.542015,0.808959,0.882437,0.882437,0.882437,,,0.0,2.713789,
05/31/2003,,1.602119,0.912701,,,,9.237318,7.840129,3.225365,2.822605,0.012056,0.366274,0.366275,0.366275,,,0.0,1.602119,
08/31/2003,,2.778726,1.484881,,,,9.290325,7.613106,3.112078,2.108567,1.842494,1.548748,1.548748,1.548748,,15.942879,0.0,2.778726,
11/30/2003,,4.858562,2.41267,4.325852,,,8.843572,7.336212,3.603394,4.864003,3.308959,2.816181,2.816181,2.816181,,14.892253,0.0,4.858562,
02/29/2004,,6.524509,3.265581,5.609399,,,8.802811,7.028936,3.365226,5.137893,3.166751,2.682194,2.682193,2.682193,,15.301414,0.0,6.524509,
05/31/2004,,8.516578,4.566837,7.798883,8.215435,,8.359622,6.796814,3.437709,4.074569,2.830827,2.468309,2.468309,2.468309,,12.806084,0.0,8.516578,
08/31/2004,,,,,,,8.467036,,3.497897,5.012388,3.339858,2.721598,2.721598,2.721598,,18.511563,,,
11/30/2004,,9.98488,4.945394,8.646178,8.53324,,8.44661,6.780773,3.834731,4.910892,3.642681,3.04984,3.04984,3.04984,,16.274857,0.0,9.98488,
02/28/2005,,9.941273,5.190513,8.678321,8.546727,,8.184762,6.671946,3.366771,3.377057,3.206282,2.683382,2.683382,2.683382,,16.308615,0.0,9.941273,
05/31/2005,,10.807928,5.845261,10.151551,9.691206,,8.361574,6.798647,3.778138,5.548926,3.635857,3.061935,3.061935,3.061935,,15.785068,,,
08/31/2005,,,,,,,8.401986,5.90546,3.408934,3.056434,3.3124,2.866213,2.866213,2.866213,,13.470204,0.0,,
11/30/2005,,11.533952,5.857762,10.896902,10.392691,,8.144296,5.694003,3.694175,3.2429,3.639816,3.197878,3.197878,3.197878,,12.14178,0.0,11.533952,
02/28/2006,,11.900537,6.483815,11.245982,10.820942,,7.976285,5.724716,3.600318,4.26943,3.492498,2.981518,2.981518,2.981518,,14.630798,0.0,11.900537,
05/31/2006,,11.724409,6.084234,10.976942,10.65428,,7.23802,4.929133,2.980022,0.614632,2.812382,2.477411,2.477411,2.477411,,11.910575,22.935993,9.035299,
