Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2013,2651.0,1280.0,1052.0,0.0,319.0,-985.0,571.0,571.0,,365.0,365.0,,49.0,1666.0,-1268.0,247.0,81.0,940.0,398.0,-99.0,119.0,-19.0,15.0,4.0,138.0,143.0,-5.0,,-20.0,299,-32.0,,267.0,0.0,0.0,0.0,267.0,-21.0,246.0,-1.0,0.0,245.0,364.0,119.0,243.603,1.0,1.0,1.494234,248.515,0.98,0.98,1.458844,
09/30/2013,2551.0,1302.0,921.0,0.0,328.0,-965.0,657.0,657.0,,261.0,261.0,,47.0,1586.0,-1041.0,286.0,96.0,659.0,545.0,-113.0,118.0,-19.0,14.0,5.0,137.0,143.0,-6.0,,-5.0,432,-117.0,8.0,323.0,0.0,0.0,0.0,323.0,-22.0,301.0,-5.0,0.0,296.0,272.0,-24.0,244.14,1.21,1.21,1.114115,249.259,1.19,1.19,1.093715,
12/31/2013,2705.0,1198.0,1222.0,0.0,285.0,-1079.0,581.0,581.0,,464.0,464.0,,34.0,1626.0,-1208.0,285.0,91.0,832.0,418.0,-59.0,110.0,-36.0,31.0,5.0,146.0,151.0,-5.0,,-51.0,359,-39.0,,320.0,0.0,0.0,0.0,320.0,-38.0,282.0,,0.0,282.0,281.0,-1.0,244.398,1.15,1.15,1.149764,249.946,1.13,1.13,1.125999,
03/31/2014,2795.0,1163.0,1322.0,0.0,310.0,-1306.0,648.0,648.0,,620.0,620.0,,38.0,1489.0,-1027.0,286.0,105.0,636.0,462.0,-75.0,107.0,-29.0,25.0,4.0,136.0,142.0,-6.0,,-32.0,387,-127.0,6.0,266.0,0.0,0.0,0.0,266.0,-19.0,247.0,,0.0,247.0,240.0,-7.0,245.277,1.01,1.01,0.978486,249.669,0.99,0.99,0.961963,
06/30/2014,2678.0,1309.0,1061.0,0.0,308.0,-1134.0,697.0,697.0,,395.0,395.0,,42.0,1544.0,-1107.0,288.0,92.0,727.0,437.0,-61.0,109.0,-29.0,24.0,5.0,138.0,142.0,-4.0,,-48.0,376,-93.0,9.0,292.0,0.0,0.0,0.0,292.0,-22.0,270.0,-1.0,0.0,269.0,267.0,-2.0,245.688,1.1,1.1,1.086744,250.061,1.08,1.08,1.072002,
09/30/2014,2815.0,1485.0,978.0,0.0,352.0,-1178.0,843.0,843.0,,293.0,293.0,,42.0,1637.0,-1103.0,292.0,104.0,707.0,534.0,-87.0,110.0,-34.0,28.0,6.0,144.0,149.0,-5.0,,-23.0,447,-71.0,7.0,383.0,0.0,0.0,0.0,383.0,-35.0,348.0,,0.0,348.0,329.0,-19.0,246.137,1.41,1.41,1.336654,250.771,1.39,1.39,1.314234,
12/31/2014,2747.0,1252.0,1188.0,0.0,307.0,-1136.0,645.0,645.0,,450.0,450.0,0.0,41.0,1611.0,-1206.0,290.0,107.0,809.0,405.0,-91.0,100.0,-36.0,29.0,7.0,136.0,143.0,-7.0,,-9.0,314,-9.0,16.0,321.0,0.0,0.0,0.0,321.0,-24.0,297.0,0.0,0.0,297.0,295.0,-2.0,246.448,1.21,1.21,1.197007,251.333,1.18,1.18,1.172042,
03/31/2015,2682.0,1166.0,1256.0,0.0,260.0,-960.0,579.0,579.0,,346.0,346.0,,35.0,1722.0,-1047.0,303.0,107.0,637.0,675.0,-69.0,100.0,-34.0,27.0,7.0,134.0,140.0,-6.0,,-31.0,606,-163.0,15.0,458.0,0.0,0.0,0.0,458.0,-21.0,437.0,,0.0,437.0,415.0,-22.0,247.722,1.76,1.76,1.675265,251.206,1.74,1.74,1.652422,
06/30/2015,2367.0,1235.0,898.0,0.0,234.0,-852.0,571.0,571.0,,239.0,239.0,,42.0,1515.0,-1054.0,307.0,96.0,651.0,461.0,-65.0,98.0,-41.0,31.0,10.0,139.0,146.0,-7.0,,-33.0,396,-98.0,22.0,320.0,0.0,0.0,0.0,320.0,-24.0,296.0,-1.0,0.0,295.0,256.4,-38.6,248.108,1.19,1.19,1.033421,251.491,1.17,1.17,1.016515,
09/30/2015,2481.0,1489.0,724.0,0.0,268.0,-992.0,757.0,757.0,,201.0,201.0,,34.0,1489.0,-1127.0,315.0,111.0,701.0,362.0,-92.0,111.0,-32.0,26.0,6.0,143.0,149.0,-6.0,,-19.0,270,-15.0,27.0,282.0,0.0,0.0,0.0,282.0,-34.0,248.0,0.0,0.0,248.0,248.0,0.0,248.432,1.0,1.0,1.0,251.024,0.99,0.99,0.99,
12/31/2015,2701.0,1268.0,1218.0,0.0,215.0,-949.0,564.0,564.0,,348.0,348.0,,37.0,1752.0,-1243.0,325.0,109.0,809.0,509.0,-77.0,139.0,-6.0,,6.0,145.0,145.0,,,-62.0,432,-65.0,21.0,388.0,0.0,0.0,0.0,388.0,-19.0,369.0,,0.0,369.0,365.0,-4.0,248.722,1.48,1.48,1.467502,251.45,1.47,1.47,1.454092,
03/31/2016,2622.0,1219.0,1223.0,0.0,180.0,-917.0,571.0,571.0,,311.0,311.0,,35.0,1705.0,-1140.0,328.0,111.0,701.0,565.0,-110.0,137.0,-6.0,,6.0,143.0,143.0,,,-27.0,455,-108.0,17.0,364.0,0.0,0.0,0.0,364.0,-11.0,353.0,,0.0,353.0,404.0,51.0,249.734,1.41,1.41,1.617721,251.487,1.4,1.4,1.602794,
06/30/2016,2156.0,1261.0,733.0,0.0,162.0,-1032.0,623.0,623.0,,183.0,183.0,,226.0,1124.0,-1137.0,314.0,96.0,727.0,-13.0,-99.0,106.0,-36.0,30.0,6.0,142.0,150.0,-8.0,,-7.0,-112,106.0,33.0,27.0,0.0,0.0,0.0,27.0,-10.0,17.0,-1.0,0.0,16.0,197.0,181.0,250.096,0.06,0.06,0.787698,251.938,0.06,0.06,0.778431,
09/30/2016,2535.0,1469.0,795.0,0.0,271.0,-939.0,699.0,699.0,,208.0,208.0,,32.0,1596.0,-1140.0,328.0,108.0,704.0,456.0,526.0,100.0,-36.0,29.0,7.0,136.0,143.0,-7.0,,-626.0,982,-282.0,19.0,719.0,0.0,0.0,0.0,719.0,-97.0,622.0,,0.0,622.0,259.0,-363.0,250.386,2.48,2.48,1.034403,252.405,2.46,2.46,1.021835,
12/31/2016,2870.0,1262.0,1299.0,0.0,309.0,-966.0,572.0,572.0,,365.0,365.0,,29.0,1904.0,-1316.0,342.0,111.0,863.0,588.0,-89.0,184.0,52.0,,7.0,132.0,117.0,,,-95.0,499,-105.0,15.0,409.0,0.0,0.0,0.0,409.0,-30.0,379.0,0.0,0.0,379.0,199.0,-180.0,250.652,1.512057,1.512057,0.793929,250.652,1.512057,1.512057,0.788555,
03/31/2017,3031.0,1263.0,1435.0,0.0,333.0,-1101.0,594.0,594.0,,485.0,485.0,,22.0,1930.0,-1189.0,360.0,110.0,719.0,741.0,11.0,91.0,-78.0,72.0,6.0,169.0,169.0,,,-102.0,752,-295.0,-5.0,452.0,0.0,0.0,0.0,452.0,-11.0,441.0,,0.0,441.0,427.6,-13.4,251.131,1.76,1.76,1.702697,252.246,1.75,1.75,1.696877,
06/30/2017,2533.0,1307.0,890.0,0.0,336.0,-805.0,615.0,615.0,,228.0,228.0,,-38.0,1728.0,-1271.0,368.0,101.0,802.0,457.0,-42.0,151.0,-8.0,,8.0,159.0,159.0,,,-109.0,415,-167.0,0.0,248.0,0.0,0.0,0.0,248.0,12.0,260.0,-1.0,0.0,259.0,276.0,17.0,251.447,1.03,1.03,1.097647,252.822,1.03,1.03,1.097241,
09/30/2017,2679.0,2277.0,,0.0,402.0,-958.0,747.0,747.0,,190.0,190.0,0.0,21.0,1721.0,-1603.0,378.0,114.0,1111.0,118.0,-113.0,153.0,-12.0,,12.0,165.0,165.0,,,-40.0,5,84.0,13.0,102.0,0.0,0.0,0.0,102.0,-45.0,57.0,0.0,0.0,57.0,58.0,1.0,251.692,0.23,0.23,0.23044,253.364,0.22,0.22,0.223947,
12/31/2017,2964.0,1360.0,1244.0,0.0,360.0,-970.0,664.0,664.0,,287.0,287.0,0.0,19.0,1994.0,-1362.0,384.0,111.0,867.0,632.0,-235.0,146.0,-20.0,,20.0,166.0,166.0,,,89.0,397,-898.0,50.0,-451.0,0.0,0.0,0.0,-451.0,-50.0,-501.0,0.0,0.0,-501.0,388.35,889.35,251.902,-1.99,-1.99,1.541671,251.902,-1.99,-1.99,1.54054,
03/31/2018,2536.0,882.0,1308.0,0.0,2536.0,-688.0,340.0,340.0,,348.0,348.0,,0.0,1848.0,-1230.0,372.0,117.0,741.0,618.0,-25.0,150.0,-56.0,27.0,29.0,206.0,206.0,,,-125.0,593,-242.0,-21.0,330.0,-28.0,-28.0,0.0,358.0,17.0,375.0,-28.0,0.0,347.0,344.0,25.0,257.932,1.34,1.23676,1.333685,259.49,1.33,1.222096,1.318439,
06/30/2018,2175.0,938.0,882.0,0.0,355.0,-569.0,390.0,390.0,,179.0,179.0,,0.0,1606.0,-2523.0,377.0,104.0,2042.0,-917.0,-266.0,210.0,-18.0,,18.0,228.0,228.0,,,56.0,-1183,602.0,-4.0,-585.0,-55.0,-55.0,0.0,-530.0,-5.0,-535.0,-26.0,0.0,-561.0,306.0,922.0,265.837,-2.11,-2.317209,1.151081,265.837,-2.11,-2.317209,1.151081,
09/30/2018,2565.0,1191.0,911.0,0.0,463.0,-820.0,565.0,565.0,,255.0,255.0,,0.0,1745.0,-1293.0,366.0,131.0,796.0,452.0,-107.0,203.0,-19.0,,19.0,222.0,222.0,,,-96.0,345,-139.0,74.0,280.0,-54.0,-54.0,0.0,334.0,-24.0,310.0,-36.0,0.0,274.0,288.16,68.16,273.944,1.0,0.803084,1.051894,275.907,0.99,0.794282,1.041322,
12/31/2018,2826.0,,2427.0,0.0,399.0,-846.0,321.0,321.0,,426.0,426.0,0.0,99.0,1980.0,-676.0,376.0,120.0,180.0,1304.0,-345.0,211.0,-19.0,,19.0,230.0,230.0,,,134.0,959,-172.0,126.0,913.0,-51.0,-51.0,0.0,964.0,-64.0,900.0,-36.0,0.0,864.0,380.0,-433.0,274.331,3.15,2.963573,1.385188,296.429,3.03,2.857952,1.385188,
03/31/2019,2898.0,939.0,1576.0,0.0,383.0,-895.0,364.0,364.0,,531.0,531.0,,0.0,2003.0,-1345.0,383.0,130.0,832.0,658.0,-157.0,218.0,-42.0,21.0,21.0,260.0,260.0,,,-61.0,501,-42.0,101.0,560.0,42.0,42.0,0.0,518.0,-41.0,477.0,-36.0,0.0,441.0,473.0,-10.0,274.674,1.6,1.758448,1.722041,277.228,1.59,1.7415,1.705428,
06/30/2019,2230.0,972.0,923.0,0.0,335.0,-462.0,326.0,326.0,,136.0,136.0,,0.0,1768.0,-1273.0,389.0,112.0,772.0,495.0,-209.0,237.0,-21.0,,21.0,258.0,258.0,,,-28.0,286,-47.0,118.0,357.0,-78.0,-78.0,0.0,435.0,-45.0,390.0,-36.0,0.0,354.0,231.0,-45.0,274.987,1.29,1.003684,0.84004,279.619,1.26,0.981049,0.820116,
09/30/2019,2758.0,1269.0,1129.0,0.0,360.0,-626.0,504.0,504.0,,122.0,122.0,,0.0,2132.0,-1420.0,402.0,127.0,891.0,712.0,-264.0,257.0,-22.0,,22.0,279.0,279.0,,,7.0,448,-61.0,266.0,653.0,-256.0,-256.0,0.0,909.0,-60.0,849.0,-36.0,0.0,813.0,205.34,-351.66,277.36,2.93,2.00822,0.740337,295.789,2.84,1.974518,0.740337,
12/31/2019,2943.0,,2640.0,0.0,303.0,-688.0,259.0,259.0,,350.0,350.0,,79.0,2255.0,-1473.0,395.0,127.0,951.0,782.0,-283.0,257.0,-23.0,,23.0,280.0,280.0,,,26.0,499,-165.0,95.0,429.0,-71.0,-71.0,0.0,500.0,-18.0,482.0,-35.0,0.0,447.0,376.0,0.0,284.649,1.57,1.320925,1.320925,288.787,1.55,1.304144,1.304144,
03/31/2020,3029.0,1048.0,1617.0,0.0,364.0,-625.0,288.0,288.0,,337.0,337.0,,0.0,2404.0,-1500.0,412.0,137.0,951.0,904.0,-507.0,222.0,-58.0,31.0,27.0,280.0,280.0,,,285.0,397,207.0,263.0,867.0,-80.0,-80.0,0.0,947.0,-151.0,796.0,-36.0,0.0,760.0,852.0,172.0,292.79,2.6,2.322484,2.909935,313.925,2.53,2.275162,2.823064,
06/30/2020,2526.0,1090.0,1143.0,0.0,293.0,-442.0,260.0,260.0,,131.0,131.0,,51.0,2084.0,-1431.0,412.0,121.0,898.0,653.0,-190.0,221.0,-53.0,31.0,22.0,274.0,274.0,,,-31.0,463,-168.0,233.0,528.0,-1777.0,-1777.0,0.0,2305.0,-28.0,2277.0,-38.0,0.0,2239.0,-1292.0,-1754.0,293.06,7.64,1.576469,-4.408654,294.155,7.61,1.568967,-4.408654,
09/30/2020,2667.833,,,,,,,,,,,,,2062.82183226,,,,,465.667,,,,,,,,,,,201,,,429.5,,,,,,429.5,,,429.5,424.75,,,1.479,1.479,1.525,,1.479,1.479,1.525,
12/31/2020,3102.667,,,,,,,,,,,,,2244.43828113,,,,,790.667,,,,,,,,,,,430,,,514.0,,,,,,514.0,,,514.0,437.5,,,1.454,1.454,1.484,,1.454,1.454,1.484,
