Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2010,8759,19,19,0.0,20,20.0,,195,137.0,14.0,44.0,0.0,4883,,,,,5117,1454,7249.0,-5795.0,116.0,,2072,8.0,0.0,8.0,1096.0,968,3642,,252,252,,,3,3.0,0.0,0.0,,,896,,,896,1151,571,571.0,0.0,0.0,,1744,,,1744,2315,3466,0.0,312.0,,,0.0,5966.0,-987,5291,2,5293,8759,
09/30/2010,8871,25,25,0.0,22,22.0,,225,133.0,9.0,83.0,0.0,4985,,,,,5257,1427,7096.0,-5669.0,126.0,,2061,14.0,0.0,14.0,,2047,3614,,212,212,,,3,3.0,0.0,0.0,,,1033,,,1033,1248,571,571.0,0.0,0.0,,1734,,,1734,2305,3553,0.0,312.0,,,0.0,5978.0,-974,5316,2,5318,8871,
12/31/2010,8824,22,22,0.0,27,27.0,,194,125.0,9.0,60.0,0.0,4984,,,,,5227,1440,7080.0,-5640.0,125.0,,2032,7.0,0.0,7.0,,2025,3597,,267,267,,,3,,,,,,960,,,960,1230,571,,,,,1745,,,1745,2316,3546,0.0,312.0,,,,5990.0,-1026,5276,2,5278,8824,
03/31/2011,8781,24,24,0.0,22,22.0,,248,134.0,4.0,110.0,0.0,4930,,,,,5224,1401,7098.0,-5697.0,125.0,,2031,7.0,0.0,7.0,1103.0,921,3557,,211,211,,,40,40.0,0.0,0.0,,,1103,,,1103,1354,470,470.0,0.0,0.0,,1733,,,1733,2203,3557,0.0,312.0,,,,5921.0,-1011,5222,2,5224,8781,
06/30/2011,8723,22,22,0.0,34,34.0,,257,140.0,7.0,110.0,,4880,,,,,5193,1377,7132.0,-5755.0,111.0,,2042,7.0,0.0,7.0,1104.0,931,3530,,206,206,,,40,40.0,0.0,0.0,,,1156,,,1156,1402,470,470.0,0.0,0.0,,1709,,,1709,2179,3581,0.0,312.0,,,,5823.0,-995,5140,2,5142,8723,
09/30/2011,8143,23,23,0.0,28,28.0,,224,138.0,6.0,80.0,0.0,4360,,,,,4635,1347,7042.0,-5695.0,126.0,,2035,8.0,0.0,8.0,1107.0,920,3508,,235,235,,,51,,,,,,838,,,838,1124,470,,,,,1644,,,1644,2114,3238,0.0,312.0,,,0.0,5570.0,-979,4903,2,4905,8143,
12/31/2011,7705,26,26,0.0,23,23.0,,207,130.0,6.0,71.0,,3897,,,,,4153,1354,7099.0,-5745.0,136.0,,2062,16.0,0.0,16.0,1103.0,943,3552,,256,256,,,52,,,,,,643,,,643,951,470,,,,,1849,,,1849,2319,3270,0.0,312.0,,,0.0,5253.0,-1132,4433,2,4435,7705,
03/31/2012,7460,20,20,0.0,31,31.0,,215,131.0,5.0,79.0,0.0,3666,,,,,3932,1334,7129.0,-5795.0,134.0,,2060,8.0,0.0,8.0,1113.0,939,3528,,277,277,,,23,23.0,0.0,0.0,,,706,,,706,1006,470,470.0,0.0,0.0,,1779,,,1779,2249,3255,0.0,312.0,,,,5016.0,-1125,4203,2,4205,7460,
06/30/2012,7080,19,19,0.0,42,42.0,,395,111.0,40.0,244.0,0.0,3096,,,,,3552,1318,7154.0,-5836.0,152.0,,2058,8.0,0.0,8.0,1118.0,932,3528,,272,272,,,25,,,,,,687,,,687,984,470,,,,,1714,,,1714,2184,3168,0.0,312.0,,,0.0,4711.0,-1113,3910,2,3912,7080,
09/30/2012,6746,19,19,0.0,33,33.0,,406,127.0,31.0,248.0,0.0,2765,,,,,3223,1313,7118.0,-5805.0,152.0,,2058,8.0,0.0,8.0,1116.0,934,3523,,247,247,,,33,,,,,,666,,,666,946,471,,,,,1606,,,1606,2077,3023,0.0,312.0,,,0.0,4510.0,-1101,3721,2,3723,6746,
12/31/2012,6838,18,18,0.0,35,35.0,,420,124.0,33.0,263.0,,2857,,,,,3330,1334,7211.0,-5877.0,189.0,,1985,14.0,0.0,14.0,946.0,1025,3508,,299,299,,,40,,,,,,716,,,716,1055,471,,,,,1988,,,1988,2459,3514,0.0,312.0,,,0.0,4355.0,-1345,3322,2,3324,6838,
03/31/2013,6813,18,18,0.0,26,26.0,,444,140.0,31.0,273.0,0.0,2788,,,,,3276,1300,7227.0,-5927.0,172.0,,2065,7.0,0.0,7.0,974.0,1084,3537,,251,251,,,45,,,,,,944,,,944,1240,471,,,,,1812,,,1812,2283,3523,0.0,312.0,,,0.0,4307.0,-1331,3288,2,3290,6813,
06/30/2013,6587,30,30,0.0,40,40.0,,432,146.0,37.0,249.0,0.0,2613,,,,,3115,1277,7102.0,-5825.0,171.0,,2024,8.0,0.0,8.0,978.0,1038,3472,,271,271,,,47,,,,,,715,,,715,1033,471,,,,,1767,,,1767,2238,3271,0.0,312.0,,,0.0,4318.0,-1316,3314,2,3316,6587,
09/30/2013,6519,33,33,0.0,25,25.0,,425,151.0,34.0,240.0,0.0,2730,,,,,3213,1258,7096.0,-5838.0,172.0,,1876,8.0,0.0,8.0,847.0,1021,3306,,233,233,,,34,,,,,,756,,,756,1023,471,,,,,1671,,,1671,2142,3165,0.0,312.0,,,0.0,4362.0,-1322,3352,2,3354,6519,
12/31/2013,6549,33,33,0.0,25,25.0,,404,140.0,31.0,233.0,0.0,2975,,,,,3437,1239,7079.0,-5840.0,166.0,,1707,10.0,0.0,10.0,829.0,868,3112,,215,215,,,34,,,,,,905,,,905,1154,471,,,,,1213,,,1213,1684,2838,0.0,312.0,,,0.0,4442.0,-1045,3709,2,3711,6549,
03/31/2014,6197,27,27,0.0,28,28.0,,454,140.0,33.0,281.0,0.0,2608,,,,,3117,1219,7103.0,-5884.0,159.0,,1702,11.0,0.0,11.0,829.0,862,3080,,263,263,,,32,,,,,,789,,,789,1084,471,,,,,1173,,,1173,1644,2728,0.0,312.0,,,0.0,4192.0,-1035,3469,0,3469,6197,
06/30/2014,6011,28,28,0.0,26,26.0,,427,131.0,32.0,264.0,0.0,2460,,,,,2941,1211,7124.0,-5913.0,139.0,,1720,12.0,0.0,12.0,833.0,875,3070,,258,258,,,36,,,,,,785,,,785,1079,471,,,,,1146,,,1146,1617,2696,0.0,312.0,,,0.0,4029.0,-1026,3315,0,3315,6011,
09/30/2014,6528,26,26,0.0,21,21.0,,432,150.0,39.0,243.0,0.0,3014,,,,,3493,1130,6958.0,-5828.0,136.0,,1769,14.0,0.0,14.0,835.0,920,3035,,245,245,,,42,,,,,,1356,,,1356,1643,481,,,,,1188,,,1188,1669,3312,0.0,312.0,,,0.0,3921.0,-1017,3216,0,3216,6528,
12/31/2014,6413,23,23,0.0,29,29.0,,378,143.0,30.0,205.0,0.0,3259,,,,,3689,1152,6831.0,-5679.0,131.0,,1441,15.0,0.0,15.0,826.0,600,2724,,248,248,,,44,,,,,,1206,,,1206,1498,481,,,,,1625,,,1625,2106,3604,0.0,312.0,,,0.0,3740.0,-1243,2809,0,2809,6413,
03/31/2015,6042,22,22,0.0,30,30.0,0.0,436,51.0,45.0,249.0,91.0,2865,,,,,3353,1161,6878.0,-5717.0,98.0,,1430,16.0,,,824.0,590,2689,,250,250,,,49,,,,,,858,,,858,1157,480,,,,,1608,,,1608,2088,3245,0.0,312.0,,,0.0,3715.0,-1230,2797,0,2797,6042,
06/30/2015,6297,25,25,0.0,18,18.0,0.0,368,46.0,30.0,206.0,86.0,3153,,,,,3564,1230,6947.0,-5717.0,98.0,,1405,18.0,,,825.0,562,2733,,273,273,,,31,,,,,,974,,,974,1278,480,,,,,1572,,,1572,2052,3330,0.0,312.0,,,0.0,3874.0,-1219,2967,0,2967,6297,
09/30/2015,6150,24,24,0.0,16,16.0,,352,49.0,26.0,192.0,85.0,3188,,,,,3580,1260,6986.0,-5726.0,98.0,,1212,92.0,,,651.0,469,2570,,232,232,,,29,,,,,,788,,,788,1049,480,,,,,1566,,,1566,2046,3095,0.0,138.0,,,0.0,4122.0,-1205,3055,0,3055,6150,
12/31/2015,5606,23,23,0.0,13,13.0,,303,39.0,22.0,157.0,85.0,2493,,,,,2832,1301,7036.0,-5735.0,62.0,,1411,22.0,0.0,22.0,652.0,737,2774,,220,220,,,26,,,,,,828,,,828,1074,476,,,,,1755,,,1755,2231,3305,0.0,138.0,,,0.0,3391.0,-1228,2301,0,2301,5606,
03/31/2016,5556,25,25,0.0,14,14.0,0.0,335,44.0,47.0,193.0,51.0,2432,,543.0,31.0,2401.0,2806,1314,7088.0,-5774.0,63.0,63.0,1373,21.0,,21.0,653.0,156,2750,,492,209,125.0,158.0,29,28.0,,,,1.0,532,,,532,1053,476,476.0,,,,1675,,1008.0,667,2151,3204,0.0,138.0,,,0.0,3431.0,-1217,2352,0,2352,5556,
06/30/2016,5896,23,23,0.0,16,16.0,0.0,324,47.0,45.0,202.0,30.0,2426,,885.0,30.0,2396.0,2789,1335,7112.0,-5777.0,64.0,64.0,1708,23.0,,23.0,654.0,146,3107,,433,218,51.0,164.0,29,28.0,,,,1.0,593,,,593,1055,476,476.0,,,,2029,,992.0,1037,2505,3560,0.0,138.0,,,0.0,3405.0,-1207,2336,0,2336,5896,
09/30/2016,6035,24,24,0.0,15,15.0,0.0,327,50.0,43.0,212.0,22.0,2581,,865.0,58.0,2523.0,2947,1347,7117.0,-5770.0,56.0,56.0,1685,24.0,,24.0,655.0,141,3088,,397,197,21.0,179.0,32,31.0,,,,1.0,664,,,664,1093,476,476.0,,,,1988,,973.0,1015,2464,3557,0.0,138.0,,,0.0,3536.0,-1196,2478,0,2478,6035,
12/31/2016,6146,11,11,0.0,15,15.0,0.0,307,50.0,38.0,186.0,33.0,2604,0.0,928.0,275.0,2290.0,2937,1394,7144.0,-5750.0,57.0,57.0,1758,25.0,0.0,25.0,653.0,152,3209,,460,249,23.0,188.0,26,25.0,,,,1.0,647,0.0,0.0,647,1133,475,475.0,,,,2740,0.0,1170.0,1570,3215,4348,0.0,138.0,,,0.0,2980.0,-1320,1798,0,1798,6146,
03/31/2017,5920,15,15,0.0,45,45.0,0.0,306,51.0,44.0,193.0,18.0,2446,,849.0,258.0,2188.0,2812,1400,7195.0,-5795.0,56.0,56.0,1652,26.0,,26.0,654.0,123,3108,,434,251,21.0,162.0,29,28.0,,,,1.0,635,,,635,1098,475,475.0,,,,2532,,993.0,1539,3007,4105,0.0,138.0,9e-06,137.999991,0.0,2984.0,-1307,1815,0,1815,5920,
06/30/2017,5859,13,13,0.0,21,21.0,0.0,307,46.0,36.0,213.0,12.0,2446,,829.0,201.0,2245.0,2787,1404,7206.0,-5802.0,55.0,55.0,1613,26.0,,26.0,639.0,119,3072,,452,245,20.0,187.0,29,28.0,,,,1.0,608,,,608,1089,475,475.0,,,,2464,,977.0,1487,2939,4028,0.0,138.0,,,0.0,2986.0,-1293,1831,0,1831,5859,
09/30/2017,5834,13,13,0.0,20,20.0,0.0,299,53.0,44.0,210.0,-8.0,2458,,797.0,242.0,2216.0,2790,1406,7243.0,-5837.0,54.0,54.0,1584,26.0,,26.0,639.0,122,3044,,545,253,103.0,189.0,30,29.0,,,,1.0,684,,,684,1259,474,474.0,,,,2395,,955.0,1440,2869,4128,0.0,138.0,,,0.0,2848.0,-1280,1706,0,1706,5834,
12/31/2017,5619,13,13,0.0,21,21.0,0.0,278,48.0,47.0,222.0,-39.0,2576,0.0,511.0,281.0,2260.0,2888,1379,7309.0,-5930.0,54.0,54.0,1298,25.0,0.0,25.0,639.0,123,2731,,490,270,24.0,196.0,29,28.0,,,,1.0,816,0.0,0.0,816,1335,474,474.0,,,,2442,0.0,1054.0,1388,2916,4251,0.0,138.0,,,0.0,2582.0,-1352,1368,0,1368,5619,
03/31/2018,5414,13,13,0.0,20,20.0,0.0,269,44.0,44.0,214.0,-33.0,2386,,504.0,283.0,2103.0,2688,1376,7345.0,-5969.0,53.0,53.0,1297,28.0,,28.0,639.0,126,2726,,502,274,61.0,167.0,26,25.0,,,,1.0,613,,,613,1141,474,474.0,,,,2361,,1000.0,1361,2835,3976,0.0,138.0,9e-06,137.999991,0.0,2636.0,-1336,1438,0,1438,5414,
06/30/2018,5497,13,13,0.0,31,31.0,0.0,282,43.0,51.0,227.0,-39.0,2450,,485.0,293.0,2130.0,2776,1390,7402.0,-6012.0,55.0,55.0,1276,28.0,,28.0,639.0,124,2721,,468,249,22.0,197.0,30,29.0,,,,1.0,595,,,595,1093,474,474.0,,,,2303,,983.0,1320,2777,3870,0.0,138.0,,,0.0,3061.0,-1572,1627,0,1627,5497,
09/30/2018,5725,13,13,0.0,25,25.0,0.0,303,46.0,65.0,262.0,-70.0,2660,,468.0,326.0,2334.0,3001,1413,7353.0,-5940.0,54.0,54.0,1257,27.0,,27.0,639.0,123,2724,,517,265,22.0,230.0,34,33.0,,,,1.0,697,,,697,1248,474,474.0,,,,2264,,966.0,1298,2738,3986,0.0,138.0,,,0.0,3156.0,-1555,1739,0,1739,5725,
12/31/2018,5777,13,13,0.0,21,21.0,0.0,304,45.0,45.0,264.0,-50.0,2686,0.0,463.0,330.0,2341.0,3024,1448,7430.0,-5982.0,54.0,54.0,1251,25.0,0.0,25.0,639.0,124,2753,,473,247,24.0,202.0,30,29.0,,,,1.0,633,0.0,0.0,633,1136,473,473.0,,,,2253,0.0,979.0,1274,2726,3862,0.0,138.0,,,0.0,3338.0,-1561,1915,0,1915,5777,
03/31/2019,5411,13,13,0.0,22,22.0,0.0,302,40.0,43.0,241.0,-22.0,2630,,461.0,280.0,2350.0,2967,1549,7474.0,-5925.0,53.0,53.0,842,24.0,,24.0,238.0,119,2444,,522,249,89.0,184.0,46,27.0,18.0,,18.0,1.0,501,,,501,1069,555,473.0,82.0,,82.0,2244,,970.0,1274,2799,3868,0.0,138.0,9e-06,137.999991,0.0,2951.0,-1546,1543,0,1543,5411,
06/30/2019,5303,13,13,0.0,53,53.0,0.0,274,40.0,33.0,209.0,-8.0,2537,,441.0,341.0,2196.0,2877,1545,7506.0,-5961.0,56.0,56.0,825,25.0,,25.0,238.0,121,2426,,460,258,24.0,178.0,46,27.0,18.0,1.0,17.0,1.0,549,,,549,1055,551,468.0,83.0,5.0,78.0,2209,,960.0,1249,2760,3815,0.0,138.0,,,0.0,2882.0,-1532,1488,0,1488,5303,
09/30/2019,5274,13,13,0.0,30,30.0,0.0,250,41.0,32.0,183.0,-6.0,2573,,474.0,299.0,2249.0,2866,1463,7503.0,-6040.0,67.0,67.0,878,23.0,,23.0,238.0,143,2408,,411,207,24.0,180.0,53,33.0,19.0,1.0,18.0,1.0,530,,,530,994,547,467.0,80.0,5.0,75.0,2220,,949.0,1271,2767,3761,0.0,138.0,,,0.0,2892.0,-1517,1513,0,1513,5274,
12/31/2019,5278,11,11,0.0,26,26.0,0.0,247,47.0,31.0,162.0,7.0,2537,0.0,507.0,337.0,2180.0,2821,1458,7336.0,-5878.0,66.0,66.0,933,22.0,0.0,22.0,238.0,166,2457,,379,218,25.0,136.0,55,37.0,17.0,1.0,16.0,1.0,491,0.0,0.0,491,925,547,468.0,79.0,5.0,74.0,2408,0.0,1154.0,1254,2955,3880,0.0,141.0,,,0.0,2922.0,-1665,1398,0,1398,5278,
03/31/2020,5240,11,11,0.0,26,26.0,0.0,243,47.0,25.0,154.0,17.0,2528,,499.0,287.0,2241.0,2808,1443,7365.0,-5922.0,67.0,67.0,922,21.0,,21.0,238.0,164,2432,,383,207,25.0,151.0,55,38.0,16.0,1.0,15.0,1.0,393,,,393,831,544,468.0,76.0,4.0,72.0,2379,,1140.0,1239,2923,3754,0.0,141.0,,,0.0,2987.0,-1642,1486,0,1486,5240,
06/30/2020,5262,11,11,0.0,16,16.0,0.0,227,43.0,22.0,146.0,16.0,2596,,492.0,355.0,2241.0,2850,1426,7393.0,-5967.0,66.0,66.0,920,20.0,,20.0,237.0,171,2412,,391,204,25.0,162.0,56,38.0,17.0,1.0,16.0,1.0,429,,,429,876,542,468.0,74.0,4.0,70.0,2352,,1125.0,1227,2894,3770,0.0,141.0,,,0.0,2974.0,-1623,1492,0,1492,5262,
