Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,29486,8265,7976,289,3644,3644.0,,1765,320.0,738.0,707.0,0.0,1023,,,,,,14697,5405,9449,-4044,188.0,188.0,9196,5978.0,4827.0,1151.0,,3218,14789,,1535,1535,,,,154,154.0,0.0,0.0,,,5021,,,5021,6710,6585,6585.0,0.0,0.0,,3983,,,,3983,10568,17278,0.0,2977.0,,,-10566,22549.0,-2719,12241,-33.0,12208,29486,
03/31/2009,29693,8920,7832,1088,3600,3600.0,0.0,1735,408.0,639.0,688.0,0.0,1120,361.0,490.0,,1944.0,0.0,15375,5386,9468,-4082,0.0,,8932,5934.0,4827.0,1107.0,,564,14318,,6133,1695,446.0,618.0,3374.0,156,0.0,,,,156.0,344,767.0,1184.0,0,6633,5308,5308.0,,,,4623,,1723.0,,949,9931,16564,0.0,3979.0,220.0,3759.0,-10510,22571.0,-2703,13337,-208.0,13129,29693,
06/30/2009,29809,8120,7507,613,3619,3619.0,0.0,1780,390.0,669.0,721.0,0.0,1051,385.0,237.0,,1802.0,0.0,14570,5468,9674,-4206,983.0,983.0,8788,5897.0,4827.0,1070.0,,852,15239,,6296,1802,394.0,630.0,3470.0,124,0.0,,,,124.0,324,872.0,1220.0,0,6744,5015,5015.0,,,,4114,,1061.0,531.0,430,9129,15873,0.0,4010.0,220.0,3790.0,-10508,22936.0,-2342,14096,-160.0,13936,29809,
09/30/2009,30951,6669,6367,302,3699,3699.0,0.0,1824,408.0,684.0,732.0,0.0,1195,493.0,303.0,,1437.0,0.0,13387,5561,9904,-4343,1202.0,1202.0,10801,8201.0,5475.0,2726.0,,860,17564,,6749,1796,433.0,626.0,3894.0,286,0.0,,,,286.0,357,934.0,1281.0,0,7392,5026,5026.0,,,,4162,,1018.0,521.0,408,9188,16580,0.0,4028.0,220.0,3808.0,-10504,23287.0,-2293,14518,-147.0,14371,30951,
12/31/2009,31008,8514,7683,831,3164,3164.0,0.0,1413,203.0,630.0,580.0,0.0,867,256.0,186.0,,1636.0,0.0,13958,5055,8895,-3840,1369.0,1369.0,10626,8083.0,5218.0,2865.0,,721,17050,,5818,1711,175.0,552.0,3380.0,231,0.0,0.0,0.0,,231.0,264,949.0,1256.0,0,6313,4874,4874.0,0.0,0.0,,5036,0.0,1658.0,751.0,422,9910,16223,0.0,3988.0,220.0,3768.0,-17364,30760.0,-2541,14843,-58.0,14785,31008,
03/31/2010,30753,6776,5135,1641,3459,3459.0,0.0,1284,213.0,641.0,430.0,0.0,1013,,294.0,,1395.0,268.0,12532,4822,8374,-3552,2997.0,2997.0,10402,8031.0,5218.0,2813.0,,682,18221,,5521,1752,101.0,554.0,3114.0,208,0.0,,,,208.0,288,961.0,938.0,0,6017,5143,5143.0,,,,4360,,1300.0,,1161,9503,15520,0.0,3896.0,220.0,3676.0,-17171,30949.0,-2425,15249,-16.0,15233,30753,
06/30/2010,31051,7454,5918,1536,3172,3172.0,0.0,1265,274.0,446.0,545.0,0.0,1092,,502.0,,1331.0,296.0,12983,4745,8228,-3483,2795.0,2795.0,10528,7981.0,5218.0,2763.0,,714,18068,,5326,1681,49.0,556.0,3040.0,290,0.0,,,,290.0,292,915.0,874.0,0,5908,5374,5374.0,,,,4195,,1248.0,,1158,9569,15477,0.0,3917.0,220.0,3697.0,-17271,31322.0,-2300,15668,-94.0,15574,31051,
09/30/2010,31885,8359,7581,778,3285,3285.0,0.0,1369,273.0,635.0,461.0,0.0,1363,,541.0,,1079.0,292.0,14376,4723,8285,-3562,2562.0,2562.0,10224,7938.0,5218.0,2720.0,,666,17509,,5702,1725,46.0,556.0,3375.0,243,0.0,,,,243.0,339,893.0,953.0,0,6284,5526,5526.0,,,,4218,,1209.0,754.0,409,9744,16028,0.0,3881.0,220.0,3661.0,-17298,31721.0,-2334,15970,-113.0,15857,31885,
12/31/2010,31076,7301,5033,2268,1985,1985.0,0.0,1204,199.0,608.0,397.0,0.0,2783,252.0,260.0,,850.0,1495.0,13273,4664,8260,-3596,2681.0,2681.0,10458,8603.0,5233.0,3370.0,,745,17803,,6172,1983,65.0,575.0,3549.0,117,117.0,0.0,0.0,,,450,895.0,710.0,0,6739,4618,4618.0,0.0,0.0,,4081,0.0,1297.0,755.0,424,8699,15438,0.0,3902.0,220.0,3682.0,-17454,31636.0,-2371,15713,-75.0,15638,31076,
03/31/2011,30851,6793,3405,3388,3587,3587.0,0.0,1322,218.0,690.0,414.0,0.0,1594,,175.0,,587.0,451.0,13296,4604,8320,-3716,3065.0,3065.0,9886,8532.0,5233.0,3299.0,,592,17555,,6198,2036,63.0,578.0,3521.0,135,0.0,,,,135.0,422,899.0,,0,6755,5276,5276.0,,,,2919,,922.0,,1098,8195,14950,0.0,3656.0,220.0,3436.0,-17299,32055.0,-2414,15998,-97.0,15901,30851,
06/30/2011,31833,7670,3665,4005,4059,4059.0,0.0,1492,357.0,698.0,437.0,0.0,1554,,160.0,,521.0,420.0,14775,4554,8343,-3789,2734.0,2734.0,9770,8455.0,5233.0,3222.0,,634,17058,,6848,2401,165.0,579.0,3703.0,187,0.0,,,,187.0,375,923.0,,0,7410,5332,5332.0,,,,2946,,870.0,,1153,8278,15688,0.0,3541.0,220.0,3321.0,-17191,32392.0,-2389,16353,-208.0,16145,31833,
09/30/2011,32014,8193,4471,3722,2181,2181.0,0.0,1357,205.0,709.0,443.0,0.0,3138,,211.0,,333.0,1862.0,14869,4492,8295,-3803,2819.0,2819.0,9834,8760.0,5564.0,3196.0,,530,17145,,6769,2292,183.0,578.0,3716.0,182,0.0,,,,182.0,362,860.0,,0,7313,5437,5437.0,,,,2828,,811.0,690.0,467,8265,15578,0.0,3446.0,220.0,3226.0,-17389,32797.0,-2282,16572,-136.0,16436,32014,
12/31/2011,32970,8733,5776,2957,3743,3743.0,0.0,1384,260.0,646.0,478.0,0.0,1458,258.0,223.0,,688.0,0.0,15318,4521,8381,-3860,2909.0,2909.0,10222,8710.0,5586.0,3124.0,,601,17652,,7299,2603,167.0,597.0,3932.0,115,0.0,0.0,0.0,,115.0,366,866.0,0.0,0,7780,5376,5376.0,0.0,0.0,,3947,0.0,2017.0,573.0,491,9323,17103,0.0,3334.0,220.0,3114.0,-17402,33069.0,-3045,15956,-89.0,15867,32970,
03/31/2012,32408,5029,2307,2722,3613,3613.0,0.0,1463,241.0,721.0,501.0,0.0,1660,,184.0,,108.0,500.0,11765,4512,8445,-3933,3585.0,3585.0,12546,11615.0,6799.0,4816.0,,639,20643,,6776,2385,162.0,593.0,3636.0,145,0.0,,,,145.0,290,836.0,,0,7211,5270,5270.0,,,,3681,,1616.0,573.0,656,8951,16162,0.0,3046.0,221.0,2825.0,-17286,33595.0,-3018,16337,-91.0,16246,32408,
06/30/2012,31667,5037,2801,2236,1623,1623.0,0.0,1521,263.0,755.0,503.0,0.0,2832,,235.0,,201.0,1657.0,11013,4478,8401,-3923,3732.0,3732.0,12444,11368.0,6799.0,4569.0,,640,20654,,6393,2134,138.0,598.0,3523.0,236,0.0,,,,236.0,362,805.0,,0,6991,5209,5209.0,,,,3655,,1543.0,604.0,703,8864,15855,0.0,3004.0,221.0,2783.0,-17600,33661.0,-2967,16098,-286.0,15812,31667,
09/30/2012,36044,2930,1503,1427,1734,1734.0,0.0,1697,296.0,868.0,533.0,0.0,2917,,201.0,,179.0,1578.0,9278,5297,9282,-3985,3698.0,3698.0,17771,16715.0,7498.0,9217.0,,676,26766,,6732,2085,193.0,596.0,3858.0,751,0.0,,,,751.0,712,4006.0,,0,8195,6608,6608.0,,,,7341,,1473.0,748.0,1114,13949,22144,0.0,2938.0,221.0,2717.0,-18475,32381.0,-2944,13900,,13900,36044,
12/31/2012,35897,2829,1656,1173,1708,1708.0,0.0,1657,271.0,814.0,572.0,0.0,3327,355.0,205.0,,203.0,1375.0,9521,5333,9383,-4050,3523.0,3523.0,17520,16413.0,7635.0,8778.0,,699,26376,,6598,2202,193.0,606.0,3597.0,826,162.0,0.0,0.0,,664.0,855,4024.0,,0,8279,6568,6568.0,0.0,0.0,,7412,0.0,1882.0,1031.0,475,13980,22259,0.0,2915.0,221.0,2694.0,-18823,32733.0,-3202,13623,15.0,13638,35897,
03/31/2013,35958,2533,1355,1178,3308,3308.0,0.0,1791,338.0,884.0,569.0,0.0,2444,,221.0,,190.0,616.0,10076,5259,9373,-4114,3242.0,3242.0,17381,16216.0,7646.0,8570.0,,754,25882,,6263,2079,276.0,601.0,3307.0,1372,714.0,,,,658.0,779,4101.0,,0,8414,6522,6522.0,,,,7323,,1638.0,473.0,1111,13845,22259,0.0,2347.0,221.0,2126.0,-18318,32761.0,-3131,13659,40.0,13699,35958,
06/30/2013,36252,2799,1821,978,1851,1851.0,0.0,1785,330.0,858.0,597.0,0.0,4051,,189.0,,195.0,2091.0,10486,5228,9393,-4165,3223.0,3223.0,17315,16016.0,7646.0,8370.0,,915,25766,,6576,2346,212.0,606.0,3412.0,764,84.0,,,,680.0,1014,4146.0,,0,8354,6442,6442.0,,,,7083,,826.0,818.0,1293,13525,21879,0.0,2196.0,221.0,1975.0,-18020,32715.0,-2520,14371,2.0,14373,36252,
09/30/2013,36804,2722,1771,951,3673,3673.0,0.0,1640,299.0,810.0,531.0,0.0,2592,,95.0,,195.0,556.0,10627,5236,9514,-4278,3623.0,3623.0,17318,15822.0,7646.0,8176.0,,1206,26177,,6565,2466,208.0,611.0,3280.0,680,0.0,,,,680.0,1034,4198.0,12.0,0,8279,6532,6532.0,,,,7279,,773.0,904.0,1392,13811,22090,0.0,2187.0,221.0,1966.0,-17975,32826.0,-2312,14726,-12.0,14714,36804,
12/31/2013,38592,4525,3586,939,1690,1690.0,0.0,1498,250.0,757.0,491.0,0.0,11203,412.0,70.0,7420.0,508.0,1670.0,18916,4579,8843,-4264,3747.0,3747.0,11350,9414.0,7096.0,2318.0,87.0,1271,19676,,6363,2559,160.0,634.0,3010.0,359,332.0,0.0,0.0,,27.0,5718,769.0,31.0,4931,12440,7981,7981.0,0.0,0.0,,2935,0.0,718.0,823.0,594,10916,23356,0.0,2143.0,221.0,1922.0,-17800,32952.0,-2141,15154,82.0,15236,38592,
03/31/2014,33424,7059,5225,1834,3316,3316.0,0.0,1655,267.0,886.0,502.0,0.0,1984,,91.0,56.0,789.0,538.0,14014,4485,8856,-4371,3558.0,3558.0,11367,9254.0,7046.0,2208.0,,1233,19410,,6155,2502,170.0,619.0,2864.0,281,281.0,,,,0.0,1085,1064.0,15.0,0,7521,7367,7367.0,,,,3005,,690.0,78.0,1158,10372,17893,0.0,1670.0,221.0,1449.0,-17221,33291.0,-2267,15473,58.0,15531,33424,
06/30/2014,33503,7175,4282,2893,3315,3315.0,0.0,1666,316.0,800.0,550.0,0.0,1906,,116.0,38.0,875.0,512.0,14062,4438,8936,-4498,3876.0,3876.0,11127,8889.0,7046.0,1843.0,,1247,19441,,6321,2405,204.0,621.0,3091.0,365,365.0,,,,0.0,1112,1042.0,5.0,0,7798,7372,7372.0,,,,2954,,681.0,62.0,1164,10326,18124,0.0,1700.0,221.0,1479.0,-17174,33026.0,-2225,15327,52.0,15379,33503,
09/30/2014,33450,7221,4851,2370,1823,1823.0,0.0,1565,329.0,787.0,449.0,0.0,3568,,128.0,78.0,1015.0,1980.0,14177,4387,8962,-4575,4328.0,4328.0,10558,8764.0,7046.0,1718.0,,651,19273,,6705,2568,312.0,623.0,3202.0,401,401.0,,,,0.0,997,810.0,10.0,0,8103,7267,7267.0,,,,2879,,806.0,93.0,1160,10146,18249,0.0,1720.0,221.0,1499.0,-17119,33147.0,-2605,15143,58.0,15201,33450,
12/31/2014,33749,7435,5571,1864,2100,2100.0,0.0,1560,204.0,856.0,500.0,0.0,3513,470.0,58.0,109.0,915.0,1290.0,14608,4417,9066,-4649,4408.0,4408.0,10316,8780.0,7027.0,1753.0,91.0,472,19141,,6704,2487,262.0,645.0,3310.0,590,590.0,0.0,0.0,,0.0,1167,770.0,3.0,0,8461,7242,7242.0,0.0,0.0,,3063,0.0,1115.0,560.0,615,10305,18766,0.2106,1727.7894,221.0,1506.7894,-16992,32541.0,-2425,14852,131.0,14983,33749,
03/31/2015,33579,7607,6294,1313,2250,2250.0,0.0,1437,275.0,689.0,473.0,0.0,3631,,66.0,0.0,685.0,1746.0,14925,4323,8990,-4667,4279.0,4279.0,10052,8733.0,7027.0,1706.0,,568,18654,,5896,2346,220.0,633.0,2697.0,330,330.0,,,,,1463,697.0,11.0,0,7689,7127,7127.0,,,,3074,,1156.0,638.0,572,10201,17890,0.0,1535.0,221.0,1314.0,-16683,33110.0,-2416,15546,143.0,15689,33579,
06/30/2015,31954,5476,4199,1277,2543,2543.0,0.0,1304,225.0,642.0,437.0,0.0,3733,,97.0,210.0,577.0,1631.0,13056,4363,9154,-4791,4632.0,4632.0,9903,8539.0,6976.0,1563.0,,690,18898,,5728,1839,98.0,634.0,3157.0,755,755.0,,,,,952,667.0,0.0,0,7435,6615,6615.0,,,,2613,,727.0,744.0,475,9228,16663,0.0,1584.0,221.0,1363.0,-16649,32361.0,-2173,15123,168.0,15291,31954,
09/30/2015,31779,5413,3975,1438,2714,2714.0,0.0,1130,214.0,561.0,355.0,0.0,3669,,69.0,215.0,719.0,1723.0,12926,4249,8467,-4218,4627.0,4627.0,9977,8496.0,6952.0,1544.0,,693,18853,,5544,1249,179.0,636.0,3480.0,642,642.0,,,,,972,630.0,9.0,0,7158,6632,6632.0,,,,2716,,902.0,716.0,459,9348,16506,0.2089,1633.7911,221.0,1412.7911,-16606,32446.0,-2395,15079,194.0,15273,31779,
12/31/2015,31748,4270,2385,1885,2948,2948.0,0.0,1221,199.0,868.0,381.0,-227.0,1976,,46.0,,2844.0,1926.0,10415,4412,8631,-4219,4660.0,4660.0,12261,8300.0,6881.0,1419.0,,1071,21333,,6865,1565,572.0,,4728.0,139,139.0,0.0,0.0,,0.0,1013,586.0,0.0,0,8017,6550,6550.0,0.0,0.0,,2757,0.0,1429.0,742.0,0,9307,17324,0.0,1680.0,221.0,1459.0,-16559,31613.0,-2468,14266,158.0,14424,31748,
03/31/2016,31892,4307,2644,1663,3363,3363.0,0.0,1336,227.0,919.0,402.0,-212.0,2209,,11.0,0.0,3230.0,2209.0,11215,4455,8757,-4302,3689.0,3689.0,12533,8255.0,6875.0,1380.0,,1037,20677,,6272,1543,472.0,,4257.0,106,106.0,,,,,1219,606.0,57.0,0,7597,6593,6593.0,,,,3151,,1002.0,852.0,634,9744,17341,0.20805,1723.79195,221.0,1502.79195,-16821,32176.0,-2693,14386,165.0,14551,31892,
06/30/2016,32831,4651,2934,1717,3685,3685.0,0.0,1437,248.0,977.0,399.0,-187.0,2525,,14.0,,3389.0,2489.0,12298,4597,8946,-4349,3281.0,3281.0,12655,8254.0,6875.0,1379.0,,998,20533,,6389,1504,164.0,,4721.0,155,155.0,,,,,1341,586.0,1.0,0,7885,6581,6581.0,,,,3287,,1182.0,896.0,622,9868,17753,0.0,1815.0,221.0,1594.0,-16799,32706.0,-2804,14918,160.0,15078,32831,
09/30/2016,33727,5560,3432,2128,3813,3813.0,0.0,1482,265.0,952.0,416.0,-151.0,2349,,8.0,,3528.0,2329.0,13204,4790,8931,-4141,3035.0,3035.0,12698,8252.0,6875.0,1377.0,,910,20523,,6539,1407,312.0,,4820.0,990,241.0,,,,749.0,1467,567.0,0.0,0,8996,5836,5836.0,,,,3114,,1067.0,905.0,575,8950,17946,0.20805,1870.79195,221.0,1649.79195,-16795,33272.0,-2735,15613,168.0,15781,33727,
12/31/2016,33707,6350,4237,2113,3774,3774.0,0.0,1241,264.0,988.0,310.0,-321.0,2339,,1.0,,2996.0,2273.0,13704,4980,9173,-4193,2719.0,2719.0,12304,8260.0,6875.0,1385.0,,1047,20003,,7063,1664,152.0,,5247.0,992,243.0,0.0,0.0,,749.0,786,547.0,0.0,0,8841,5716,5716.0,0.0,0.0,,2803,0.0,1283.0,47.0,926,8519,17360,0.0,1946.0,221.0,1725.0,-16779,33513.0,-2503,16177,170.0,16347,33707,
03/31/2017,32937,6109,3910,2199,4083,4083.0,0.0,1384,230.0,1038.0,415.0,-299.0,2039,,0.0,,2618.0,2010.0,13615,5020,9321,-4301,2685.0,2685.0,11617,8151.0,6875.0,1276.0,,848,19322,,6436,1503,180.0,,4753.0,1197,0.0,,,,1197.0,861,528.0,,0,8494,7237,7237.0,,,,2671,,490.0,948.0,705,9908,18402,0.0,1558.0,221.0,1337.0,-18386,33658.0,-2414,14416,119.0,14535,32937,
06/30/2017,33409,6505,3470,3035,4219,4219.0,0.0,1217,201.0,927.0,412.0,-323.0,2383,,0.0,,2572.0,2367.0,14324,4944,9116,-4172,2580.0,2580.0,11561,8106.0,6861.0,1245.0,,883,19085,,6927,1551,291.0,,5085.0,1306,0.0,,,,1306.0,784,512.0,,0,9017,6911,6911.0,,,,2660,,494.0,967.0,687,9571,18588,0.0,2015.0,221.0,1794.0,-18783,33934.0,-2467,14699,122.0,14821,33409,
09/30/2017,33977,7122,4644,2478,4332,4332.0,0.0,1250,224.0,956.0,380.0,-310.0,2344,,0.0,,2346.0,2319.0,15048,5014,9265,-4251,2526.0,2526.0,11389,8078.0,6865.0,1213.0,,965,18929,,7267,1699,213.0,,5355.0,1461,1461.0,,,,0.0,710,492.0,,0,9438,6982,6982.0,,,,2643,,477.0,996.0,678,9625,19063,0.0,2066.0,221.0,1845.0,-19003,34141.0,-2421,14783,131.0,14914,33977,
12/31/2017,33551,6812,5421,1391,4347,4347.0,0.0,1166,273.0,931.0,384.0,-422.0,2529,,0.0,,1610.0,2517.0,14854,5001,8987,-3986,2480.0,2480.0,11216,8073.0,6863.0,1210.0,,1533,18697,,8441,2248,231.0,,5962.0,987,987.0,0.0,0.0,,0.0,135,454.0,0.0,0,9563,6975,6975.0,0.0,0.0,,5166,0.0,1164.0,45.0,3503,12141,21704,0.0,2119.0,221.0,1898.0,-19249,31160.0,-2289,11741,106.0,11847,33551,
03/31/2018,33083,6770,5342,1428,4374,4374.0,0.0,1231,306.0,932.0,417.0,-424.0,2274,,6.0,,1367.0,2270.0,14649,5060,9159,-4099,2252.0,2252.0,11122,7979.0,6863.0,1116.0,,1770,18434,,7505,1725,296.0,,5484.0,1925,680.0,,,,1245.0,194,447.0,,0,9624,5775,5775.0,,,,4778,,434.0,3233.0,664,10553,20177,0.0,2137.0,221.0,1916.0,-19433,32323.0,-2234,12793,113.0,12906,33083,
06/30/2018,32641,6075,4999,1076,4323,4323.0,0.0,1242,275.0,982.0,425.0,-440.0,2234,,0.0,,1517.0,2186.0,13874,5080,9111,-4031,2117.0,2117.0,11570,7773.0,6683.0,1090.0,,2280,18767,,8047,1873,373.0,,5801.0,1716,0.0,,,,1716.0,115,501.0,,0,9878,5671,5671.0,,,,4674,,1066.0,,3107,10345,20223,0.0,2187.0,221.0,1966.0,-19580,32044.0,-2334,12317,101.0,12418,32641,
09/30/2018,33734,6830,5408,1422,4622,4622.0,0.0,1282,244.0,994.0,429.0,-385.0,2135,,0.0,,1627.0,2092.0,14869,5092,9176,-4084,2017.0,2017.0,11756,7793.0,6686.0,1107.0,,2336,18865,,7958,1773,355.0,,5830.0,1620,0.0,,,,1620.0,116,486.0,,0,9694,5687,5687.0,,,,4603,,1005.0,3112.0,0,10290,19984,0.0,2250.0,221.0,2029.0,-19576,33292.0,-2326,13640,110.0,13750,33734,
12/31/2018,34986,8759,6911,1848,4636,4636.0,0.0,1195,116.0,1152.0,356.0,-429.0,3126,,0.0,,815.0,3082.0,17716,5570,9388,-3818,1775.0,1775.0,9925,7629.0,6538.0,1091.0,,1481,17270,,1892,1892,0.0,0.0,0.0,1743,454.0,40.0,0.0,40.0,1249.0,7019,0.0,0.0,6994,10654,6194,5646.0,548.0,0.0,548.0,4011,0.0,427.0,19.0,3565,10205,20859,0.0,2302.0,221.0,2081.0,-19574,34065.0,-2762,14031,96.0,14127,34986,
03/31/2019,34834,8764,7335,1429,4594,4594.0,0.0,1283,214.0,934.0,448.0,-313.0,2452,,0.0,,1380.0,2394.0,17093,5512,9438,-3926,1233.0,1233.0,10996,7562.0,6536.0,1026.0,,2054,17741,,8309,1976,525.0,,5808.0,421,381.0,40.0,,40.0,0.0,111,448.0,,0,8841,6164,5635.0,529.0,,529.0,4512,,980.0,3084.0,0,10676,19517,0.0,2324.0,221.0,2103.0,-19571,35109.0,-2644,15218,99.0,15317,34834,
06/30/2019,55163,29357,28404,953,4503,4503.0,0.0,1308,217.0,916.0,460.0,-285.0,2548,,7.0,,1442.0,2510.0,37716,5358,9203,-3845,994.0,994.0,11095,7528.0,6533.0,995.0,,2118,17447,,9086,2005,,,7081.0,612,545.0,67.0,,67.0,0.0,13,,,0,9711,24949,24433.0,516.0,,516.0,4352,,423.0,,3929,29301,39012,0.0,2371.0,221.0,2150.0,-19571,35870.0,-2621,16049,102.0,16151,55163,
09/30/2019,57433,32542,30489,2053,4289,4289.0,0.0,1192,127.0,1124.0,306.0,-365.0,2168,,12.0,,1624.0,2100.0,40191,5326,9283,-3957,925.0,925.0,10991,7515.0,6513.0,1002.0,,1840,17242,,9845,1888,,,7957.0,635,569.0,66.0,,66.0,0.0,9,,,0,10489,24894,24390.0,504.0,,504.0,4296,,426.0,,3870,29190,39679,0.0,2427.0,221.0,2206.0,-19871,36555.0,-1463,17648,106.0,17754,57433,
12/31/2019,129944,15393,12346,3047,6476,6476.0,0.0,4293,172.0,3267.0,2227.0,-1373.0,3192,,29.0,,510.0,3186.0,29354,6956,10911,-3955,767.0,767.0,92867,86457.0,22488.0,63969.0,,5871,100590,,2445,2445,0.0,0.0,0.0,3479,583.0,133.0,0.0,133.0,2763.0,12380,0.0,0.0,12359,18304,44059,43387.0,672.0,0.0,672.0,15883,0.0,569.0,6454.0,8860,59942,78246,0.0,44001.0,292.0,43709.0,-25357,34474.0,-1520,51598,100.0,51698,129944,
03/31/2020,129285,18322,15817,2505,7200,7200.0,0.0,2836,164.0,2651.0,1283.0,-1262.0,3495,,82.0,,605.0,3470.0,31853,6836,10277,-3441,651.0,651.0,89945,84118.0,22452.0,61666.0,,5140,97432,,5065,3069,1996.0,,,3998,601.0,136.0,,136.0,3261.0,10169,,0.0,10167,19232,43532,42844.0,688.0,,688.0,16544,,560.0,6531.0,9453,60076,79308,0.0,43546.0,292.0,43254.0,-24757,32671.0,-1549,49911,66.0,49977,129285,
06/30/2020,128076,21658,19934,1724,6699,6699.0,0.0,2384,180.0,1858.0,1516.0,-1170.0,3602,,55.0,,1088.0,3574.0,34343,6483,10019,-3536,523.0,523.0,86727,79749.0,20578.0,59171.0,,5835,93733,,5125,2852,2273.0,,,4954,566.0,135.0,,135.0,4253.0,13342,,0.0,13320,23421,42556,41853.0,703.0,,703.0,12939,,579.0,6157.0,6203,55495,78916,0.0,44736.0,292.0,44444.0,-25651,31565.0,-1556,49094,66.0,49160,128076,
