Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2017,16173.0,16173.0,-12876.0,12304.0,572.0,3297.0,0.0,-1485.0,,1485.0,1812.0,125.0,,111.0,-236.0,,0.0,1937.0,-678.0,1259.0,0.0,0.0,0.0,1259.0,,1259.0,0.0,0.0,1259.0,1259.0,0.0,869.0,1.45,1.45,1.45,874.0,1.44,1.44,1.44,
12/31/2017,18829.0,18829.0,-15490.0,14896.0,594.0,3339.0,0.0,-1845.0,,1845.0,1494.0,-106.0,,129.0,-23.0,,-23.0,1388.0,-284.0,1104.0,0.0,0.0,0.0,1104.0,,1104.0,0.0,0.0,1104.0,1453.0,349.0,867.0,1.27,1.27,1.675894,872.0,1.27,1.27,1.670229,
03/31/2018,17113.0,17113.0,-13970.0,13374.0,596.0,3143.0,0.0,-1623.0,,1623.0,1520.0,141.0,,153.0,-294.0,,0.0,1661.0,-316.0,1345.0,0.0,0.0,0.0,1345.0,,1345.0,0.0,0.0,1345.0,1345.0,0.0,866.0,1.55,1.55,1.55,870.0,1.55,1.55,1.55,
06/30/2018,17456.0,17456.0,-14050.0,13508.0,542.0,3406.0,0.0,-1633.0,,1633.0,1773.0,153.0,,149.0,-302.0,,0.0,1926.0,-441.0,1485.0,0.0,0.0,0.0,1485.0,,1485.0,0.0,0.0,1485.0,1684.999928,199.999928,866.0,1.71,1.71,1.945727,870.0,1.71,1.71,1.939885,
09/30/2018,17444.0,17444.0,-14059.0,13535.0,524.0,3385.0,0.0,-1658.0,,1658.0,1727.0,162.0,,155.0,-317.0,,0.0,1889.0,-381.0,1508.0,0.0,0.0,0.0,1508.0,,1508.0,0.0,0.0,1508.0,1581.0,73.0,865.0,1.74,1.74,1.827746,870.0,1.73,1.73,1.813908,
12/31/2018,19848.0,19848.0,-15931.0,15386.0,545.0,3917.0,0.0,-1913.0,0.0,1913.0,2004.0,-1461.0,,148.0,-30.0,,1343.0,543.0,-90.0,453.0,0.0,0.0,0.0,453.0,0.0,453.0,0.0,0.0,453.0,1690.0,1237.0,865.0,0.52,0.52,1.953757,869.0,0.52,0.52,1.943475,
03/31/2019,17160.0,17160.0,-14055.0,13487.0,568.0,3105.0,0.0,-1711.0,,1711.0,1394.0,46.0,,169.0,-215.0,,0.0,1440.0,-329.0,1111.0,0.0,0.0,0.0,1111.0,,1111.0,0.0,0.0,1111.0,1204.0,93.0,866.0,1.28,1.28,1.3903,869.0,1.28,1.28,1.38702,
06/30/2019,18048.0,18048.0,-14204.0,13629.0,575.0,3844.0,0.0,-1701.0,,1701.0,2143.0,61.0,,159.0,-220.0,,0.0,2204.0,-519.0,1685.0,0.0,0.0,0.0,1685.0,,1685.0,0.0,0.0,1685.0,1702.0,17.0,865.0,1.95,1.95,1.96763,869.0,1.94,1.94,1.959563,
09/30/2019,18318.0,18318.0,-14470.0,13883.0,587.0,3848.0,0.0,-1720.0,,1720.0,2128.0,78.0,,159.0,-237.0,,0.0,2206.0,-456.0,1750.0,0.0,0.0,0.0,1750.0,,1750.0,0.0,0.0,1750.0,1797.0,47.0,864.0,2.03,2.03,2.079861,870.0,2.01,2.01,2.064023,
12/31/2019,20568.0,20568.0,-16256.0,15626.0,630.0,4312.0,0.0,-2179.0,,2179.0,2133.0,-2331.0,,166.0,-31.0,,2196.0,-198.0,92.0,-106.0,0.0,0.0,0.0,-106.0,,-106.0,0.0,0.0,-106.0,1840.0,1946.0,863.0,-0.12,-0.12,2.132097,863.0,-0.12,-0.12,2.132097,
03/31/2020,18035.0,18035.0,-14989.0,14341.0,648.0,3046.0,0.0,-1974.0,,1974.0,1072.0,178.0,,167.0,-345.0,,0.0,1250.0,-285.0,965.0,0.0,0.0,0.0,965.0,,965.0,0.0,0.0,965.0,1000.0,35.0,864.0,1.12,1.12,1.157407,869.0,1.11,1.11,1.150276,
06/30/2020,20459.0,20459.0,-16273.0,15612.0,661.0,4186.0,0.0,-1974.0,,1974.0,2212.0,145.0,,183.0,-328.0,,0.0,2357.0,-589.0,1768.0,0.0,0.0,0.0,1768.0,,1768.0,0.0,0.0,1768.0,1851.0,83.0,866.0,2.04,2.04,2.137413,869.0,2.03,2.03,2.125512,
09/30/2020,20116.105,,,,,2653.7165716,,,,,1961.533,,,,,,,2095.533,,1571.714,,,,,,1571.714,,,1571.714,1599.875,,,1.802,1.802,1.812,,1.802,1.802,1.812,
12/31/2020,22168.263,,,,,2821.57651464,,,,,2096.267,,,,,,,2231.067,,1699.143,,,,,,1699.143,,,1699.143,1716.188,,,1.964,1.964,1.957,,1.964,1.964,1.957,
