Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
01/31/2001,135.918,-28.531,0.0,0.0,48.024,,155.411,206.655,23.238731,0.309013,0.134439,1.4317,1.907632,1.931855,2.717332,136.26,155.753,1.286345,,
04/30/2001,265.475471,-38.744,0.0,0.0,48.024,,274.755471,227.903,21.072123,0.174788,0.235388,2.136413,2.70695,2.925586,3.973803,266.88827,276.16827,2.251676,,
07/31/2001,253.11435,-65.84,0.0,0.0,42.857,,230.13135,244.591,17.521904,0.186228,0.201493,1.584556,1.951804,2.118258,2.874099,258.80415,235.82115,1.858176,,
10/31/2001,285.81525,-88.527,0.0,0.0,42.857,,240.14525,263.085,16.290172,0.178463,0.223575,1.70821,2.118113,2.523116,3.673291,293.52904,247.85904,1.933537,,
01/31/2002,317.8524,-48.254,0.0,0.0,34.285,,303.8834,253.481,13.525669,0.112823,0.317296,2.579765,3.365936,5.910839,12.139694,326.3184,312.3494,2.437932,,
04/30/2002,271.101187,-57.55,0.0,0.0,34.285,,247.836187,258.881,13.243537,0.138337,0.275415,2.685261,3.840635,4.915729,11.25813,278.6784,255.4134,1.988349,,
07/31/2002,261.16794,-24.266,0.0,0.0,25.714,,262.61594,254.208,10.115339,0.097915,0.295437,3.712148,6.100821,6.008785,31.29237,268.38801,269.83601,2.115414,,
10/31/2002,273.751203,-66.995,,,34.285,,241.041203,265.046,12.93549,0.142237,0.265869,4.879772,11.515441,9.154925,-21.566074,280.54659,247.83659,1.944831,,
01/31/2003,323.573819,-17.751,,,25.714,,331.536819,253.35,10.149595,0.07756,0.328182,6.431988,14.647734,8.436336,-30.235011,323.44605,331.40905,2.670389,,
09/30/2003,384.239386,-8.493,,,40.714,,416.460386,311.862,13.055133,0.097762,0.342723,5.567876,9.704987,8.232736,-67.705092,397.18623,429.40723,3.357246,,
12/31/2003,426.635,-11.69,0.0,14.475,67.142,,496.562,350.226,19.17105,0.135214,0.378748,7.104501,14.770279,6.848096,-46.876255,426.5525,496.4795,4.000919,,
03/31/2004,501.60384,-22.262,0.0,14.114,52.142,,545.59784,349.512,14.918515,0.095569,0.364105,6.012429,10.544584,5.303669,37.439516,512.6274,556.6214,4.331792,,
06/30/2004,594.099,-64.398,0.0,13.22,17.142,,560.063,364.498,4.702906,0.030607,0.311694,3.186739,4.180355,2.702976,4.223277,609.6948,575.6588,4.407169,,
09/30/2004,796.212024,-185.281008,0.0,157.339005,42.141999,,810.41202,530.208013,7.948201,0.052001,0.4095,4.826668,6.431688,3.769117,5.541856,826.709953,840.909949,6.488695,,
12/31/2004,872.184961,-163.675,0.0,157.55,33.572,,899.631961,531.038,6.321958,0.037317,0.400482,4.836861,6.182443,5.457505,7.080199,892.20231,919.64931,7.186762,,
03/31/2005,1183.486302,-138.398,,181.282,155.627,,1381.997302,695.299,22.382745,0.11261,0.573911,7.237748,9.302182,10.258331,-57.543679,1199.90765,1398.41865,10.880362,,
06/30/2005,1451.985186,-209.182,,179.484,191.529,,1613.816186,754.513,25.384453,0.118681,0.628444,8.126249,10.546371,14.006267,-29.919842,3020.38906,3182.22006,12.967901,,
09/30/2005,1926.620975,-260.67,0.0,0.0,8.572,,1674.522975,397.593,2.155974,0.005119,0.58734,6.230551,7.482798,9.926656,-79.397168,2008.07628,1755.97828,13.902057,,
12/31/2005,1729.392848,-239.042,0.0,157.026,0.0,,1647.376848,534.377,0.0,0.0,0.540777,5.373785,6.269965,6.474128,62.541824,1795.29952,1713.28352,14.019526,,
03/31/2006,2124.258298,-190.81,0.0,0.0,0.0,,1933.448298,366.341,0.0,0.0,0.601723,6.095956,6.990128,8.460844,18.790463,2224.63768,2033.82768,16.865556,,
