Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2013,-81.902,348.466,33.829,57.0,-28.408,11.12,-39.528,-492.789,-7.794,-426.427,1.741,-60.309,0.0,-419.729,-26.992,0.0,-26.992,1407.441,1445.763,62.091,1380.265,3.407,-38.322,-5.242,-24.814,-8.266,-1883.579,-632.995,-1250.584,0.0,0.0,0.0,0.0,0.0,83.401,150.066,-113.01,-320.571,-66.853,0.0,0.0,-253.718,0.0,0.0,0.0,573.656,9.991,0.0,-351.565,216.861,661.215,
09/30/2013,-112.819,294.479,33.821,48.0,15.089,62.856,-47.767,-504.208,-9.59,-587.994,-1.688,95.064,0.0,229.368,-42.301,0.0,-42.301,-1259.209,318.196,75.372,235.269,7.555,-1577.405,-1575.173,-1.947,-0.285,1763.887,1134.344,629.543,0.0,0.0,0.0,0.0,0.0,-233.009,468.702,-96.445,-63.48,-61.721,0.0,0.0,-1.759,0.0,0.0,0.0,550.21,78.417,0.0,585.251,104.711,650.388,
12/31/2013,428.647,221.422,35.361,42.0,63.143,46.556,16.587,66.721,-16.414,134.716,-7.704,-43.877,0.0,-1641.444,-43.599,0.0,-43.599,-1324.395,218.915,71.21,147.527,0.178,-1543.31,-390.639,-156.573,-996.098,-507.698,-782.371,274.673,0.0,0.0,0.0,0.0,0.0,234.248,825.978,-113.787,12.161,14.436,0.0,0.0,-2.275,0.0,0.0,0.0,909.573,18.031,0.0,-386.819,57.891,635.172,
03/31/2014,561.098,229.017,34.77,32.0,60.313,42.256,18.057,204.998,27.893,122.406,-3.185,57.884,0.0,-3441.038,-16.725,0.0,-16.725,-1454.568,258.775,92.305,166.324,0.146,-1713.343,-3.238,-1709.847,-0.258,-1991.508,-343.461,-1648.047,0.0,0.0,0.0,0.0,0.0,21.763,2970.124,-98.486,1116.197,-30.246,0.0,1498.688,-352.245,346.5,346.5,0.0,1581.705,24.208,0.0,90.184,4.789,61.841,
06/30/2014,-91.594,284.336,33.659,30.0,15.543,-1.292,16.835,-455.132,-12.725,-314.927,13.221,-140.701,0.0,-1871.898,-21.022,0.0,-21.022,-1631.712,328.352,118.7,209.064,0.588,-1960.064,-7.507,-1899.911,-52.646,-214.391,-481.046,266.655,0.0,0.0,0.0,0.0,0.0,-4.773,2117.81,-115.996,1072.322,-68.578,0.0,1149.0,-8.1,0.0,0.0,0.0,1130.765,30.719,0.0,154.318,193.239,1238.77,
09/30/2014,305.006,275.344,32.741,29.0,10.836,-7.187,18.023,-42.915,-4.005,-31.904,-0.398,-6.608,0.0,-6816.532,-12.653,0.0,-12.653,-1245.247,460.058,126.672,310.811,22.575,-1705.305,-4.457,-1700.488,-0.36,-5239.599,-596.065,-4643.534,0.0,0.0,0.0,0.0,0.0,-319.033,6117.733,-110.602,1687.471,2.978,0.0,1697.79,-13.297,0.0,0.0,0.0,4513.017,27.847,0.0,-393.793,131.593,661.248,
12/31/2014,324.531,277.549,29.15,33.0,74.3,59.071,15.229,-89.468,10.46,-126.156,5.525,20.703,0.0,419.097,-22.761,0.0,-22.761,400.366,443.688,131.322,312.23,0.136,-43.322,-6.081,-36.899,-0.342,-280.082,-1485.279,1205.197,0.0,0.0,0.0,0.0,0.0,321.574,-893.914,-116.349,-24.566,28.067,0.0,0.0,-52.633,0.0,0.0,0.0,-758.79,5.791,0.0,-150.286,82.291,1188.847,
03/31/2015,458.366,241.613,30.971,38.0,50.564,37.052,13.512,97.218,-18.206,197.708,-2.2,-80.084,0.0,-1802.336,-9.598,0.0,-9.598,-1360.099,519.182,148.708,370.342,0.132,-1879.281,-7.442,-1871.491,-0.348,-410.699,-590.075,179.376,0.0,0.0,0.0,0.0,0.0,-21.94,1337.466,-110.999,1499.022,0.819,0.0,1500.0,-1.797,0.0,0.0,0.0,-4.543,-46.014,0.0,-6.504,88.578,75.776,
06/30/2015,99.717,286.688,29.986,30.0,-40.669,-7.168,-33.501,-206.288,18.404,-275.385,10.112,40.581,0.0,1247.755,-13.797,0.0,-13.797,-464.567,694.625,202.402,492.101,0.122,-1159.192,-9.961,-1141.893,-7.338,1687.729,-557.91,2245.639,0.0,0.0,0.0,0.0,0.0,38.39,-1363.467,-116.914,-361.424,-40.196,0.0,0.0,-321.228,0.0,0.0,0.0,-946.804,61.675,0.0,-15.995,136.529,73.479,
09/30/2015,689.757,280.401,29.807,44.0,-9.218,-9.743,0.525,344.767,-3.191,310.651,-13.396,50.703,0.0,-1038.489,-19.349,0.0,-19.349,339.148,652.377,168.249,484.005,0.123,-313.229,-5.189,-307.547,-0.493,-1266.389,-598.975,-667.414,0.0,0.0,0.0,0.0,0.0,-91.899,247.578,-111.239,19.201,20.484,0.0,0.0,-1.283,0.0,0.0,0.0,315.203,24.413,0.0,-101.154,147.909,85.734,
12/31/2015,494.568,270.965,34.679,58.0,387.095,376.455,10.64,-256.171,-5.334,90.356,-40.854,-300.339,0.0,9307.352,-39.192,0.0,-39.192,6636.478,7027.848,143.6,6700.733,183.515,-391.37,-6.839,-293.393,-91.138,4556.337,-131.513,4687.85,0.0,-1932.596,0.0,-1932.596,0.0,86.325,-9683.584,-117.135,-10736.678,-2148.512,0.0,0.0,-8588.166,0.0,0.0,0.0,1140.537,29.692,0.0,118.336,5.644,165.34,
03/31/2016,448.22,298.528,39.46,49.0,65.865,50.075,15.79,-4.633,-59.08,0.211,-16.53,70.766,0.0,-2015.275,-16.307,0.0,-16.307,346.055,662.824,132.636,512.067,18.121,-316.769,-5.343,-311.302,-0.124,-2352.943,-402.112,-1950.831,0.0,0.0,0.0,0.0,0.0,7.92,1377.19,-129.368,-661.025,-343.838,0.0,0.0,-317.187,-100.0,0.0,-100.0,2264.623,2.96,0.0,-189.865,-86.146,146.568,
06/30/2016,201.811,336.031,37.791,32.0,50.501,44.383,6.118,-254.512,18.528,-188.982,18.888,-102.946,0.0,1108.177,-20.312,0.0,-20.312,573.643,786.552,159.281,560.003,67.268,-212.909,-5.113,-206.901,-0.895,661.218,-409.124,1070.342,0.0,0.0,0.0,0.0,0.0,-106.372,-1203.721,-134.446,-1355.169,-1349.765,0.0,0.0,-5.404,-154.0,0.0,-154.0,440.709,-0.815,0.0,106.267,19.215,110.654,
09/30/2016,422.059,349.984,36.184,47.0,-1.569,14.816,-16.385,-9.54,-42.285,-97.053,-16.191,145.989,0.0,-3091.1,-28.658,0.0,-28.658,218.986,857.151,167.482,680.542,9.127,-638.165,-5.35,-632.32,-0.495,-3391.339,-1088.542,-2302.797,0.0,0.0,0.0,0.0,0.0,109.911,2716.801,-127.231,-297.542,-193.098,0.0,0.0,-104.444,-350.0,0.0,-350.0,3490.179,1.395,0.0,47.76,33.014,130.473,
12/31/2016,111.321,330.571,36.174,62.0,68.012,64.739,3.273,-385.436,46.384,-379.825,1.551,-53.546,0.0,3277.43,-42.416,0.0,-42.416,-1841.444,770.023,149.681,620.109,0.233,-2611.467,-198.985,-2412.188,-0.294,4894.788,-882.21,5776.998,0.0,0.0,0.0,0.0,0.0,266.502,-3400.404,-132.116,-743.267,-50.404,0.0,0.0,-692.863,-42.334,495.0,-537.334,-2640.838,158.151,0.0,-11.653,138.491,111.256,
03/31/2017,1285.816,348.927,35.849,55.0,43.745,36.731,7.014,802.295,113.332,712.954,-23.782,-0.209,0.0,-826.007,-21.521,0.0,-21.521,274.374,819.311,121.455,697.756,0.1,-544.937,-539.516,-5.143,-0.278,-1090.723,853.788,-1944.511,0.0,0.0,0.0,0.0,0.0,11.863,-493.396,-133.934,-1379.75,21.66,0.0,0.0,-1401.41,-532.073,0.0,-532.073,1550.297,2.064,0.0,-33.587,-29.272,116.183,
06/30/2017,337.471,381.053,35.585,52.0,-11.1,-19.595,8.495,-120.067,-21.278,-167.09,17.432,50.869,0.0,2490.805,-28.341,0.0,-28.341,176.976,1120.921,123.65,966.355,30.916,-943.945,-636.092,-239.306,-68.547,2306.291,384.971,1921.32,0.0,0.0,0.0,0.0,0.0,35.879,-2769.76,-133.192,1081.902,1510.351,0.0,898.2,-1326.649,-224.894,0.0,-224.894,-3500.174,6.598,0.0,58.516,350.378,83.438,
09/30/2017,442.579,355.923,37.538,30.0,1.667,-7.21,8.877,17.451,-3.349,-21.969,-16.709,59.478,0.0,514.539,-12.653,0.0,-12.653,723.156,790.691,145.173,498.29,147.228,-67.535,0.0,-4.256,-63.279,-214.579,1068.076,-1282.655,0.0,0.0,0.0,0.0,0.0,18.615,-934.344,-131.882,-548.196,-1494.685,0.0,1247.75,-301.261,-224.724,0.0,-224.724,-26.36,-3.182,0.0,22.774,141.057,111.019,
12/31/2017,716.069,322.403,31.981,31.0,384.612,390.864,-6.252,-53.927,65.267,187.762,5.163,-312.119,0.0,1215.588,-16.451,0.0,-16.451,388.572,641.408,138.307,502.877,0.224,-252.836,-250.082,-2.48,-0.274,889.999,-337.582,1227.581,0.0,0.0,0.0,0.0,0.0,-46.532,-1879.021,-131.128,-429.789,-25.669,0.0,0.0,-404.12,-224.214,0.0,-224.214,-1099.085,5.195,0.0,52.636,32.042,94.65,
03/31/2018,484.179,352.61,33.913,43.0,-114.471,-124.772,10.301,169.127,91.219,-72.403,-14.803,165.114,0.0,-248.53,-9.544,0.0,-9.544,439.818,728.177,123.923,349.394,254.86,-288.359,0.0,-0.1,-288.259,-637.482,419.049,-1056.531,0.0,0.0,0.0,0.0,0.0,-41.322,-363.873,-129.686,1946.432,1451.03,0.0,999.594,-504.192,-720.966,0.0,-720.966,-1484.629,24.976,0.0,-128.224,-37.999,118.342,
06/30/2018,37.063,493.16,33.199,35.0,11.197,0.792,10.405,-535.493,37.535,-683.6,20.562,90.01,0.0,648.571,-27.572,0.0,-27.572,738.058,975.538,123.462,601.095,250.981,-237.48,0.0,-5.699,-231.781,-94.529,440.022,-534.551,0.0,0.0,0.0,0.0,0.0,32.614,-872.151,-134.139,1411.109,1613.287,0.0,0.0,-202.178,-475.096,0.0,-475.096,-1673.269,-0.756,0.0,-186.517,213.618,100.389,
09/30/2018,1018.375,526.091,32.237,16.0,56.148,50.57,5.578,387.899,50.46,503.022,-35.937,-129.646,0.0,1136.689,-22.186,0.0,-22.186,163.374,735.839,127.333,465.143,143.363,-572.465,-444.703,-3.398,-124.364,997.865,851.626,146.239,0.0,0.0,0.0,0.0,0.0,-2.364,-1949.6,-161.183,-1156.935,-1929.306,0.0,773.595,-1.224,-498.5,0.0,-498.5,-131.473,-1.509,0.0,205.464,21.628,162.406,
12/31/2018,550.235,546.219,30.037,38.0,113.873,89.267,24.606,-177.894,-191.154,102.286,23.016,-112.042,0.0,-2946.781,-38.374,0.0,-38.374,493.408,687.157,103.454,582.049,1.654,-193.749,0.0,-3.297,-190.452,-3460.791,-1879.34,-1581.451,0.0,0.0,0.0,0.0,0.0,58.976,2690.374,-157.895,2336.781,3088.268,0.0,0.0,-751.487,-499.834,0.0,-499.834,1016.866,-5.544,,293.828,177.869,135.093,
03/31/2019,413.306,482.742,56.002,22.0,26.359,13.441,12.918,-173.797,-170.092,202.67,-35.071,-171.304,0.0,271.261,-30.71,,-30.71,183.75,784.417,99.96,371.714,312.743,-600.667,-495.277,-1.595,-103.795,112.521,-389.779,502.3,0.0,0.0,0.0,0.0,0.0,5.7,-1022.746,-156.963,-796.951,-795.812,0.0,0.0,-1.139,-365.628,0.0,-365.628,313.849,-17.053,,-338.179,149.548,191.309,
06/30/2019,66.872,473.26,56.078,55.0,65.278,2.376,62.902,-582.744,-228.46,-421.595,40.721,26.59,0.0,-852.12,-51.947,,-51.947,1156.378,1515.431,113.126,1134.559,267.746,-359.053,0.0,-1.099,-357.954,-2034.959,-846.103,-1188.856,0.0,0.0,0.0,0.0,0.0,78.408,789.599,-153.334,133.382,1008.824,0.0,0.0,-875.442,-401.984,0.0,-401.984,1211.928,-0.393,,4.351,93.856,169.87,
09/30/2019,746.67,480.081,58.826,45.0,18.095,0.866,17.229,144.668,-126.203,198.6,3.121,69.15,0.0,-3418.808,-36.865,0.0,-36.865,931.912,1298.38,574.569,425.895,297.916,-366.468,0.0,-7.097,-359.371,-4285.103,-581.332,-3703.771,0.0,0.0,0.0,0.0,0.0,-28.752,3219.588,-151.312,226.554,902.506,0.0,0.0,-675.952,-285.463,396.0,-681.463,3433.55,-3.741,0.0,547.45,59.037,216.112,
12/31/2019,1130.707,493.066,58.521,54.0,58.931,40.865,18.066,466.189,141.988,150.555,22.152,151.494,0.0,4242.217,-58.527,0.0,-58.527,694.778,1356.178,375.165,689.542,291.471,-661.4,-484.457,-18.329,-158.614,3857.243,-1448.127,5305.37,0.0,0.0,0.0,0.0,0.0,-251.277,-6240.137,-157.983,-5452.493,-5451.533,0.0,0.0,-0.96,-282.21,0.0,-282.21,-343.245,-4.206,0.0,-867.213,18.072,158.496,
03/31/2020,-394.442,268.822,58.669,250.0,-18.195,-36.243,18.048,-953.738,-708.319,-158.193,-13.863,-73.363,0.0,-3852.363,-51.547,0.0,-51.547,639.47,666.145,359.615,303.994,2.536,-26.675,-5.996,-2.951,-17.728,-4860.986,-3154.833,-1706.153,0.0,0.0,0.0,0.0,0.0,420.7,4108.692,-164.514,-756.306,-3.183,0.0,0.0,-753.123,-373.75,0.0,-373.75,5413.829,-10.567,0.0,-138.113,44.66,158.861,
06/30/2020,525.519,241.054,57.905,325.0,-24.109,-53.85,29.741,-74.331,-56.995,-62.175,-34.927,79.766,0.0,-15091.885,-42.104,0.0,-42.104,545.486,552.433,142.478,358.259,51.696,-6.947,-2.999,-1.101,-2.847,-15371.944,-3379.91,-11992.034,0.0,0.0,0.0,0.0,0.0,-223.323,14622.989,-154.332,-8.184,-6.882,0.0,0.0,-1.302,0.0,0.0,0.0,14785.204,0.301,0.0,56.623,17.099,65.013,
