Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2011,68144,1258,1258,0.0,1060,1060.0,0.0,,727,,,,,519,,200.0,319.0,3564,45847,,,0.0,,18733,16457.0,14803.0,1654.0,2276,64580,,2680,,,,2680.0,683,0.0,,,,683.0,0,,,0,3363,11196,11196.0,,,,18430,909.0,482.0,14393.0,2646,29626,32989,0.0,34495,,,0.0,592.0,68,35155,0.0,35155,68144,
06/30/2011,69089,1783,1783,0.0,1007,1007.0,0.0,,731,,,,,491,,233.0,183.0,4012,46563,,,0.0,,18514,16378.0,14803.0,1575.0,2136,65077,,3163,,,,3163.0,669,0.0,,,,669.0,0,,1.0,0,3832,11847,11847.0,,,,18607,901.0,480.0,14635.0,2590,30454,34286,0.0,34777,,,,,26,34803,0.0,34803,69089,
09/30/2011,69883,2059,2059,0.0,1111,1111.0,0.0,,712,,,,,420,,263.0,157.0,4302,47319,,,0.0,,18262,16299.0,14803.0,1496.0,1963,65581,,3071,,,,3071.0,559,0.0,,,,559.0,0,,,0,3630,12213,12213.0,,,,19254,915.0,478.0,15317.0,2544,31467,35097,0.0,34793,,,,,-7,34786,0.0,34786,69883,
12/31/2011,70380,1960,1960,0.0,1150,1150.0,,,739,,,,,416,0.0,295.0,97.0,4265,48047,49103.0,-1056.0,0.0,,18068,16223.0,14803.0,1420.0,1845,66115,,3143,,,,3143.0,526,0.0,,,,526.0,0,0.0,0.0,0,3669,12139,12139.0,,,,19823,905.0,769.0,15637.0,2512,31962,35631,,34952,,,,0.0,-203,34749,0.0,34749,70380,
03/31/2012,71118,2276,2276,0.0,1103,1103.0,0.0,,836,,,,,383,,205.0,171.0,4598,48498,49733.0,-1235.0,0.0,,18022,16146.0,14803.0,1343.0,1876,66520,,3082,,,,3082.0,530,0.0,,,,530.0,0,,,0,3612,13295,13295.0,,,,19769,869.0,733.0,15682.0,2485,33064,36676,0.0,34653,,,0.0,0.0,-211,34442,0.0,34442,71118,
06/30/2012,71093,1718,1718,0.0,1127,1127.0,,,777,,,,,398,,229.0,169.0,4020,49103,50382.0,-1279.0,,,17970,16070.0,14803.0,1267.0,1900,67073,,3022,,,,3022.0,517,0.0,,,,517.0,0,,,0,3539,13211,13211.0,,,,19851,849.0,732.0,15861.0,2409,33062,36601,,34705,,,,,-213,34492,,34492,71093,
09/30/2012,72226,2259,2259,0.0,1244,1244.0,0.0,,786,,,,,369,,239.0,130.0,4658,49719,51162.0,-1443.0,0.0,,17849,15994.0,14803.0,1191.0,1855,67568,,3191,,,,3191.0,456,0.0,,,,456.0,0,,,0,3647,14142,14142.0,,,,20006,778.0,732.0,16061.0,2435,34148,37795,0.0,34642,,,0.0,0.0,-211,34431,0.0,34431,72226,
12/31/2012,72014,1794,1794,0.0,1168,1168.0,0.0,,800,,,,,419,,341.0,78.0,4181,50070,51696.0,-1626.0,0.0,,17763,15947.0,14819.0,1128.0,1816,67833,,2225,310.0,,208.0,1707.0,453,0.0,,,,453.0,895,0.0,,895,3573,14080,14080.0,,,,20032,750.0,786.0,16319.0,2177,34112,37685,0.0,34574,,,0.0,,-245,34329,0.0,34329,72014,
03/31/2013,72966,2385,2385,0.0,1249,1249.0,0.0,,839,,,,,366,,207.0,159.0,4839,50396,52116.0,-1720.0,0.0,,17731,15874.0,14836.0,1038.0,1857,68127,,2916,,,,2916.0,923,0.0,,,,923.0,0,,,0,3839,15028,15028.0,,,,19971,738.0,755.0,16334.0,2144,34999,38838,0.0,34372,,,0.0,0.0,-244,34128,0.0,34128,72966,
06/30/2013,72868,1672,1672,0.0,1279,1279.0,0.0,,805,,,,,482,,237.0,245.0,4238,50928,52732.0,-1804.0,0.0,,17702,15798.0,14836.0,962.0,1904,68630,,2870,,,,2870.0,921,0.0,,,,921.0,0,,,0,3791,14959,14959.0,,,,20102,737.0,755.0,16515.0,2095,35061,38852,0.0,34256,,,0.0,0.0,-240,34016,0.0,34016,72868,
09/30/2013,74579,2809,2809,0.0,1311,1311.0,0.0,,800,,,,,381,,250.0,131.0,5301,51659,53582.0,-1923.0,0.0,,17619,15723.0,14836.0,887.0,1896,69278,,3050,,,,3050.0,655,0.0,,,,655.0,0,,,0,3705,16411,16411.0,,,,20355,738.0,755.0,16691.0,2171,36766,40471,0.0,34345,,,0.0,0.0,-237,34108,0.0,34108,74579,
12/31/2013,75030,2225,2225,0.0,1298,1298.0,0.0,,835,,,,,445,,358.0,87.0,4803,52363,54595.0,-2232.0,0.0,,17864,15640.0,14819.0,821.0,2224,70227,,2122,311.0,,243.0,1568.0,645,0.0,,,,645.0,1084,,,1084,3851,16361,16361.0,,,,20206,677.0,362.0,17224.0,1943,36567,40418,0.0,34367,,,,,245,34612,0.0,34612,75030,
03/31/2014,75769,2555,2555,0.0,1307,1307.0,0.0,,859,,,,,363,,195.0,168.0,5084,52833,55465.0,-2632.0,0.0,,17852,15563.0,14819.0,744.0,2289,70685,,3246,,,,3246.0,389,0.0,,,,389.0,0,0.0,0.0,0,3635,17560,17560.0,,,,19985,673.0,360.0,17120.0,1832,37545,41180,0.0,34341,,,0.0,0.0,248,34589,0.0,34589,75769,
06/30/2014,75938,1926,1926,0.0,1320,1320.0,0.0,,866,,,,,366,,219.0,147.0,4478,53627,56531.0,-2904.0,0.0,,17833,15485.0,14819.0,666.0,2348,71460,,3461,,,,3461.0,376,0.0,,,,376.0,0,,,0,3837,17505,17505.0,,,,20091,661.0,358.0,17161.0,1911,37596,41433,0.0,34257,,,,,248,34505,0.0,34505,75938,
09/30/2014,77566,2470,2470,0.0,1370,1370.0,0.0,,846,,,,,472,,231.0,241.0,5158,54683,57882.0,-3199.0,0.0,,17725,15408.0,14819.0,589.0,2317,72408,,3516,,,,3516.0,371,0.0,,,,371.0,0,,,0,3887,18959,18959.0,,,,20180,652.0,356.0,17355.0,1817,39139,43026,0.0,34292,,,,,248,34540,0.0,34540,77566,
12/31/2014,78127,2384,2384,0.0,1386,1386.0,0.0,,795,,,,,587,0.0,355.0,232.0,5152,55806,59356.0,-3550.0,0.0,0.0,17169,15331.0,14819.0,512.0,1838,72975,,3435,344.0,330.0,265.0,2496.0,366,0.0,,,,366.0,0,0.0,0.0,0,3801,18838,18838.0,,,,20754,639.0,385.0,18001.0,1729,39592,43393,0.0,34736,,,0.0,,-2,34734,0.0,34734,78127,
03/31/2015,79362,3015,3015,0.0,1336,1336.0,0.0,0.0,820,,,,,435,,209.0,226.0,5606,56513,60640.0,-4127.0,45.0,45.0,17198,15300.0,14819.0,481.0,1898,73756,,3428,,,,3428.0,295,0.0,,,,295.0,0,,0.0,0,3723,20171,20171.0,,,,20690,628.0,383.0,17998.0,1681,40861,44584,0.0,34781,,,0.0,0.0,-3,34778,0.0,34778,79362,
06/30/2015,79947,2728,2728,0.0,1279,1279.0,0.0,,852,,,,,465,,241.0,224.0,5324,57323,61708.0,-4385.0,121.0,121.0,17179,15293.0,14819.0,474.0,1886,74623,,3390,,,,3390.0,326,0.0,,,,326.0,0,,,0,3716,20590,20590.0,,,,20900,617.0,380.0,18174.0,1729,41490,45206,0.0,34744,,,0.0,,-3,34741,0.0,34741,79947,
09/30/2015,81503,3040,3040,0.0,1400,1400.0,0.0,,801,,,,,456,,247.0,209.0,5697,58446,63056.0,-4610.0,119.0,119.0,17241,15308.0,14831.0,477.0,1933,75806,,3647,,,,3647.0,323,0.0,,,,323.0,0,,,0,3970,21559,21559.0,,,,21077,632.0,378.0,18387.0,1680,42636,46606,0.0,34900,,,0.0,,-3,34897,0.0,34897,81503,
12/31/2015,81703,2329,2329,0.0,1198,1198.0,0.0,,829,,,,,582,0.0,245.0,337.0,4938,59510,64355.0,-4845.0,120.0,120.0,17135,15313.0,14845.0,468.0,1822,76765,,2389,292.0,337.0,286.0,1474.0,389,0.0,,,,389.0,855,0.0,0.0,855,3633,21348,21348.0,,,,21690,609.0,353.0,19072.0,1656,43038,46671,0.0,34984,,,0.0,0.0,48,35032,0.0,35032,81703,
03/31/2016,81191,1606,1606,0.0,1184,1184.0,0.0,0.0,845,,,,,382,,0.0,382.0,4017,59900,65035.0,-5135.0,118.0,118.0,17156,15303.0,14845.0,458.0,1853,77174,,3035,,,,3035.0,203,0.0,,,,203.0,0,,,0,3238,21315,21315.0,,,,21574,598.0,352.0,19018.0,1606,42889,46127,0.0,35018,,,,,46,35064,0.0,35064,81191,
06/30/2016,82591,2258,2258,0.0,1164,1164.0,0.0,,831,,,,,514,,0.0,514.0,4767,60528,65898.0,-5370.0,116.0,116.0,17180,15294.0,14845.0,449.0,1886,77824,,3007,,,,3007.0,820,0.0,,,,820.0,0,,,0,3827,21369,21369.0,,,,22058,589.0,351.0,19507.0,1611,43427,47254,0.0,35290,,,0.0,,47,35337,0.0,35337,82591,
09/30/2016,83582,2875,2875,0.0,1273,1273.0,0.0,,795,,,,,472,,0.0,472.0,5415,60897,66570.0,-5673.0,107.0,107.0,17163,15284.0,14845.0,439.0,1879,78167,,3272,,,,3272.0,820,0.0,,,,820.0,0,,,0,4092,21346,21346.0,,,,22288,582.0,347.0,19733.0,1626,43634,47726,0.0,35810,,,0.0,,46,35856,0.0,35856,83582,
12/31/2016,84122,3218,3218,0.0,1272,1272.0,0.0,,825,,,,,235,0.0,0.0,235.0,5550,61250,67380.0,-6130.0,107.0,107.0,17215,15275.0,14845.0,430.0,1940,78572,,2653,487.0,497.0,300.0,1369.0,735,0.0,,,,735.0,785,0.0,0.0,785,4173,21309,21309.0,,,,22468,584.0,321.0,19866.0,1697,43777,47950,0.0,36053,,,0.0,0.0,119,36172,0.0,36172,84122,
03/31/2017,85653,4566,4566,0.0,1244,1244.0,0.0,,833,,,,,265,,,265.0,6908,61389,,,112.0,112.0,17244,15266.0,14845.0,421.0,1978,78745,,3507,,,,3507.0,1385,0.0,,,,1385.0,0,,,0,4892,21856,21856.0,,,,22522,577.0,315.0,19986.0,1644,44378,49270,0.0,36266,,,0.0,,117,36383,0.0,36383,85653,
06/30/2017,85542,4135,4135,0.0,1289,1289.0,0.0,,819,,,,,240,,0.0,240.0,6483,61642,69578.0,-7936.0,108.0,108.0,17309,15257.0,14845.0,412.0,2052,79059,,3825,,,,3825.0,731,0.0,,,,731.0,0,,,0,4556,21821,21821.0,,,,22624,570.0,313.0,20100.0,1641,44445,49001,0.0,36424,,,0.0,,117,36541,0.0,36541,85542,
09/30/2017,85031,3306,3306,0.0,1370,1370.0,0.0,,807,,,,,226,,0.0,226.0,5709,61967,70260.0,-8293.0,102.0,102.0,17253,15248.0,14845.0,403.0,2005,79322,,3354,,,,3354.0,735,0.0,,,,735.0,0,,,0,4089,21796,21796.0,,,,22763,526.0,311.0,20294.0,1632,44559,48648,0.0,36266,,,0.0,,117,36383,0.0,36383,85031,
12/31/2017,84523,1975,1975,0.0,1448,1448.0,0.0,,803,,,,,408,0.0,0.0,408.0,4634,62313,70940.0,-8627.0,97.0,97.0,17479,15239.0,14845.0,394.0,2240,79889,,2358,309.0,301.0,289.0,1459.0,740,0.0,,,,740.0,811,0.0,0.0,811,3909,21759,21759.0,,,,15846,499.0,310.0,13452.0,1585,37605,41514,0.0,42778,,,0.0,0.0,231,43009,0.0,43009,84523,
03/31/2018,84431,1906,1906,0.0,1443,1443.0,0.0,,806,,,,,325,,,325.0,4480,62331,71285.0,-8954.0,99.0,99.0,17521,15235.0,14845.0,390.0,2286,79951,,2930,,,,2930.0,86,0.0,,,,86.0,0,,,0,3016,22475,22475.0,,,,15888,494.0,314.0,13558.0,1522,38363,41379,0.0,42795,,,0.0,,257,43052,0.0,43052,84431,
06/30/2018,84801,2139,2139,0.0,1462,1462.0,0.0,,789,,,,,276,,,276.0,4666,62507,71766.0,-9259.0,95.0,95.0,17533,15227.0,14845.0,382.0,2306,80135,,3161,,,,3161.0,86,0.0,,,,86.0,0,,,0,3247,22448,22448.0,,,,15920,490.0,311.0,13600.0,1519,38368,41615,0.0,42929,,,0.0,,257,43186,0.0,43186,84801,
09/30/2018,85307,2280,2280,0.0,1576,1576.0,0.0,,826,,,,,249,,0.0,249.0,4931,62800,72396.0,-9596.0,86.0,86.0,17490,15233.0,14851.0,382.0,2257,80376,,3301,,,,3301.0,86,0.0,,,,86.0,0,,,0,3387,23171,23171.0,,,,16046,486.0,313.0,13734.0,1513,39217,42604,0.0,42447,,,0.0,,256,42703,0.0,42703,85307,
12/31/2018,85093,1985,1985,0.0,1499,1499.0,0.0,,793,,,,,257,0.0,0.0,257.0,4534,63185,73189.0,-10004.0,73.0,73.0,17301,15224.0,14851.0,373.0,2077,80559,,2390,169.0,382.0,270.0,1569.0,830,0.0,,,,830.0,871,0.0,0.0,871,4091,22396,22396.0,,,,15957,486.0,267.0,13795.0,1409,38353,42444,0.0,42519,,,0.0,0.0,130,42649,0.0,42649,85093,
03/31/2019,87675,1991,1991,0.0,1404,1404.0,0.0,,813,,,,,118,,,118.0,4326,65831,76696.0,-10865.0,0.0,,17518,15215.0,14851.0,364.0,2303,83349,,3375,,,,3375.0,1332,0.0,509.0,48.0,461.0,823.0,0,,,0,4707,24155,21985.0,2170.0,361.0,1809.0,16049,482.0,272.0,13932.0,1363,40204,44911,0.0,42572,,,,,192,42764,0.0,42764,87675,
06/30/2019,88110,1994,1994,0.0,1538,1538.0,0.0,,784,,,,,166,,,166.0,4482,66108,77314.0,-11206.0,0.0,,17520,15206.0,14851.0,355.0,2314,83628,,3634,,,,3634.0,1549,0.0,522.0,48.0,474.0,1027.0,0,,,0,5183,23841,21769.0,2072.0,348.0,1724.0,16184,472.0,274.0,14056.0,1382,40025,45208,0.0,42710,,,0.0,,192,42902,0.0,42902,88110,
09/30/2019,89033,2572,2572,0.0,1579,1579.0,0.0,,759,,,,,176,,0.0,176.0,5086,66425,77937.0,-11512.0,0.0,,17482,15197.0,14851.0,346.0,2325,83907,,3270,,,,3270.0,1781,0.0,508.0,48.0,460.0,1273.0,0,,,0,5051,24347,22332.0,2015.0,337.0,1678.0,16267,446.0,273.0,14239.0,1309,40614,45665,0.0,43176,,,0.0,,192,43368,0.0,43368,89033,
12/31/2019,88574,1984,1984,0.0,1401,1401.0,0.0,,789,,,,,113,0.0,,113.0,4287,66818,78919.0,-12101.0,0.0,,17469,14851.0,14851.0,0.0,2618,84287,,1932,413.0,391.0,280.0,848.0,1026,0.0,503.0,48.0,455.0,523.0,1247,0.0,0.0,1247,4205,24272,22316.0,1956.0,324.0,1632.0,16377,442.0,285.0,14353.0,1297,40649,44854,0.0,43575,,,0.0,,145,43720,0.0,43720,88574,
03/31/2020,88372,1852,1852,0.0,1389,1389.0,0.0,,735,,,,,114,,,114.0,4090,66789,78987.0,-12198.0,0.0,,17493,14851.0,14851.0,0.0,2642,84282,,3585,,,,3585.0,676,0.0,,,,676.0,0,,,0,4261,23910,22489.0,1421.0,,1421.0,16390,432.0,282.0,14441.0,1235,40300,44561,0.0,43665,,,,,146,43811,0.0,43811,88372,
06/30/2020,88566,1941,1941,0.0,1239,1239.0,0.0,,693,,,,,125,,,125.0,3998,67057,79458.0,-12401.0,0.0,,17511,14851.0,14851.0,0.0,2660,84568,,3813,,,,3813.0,476,0.0,,,,476.0,0,,,0,4289,24103,22776.0,1327.0,,1327.0,16531,441.0,280.0,14505.0,1305,40634,44923,0.0,43496,,,,,147,43643,0.0,43643,88566,
