Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/2011,367.316,364.532,2.784,-303.737,302.908,0.829,63.579,0.0,-60.185,60.185,0.0,3.394,-13.043,12.219,12.342,-0.123,,0.824,0.0,-9.649,0.0,-9.649,0.0,0.0,0.0,-9.649,0.0,-9.649,0.0,0.0,-9.649,-8.8937,0.7553,77.047,-0.13,-0.13,-0.115432,77.047,-0.13,-0.13,-0.120197,
11/30/2011,479.872,475.746,4.126,-406.931,405.9,1.031,72.941,0.0,-69.011,75.576,-6.565,3.93,7.481,12.207,12.302,-0.095,,-19.688,0.0,11.411,2.5,13.911,0.0,0.0,0.0,13.911,0.0,13.911,0.0,0.0,13.911,9.64375,-4.26725,77.159,0.18,0.18,0.124985,77.197,0.18,0.18,0.124723,
02/29/2012,254.558,251.895,2.663,-232.667,231.832,0.835,21.891,0.0,-51.212,51.212,0.0,-29.321,-16.081,16.151,16.286,-0.135,,-0.07,0.0,-45.402,-0.4,-45.802,0.0,0.0,0.0,-45.802,0.0,-45.802,0.0,0.0,-45.802,-40.22825,5.57375,77.09,-0.59,-0.59,-0.521835,77.09,-0.59,-0.59,-0.521835,
05/31/2012,302.852,300.605,2.247,-253.734,253.041,0.693,49.118,0.0,-63.1,63.1,0.0,-13.982,-14.654,14.358,14.469,-0.111,,0.296,0.0,-28.636,4.5,-24.136,0.0,0.0,0.0,-24.136,0.0,-24.136,0.0,0.0,-24.136,-11.98035,12.15565,77.105,-0.31,-0.31,-0.155377,77.105,-0.31,-0.31,-0.155377,
08/31/2012,424.504,421.555,2.949,-352.065,351.356,0.709,72.439,0.0,-59.332,59.332,0.0,13.107,-20.546,22.943,23.06,-0.117,,-2.397,0.0,-7.439,10.7,3.261,0.0,0.0,0.0,3.261,0.0,3.261,0.0,0.0,3.261,12.8017,9.5407,77.127,0.04,0.04,0.165982,77.358,0.04,0.04,0.163332,
11/30/2012,578.201,574.377,3.824,-496.57,495.816,0.754,81.631,0.0,-62.999,62.999,0.0,18.632,-16.208,15.834,15.989,-0.155,,0.374,0.0,2.424,5.3,7.724,0.0,0.0,0.0,7.724,0.0,7.724,0.0,0.0,7.724,13.05205,5.32805,77.103,0.1,0.1,0.169281,78.282,0.1,0.1,0.168062,
02/28/2013,405.219,402.816,2.403,-344.1,343.265,0.835,61.119,0.0,-59.097,59.097,0.0,2.022,-14.38,15.036,15.24,-0.204,,-0.656,0.0,-12.358,-0.1,-12.458,0.0,0.0,0.0,-12.458,0.0,-12.458,0.0,0.0,-12.458,-12.458,0.0,79.401,-0.16,-0.16,-0.16,79.401,-0.16,-0.16,-0.16,
05/31/2013,524.406,521.788,2.618,-443.634,442.998,0.636,80.772,0.0,-70.099,70.099,0.0,10.673,-14.846,14.275,14.507,-0.232,,0.571,0.0,-4.173,1.2,-2.973,0.0,0.0,0.0,-2.973,0.0,-2.973,0.0,0.0,-2.973,7.52905,10.50205,83.605,-0.04,-0.04,0.090055,83.605,-0.04,-0.04,0.085615,
08/31/2013,548.974,545.8,3.174,-447.145,446.381,0.764,101.829,0.0,-63.456,63.456,0.0,38.373,-11.795,11.133,11.326,-0.193,,0.662,0.0,26.578,0.7,27.278,0.0,0.0,0.0,27.278,0.0,27.278,0.0,-0.008,27.27,31.12515,3.85515,83.714,0.32,0.32,0.371803,94.047,0.3,0.3,0.340992,
11/30/2013,618.531,614.574,3.957,-505.249,504.442,0.807,113.282,0.0,-63.156,63.156,0.0,50.126,-21.81,21.454,21.617,-0.163,,0.356,0.0,28.316,-0.2,28.116,0.0,0.0,0.0,28.116,0.0,28.116,0.0,-0.007,28.109,47.8859,19.7769,83.742,0.33,0.33,0.571827,93.784,0.31,0.31,0.520877,
02/28/2014,450.687,448.267,2.42,-370.126,369.274,0.852,80.561,0.0,-61.274,61.274,0.0,19.287,-8.524,11.108,11.276,-0.168,,-2.584,0.0,10.763,-0.2,10.563,0.0,0.0,0.0,10.563,0.0,10.563,0.0,0.017,10.58,10.86145,0.28145,83.745,0.13,0.13,0.129697,93.946,0.12,0.12,0.122996,
05/31/2014,565.007,562.396,2.611,-457.412,456.56,0.852,107.595,0.0,-71.544,71.544,0.0,36.051,-9.127,8.443,8.558,-0.115,,0.684,0.0,26.924,-0.3,26.624,0.0,0.0,0.0,26.624,0.0,26.624,0.0,-0.007,26.617,26.84905,0.23205,89.529,0.3,0.3,0.299892,99.508,0.27,0.27,0.272332,
08/31/2014,589.214,586.231,2.983,-480.283,479.424,0.859,108.931,0.0,-72.897,72.897,0.0,36.034,-7.373,6.345,6.455,-0.11,,1.028,0.0,28.661,-0.3,28.361,0.0,0.0,0.0,28.361,0.0,28.361,0.0,-0.007,28.354,31.22765,2.87365,91.793,0.31,0.31,0.340196,102.07,0.28,0.28,0.308154,
11/30/2014,796.041,792.749,3.292,-681.276,680.393,0.883,114.765,0.0,-82.308,82.308,0.0,32.457,-3.856,4.411,4.461,-0.05,,-0.555,0.0,28.601,824.2,852.801,0.0,0.0,0.0,852.801,0.0,852.801,0.0,-0.286,852.515,35.45525,-817.05975,91.902,9.276349,9.276349,0.385794,101.831,8.358987,8.358987,0.335303,
02/28/2015,580.121,577.888,2.233,-493.382,492.418,0.964,86.739,0.0,-71.072,71.072,0.0,15.667,-5.168,5.235,5.338,-0.103,,-0.067,0.0,10.499,-2.7,7.799,0.0,0.0,0.0,7.799,0.0,7.799,0.0,0.027,7.826,8.1172,0.2912,91.954,0.08,0.08,0.088275,101.7,0.08,0.08,0.082863,
05/31/2015,622.969,620.804,2.165,-525.338,524.41,0.928,97.631,0.0,-78.532,78.532,0.0,19.099,-6.426,7.966,8.118,-0.152,,-1.54,0.0,12.673,-3.1,9.573,0.0,0.0,0.0,9.573,0.0,9.573,0.0,-0.032,9.541,9.8894,0.3484,91.995,0.1,0.1,0.107499,101.544,0.1,0.1,0.103431,
08/31/2015,843.157,840.204,2.953,-710.058,709.148,0.91,133.099,0.0,-95.074,95.074,0.0,38.025,-4.071,4.307,4.394,-0.087,,-0.236,0.0,33.954,-10.7,23.254,0.0,0.0,0.0,23.254,0.0,23.254,0.0,-0.006,23.248,25.5438,2.2958,92.065,0.25,0.25,0.277454,101.874,0.23,0.23,0.252536,
11/30/2015,985.783,982.091,3.692,-814.301,813.392,0.909,171.482,0.0,-98.32,98.32,0.0,73.162,-3.245,3.89,4.006,-0.116,,-0.645,0.0,69.917,-25.9,44.017,0.0,0.0,0.0,44.017,0.0,44.017,0.0,-0.167,43.85,47.14875,3.29875,92.2,0.48,0.48,0.511375,102.844,0.43,0.43,0.462075,
02/29/2016,678.371,675.742,2.629,-569.677,568.818,0.859,108.694,0.0,-87.932,87.932,0.0,20.762,-4.735,3.545,3.697,-0.152,,1.19,0.0,16.027,-2.9,13.127,0.0,0.0,0.0,13.127,0.0,13.127,0.0,-0.04,13.087,11.42825,-1.65875,89.239,0.15,0.15,0.128063,99.427,0.14,0.14,0.123317,
05/31/2016,811.05,808.462,2.588,-689.585,688.714,0.871,121.465,0.0,-93.81,93.81,0.0,27.655,-2.858,1.836,1.97,-0.134,,1.022,0.0,24.797,-9.2,15.597,0.0,0.0,0.0,15.597,0.0,15.597,0.0,-0.076,15.521,22.752,7.231,84.196,0.18,0.18,0.270227,94.72,0.17,0.17,0.246341,
08/31/2016,913.283,910.111,3.172,-761.381,760.49,0.891,151.902,0.0,-98.144,98.144,0.0,53.758,-0.295,-0.109,0.0,-0.109,,0.404,0.0,53.463,-14.1,39.363,0.0,0.0,0.0,39.363,0.0,39.363,0.0,-0.019,39.344,34.6278,-4.7162,84.457,0.46,0.46,0.410005,95.203,0.42,0.42,0.370462,
11/30/2016,1191.942,1188.628,3.314,-1024.275,1023.079,1.196,167.667,0.0,-109.555,109.555,0.0,58.112,-3.084,0.099,0.233,-0.134,,2.985,0.0,55.028,-17.5,37.528,0.0,0.0,0.0,37.528,0.0,37.528,0.0,-0.226,37.302,55.9371,18.6351,84.961,0.44,0.44,0.658386,95.744,0.4,0.4,0.594635,
02/28/2017,818.596,816.246,2.35,-698.899,698.08,0.819,119.697,0.0,-92.889,92.889,0.0,26.808,-5.349,6.109,6.307,-0.198,,-0.76,0.0,21.459,-7.2,14.259,0.0,0.0,0.0,14.259,0.0,14.259,0.0,-0.1,14.159,17.2684,3.1094,85.122,0.17,0.17,0.202866,96.273,0.15,0.15,0.182298,
05/31/2017,1002.794,1000.072,2.722,-847.412,846.596,0.816,155.382,0.0,-103.917,103.917,0.0,51.465,0.517,-0.202,0.0,-0.202,,-0.315,0.0,51.982,-20.2,31.782,0.0,0.0,0.0,31.782,0.0,31.782,0.0,-0.214,31.568,35.36865,3.80065,85.445,0.37,0.37,0.413935,97.732,0.33,0.33,0.368888,
08/31/2017,1144.001,1140.787,3.214,-955.891,955.001,0.89,188.11,0.0,-109.095,109.095,0.0,79.015,0.193,-0.347,0.0,-0.347,,0.154,0.0,79.208,-29.0,50.208,0.0,0.0,0.0,50.208,0.0,50.208,0.0,-0.04,50.168,58.04145,7.87345,85.974,0.58,0.58,0.675105,98.912,0.51,0.51,0.589601,
11/30/2017,1403.138,1399.16,3.978,-1147.696,1146.791,0.905,255.442,0.0,-120.493,120.493,0.0,134.949,2.397,-0.493,0.0,-0.493,,-1.904,0.0,137.346,-53.0,84.346,0.0,0.0,0.0,84.346,0.0,84.346,0.0,-0.532,83.814,87.3355,3.5215,86.821,0.97,0.97,1.005926,100.235,0.84,0.84,0.875132,
02/28/2018,871.623,869.205,2.418,-730.431,729.478,0.953,141.192,0.0,-95.724,95.724,0.0,45.468,0.577,-1.003,0.0,-1.003,,0.426,0.0,46.045,-117.3,-71.255,0.0,0.0,0.0,-71.255,0.0,-71.255,0.0,0.0,-71.255,43.650849,114.905849,87.155,-0.82,-0.82,0.500842,87.155,-0.82,-0.82,0.498408,
05/31/2018,1101.423,1098.673,2.75,-912.201,911.244,0.957,189.222,0.0,-113.231,113.231,0.0,75.991,2.317,-1.278,0.0,-1.278,,-1.039,0.0,78.308,-21.0,57.308,0.0,0.0,0.0,57.308,0.0,57.308,0.0,-0.322,56.986,62.14154,5.15554,87.581,0.65,0.65,0.709532,101.159,0.57,0.57,0.620965,
08/31/2018,1225.347,1221.875,3.472,-1002.454,1001.509,0.945,222.893,0.0,-114.753,114.753,0.0,108.14,6.536,-0.458,0.0,-0.458,,-6.078,0.0,114.676,-27.2,87.476,0.0,0.0,0.0,87.476,0.0,87.476,0.0,-0.056,87.42,94.06706,6.64706,87.951,0.99,0.99,1.069539,101.072,0.87,0.87,0.935766,
11/30/2018,1348.609,1344.042,4.567,-1102.678,1101.689,0.989,245.931,0.0,-120.446,120.446,0.0,125.485,3.451,-0.775,0.0,-0.775,,-2.676,0.0,128.936,-32.1,96.836,0.0,0.0,0.0,96.836,0.0,96.836,0.0,-0.553,96.283,103.44751,7.16451,88.398,1.09,1.09,1.170247,100.809,0.96,0.96,1.03107,
02/28/2019,811.483,808.788,2.695,-671.879,670.855,1.024,139.604,0.0,-106.594,106.594,0.0,33.01,1.501,-1.105,0.0,-1.105,,-0.396,0.0,34.511,-4.5,30.011,0.0,0.0,0.0,30.011,0.0,30.011,0.0,-0.162,29.849,32.65745,2.80845,86.972,0.34,0.34,0.375494,96.962,0.31,0.31,0.338964,
05/31/2019,1021.803,1018.671,3.132,-844.784,843.744,1.04,177.019,0.0,-122.828,122.828,0.0,54.191,2.57,-0.439,0.0,-0.439,,-2.131,0.0,56.761,-9.3,47.461,0.0,0.0,0.0,47.461,0.0,47.461,0.0,-0.029,47.432,50.85823,3.42623,87.641,0.54,0.54,0.580302,92.366,0.51,0.51,0.547094,
08/31/2019,1160.786,1156.855,3.931,-944.757,943.754,1.003,216.029,0.0,-127.626,127.626,0.0,88.403,3.533,-0.201,0.0,-0.201,,-3.332,0.0,91.936,-23.8,68.136,0.0,0.0,0.0,68.136,0.0,68.136,0.0,-0.011,68.125,72.27329,4.14829,88.262,0.77,0.77,0.818849,92.842,0.73,0.73,0.774681,
11/30/2019,1558.675,1553.344,5.331,-1251.841,1250.575,1.266,306.834,0.0,-140.302,140.302,0.0,166.532,-1.565,-0.413,0.0,-0.413,,-4.822,6.8,164.967,-41.8,123.167,0.0,0.0,0.0,123.167,0.0,123.167,0.0,0.0,123.167,131.81592,8.64892,89.1,1.37,1.37,1.479415,93.682,1.31,1.31,1.402322,
02/29/2020,1075.935,1072.382,3.553,-887.015,886.053,0.962,188.92,0.0,-126.134,126.134,0.0,62.786,6.062,-0.935,0.0,-0.935,,-5.127,0.0,68.848,-9.1,59.748,0.0,0.0,0.0,59.748,0.0,59.748,0.0,-0.237,59.511,63.99188,4.48088,89.842,0.66,0.66,0.712271,94.205,0.63,0.63,0.677565,
05/31/2020,913.97,910.28,3.69,-745.336,744.453,0.883,168.634,0.0,-114.238,114.238,0.0,54.396,13.393,-0.442,0.0,-0.442,,-12.951,0.0,67.789,-15.8,51.989,0.0,0.0,0.0,51.989,0.0,51.989,0.0,-0.051,51.938,55.39741,3.45941,90.493,0.57,0.57,0.612173,93.472,0.55,0.55,0.58701,
08/31/2020,882.214,,,,,,196.292615,,,,,69.4,,,,,,,,61.036,,43.8,,,,,,43.8,,,43.8,46.415,,,0.494,0.494,0.5,,0.494,0.494,0.5,
11/30/2020,1269.357,,,,,,272.2770765,,,,,131.5,,,,,,,,129.827,,93.74,,,,,,93.74,,,93.74,97.423,,,1.012,1.012,1.017,,1.012,1.012,1.017,
