Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2012,1214.0,1082.0,132.0,,,0.0,-1098.0,44.0,,66.0,988.0,116.0,-7.0,9.0,14.0,-5.0,,-2.0,109.0,-41.0,68.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0,68.0,109.7,41.7,141.992,0.475,0.475,0.772578,144.4,0.465,0.465,0.753781,
09/30/2012,1272.0,1133.0,139.0,,,0.0,-1003.0,46.0,,66.0,891.0,269.0,-4.0,6.0,11.0,-5.0,,-2.0,265.0,-102.0,163.0,0.0,0.0,0.0,163.0,0.0,163.0,0.0,0.0,163.0,148.7,-14.3,141.926,1.15,1.15,1.047729,143.766,1.135,1.135,1.035533,
12/31/2012,1132.0,1007.0,125.0,,,0.0,-1058.0,37.0,,69.0,952.0,74.0,-2.0,10.0,15.0,-5.0,,-8.0,72.0,-28.0,44.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,0.0,44.0,52.34,8.34,142.224,0.31,0.31,0.368011,144.298,0.305,0.305,0.362797,
03/31/2013,1133.0,1004.0,129.0,,,0.0,-1069.0,38.0,,69.0,962.0,64.0,-5.0,7.0,11.0,-4.0,,-2.0,59.0,-22.0,37.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,0.0,37.0,43.35,6.35,140.862,0.26,0.26,0.307748,142.828,0.255,0.255,0.299459,
06/30/2013,1256.0,1118.0,138.0,,,0.0,-1082.0,51.0,,68.0,963.0,174.0,-5.0,5.0,9.0,-4.0,,0.0,169.0,-65.0,104.0,0.0,0.0,0.0,104.0,,104.0,0.0,0.0,104.0,104.35,0.35,140.504,0.745,0.745,0.742684,142.318,0.735,0.735,0.73746,
09/30/2013,1557.0,1200.0,357.0,,,0.0,-1087.0,47.0,,67.0,973.0,470.0,-7.0,2.0,7.0,-5.0,,5.0,463.0,-174.0,289.0,0.0,0.0,0.0,289.0,,289.0,0.0,0.0,289.0,157.0,-132.0,139.56,2.065,2.065,1.124964,141.384,2.04,2.04,1.106372,
03/31/2014,1222.0,1064.0,158.0,,,0.0,-1081.0,46.0,,70.0,965.0,141.0,11.0,2.0,7.0,-5.0,,-13.0,152.0,-58.0,94.0,0.0,0.0,0.0,94.0,0.0,94.0,0.0,0.0,94.0,89.0,-5.0,137.334,0.685,0.685,0.648055,138.822,0.675,0.675,0.638983,
06/30/2014,1375.0,1206.0,169.0,,,0.0,-1112.0,53.0,,73.0,986.0,263.0,2.0,3.0,8.0,-5.0,,-5.0,265.0,-100.0,165.0,0.0,0.0,0.0,165.0,,165.0,0.0,0.0,165.0,157.0,-8.0,137.274,1.2,1.2,1.143698,138.711,1.19,1.19,1.132326,
09/30/2014,1465.0,1281.0,184.0,,,0.0,-1149.0,55.0,,75.0,1019.0,316.0,0.0,2.0,7.0,-5.0,,-2.0,316.0,-118.0,198.0,0.0,0.0,0.0,198.0,,198.0,0.0,0.0,198.0,200.0,2.0,134.865,1.47,1.47,1.482964,136.158,1.45,1.45,1.464689,
12/31/2014,1306.0,1142.0,164.0,,,0.0,-1064.0,45.0,,76.0,943.0,242.0,0.0,0.0,6.0,-6.0,,0.0,242.0,-94.0,148.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,148.0,125.0,-23.0,132.368,1.12,1.12,0.944337,133.705,1.11,1.11,0.93798,
03/31/2015,1269.0,1110.0,159.0,,,0.0,-1031.0,53.0,,76.0,902.0,238.0,2.0,-2.0,3.0,-5.0,,0.0,240.0,-91.0,149.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,0.0,149.0,149.0,0.0,131.12,1.13,1.13,1.13,132.23,1.12,1.12,1.12,
06/30/2015,1437.0,1261.0,176.0,,,0.0,-1065.0,54.0,,79.0,932.0,372.0,4.0,-3.0,3.0,-6.0,,-1.0,376.0,-142.0,234.0,0.0,0.0,0.0,234.0,,234.0,0.0,0.0,234.0,230.0,-4.0,129.236,1.8,1.8,1.77969,130.255,1.79,1.79,1.759291,
09/30/2015,1515.0,1327.0,188.0,,,0.0,-1082.0,53.0,,81.0,948.0,433.0,4.0,5.0,10.0,-5.0,,-9.0,437.0,-163.0,274.0,0.0,0.0,0.0,274.0,0.0,274.0,0.0,0.0,274.0,277.0,3.0,127.308,2.15,2.15,2.175826,128.205,2.14,2.14,2.1634,
12/31/2015,1377.0,1203.0,174.0,,,0.0,-1122.0,51.0,0.0,84.0,987.0,255.0,4.0,5.0,10.0,-5.0,0.0,-9.0,259.0,-68.0,191.0,0.0,0.0,0.0,191.0,0.0,191.0,0.0,0.0,191.0,186.0,-5.0,125.9,1.52,1.52,1.477363,126.818,1.51,1.51,1.470573,
03/31/2016,1347.0,1157.0,190.0,,,0.0,-1057.0,49.0,,88.0,920.0,290.0,2.0,-1.0,5.0,-6.0,,-1.0,292.0,-108.0,184.0,0.0,0.0,0.0,184.0,0.0,184.0,0.0,0.0,184.0,183.0,-1.0,124.55,1.47,1.47,1.469289,125.328,1.46,1.46,1.452021,
06/30/2016,1494.0,1290.0,204.0,,,0.0,-1076.0,55.0,,92.0,929.0,418.0,2.0,-5.0,2.0,-7.0,,3.0,420.0,-160.0,260.0,0.0,0.0,0.0,260.0,0.0,260.0,0.0,0.0,260.0,262.35,2.35,123.25,2.11,2.11,2.1286,123.988,2.1,2.1,2.118953,
09/30/2016,1566.0,1353.0,213.0,,,0.0,-1166.0,58.0,,101.0,1007.0,400.0,2.0,-2.0,5.0,-7.0,,0.0,402.0,-146.0,256.0,0.0,0.0,0.0,256.0,0.0,256.0,0.0,0.0,256.0,272.0,16.0,123.149,2.08,2.08,2.208707,123.833,2.07,2.07,2.199206,
12/31/2016,1524.0,1314.0,210.0,,,0.0,-1283.0,63.0,,82.0,1138.0,241.0,-10.0,15.0,22.0,-7.0,,-5.0,231.0,-117.0,114.0,0.0,0.0,0.0,114.0,,114.0,0.0,0.0,114.0,193.0,79.0,123.286,0.92,0.92,1.565466,124.102,0.92,0.92,1.556573,
03/31/2017,1740.0,1740.0,,,,0.0,-1583.0,83.0,,90.0,1410.0,157.0,-15.0,14.0,21.0,-7.0,,1.0,142.0,-49.0,93.0,0.0,0.0,0.0,93.0,0.0,93.0,0.0,0.0,93.0,124.0,31.0,123.495,0.75,0.75,1.004089,124.299,0.75,0.75,0.999399,
06/30/2017,2102.0,2102.0,,,,0.0,-1615.0,102.0,,90.0,1423.0,487.0,-13.0,13.0,22.0,-9.0,,0.0,474.0,-181.0,293.0,0.0,0.0,0.0,293.0,0.0,293.0,0.0,0.0,293.0,309.0,16.0,123.573,2.37,2.37,2.500546,124.332,2.36,2.36,2.488688,
09/30/2017,2110.0,2110.0,,,,0.0,-1683.0,92.0,,95.0,1496.0,427.0,-10.0,12.0,21.0,-9.0,,-2.0,417.0,-158.0,259.0,0.0,0.0,0.0,259.0,0.0,259.0,0.0,0.0,259.0,270.0,11.0,123.467,2.1,2.1,2.186819,124.22,2.09,2.09,2.178553,
12/31/2017,1942.0,1942.0,,,,0.0,-1805.0,91.0,,97.0,1617.0,137.0,-11.0,13.0,22.0,-9.0,0.0,-2.0,126.0,189.0,315.0,0.0,0.0,0.0,315.0,0.0,315.0,0.0,0.0,315.0,87.5536,-227.4464,123.147,2.56,2.56,0.710968,123.67,2.55,2.55,0.71086,
03/31/2018,1832.0,1832.0,,,,0.0,-1803.0,78.0,,94.0,1631.0,29.0,-23.0,11.0,19.0,-8.0,,12.0,6.0,-2.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,18.0,14.0,123.155,0.03,0.03,0.146157,123.63,0.03,0.03,0.143241,
06/30/2018,2156.0,2156.0,,,,0.0,-1885.0,88.0,,97.0,1700.0,271.0,-12.0,11.0,21.0,-10.0,,1.0,259.0,-66.0,193.0,0.0,0.0,0.0,193.0,0.0,193.0,0.0,0.0,193.0,206.000002,13.000002,123.268,1.57,1.57,1.671156,124.036,1.56,1.56,1.664808,
09/30/2018,2212.0,2212.0,,,,0.0,-1915.0,79.0,,99.0,1737.0,297.0,-13.0,6.0,17.0,-11.0,,7.0,284.0,-67.0,217.0,0.0,0.0,0.0,217.0,0.0,217.0,0.0,0.0,217.0,237.0,20.0,123.224,1.76,1.76,1.923327,123.864,1.75,1.75,1.911467,
12/31/2018,2064.0,2064.0,,,,0.0,-2018.0,81.0,,108.0,1829.0,46.0,-10.0,7.0,16.0,-9.0,0.0,3.0,36.0,-13.0,23.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,23.0,93.0,70.0,123.271,0.19,0.19,0.754435,124.095,0.19,0.19,0.754084,
03/31/2019,1876.0,1876.0,,,,0.0,-1851.0,72.0,,106.0,1673.0,25.0,-19.0,9.0,18.0,-9.0,0.0,10.0,6.0,-2.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,21.0,17.0,123.291,0.03,0.03,0.170329,123.915,0.03,0.03,0.167191,
06/30/2019,2288.0,2288.0,,,,0.0,-1924.0,87.0,,105.0,1732.0,364.0,-13.0,6.0,17.0,-11.0,,7.0,351.0,-89.0,262.0,0.0,0.0,0.0,262.0,0.0,262.0,0.0,0.0,262.0,270.000003,8.000003,123.418,2.12,2.12,2.187687,124.301,2.11,2.11,2.17436,
09/30/2019,2389.0,2389.0,,,,0.0,-1967.0,77.0,,106.0,1784.0,422.0,-6.0,3.0,14.0,-11.0,,3.0,416.0,-94.0,322.0,0.0,0.0,0.0,322.0,0.0,322.0,0.0,0.0,322.0,326.0,4.0,123.28,2.61,2.61,2.644387,124.067,2.6,2.6,2.632241,
12/31/2019,2228.0,2228.0,,,,0.0,-1976.0,77.0,,106.0,1793.0,252.0,-9.0,3.0,14.0,-11.0,0.0,6.0,243.0,-62.0,181.0,0.0,0.0,0.0,181.0,0.0,181.0,0.0,0.0,181.0,181.0,0.0,123.129,1.47,1.47,1.47,124.245,1.46,1.46,1.46,
03/31/2020,1636.0,1636.0,,,,0.0,-1957.0,55.0,,108.0,1794.0,-321.0,4.0,1.0,10.0,-9.0,,-5.0,-317.0,85.0,-232.0,0.0,0.0,0.0,-232.0,0.0,-232.0,0.0,0.0,-232.0,-222.930233,9.069767,122.818,-1.89,-1.89,-1.815127,124.123,-1.89,-1.89,-1.816929,
06/30/2020,421.0,421.0,,,,0.0,-709.0,4.0,,107.0,598.0,-288.0,-3.0,9.0,16.0,-7.0,,-6.0,-291.0,77.0,-214.0,0.0,0.0,0.0,-214.0,0.0,-214.0,0.0,0.0,-214.0,-491.097315,-277.097315,123.296,-1.74,-1.74,-3.983076,123.965,-1.74,-1.74,-3.983076,
09/30/2020,756.7,,,,-388.444378,,,,,,,-425.875,,,,,,,-449.5,,-272.483,,,,,,-272.483,,,-272.483,-352.111,,,-2.213,-2.213,-2.906,,-2.213,-2.213,-2.906,
12/31/2020,1112.2,,,,-93.224604,,,,,,,-143.937,,,,,,,-176.587,,-166.667,,,,,,-166.667,,,-166.667,-146.478,,,-1.206,-1.206,-1.342,,-1.206,-1.206,-1.342,
