Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2017,9062.0,492.0,461.0,31.0,989.0,989.0,0.0,809.0,225.0,45.0,539.0,0.0,323.0,1.0,,201.0,318.0,2613.0,3706.0,6214.0,-2508.0,0.0,,2743.0,1298.0,995,303.0,,938.0,305.0,6449.0,,772.0,695.0,77.0,,,435,0.0,,,,435.0,343,7.0,,195.0,334,1550.0,2954,2954.0,,,,1423.0,,845.0,376.0,4377,5927.0,0.0,171.0,0.016802,170.983198,-2031.0,4781.0,-206.0,2715.0,420.0,3135.0,9062.0,
12/31/2017,9538.0,608.0,576.0,32.0,986.0,986.0,0.0,900.0,252.0,57.0,591.0,0.0,298.0,0.0,,366.0,291.0,2792.0,3762.0,6346.0,-2584.0,0.0,,2984.0,1304.0,1003,301.0,64.0,976.0,274.0,6746.0,,879.0,807.0,72.0,,0.0,326,0.0,31.0,31.0,,295.0,354,6.0,0.0,211.0,351,1559.0,3315,3138.0,177.0,177.0,,1365.0,0.0,585.0,563.0,4680,6239.0,0.0,175.0,0.016816,174.983184,-2031.0,4920.0,-177.0,2887.0,412.0,3299.0,9538.0,
03/31/2018,9780.0,522.0,490.0,32.0,1205.0,1205.0,0.0,955.0,287.0,58.0,610.0,0.0,324.0,,,182.0,321.0,3006.0,3801.0,6487.0,-2686.0,0.0,,2973.0,1443.0,1107,336.0,,979.0,369.0,6774.0,,911.0,797.0,114.0,,,425,0.0,,,,425.0,266,6.0,,219.0,263,1602.0,3343,3343.0,,,,1170.0,,582.0,363.0,4513,6115.0,0.0,192.0,0.016824,191.983176,-2031.0,5220.0,-128.0,3253.0,412.0,3665.0,9780.0,
06/30/2018,9789.0,740.0,708.0,32.0,1156.0,1156.0,0.0,917.0,260.0,60.0,597.0,0.0,340.0,,,163.0,333.0,3153.0,3724.0,6420.0,-2696.0,0.0,,2912.0,1394.0,1069,325.0,,963.0,392.0,6636.0,,930.0,819.0,111.0,,,366,0.0,,,,366.0,314,6.0,,248.0,308,1610.0,3228,3228.0,,,,1164.0,,557.0,353.0,4392,6002.0,0.0,208.0,1.682942,206.317058,-2131.0,5491.0,-188.0,3380.0,407.0,3787.0,9789.0,
09/30/2018,9824.0,734.0,703.0,31.0,1086.0,1086.0,0.0,1033.0,297.0,63.0,673.0,0.0,327.0,5.0,,170.0,317.0,3180.0,3699.0,6438.0,-2739.0,0.0,,2945.0,1381.0,1064,317.0,,981.0,408.0,6644.0,,956.0,819.0,137.0,,,229,0.0,,,,229.0,347,7.0,,246.0,344,1532.0,3196,3196.0,,,,1153.0,,547.0,353.0,4349,5881.0,0.0,222.0,0.01683,221.98317,-2281.0,5819.0,-219.0,3541.0,402.0,3943.0,9824.0,
12/31/2018,9313.0,470.0,439.0,31.0,1017.0,1017.0,0.0,1046.0,279.0,70.0,697.0,0.0,341.0,0.0,,84.0,332.0,2874.0,3719.0,6522.0,-2803.0,0.0,,2720.0,1367.0,1057,310.0,30.0,979.0,260.0,6439.0,,875.0,819.0,56.0,,0.0,561,0.0,50.0,50.0,,511.0,343,7.0,0.0,255.0,336,1779.0,2970,2853.0,117.0,117.0,,1185.0,0.0,564.0,359.0,4155,5934.0,0.0,233.0,0.016842,232.983158,-2849.0,5847.0,-247.0,2984.0,395.0,3379.0,9313.0,
03/31/2019,9574.0,470.0,441.0,29.0,1015.0,1015.0,0.0,1009.0,264.0,67.0,678.0,0.0,390.0,2.0,,93.0,379.0,2884.0,3931.0,6802.0,-2871.0,0.0,,2759.0,1407.0,1075,332.0,,950.0,307.0,6690.0,,768.0,699.0,69.0,,,775,0.0,56.0,24.0,32.0,719.0,279,7.0,21.0,273.0,275,1822.0,3126,2794.0,332.0,139.0,193.0,1187.0,,550.0,336.0,4313,6135.0,0.0,224.0,0.01689,223.98311,-3048.0,6114.0,-243.0,3047.0,392.0,3439.0,9574.0,
06/30/2019,9506.0,518.0,491.0,27.0,971.0,971.0,0.0,1011.0,250.0,73.0,688.0,0.0,376.0,1.0,,90.0,369.0,2876.0,3851.0,6679.0,-2828.0,0.0,,2779.0,1410.0,1083,327.0,,959.0,319.0,6630.0,,787.0,764.0,23.0,,,350,0.0,55.0,24.0,31.0,295.0,271,7.0,42.0,265.0,268,1408.0,3636,3312.0,324.0,132.0,192.0,1208.0,,545.0,349.0,4844,6252.0,0.0,233.0,0.016891,232.983109,-3347.0,6245.0,-267.0,2864.0,390.0,3254.0,9506.0,
09/30/2019,9414.0,523.0,497.0,26.0,947.0,947.0,0.0,994.0,248.0,78.0,668.0,0.0,379.0,16.0,,98.0,369.0,2843.0,3791.0,6639.0,-2848.0,0.0,,2780.0,1368.0,1054,314.0,,970.0,328.0,6571.0,,807.0,764.0,43.0,,,399,0.0,55.0,24.0,31.0,344.0,327,6.0,58.0,269.0,317,1533.0,3541,3237.0,304.0,122.0,182.0,1201.0,,523.0,345.0,4742,6275.0,0.0,244.0,0.016895,243.983105,-3622.0,6431.0,-306.0,2747.0,392.0,3139.0,9414.0,
12/31/2019,9476.0,503.0,463.0,40.0,850.0,850.0,0.0,1038.0,244.0,76.0,718.0,0.0,374.0,13.0,,96.0,372.0,2765.0,3916.0,6873.0,-2957.0,0.0,,2795.0,1386.0,1074,312.0,77.0,975.0,248.0,6711.0,,797.0,780.0,17.0,,0.0,525,0.0,55.0,26.0,29.0,470.0,432,6.0,50.0,257.0,424,1754.0,3590,3291.0,299.0,118.0,181.0,1234.0,0.0,589.0,332.0,4824,6578.0,0.0,254.0,0.016897,253.983103,-3846.0,6399.0,-300.0,2507.0,391.0,2898.0,9476.0,
03/31/2020,9545.0,608.0,570.0,38.0,853.0,853.0,0.0,1036.0,244.0,72.0,720.0,0.0,358.0,26.0,,91.0,337.0,2855.0,3879.0,6880.0,-3001.0,0.0,,2811.0,1358.0,1056,302.0,,981.0,355.0,6690.0,,757.0,724.0,33.0,,,778,0.0,29.0,,29.0,749.0,393,6.0,95.0,258.0,386,1928.0,3531,3224.0,307.0,132.0,175.0,1250.0,,568.0,323.0,4781,6709.0,0.0,242.0,0.016936,241.983064,-3996.0,6543.0,-341.0,2448.0,388.0,2836.0,9545.0,
06/30/2020,9506.0,575.0,539.0,36.0,729.0,729.0,0.0,1031.0,251.0,67.0,713.0,0.0,374.0,15.0,,100.0,355.0,2709.0,3926.0,7013.0,-3087.0,0.0,,2871.0,1415.0,1098,317.0,,957.0,384.0,6797.0,,645.0,599.0,46.0,,,1074,0.0,29.0,,29.0,1045.0,543,6.0,3.0,256.0,446,2262.0,3172,2861.0,311.0,128.0,183.0,1203.0,48.0,579.0,311.0,4375,6637.0,0.0,252.0,0.016937,251.983063,-3995.0,6576.0,-346.0,2487.0,382.0,2869.0,9506.0,
