Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2015,460.209,290.388,169.821,-261.932,140.526,121.406,198.277,0.0,-3069.477,47.365,14.458,32.907,3022.112,-2871.2,-103.806,,39.225,,,,64.581,-2975.006,730.88,1.184,-732.064,,-2244.126,0.0,0.0,0.0,-2244.126,0.0,-2244.126,0.0,0.0,-2244.126,98.874,2343.0,350.052,-6.41,-6.41,0.282455,350.052,-6.41,-6.41,0.282455,
12/31/2015,344.041,258.277,85.764,-266.042,153.686,112.356,77.999,0.0,-1369.818,42.818,15.388,27.43,1327.0,-1291.819,-102.283,,40.081,,,,62.202,-1394.102,509.025,-9.418,-499.607,,-885.077,0.0,0.0,0.0,-885.077,0.0,-885.077,0.0,0.0,-885.077,-17.178572,867.898428,345.876,-2.56,-2.56,-0.049667,345.876,-2.56,-2.56,-0.050724,
03/31/2016,266.302,187.803,78.499,-200.512,123.146,77.366,65.79,0.0,-303.095,47.095,13.194,33.901,256.0,-237.305,-43.008,,42.171,,,,0.837,-280.313,95.12,-0.005,-95.115,,-185.193,0.0,0.0,0.0,-185.193,0.0,-185.193,0.0,0.0,-185.193,-10.527861,174.665139,347.235,-0.53,-0.53,-0.030319,347.235,-0.53,-0.53,-0.030319,
06/30/2016,305.316,246.668,58.648,-187.135,120.594,66.541,118.181,0.0,-514.944,35.544,12.999,22.545,479.4,-396.763,-206.845,,36.058,,,,170.787,-603.608,222.94,0.0,-222.94,,-380.668,0.0,0.0,0.0,-380.668,0.0,-380.668,0.0,0.0,-380.668,23.163877,403.831877,370.566,-1.03,-1.03,0.062509,370.566,-1.03,-1.03,0.05977,
09/30/2016,238.888,239.93,-1.042,-182.796,127.784,55.012,56.092,0.0,-114.616,39.095,14.452,24.643,75.521,-58.524,19.369,,24.778,,,,-44.147,-39.155,14.565,-1.046,-13.519,,-24.59,0.0,0.0,0.0,-24.59,0.0,-24.59,0.0,0.0,-24.59,-21.8919,2.6981,388.572,-0.06,-0.06,-0.056339,388.572,-0.06,-0.06,-0.056339,
12/31/2016,234.242,261.35,-27.108,-771.803,124.679,647.124,-537.561,0.0,-45.646,45.646,16.809,28.837,0.0,-583.207,-14.064,,22.138,,,,-8.074,-597.271,211.545,0.266,-211.811,,-385.726,0.0,0.0,0.0,-385.726,0.0,-385.726,0.0,0.0,-385.726,-0.730172,384.995828,388.739,-0.99,-0.99,-0.001878,388.739,-0.99,-0.99,-0.001878,
03/31/2017,244.626,266.178,-21.552,-188.068,136.873,51.195,56.558,0.0,-42.306,42.306,14.065,28.241,0.0,14.252,28.252,,27.178,,,,-55.43,42.504,-20.974,-13.935,34.909,,21.53,0.0,0.0,0.0,21.53,0.0,21.53,0.0,0.0,21.53,53.53,32.0,389.397,0.06,0.06,0.137469,392.997,0.05,0.05,0.131426,
06/30/2017,245.668,250.88,-5.212,-183.158,132.006,51.152,62.51,0.0,-39.666,39.666,13.877,25.789,0.0,22.844,1.828,,24.061,,,,-25.889,24.672,-10.273,-5.965,16.238,,14.399,0.0,0.0,0.0,14.399,0.0,14.399,0.0,0.0,14.399,0.871484,-13.527516,389.904,0.04,0.04,0.002235,391.827,0.04,0.04,0.002235,
09/30/2017,265.709,259.03,6.679,-191.448,139.347,52.101,74.261,0.0,-39.089,39.089,11.816,27.273,0.0,35.172,-48.959,,24.546,,,,24.413,-13.787,14.229,1.072,-15.301,,0.442,0.0,0.0,0.0,0.442,0.0,0.442,0.0,0.0,0.442,13.925,13.483,392.013,0.0,0.0,0.035522,393.023,0.0,0.0,0.034306,
12/31/2017,312.05,313.578,-1.528,-183.144,129.879,53.265,128.906,0.0,-32.565,32.565,12.062,20.503,0.0,96.341,-103.23,,23.478,,,,79.752,-6.889,133.67,-2.045,-131.625,,126.781,0.0,0.0,0.0,126.781,0.0,126.781,0.0,0.0,126.781,51.6663,-75.1147,392.354,0.32,0.32,0.131683,405.793,0.31,0.31,0.124894,
03/31/2018,314.216,340.021,-25.805,-198.588,146.137,52.451,115.628,0.0,-32.656,32.656,12.424,20.232,0.0,82.972,-29.374,,17.239,,,,12.135,53.598,-14.02,-1.032,15.052,,39.578,0.0,0.0,0.0,39.578,0.0,39.578,0.0,0.0,39.578,53.281598,13.703598,392.742,0.1,0.1,0.135666,451.543,0.09,0.09,0.120348,
06/30/2018,327.51,375.565,-48.055,-201.062,148.118,52.944,126.448,0.0,-30.961,30.961,11.549,19.412,0.0,95.487,-55.834,16.208,16.208,0.0,,,39.626,39.653,-9.431,-0.754,10.185,,30.222,0.0,0.0,0.0,30.222,0.0,30.222,0.0,0.0,30.222,60.975669,30.753669,433.467,0.07,0.07,0.14067,457.165,0.07,0.07,0.13727,
09/30/2018,326.431,379.893,-53.462,-201.895,150.579,51.316,124.536,0.0,-32.959,32.695,11.116,21.579,0.264,91.577,2.458,18.527,18.527,0.0,,,-20.985,94.035,-15.616,-1.888,17.504,,78.419,0.0,0.0,0.0,78.419,0.0,78.419,0.0,0.0,78.419,54.996,-23.423,451.256,0.17,0.17,0.121873,458.45,0.17,0.17,0.118908,
12/31/2018,310.847,327.628,-16.781,-212.11,152.372,59.738,98.737,0.0,-22.793,22.543,12.271,10.272,0.25,75.944,146.701,17.714,17.714,0.0,0.0,,-164.415,222.645,-48.166,-12.327,60.493,,174.479,0.0,0.0,0.0,174.479,0.0,174.479,0.0,0.0,174.479,26.36892,-148.11008,451.613,0.39,0.39,0.058388,456.665,0.38,0.38,0.05567,
03/31/2019,311.568,294.792,16.776,-207.061,149.764,57.297,104.507,0.0,-29.911,29.698,10.773,18.925,0.213,74.596,-111.029,17.398,17.398,0.0,,,93.631,-36.433,10.759,-1.281,-9.478,,-25.674,0.0,0.0,0.0,-25.674,0.0,-25.674,0.0,0.0,-25.674,45.256,70.93,451.72,-0.06,-0.06,0.100186,451.72,-0.06,-0.06,0.097022,
06/30/2019,339.449,333.012,6.437,-202.294,144.03,58.264,137.155,0.0,-31.306,28.742,11.236,17.506,2.564,105.849,106.22,20.416,20.416,0.0,,,-126.636,212.069,-65.377,3.354,62.023,,146.692,0.0,0.0,0.0,146.692,0.0,146.692,0.0,0.0,146.692,49.670013,-97.021987,452.612,0.32,0.32,0.109741,467.427,0.32,0.32,0.109741,
09/30/2019,315.693,298.66,17.033,-195.803,140.739,55.064,119.89,0.0,-33.769,28.333,10.067,18.266,5.436,86.121,23.791,22.858,22.858,0.0,,,-46.649,109.912,-37.05,-0.859,37.909,,72.862,0.0,0.0,0.0,72.862,0.0,72.862,0.0,0.0,72.862,39.229682,-33.632318,455.487,0.16,0.16,0.086127,547.205,0.14,0.14,0.078538,
12/31/2019,317.256,299.754,17.502,-202.552,139.361,63.191,114.704,0.0,-43.977,38.066,9.734,28.332,5.911,70.727,-34.964,20.96,20.96,0.0,0.0,,14.004,35.763,-12.684,2.667,10.017,,23.079,0.0,0.0,0.0,23.079,0.0,23.079,0.0,0.0,23.079,46.00666,22.92766,478.03,0.05,0.05,0.096242,571.0,0.05,0.05,0.090154,
03/31/2020,266.011,233.345,32.666,-226.57,129.708,96.862,39.441,0.0,-95.556,19.354,9.621,9.733,76.202,-56.115,119.515,19.946,19.946,0.0,,,-139.461,63.4,10.616,-6.407,-4.209,,74.016,0.0,0.0,0.0,74.016,0.0,74.016,0.0,0.0,74.016,-30.98207,-104.99807,494.259,0.15,0.15,-0.062684,586.19,0.14,0.14,-0.062684,
06/30/2020,163.01,110.877,52.133,-147.964,92.55,55.414,15.046,0.0,-697.054,33.164,9.388,23.776,663.89,-682.008,-117.172,20.617,20.617,0.0,,,96.555,-799.18,101.706,0.598,-102.304,,-697.474,0.0,0.0,0.0,-697.474,0.0,-697.474,0.0,0.0,-697.474,-40.44844,657.02556,495.245,-1.41,-1.41,-0.081674,495.245,-1.41,-1.41,-0.083332,
09/30/2020,202.5,,,,,,,,,,,,,6.655,,,,,,,,2.75,,,,,-3.215,,,,,,-3.215,,,-3.215,-3.215,,,0.159,0.159,0.159,,0.159,0.159,0.159,
12/31/2020,201.0,,,,,,,,,,,,,7.085,,,,,,,,3.26,,,,,-3.315,,,,,,-3.315,,,-3.315,-3.315,,,0.042,0.042,0.042,,0.042,0.042,0.042,
