Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
12/31/2017,192.184,-353.172,27.753,564.11,9.368,42.464,512.278,-46.507,-77.371,26.948,3.916,0.0,-131.764,-30.216,0.0,0.0,0.0,-30.216,-30.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.548,-24.375,0.0,39.85,,,,-61.834,24.968,-86.802,-2.391,2.467,38.512,,
03/31/2018,175.841,111.951,28.64,15.54,9.892,1.071,4.577,19.71,40.588,-28.101,7.223,0.0,895.839,-15.992,0.0,0.0,0.0,-15.992,-15.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.831,-1006.065,0.0,0.0,,0.0,0.0,-258.083,24.287,-282.37,1.937,8.588,74.203,,
06/30/2018,100.716,155.677,27.196,-12.183,9.079,-4.063,-17.199,-69.974,-3.997,-5.776,-60.201,0.0,310.543,-20.839,0.0,0.0,0.0,-20.839,-20.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.382,-364.166,0.0,-99.855,,,,-260.216,10.558,-270.774,-4.095,-21.411,25.682,,
09/29/2018,146.34,141.014,26.975,10.953,9.213,4.341,-2.601,-32.602,40.89,-42.05,-31.442,0.0,51.336,-27.384,0.0,0.0,0.0,-27.384,-27.384,0.0,0.0,0.0,0.0,-31.486,0.0,-31.486,0.0,110.206,-256.212,0.0,-0.216,,,,-255.973,7.532,-263.505,-0.023,5.705,-52.831,,
12/31/2018,181.549,185.152,25.597,52.639,9.357,1.056,42.226,-81.839,-125.402,50.531,-6.968,0.0,425.584,-31.864,0.0,0.0,0.0,-31.864,-31.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.448,-493.079,0.0,-0.171,,,,-488.405,10.052,-498.457,-4.503,-7.147,106.907,,
03/30/2019,175.779,108.986,24.764,6.629,9.941,1.442,-4.754,35.4,59.331,-44.438,20.507,0.0,434.039,-25.666,0.0,0.0,0.0,-25.666,-25.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.705,-723.134,0.0,0.086,0.086,0.0,0.0,-725.474,27.631,-753.105,2.254,2.006,-111.31,,
06/29/2019,127.024,144.41,28.851,-33.751,9.314,0.19,-43.255,-12.486,-6.823,-17.762,12.099,0.0,351.024,-39.522,0.0,0.0,0.0,-39.522,-39.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.546,-571.6,0.0,0.032,,0.032,,-574.032,2.498,-576.53,2.4,-3.42,-96.972,,
09/28/2019,148.389,138.133,26.704,4.368,9.662,0.185,-5.479,-20.816,5.389,-21.773,-4.432,0.0,40.378,-45.017,0.0,0.0,0.0,-45.017,-45.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.395,-366.807,0.0,209.762,,,,-575.883,4.182,-580.065,-0.686,-5.309,-183.349,,
12/31/2019,191.895,200.669,24.977,11.341,9.66,7.803,-6.122,-45.092,-80.092,52.119,-17.119,0.0,-56.639,-53.618,0.0,0.0,0.0,-53.618,-53.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.021,-211.137,0.0,325.308,,,,-540.154,19.404,-559.558,3.709,6.947,-68.934,,
03/28/2020,151.635,53.562,29.188,18.654,9.196,-2.525,11.983,50.231,54.026,-29.399,25.604,0.0,-130.175,-51.13,0.0,0.0,0.0,-51.13,-51.13,0.0,0.0,0.0,0.0,-76.664,0.0,-76.664,0.0,-2.381,32.918,0.0,214.634,,,,-184.483,11.743,-196.226,2.767,-0.032,54.346,,
06/27/2020,198.811,122.929,31.015,-22.364,8.926,1.748,-33.038,67.231,32.952,2.31,31.969,0.0,-62.16,-45.899,0.0,0.0,0.0,-45.899,-45.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.261,-192.284,0.0,-200.0,,,,2.925,2.996,-0.071,4.791,4.608,-51.025,,
