Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,16557,2502,2502,0,122,87.0,35.0,984,970,63.0,125,-174,1204,,,,296.0,4812,1037,2655.0,-1618.0,0.0,10708,10466,8011.0,2455.0,242,11745,,2676,187,0.0,0.0,2489.0,60,0.0,0.0,0.0,60.0,1033,0.0,,991,3769,5035,5035.0,0.0,0.0,2496,0.0,1821.0,461.0,214,7531,11300,0.0,7275,0.0,-1707.0,-311,5257,0.0,5257,16557,
03/31/2013,16778,2778,2778,0,139,104.0,35.0,1046,984,70.0,154,-162,1066,,,,240.0,5029,1034,2671.0,-1637.0,0.0,10715,10465,8011.0,2454.0,250,11749,,2894,137,,,2757.0,60,0.0,,,60.0,1191,,,1159,4145,5028,5028.0,,,2487,,1798.0,482.0,207,7515,11660,0.0,6972,0.0,-1525.0,-329,5118,0.0,5118,16778,
06/30/2013,15532,1664,1664,0,139,105.0,34.0,1026,965,71.0,154,-164,995,,,,245.0,3824,1027,2626.0,-1599.0,0.0,10681,10587,8010.0,2577.0,94,11708,,1253,150,,,1103.0,560,500.0,,,60.0,1140,,,1114,2953,5022,5022.0,,,2461,,1785.0,470.0,206,7483,10436,0.0,6841,0.0,-1411.0,-334,5096,0.0,5096,15532,
09/30/2013,16592,2694,2694,0,120,84.0,36.0,1085,1034,73.0,151,-173,940,,,,256.0,4839,1049,2644.0,-1595.0,0.0,10704,10587,8011.0,2576.0,117,11753,,1729,127,,,1602.0,1159,150.0,,,1009.0,1122,,,1106,4010,5103,5103.0,,,2399,,1714.0,485.0,200,7502,11512,0.0,6707,0.0,-1298.0,-329,5080,0.0,5080,16592,
12/31/2013,15402,1500,1500,0,143,106.0,37.0,1127,1115,70.0,130,-188,885,,,12.0,279.0,3655,1074,2653.0,-1579.0,0.0,10673,10551,8011.0,2540.0,110,11747,,1912,185,0.0,0.0,1727.0,0,0.0,0.0,0.0,0.0,1164,0.0,,1116,3076,5099,5099.0,0.0,0.0,2060,0.0,1221.0,658.0,181,7159,10235,0.0,6571,0.0,-1348.0,-56,5167,0.0,5167,15402,
03/31/2014,15799,1826,1826,0,137,100.0,37.0,1117,1073,70.0,151,-177,925,,,,291.0,4005,1131,2718.0,-1587.0,0.0,10663,10452,8018.0,2434.0,211,11794,,2366,179,,,2187.0,0,0.0,,,0.0,1314,,,1284,3680,5095,5095.0,,,2011,,1199.0,682.0,130,7106,10786,0.0,6420,0.0,-1347.0,-60,5013,0.0,5013,15799,
06/30/2014,15301,1313,1313,0,99,98.0,1.0,1059,999,67.0,166,-173,987,,,,350.0,3458,1177,2769.0,-1592.0,0.0,10666,10430,8018.0,2412.0,236,11843,,1385,137,,,1248.0,800,800.0,,,,1138,,,1121,3323,5091,5091.0,,,1992,,1158.0,710.0,124,7083,10406,0.0,6162,0.0,-1212.0,-55,4895,0.0,4895,15301,
09/30/2014,15332,1289,1289,0,90,89.0,1.0,1108,1050,71.0,161,-174,969,,,,295.0,3456,1198,2804.0,-1606.0,0.0,10678,10561,8017.0,2544.0,117,11876,,1832,129,,,1703.0,400,400.0,,,0.0,1054,,,1046,3286,5087,5087.0,,,1966,,1134.0,715.0,117,7053,10339,0.0,6178,0.0,-1103.0,-82,4993,0.0,4993,15332,
12/31/2014,15196,966,966,0,116,116.0,0.0,1281,1215,72.0,171,-177,960,,,9.0,257.0,3323,1203,2830.0,-1627.0,0.0,10670,10571,8016.0,2555.0,90,11873,,1961,142,0.0,,1819.0,450,0.0,0.0,0.0,450.0,1133,0.0,,1101,3544,4633,4633.0,0.0,0.0,2497,0.0,1997.0,383.0,117,7130,10674,0.0,6200,0.0,-1314.0,-364,4522,0.0,4522,15196,
03/31/2015,15850,1615,1615,0,118,118.0,0.0,1268,1179,63.0,203,-177,988,,,,284.0,3989,1202,2850.0,-1648.0,0.0,10659,10462,8015.0,2447.0,197,11861,,2698,126,,356.0,2216.0,450,0.0,,,450.0,1077,,,1054,4225,4629,4629.0,,,2477,,1973.0,397.0,107,7106,11331,0.0,6200,0.0,-1284.0,-397,4519,0.0,4519,15850,
06/30/2015,54558,4360,4013,347,145,145.0,0.0,1677,1422,80.0,313,-138,1269,,,,334.0,7451,1298,2919.0,-1621.0,0.0,45809,45671,17019.0,28652.0,138,47107,,4641,178,2125.0,356.0,1982.0,450,0.0,,,450.0,1351,,,1336,6442,17550,17550.0,,,12240,,2239.0,9813.0,188,29790,36232,0.0,18447,0.0,285.0,-406,18326,0.0,18326,54558,
09/30/2015,53774,3185,2920,265,62,62.0,0.0,1596,1439,83.0,217,-143,1580,,,,529.0,6423,1218,2849.0,-1631.0,0.0,46133,45696,16223.0,29473.0,437,47351,,3346,144,,515.0,2687.0,958,0.0,,,958.0,1374,,,1365,5678,16972,16972.0,,,12647,,2212.0,10224.0,211,29619,35297,0.0,18464,0.0,425.0,-412,18477,0.0,18477,53774,
12/31/2015,52100,2716,2567,149,68,68.0,0.0,1734,1605,88.0,173,-132,637,,,,637.0,5155,1255,2898.0,-1643.0,0.0,45690,45460,15993.0,29467.0,230,46945,,3509,179,0.0,514.0,2816.0,506,0.0,0.0,0.0,506.0,1276,0.0,,1243,5291,16849,16849.0,0.0,0.0,11708,0.0,2265.0,9204.0,239,28557,33848,0.0,18402,0.0,188.0,-338,18252,0.0,18252,52100,
03/31/2016,54408,4455,4441,14,80,80.0,0.0,1658,1517,79.0,195,-133,1336,,,,344.0,7529,1269,2926.0,-1657.0,0.0,45610,45454,15993.0,29461.0,156,46879,,6043,138,1860.0,599.0,3446.0,503,0.0,,,503.0,1058,,,1033,7604,13213,13213.0,,,12428,,1917.0,10285.0,226,25641,33245,0.0,18324,0.0,3151.0,-312,21163,0.0,21163,54408,
06/30/2016,51772,1944,1918,26,89,89.0,0.0,1541,1409,84.0,183,-135,1331,,,,313.0,4905,1295,2961.0,-1666.0,0.0,45572,45448,15993.0,29455.0,124,46867,,3114,191,628.0,599.0,1696.0,501,0.0,,,501.0,1163,,,1147,4778,13192,13192.0,,,12402,,1813.0,10366.0,223,25594,30372,0.0,18329,0.0,3345.0,-274,21400,0.0,21400,51772,
09/30/2016,51792,1959,1898,61,37,37.0,0.0,1604,1461,82.0,185,-124,1362,,,,383.0,4962,1310,2977.0,-1667.0,0.0,45520,45442,15993.0,29449.0,78,46830,,3493,198,279.0,657.0,2359.0,502,0.0,,,502.0,1074,47.0,,1020,5069,12677,12677.0,,,12502,,1793.0,10440.0,222,25179,30248,0.0,18270,0.0,3548.0,-274,21544,0.0,21544,51792,
12/31/2016,51095,2051,2051,0,66,66.0,0.0,1645,1513,81.0,165,-114,476,,,,476.0,4238,1348,3010.0,-1662.0,0.0,45509,45436,15992.0,29444.0,73,46857,,3375,221,0.0,656.0,2498.0,501,0.0,0.0,0.0,501.0,1109,39.0,,1043,4985,12664,12664.0,0.0,0.0,11735,0.0,1869.0,9607.0,220,24399,29384,0.0,18285,0.0,3740.0,-314,21711,0.0,21711,51095,
03/31/2017,51959,3154,3154,0,55,55.0,0.0,1592,1439,80.0,192,-119,302,,,,302.0,5103,1355,3033.0,-1678.0,0.0,45501,45430,15992.0,29438.0,71,46856,,4135,175,,728.0,3232.0,501,0.0,,,501.0,1255,29.0,,1133,5891,12651,12651.0,,,11711,,1832.0,9627.0,223,24362,30253,0.0,18231,0.0,3790.0,-315,21706,0.0,21706,51959,
06/30/2017,50463,1758,1758,0,123,123.0,0.0,1448,1321,72.0,175,-120,307,,,,307.0,3636,1338,2872.0,-1534.0,0.0,45489,45424,15992.0,29432.0,65,46827,,2753,193,,727.0,1833.0,1748,0.0,,,1748.0,1041,19.0,,935,5542,11390,11390.0,,,11645,,1768.0,9614.0,244,23035,28577,0.0,18197,0.0,3980.0,-291,21886,0.0,21886,50463,
