Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2018,2580.0,2580.0,,-559.0,559.0,2021.0,0.0,-1442.0,1026.0,756.0,270.0,334.0,72.0,10.0,579.0,-32.0,,,,,32.0,547.0,-140.0,407.0,0.0,0.0,0.0,407.0,0.0,407.0,0.0,0.0,407.0,407.0,0.0,1010.0,0.4,0.4,0.4,1029.0,0.4,0.4,0.4,
06/30/2018,2640.0,2381.0,259.0,-597.0,597.0,2043.0,0.0,-1637.0,1206.0,838.0,368.0,352.0,66.0,13.0,406.0,301.0,,,,,-301.0,707.0,-69.0,638.0,-4.0,-4.0,0.0,642.0,0.0,642.0,0.0,0.0,642.0,503.431796,-134.568204,992.0,0.64,0.64,0.507492,1004.0,0.64,0.64,0.505968,
09/30/2018,2649.0,2649.0,,-608.0,608.0,2041.0,0.0,-1485.0,1100.0,852.0,248.0,307.0,65.0,13.0,556.0,392.0,,,,,-392.0,948.0,-228.0,720.0,-1.0,-1.0,0.0,721.0,0.0,721.0,0.0,0.0,721.0,544.401314,-175.598686,974.0,0.74,0.74,0.558934,983.0,0.73,0.73,0.551365,
12/31/2018,2877.0,2877.0,,-618.0,618.0,2259.0,0.0,-1578.0,1190.0,945.0,245.0,292.0,83.0,13.0,681.0,-165.0,,,,,165.0,516.0,247.0,763.0,3.0,3.0,0.0,760.0,0.0,760.0,0.0,0.0,760.0,291.79,-471.21,945.0,0.81,0.81,0.308772,950.0,0.8,0.8,0.303989,
03/31/2019,2413.0,2162.0,251.0,-539.0,539.0,1874.0,0.0,-1281.0,931.0,647.0,284.0,272.0,67.0,11.0,593.0,64.0,,,,,-64.0,657.0,-141.0,516.0,-2.0,-2.0,0.0,518.0,0.0,518.0,0.0,0.0,518.0,567.127273,51.127273,900.0,0.58,0.58,0.630141,908.0,0.57,0.57,0.626308,
06/30/2019,2423.0,2157.0,266.0,-553.0,553.0,1870.0,0.0,-1312.0,944.0,688.0,256.0,295.0,63.0,10.0,558.0,-51.0,,,,,51.0,507.0,-107.0,400.0,-2.0,-2.0,0.0,402.0,0.0,402.0,0.0,0.0,402.0,598.563291,198.563291,860.0,0.47,0.47,0.696004,867.0,0.46,0.46,0.689023,
09/30/2019,2649.0,2649.0,,-627.0,627.0,2022.0,0.0,-1490.0,1089.0,806.0,283.0,313.0,76.0,12.0,532.0,-142.0,,,,,142.0,390.0,-80.0,310.0,0.0,0.0,0.0,310.0,0.0,310.0,0.0,0.0,310.0,395.872294,85.872294,830.0,0.37,0.37,0.476955,837.0,0.37,0.37,0.472595,
12/31/2019,2821.0,2821.0,,-650.0,650.0,2171.0,0.0,-1552.0,1152.0,829.0,323.0,308.0,81.0,11.0,619.0,15.0,,,,,-15.0,634.0,-76.0,558.0,2.0,2.0,0.0,556.0,0.0,556.0,0.0,0.0,556.0,635.974351,77.974351,807.0,0.69,0.69,0.788072,812.0,0.69,0.69,0.786028,
03/31/2020,2374.0,2130.0,244.0,-526.0,526.0,1848.0,0.0,-1219.0,841.0,607.0,234.0,267.0,102.0,9.0,629.0,2.0,,,,,-2.0,631.0,-146.0,485.0,-2927.0,-2927.0,0.0,3412.0,0.0,3412.0,0.0,0.0,3412.0,443.157143,-41.842857,753.0,4.53,0.64,0.588522,757.0,4.51,0.64,0.584725,
06/30/2020,2865.0,2668.0,197.0,-598.0,598.0,2267.0,0.0,-1446.0,1036.0,716.0,320.0,308.0,93.0,9.0,821.0,182.0,,,,,-182.0,1003.0,-263.0,740.0,-6.0,-6.0,0.0,746.0,0.0,746.0,0.0,0.0,746.0,715.666667,-24.333333,703.0,1.06,1.05,1.018018,711.0,1.05,1.04,1.005776,
09/30/2020,2698.192,,,,,2102.2962968,,,,,,,,,792.895,,,,,,,736.5,,456.625,,,,,,456.625,,,456.625,610.389,,,0.636,0.636,0.86,,0.636,0.636,0.86,
12/31/2020,2782.846,,,,,2168.58840242,,,,,,,,,808.316,,,,,,,736.7,,463.75,,,,,,463.75,,,463.75,621.833,,,0.651,0.651,0.872,,0.651,0.651,0.872,
